Date, Open, High, Low, Close
03/31/16, 1986919.90, 1986919.90, 1986919.90, 1986919.90
03/30/16, 1996313.30, 1996313.30, 1996313.30, 1996313.30
03/29/16, 1986546.20, 1986546.20, 1986546.20, 1986546.20
03/28/16, 1986058.30, 1986058.30, 1986058.30, 1986058.30
03/27/16, 1986984.40, 1986984.40, 1986984.40, 1986984.40
03/24/16, 1984707.40, 1984707.40, 1984707.40, 1984707.40
03/23/16, 1967641.20, 1967641.20, 1967641.20, 1967641.20
03/22/16, 1972940.20, 1972940.20, 1972940.20, 1972940.20
03/21/16, 1972639.80, 1972639.80, 1972639.80, 1972639.80
03/20/16, 1956847.70, 1956847.70, 1956847.70, 1956847.70
03/17/16, 1943417.20, 1943417.20, 1943417.20, 1943417.20
03/16/16, 1955212.00, 1955212.00, 1955212.00, 1955212.00
03/15/16, 1954770.90, 1954770.90, 1954770.90, 1954770.90
03/14/16, 1962397.90, 1962397.90, 1962397.90, 1962397.90
03/13/16, 1960423.90, 1960423.90, 1960423.90, 1960423.90
03/10/16, 1925378.30, 1925378.30, 1925378.30, 1925378.30
03/09/16, 1926310.80, 1926310.80, 1926310.80, 1926310.80
03/08/16, 1908291.60, 1908291.60, 1908291.60, 1908291.60
03/07/16, 1929868.60, 1929868.60, 1929868.60, 1929868.60
03/06/16, 1933669.80, 1933669.80, 1933669.80, 1933669.80
03/03/16, 1925165.90, 1925165.90, 1925165.90, 1925165.90
03/02/16, 1920945.70, 1920945.70, 1920945.70, 1920945.70
03/01/16, 1921944.50, 1921944.50, 1921944.50, 1921944.50
02/29/16, 1857941.10, 1857941.10, 1857941.10, 1857941.10
02/28/16, 1890633.40, 1890633.40, 1890633.40, 1890633.40
02/25/16, 1887127.70, 1887127.70, 1887127.70, 1887127.70
02/24/16, 1849121.30, 1849121.30, 1849121.30, 1849121.30
02/23/16, 1839702.10, 1839702.10, 1839702.10, 1839702.10
02/22/16, 1872649.80, 1872649.80, 1872649.80, 1872649.80
02/21/16, 1849836.10, 1849836.10, 1849836.10, 1849836.10
02/18/16, 1854225.20, 1854225.20, 1854225.20, 1854225.20
02/17/16, 1875243.00, 1875243.00, 1875243.00, 1875243.00
02/16/16, 1851087.70, 1851087.70, 1851087.70, 1851087.70
02/15/16, 1831560.50, 1831560.50, 1831560.50, 1831560.50
02/14/16, 1810315.30, 1810315.30, 1810315.30, 1810315.30
02/11/16, 1760830.60, 1760830.60, 1760830.60, 1760830.60
02/10/16, 1825898.10, 1825898.10, 1825898.10, 1825898.10
02/09/16, 1837329.80, 1837329.80, 1837329.80, 1837329.80
02/08/16, 1848720.20, 1848720.20, 1848720.20, 1848720.20
02/07/16, 1896305.60, 1896305.60, 1896305.60, 1896305.60
02/04/16, 1920575.70, 1920575.70, 1920575.70, 1920575.70
02/03/16, 1923968.50, 1923968.50, 1923968.50, 1923968.50
02/02/16, 1933740.30, 1933740.30, 1933740.30, 1933740.30
02/01/16, 1988705.90, 1988705.90, 1988705.90, 1988705.90
01/31/16, 1995221.60, 1995221.60, 1995221.60, 1995221.60
01/28/16, 1910198.10, 1910198.10, 1910198.10, 1910198.10
01/27/16, 1891969.60, 1891969.60, 1891969.60, 1891969.60
01/26/16, 1911775.00, 1911775.00, 1911775.00, 1911775.00
01/25/16, 1876679.90, 1876679.90, 1876679.90, 1876679.90
01/24/16, 1909173.10, 1909173.10, 1909173.10, 1909173.10
01/21/16, 1870503.20, 1870503.20, 1870503.20, 1870503.20
01/20/16, 1850069.30, 1850069.30, 1850069.30, 1850069.30
01/19/16, 1882683.20, 1882683.20, 1882683.20, 1882683.20
01/18/16, 1880358.10, 1880358.10, 1880358.10, 1880358.10
01/17/16, 1871404.80, 1871404.80, 1871404.80, 1871404.80
01/14/16, 1935348.60, 1935348.60, 1935348.60, 1935348.60
01/13/16, 1899082.80, 1899082.80, 1899082.80, 1899082.80
01/12/16, 1947427.50, 1947427.50, 1947427.50, 1947427.50
01/11/16, 1931751.50, 1931751.50, 1931751.50, 1931751.50
01/10/16, 1926592.60, 1926592.60, 1926592.60, 1926592.60
01/07/16, 1946351.80, 1946351.80, 1946351.80, 1946351.80
01/06/16, 2005788.30, 2005788.30, 2005788.30, 2005788.30
01/05/16, 2041880.50, 2041880.50, 2041880.50, 2041880.50
01/04/16, 2044668.10, 2044668.10, 2044668.10, 2044668.10
01/03/16, 2097625.10, 2097625.10, 2097625.10, 2097625.10
12/31/15, 2101632.90, 2101632.90, 2101632.90, 2101632.90
12/30/15, 2123202.80, 2123202.80, 2123202.80, 2123202.80
12/29/15, 2137327.40, 2137327.40, 2137327.40, 2137327.40
12/28/15, 2111280.10, 2111280.10, 2111280.10, 2111280.10
12/27/15, 2115387.50, 2115387.50, 2115387.50, 2115387.50
12/24/15, 2108893.20, 2108893.20, 2108893.20, 2108893.20
12/23/15, 2129211.70, 2129211.70, 2129211.70, 2129211.70
12/22/15, 2111147.30, 2111147.30, 2111147.30, 2111147.30
12/21/15, 2091068.90, 2091068.90, 2091068.90, 2091068.90
12/20/15, 2077350.50, 2077350.50, 2077350.50, 2077350.50
12/17/15, 2143065.40, 2143065.40, 2143065.40, 2143065.40
12/16/15, 2174441.00, 2174441.00, 2174441.00, 2174441.00
12/15/15, 2133833.00, 2133833.00, 2133833.00, 2133833.00
12/14/15, 2104367.50, 2104367.50, 2104367.50, 2104367.50
12/13/15, 2085637.40, 2085637.40, 2085637.40, 2085637.40
12/10/15, 2142889.30, 2142889.30, 2142889.30, 2142889.30
12/09/15, 2125314.50, 2125314.50, 2125314.50, 2125314.50
12/08/15, 2159985.60, 2159985.60, 2159985.60, 2159985.60
12/07/15, 2185640.00, 2185640.00, 2185640.00, 2185640.00
12/06/15, 2199541.90, 2199541.90, 2199541.90, 2199541.90
12/03/15, 2144684.90, 2144684.90, 2144684.90, 2144684.90
12/02/15, 2185715.00, 2185715.00, 2185715.00, 2185715.00
12/01/15, 2198120.50, 2198120.50, 2198120.50, 2198120.50
11/30/15, 2181499.40, 2181499.40, 2181499.40, 2181499.40
11/29/15, 2186010.50, 2186010.50, 2186010.50, 2186010.50
11/26/15, 2186415.50, 2186415.50, 2186415.50, 2186415.50
11/25/15, 2184277.90, 2184277.90, 2184277.90, 2184277.90
11/24/15, 2180746.40, 2180746.40, 2180746.40, 2180746.40
11/23/15, 2186186.60, 2186186.60, 2186186.60, 2186186.60
11/22/15, 2191615.70, 2191615.70, 2191615.70, 2191615.70
11/19/15, 2180418.90, 2180418.90, 2180418.90, 2180418.90
11/18/15, 2191603.50, 2191603.50, 2191603.50, 2191603.50
11/17/15, 2157679.60, 2157679.60, 2157679.60, 2157679.60
11/16/15, 2154431.30, 2154431.30, 2154431.30, 2154431.30
11/15/15, 2113231.70, 2113231.70, 2113231.70, 2113231.70
11/12/15, 2138784.40, 2138784.40, 2138784.40, 2138784.40
11/11/15, 2174894.80, 2174894.80, 2174894.80, 2174894.80
11/10/15, 2184792.60, 2184792.60, 2184792.60, 2184792.60
11/09/15, 2184395.10, 2184395.10, 2184395.10, 2184395.10
11/08/15, 2208522.80, 2208522.80, 2208522.80, 2208522.80
11/05/15, 2174515.30, 2174515.30, 2174515.30, 2174515.30
11/04/15, 2171089.60, 2171089.60, 2171089.60, 2171089.60
11/03/15, 2169708.80, 2169708.80, 2169708.80, 2169708.80
11/02/15, 2149613.60, 2149613.60, 2149613.60, 2149613.60
11/01/15, 2129693.00, 2129693.00, 2129693.00, 2129693.00
