Date, Open, High, Low, Close
03/31/16, 4102089.50, 4102089.50, 4102089.50, 4102089.50
03/30/16, 4121482.80, 4121482.80, 4121482.80, 4121482.80
03/29/16, 4101318.60, 4101318.60, 4101318.60, 4101318.60
03/28/16, 4100309.90, 4100309.90, 4100309.90, 4100309.90
03/27/16, 4102223.00, 4102223.00, 4102223.00, 4102223.00
03/24/16, 4097521.90, 4097521.90, 4097521.90, 4097521.90
03/23/16, 4062286.60, 4062286.60, 4062286.60, 4062286.60
03/22/16, 4073228.60, 4073228.60, 4073228.60, 4073228.60
03/21/16, 4072606.60, 4072606.60, 4072606.60, 4072606.60
03/20/16, 4040003.40, 4040003.40, 4040003.40, 4040003.40
03/17/16, 4012276.50, 4012276.50, 4012276.50, 4012276.50
03/16/16, 4036627.60, 4036627.60, 4036627.60, 4036627.60
03/15/16, 4035714.70, 4035714.70, 4035714.70, 4035714.70
03/14/16, 4051462.90, 4051462.90, 4051462.90, 4051462.90
03/13/16, 4047387.50, 4047387.50, 4047387.50, 4047387.50
03/10/16, 3973752.10, 3973752.10, 3973752.10, 3973752.10
03/09/16, 3975678.50, 3975678.50, 3975678.50, 3975678.50
03/08/16, 3936902.50, 3936902.50, 3936902.50, 3936902.50
03/07/16, 3979328.50, 3979328.50, 3979328.50, 3979328.50
03/06/16, 3987165.70, 3987165.70, 3987165.70, 3987165.70
03/03/16, 3969631.70, 3969631.70, 3969631.70, 3969631.70
03/02/16, 3960673.20, 3960673.20, 3960673.20, 3960673.20
03/01/16, 3962732.20, 3962732.20, 3962732.20, 3962732.20
02/29/16, 3830767.10, 3830767.10, 3830767.10, 3830767.10
02/28/16, 3897124.00, 3897124.00, 3897124.00, 3897124.00
02/25/16, 3888474.60, 3888474.60, 3888474.60, 3888474.60
02/24/16, 3809802.50, 3809802.50, 3809802.50, 3809802.50
02/23/16, 3790394.60, 3790394.60, 3790394.60, 3790394.60
02/22/16, 3858277.10, 3858277.10, 3858277.10, 3858277.10
02/21/16, 3811275.20, 3811275.20, 3811275.20, 3811275.20
02/18/16, 3819120.30, 3819120.30, 3819120.30, 3819120.30
02/17/16, 3862411.40, 3862411.40, 3862411.40, 3862411.40
02/16/16, 3811419.50, 3811419.50, 3811419.50, 3811419.50
02/15/16, 3768933.80, 3768933.80, 3768933.80, 3768933.80
02/14/16, 3725216.00, 3725216.00, 3725216.00, 3725216.00
02/11/16, 3623389.10, 3623389.10, 3623389.10, 3623389.10
02/10/16, 3757281.30, 3757281.30, 3757281.30, 3757281.30
02/09/16, 3776613.30, 3776613.30, 3776613.30, 3776613.30
02/08/16, 3798840.00, 3798840.00, 3798840.00, 3798840.00
02/07/16, 3894457.20, 3894457.20, 3894457.20, 3894457.20
02/04/16, 3944301.50, 3944301.50, 3944301.50, 3944301.50
02/03/16, 3950413.30, 3950413.30, 3950413.30, 3950413.30
02/02/16, 3969544.10, 3969544.10, 3969544.10, 3969544.10
02/01/16, 4082377.10, 4082377.10, 4082377.10, 4082377.10
01/31/16, 4095752.00, 4095752.00, 4095752.00, 4095752.00
01/28/16, 3921219.40, 3921219.40, 3921219.40, 3921219.40
01/27/16, 3883798.80, 3883798.80, 3883798.80, 3883798.80
01/26/16, 3924456.20, 3924456.20, 3924456.20, 3924456.20
01/25/16, 3852411.90, 3852411.90, 3852411.90, 3852411.90
01/24/16, 3919114.10, 3919114.10, 3919114.10, 3919114.10
01/21/16, 3839734.20, 3839734.20, 3839734.20, 3839734.20
01/20/16, 3797787.70, 3797787.70, 3797787.70, 3797787.70
01/19/16, 3863624.00, 3863624.00, 3863624.00, 3863624.00
01/18/16, 3858852.30, 3858852.30, 3858852.30, 3858852.30
01/17/16, 3840478.40, 3840478.40, 3840478.40, 3840478.40
01/14/16, 3970393.40, 3970393.40, 3970393.40, 3970393.40
01/13/16, 3895994.50, 3895994.50, 3895994.50, 3895994.50
01/12/16, 3995174.00, 3995174.00, 3995174.00, 3995174.00
01/11/16, 3963013.50, 3963013.50, 3963013.50, 3963013.50
01/10/16, 3952431.60, 3952431.60, 3952431.60, 3952431.60
01/07/16, 3992967.20, 3992967.20, 3992967.20, 3992967.20
01/06/16, 4114901.50, 4114901.50, 4114901.50, 4114901.50
01/05/16, 4187495.80, 4187495.80, 4187495.80, 4187495.80
01/04/16, 4193211.80, 4193211.80, 4193211.80, 4193211.80
01/03/16, 4300699.50, 4300699.50, 4300699.50, 4300699.50
