Date, Open, High, Low, Close
03/31/16, 2072.10, 2072.10, 2072.10, 2072.10
03/30/16, 2067.93, 2067.93, 2067.93, 2067.93
03/23/16, 2034.81, 2034.81, 2034.81, 2034.81
03/22/16, 2042.14, 2042.14, 2042.14, 2042.14
03/21/16, 2041.91, 2041.91, 2041.91, 2041.91
03/18/16, 2035.36, 2035.36, 2035.36, 2035.36
03/17/16, 2018.73, 2018.73, 2018.73, 2018.73
03/16/16, 2000.02, 2000.02, 2000.02, 2000.02
03/15/16, 2003.77, 2003.77, 2003.77, 2003.77
03/14/16, 2022.28, 2022.28, 2022.28, 2022.28
03/11/16, 1993.93, 1993.93, 1993.93, 1993.93
03/10/16, 1973.34, 1973.34, 1973.34, 1973.34
03/09/16, 1973.71, 1973.71, 1973.71, 1973.71
03/08/16, 1982.14, 1982.14, 1982.14, 1982.14
03/07/16, 1994.42, 1994.42, 1994.42, 1994.42
03/04/16, 1995.74, 1995.74, 1995.74, 1995.74
03/03/16, 1963.92, 1963.92, 1963.92, 1963.92
03/02/16, 1969.04, 1969.04, 1969.04, 1969.04
03/01/16, 1914.42, 1914.42, 1914.42, 1914.42
02/29/16, 1881.44, 1881.44, 1881.44, 1881.44
02/26/16, 1912.18, 1912.18, 1912.18, 1912.18
02/25/16, 1870.23, 1870.23, 1870.23, 1870.23
02/24/16, 1905.74, 1905.74, 1905.74, 1905.74
02/23/16, 1921.36, 1921.36, 1921.36, 1921.36
02/22/16, 1927.41, 1927.41, 1927.41, 1927.41
02/19/16, 1912.52, 1912.52, 1912.52, 1912.52
02/18/16, 1912.22, 1912.22, 1912.22, 1912.22
02/17/16, 1871.98, 1871.98, 1871.98, 1871.98
02/16/16, 1887.03, 1887.03, 1887.03, 1887.03
02/15/16, 1873.55, 1873.55, 1873.55, 1873.55
02/12/16, 1824.46, 1824.46, 1824.46, 1824.46
02/11/16, 1834.78, 1834.78, 1834.78, 1834.78
02/05/16, 1894.81, 1894.81, 1894.81, 1894.81
02/04/16, 1894.26, 1894.26, 1894.26, 1894.26
02/03/16, 1871.45, 1871.45, 1871.45, 1871.45
02/02/16, 1914.84, 1914.84, 1914.84, 1914.84
02/01/16, 1920.14, 1920.14, 1920.14, 1920.14
01/29/16, 1916.99, 1916.99, 1916.99, 1916.99
01/28/16, 1873.89, 1873.89, 1873.89, 1873.89
01/27/16, 1856.05, 1856.05, 1856.05, 1856.05
01/26/16, 1843.82, 1843.82, 1843.82, 1843.82
01/25/16, 1882.84, 1882.84, 1882.84, 1882.84
01/22/16, 1857.68, 1857.68, 1857.68, 1857.68
01/21/16, 1795.40, 1795.40, 1795.40, 1795.40
01/20/16, 1825.74, 1825.74, 1825.74, 1825.74
01/19/16, 1900.43, 1900.43, 1900.43, 1900.43
01/18/16, 1868.16, 1868.16, 1868.16, 1868.16
01/15/16, 1885.75, 1885.75, 1885.75, 1885.75
01/14/16, 1908.49, 1908.49, 1908.49, 1908.49
01/13/16, 1929.74, 1929.74, 1929.74, 1929.74
01/12/16, 1898.70, 1898.70, 1898.70, 1898.70
01/11/16, 1916.83, 1916.83, 1916.83, 1916.83
01/08/16, 1969.19, 1969.19, 1969.19, 1969.19
01/07/16, 1970.07, 1970.07, 1970.07, 1970.07
