Date, Open, High, Low, Close
03/31/16, 939.28, 939.28, 938.53, 938.81
03/30/16, 940.59, 940.59, 940.19, 940.36
03/29/16, 932.62, 933.91, 932.62, 933.57
03/28/16, 919.76, 920.13, 919.76, 920.01
03/27/16, 920.59, 920.59, 920.59, 920.59
03/25/16, 920.54, 920.54, 920.04, 920.54
03/24/16, 920.48, 920.88, 920.48, 920.66
03/23/16, 920.85, 920.91, 920.20, 920.39
03/22/16, 927.09, 927.14, 926.80, 927.07
03/21/16, 925.85, 926.10, 925.73, 925.88
03/20/16, 923.49, 923.49, 923.49, 923.49
03/18/16, 923.58, 925.26, 923.58, 923.58
03/17/16, 918.00, 918.63, 917.80, 918.14
03/16/16, 912.59, 913.58, 912.57, 913.55
03/15/16, 901.55, 901.96, 901.55, 901.74
03/14/16, 900.80, 901.08, 900.59, 900.98
03/13/16, 898.80, 898.80, 898.80, 898.80
03/11/16, 898.34, 898.67, 898.34, 898.34
03/10/16, 882.24, 883.57, 881.98, 883.44
03/09/16, 881.74, 882.25, 881.49, 882.01
03/08/16, 873.26, 873.28, 871.59, 871.92
03/07/16, 880.98, 880.98, 878.51, 878.54
03/06/16, 884.70, 884.91, 884.70, 884.70
03/04/16, 884.27, 888.40, 879.79, 884.27
03/03/16, 881.81, 882.37, 881.67, 881.95
03/02/16, 881.41, 882.63, 881.41, 882.42
03/01/16, 876.73, 878.85, 876.73, 878.35
02/29/16, 854.16, 854.75, 853.87, 854.60
02/28/16, 857.92, 857.92, 857.92, 857.92
02/26/16, 858.19, 866.47, 856.26, 858.19
02/25/16, 859.61, 860.21, 859.49, 859.61
02/24/16, 850.72, 851.29, 850.72, 851.07
02/23/16, 846.93, 846.94, 846.05, 846.49
02/22/16, 861.22, 861.67, 861.03, 861.03
02/21/16, 849.85, 849.85, 849.10, 849.85
02/19/16, 849.78, 852.22, 844.51, 849.78
02/18/16, 849.22, 849.35, 848.18, 848.45
02/17/16, 849.84, 852.06, 849.84, 851.74
02/16/16, 832.17, 832.52, 831.84, 832.30
02/15/16, 818.62, 819.54, 818.49, 819.16
02/14/16, 814.68, 814.68, 814.68, 814.68
02/12/16, 814.50, 816.01, 806.23, 814.50
02/11/16, 807.98, 808.18, 807.08, 807.52
02/10/16, 812.67, 812.67, 809.52, 809.81
02/09/16, 811.35, 811.35, 811.09, 811.11
02/08/16, 814.84, 814.85, 814.40, 814.43
02/07/16, 824.90, 824.90, 824.90, 824.90
02/05/16, 825.48, 849.54, 822.52, 825.48
02/04/16, 848.69, 849.35, 848.69, 849.10
02/03/16, 845.72, 846.60, 845.70, 846.47
02/02/16, 850.46, 850.62, 849.12, 849.20
02/01/16, 866.31, 866.33, 865.60, 865.70
01/31/16, 864.64, 864.64, 864.64, 864.64
01/29/16, 864.99, 864.99, 864.99, 864.99
01/28/16, 840.07, 840.09, 838.47, 839.28
01/27/16, 828.32, 828.33, 826.72, 828.13
01/26/16, 842.39, 843.73, 842.30, 843.47
01/25/16, 838.28, 838.28, 836.50, 836.54
01/24/16, 844.87, 844.87, 844.87, 844.87
01/22/16, 844.76, 844.79, 844.76, 844.76
01/21/16, 822.80, 825.71, 822.80, 825.46
01/20/16, 818.91, 820.23, 818.72, 820.14
01/19/16, 829.81, 829.81, 827.02, 827.25
01/18/16, 824.47, 825.83, 824.47, 825.76
01/17/16, 824.47, 824.47, 822.73, 824.47
01/15/16, 824.85, 824.85, 816.56, 824.85
01/14/16, 850.65, 852.30, 850.65, 851.96
01/13/16, 836.35, 836.35, 834.57, 834.90
01/12/16, 855.00, 856.46, 855.00, 856.32
01/11/16, 846.15, 846.67, 845.75, 846.54
01/10/16, 844.25, 844.25, 844.25, 844.25
01/08/16, 844.52, 859.06, 843.26, 844.52
01/07/16, 850.06, 851.74, 849.81, 850.79
01/06/16, 876.92, 876.92, 875.14, 875.42
01/05/16, 886.90, 886.99, 885.08, 885.17
01/04/16, 888.39, 889.16, 887.83, 889.09
01/03/16, 907.63, 907.71, 907.63, 907.63
12/31/15, 908.02, 918.68, 907.80, 908.02
12/30/15, 917.69, 918.24, 917.49, 918.04
12/29/15, 924.54, 925.34, 924.54, 925.08
12/28/15, 914.73, 914.73, 913.57, 914.07
12/27/15, 915.60, 916.09, 915.60, 915.60
12/25/15, 916.03, 916.03, 916.03, 916.03
12/24/15, 915.83, 916.14, 915.65, 916.02
12/23/15, 916.90, 917.81, 916.84, 917.56
12/22/15, 911.00, 911.66, 910.73, 911.45
12/21/15, 903.40, 903.52, 902.77, 903.16
12/20/15, 895.23, 895.23, 894.55, 895.23
12/18/15, 895.15, 895.15, 894.93, 895.15
12/17/15, 911.03, 911.11, 909.89, 910.30
12/16/15, 922.65, 922.96, 921.86, 922.12
12/15/15, 909.38, 911.52, 909.38, 911.20
12/14/15, 902.49, 903.66, 902.47, 903.53
12/13/15, 897.71, 897.71, 897.71, 897.71
12/11/15, 898.50, 898.50, 897.23, 898.50
12/10/15, 916.07, 916.54, 915.97, 916.21
12/09/15, 914.26, 915.27, 914.25, 915.14
12/08/15, 924.72, 925.24, 924.70, 925.02
12/07/15, 929.68, 930.21, 929.31, 929.60
12/06/15, 933.18, 933.94, 933.18, 933.18
12/04/15, 933.55, 934.48, 915.79, 933.55
12/03/15, 919.34, 919.36, 917.30, 917.30
12/02/15, 931.28, 931.28, 930.22, 930.25
12/01/15, 935.88, 936.09, 934.91, 935.21
11/30/15, 924.05, 926.07, 924.05, 925.30
11/29/15, 922.90, 922.90, 920.68, 922.90
11/27/15, 923.24, 923.24, 920.79, 923.24
11/26/15, 924.09, 924.70, 923.57, 923.57
11/25/15, 922.35, 924.62, 922.35, 923.82
11/24/15, 923.63, 924.37, 923.63, 924.14
11/23/15, 924.01, 924.74, 923.94, 924.46
11/22/15, 927.36, 927.36, 927.36, 927.36
11/20/15, 927.58, 928.49, 919.14, 927.58
11/19/15, 919.67, 919.88, 919.18, 919.40
11/18/15, 913.24, 914.80, 913.24, 914.53
11/17/15, 902.79, 903.54, 902.36, 903.15
11/16/15, 901.95, 904.00, 901.95, 904.00
11/15/15, 894.07, 894.07, 894.07, 894.07
11/13/15, 894.87, 894.87, 894.19, 894.87
11/12/15, 914.40, 914.51, 913.27, 913.63
11/11/15, 920.90, 922.25, 920.83, 921.80
11/10/15, 919.99, 921.22, 919.90, 920.66
11/09/15, 926.65, 926.66, 925.29, 925.55
11/08/15, 935.64, 936.61, 935.64, 935.64
11/06/15, 936.48, 937.05, 930.23, 936.48
11/05/15, 936.76, 936.99, 935.95, 936.06
11/04/15, 939.39, 939.89, 939.25, 939.64
11/03/15, 937.38, 938.15, 937.05, 938.11
11/02/15, 933.34, 934.30, 932.59, 934.26
11/01/15, 923.31, 923.31, 923.31, 923.31
10/30/15, 923.44, 929.86, 923.02, 923.44
10/29/15, 924.93, 927.00, 924.93, 926.78
10/28/15, 925.73, 929.48, 925.73, 929.38
10/27/15, 915.70, 915.70, 914.78, 915.51
10/26/15, 918.76, 918.79, 918.15, 918.24
10/25/15, 917.87, 917.87, 917.87, 917.87
10/23/15, 918.59, 922.02, 918.59, 918.59
10/22/15, 892.46, 892.66, 891.74, 892.54
10/21/15, 874.61, 875.36, 874.61, 875.11
10/20/15, 880.92, 881.37, 880.49, 881.30
10/19/15, 886.13, 886.48, 886.08, 886.37
10/18/15, 884.40, 884.40, 884.40, 884.40
10/16/15, 884.58, 884.58, 879.69, 884.58
10/15/15, 881.69, 881.74, 880.99, 881.10
10/14/15, 869.03, 869.78, 868.69, 869.63
10/13/15, 869.46, 869.85, 869.21, 869.26
10/12/15, 872.23, 872.23, 871.49, 871.50
10/11/15, 871.38, 871.38, 871.38, 871.38
10/09/15, 870.51, 872.10, 867.05, 870.51
10/08/15, 867.14, 867.28, 867.14, 867.24
10/07/15, 860.48, 861.50, 860.40, 861.08
10/06/15, 854.28, 856.04, 854.28, 855.77
10/05/15, 849.53, 850.47, 849.53, 850.31
10/04/15, 831.54, 831.54, 831.49, 831.54
10/02/15, 831.39, 831.39, 808.86, 831.39
10/01/15, 817.14, 817.22, 816.45, 816.57
09/30/15, 817.53, 817.76, 817.25, 817.71
09/29/15, 798.42, 798.42, 797.60, 798.12
09/28/15, 801.07, 801.13, 801.01, 801.02
09/27/15, 815.59, 815.59, 815.59, 815.59
09/25/15, 815.36, 824.96, 812.36, 815.36
09/24/15, 816.09, 816.10, 815.59, 815.62
09/23/15, 816.39, 816.61, 816.20, 816.36
09/22/15, 819.02, 819.02, 818.17, 818.35
09/21/15, 832.68, 832.78, 832.13, 832.21
09/20/15, 830.05, 830.05, 830.05, 830.05
09/18/15, 830.87, 842.21, 828.97, 830.87
09/17/15, 840.14, 840.34, 839.50, 839.87
09/16/15, 843.78, 844.03, 843.56, 843.76
09/15/15, 835.43, 836.13, 835.38, 836.12
09/14/15, 826.45, 826.45, 825.92, 826.34
09/13/15, 829.09, 829.09, 829.09, 829.09
09/11/15, 829.01, 829.05, 821.92, 829.01
09/10/15, 826.86, 826.88, 826.27, 826.27
09/09/15, 822.08, 822.32, 821.26, 821.50
09/08/15, 825.76, 826.77, 825.72, 826.67
09/07/15, 806.33, 806.61, 805.95, 806.13
09/06/15, 807.38, 807.83, 807.38, 807.38
09/04/15, 807.42, 807.42, 803.94, 807.42
09/03/15, 819.84, 820.56, 819.80, 819.97
09/02/15, 818.00, 818.61, 818.00, 818.50
09/01/15, 801.09, 801.18, 800.41, 801.03
08/31/15, 825.26, 825.36, 824.92, 825.12
08/30/15, 830.86, 830.86, 830.86, 830.86
08/28/15, 831.19, 832.10, 825.16, 831.19
08/27/15, 827.81, 828.96, 827.78, 828.57
08/26/15, 810.45, 811.19, 810.45, 810.67
08/25/15, 780.34, 780.39, 779.61, 779.71
08/24/15, 782.54, 782.87, 781.50, 782.26
08/23/15, 811.30, 811.48, 811.30, 811.30
08/21/15, 811.06, 811.06, 811.06, 811.06
08/20/15, 843.86, 843.86, 842.30, 842.73
08/19/15, 863.90, 864.50, 863.62, 864.39
08/18/15, 870.17, 871.74, 870.16, 871.50
08/17/15, 873.31, 875.08, 873.31, 874.24
08/16/15, 872.66, 872.66, 872.66, 872.66
08/14/15, 873.01, 873.78, 868.18, 873.01
08/13/15, 870.95, 870.99, 870.91, 870.96
08/12/15, 870.36, 870.37, 869.97, 870.22
08/11/15, 870.21, 870.30, 869.74, 870.17
08/10/15, 881.02, 883.13, 881.02, 881.82
08/09/15, 870.76, 870.76, 868.86, 870.76
08/07/15, 870.61, 870.61, 866.43, 870.61
08/06/15, 872.45, 873.19, 872.36, 872.74
08/05/15, 880.75, 880.90, 880.27, 880.29
08/04/15, 873.23, 873.34, 872.63, 872.70
08/03/15, 876.59, 877.35, 876.59, 877.16
08/02/15, 881.07, 881.07, 881.07, 881.07
07/31/15, 881.51, 886.56, 880.82, 881.51
07/30/15, 883.83, 884.33, 883.74, 884.10
07/29/15, 884.64, 884.64, 883.02, 883.16
07/28/15, 879.27, 880.00, 879.27, 879.77
07/27/15, 873.04, 873.06, 872.50, 873.04
07/26/15, 880.83, 881.36, 880.83, 880.83
07/24/15, 880.91, 889.25, 879.80, 880.91
07/23/15, 888.54, 888.77, 888.21, 888.49
07/22/15, 891.83, 891.96, 891.52, 891.67
07/21/15, 905.25, 905.25, 904.45, 904.60
07/20/15, 907.19, 907.28, 906.99, 907.04
07/19/15, 906.99, 906.99, 906.99, 906.99
07/17/15, 907.27, 907.27, 907.27, 907.27
07/16/15, 886.49, 887.22, 886.46, 886.62
07/15/15, 876.33, 876.34, 875.23, 876.12
07/14/15, 874.91, 875.50, 874.34, 875.43
07/13/15, 873.89, 873.95, 872.90, 872.92
07/12/15, 860.72, 860.72, 860.24, 860.72
07/10/15, 860.77, 863.43, 860.77, 860.77
07/09/15, 849.75, 849.80, 848.94, 849.06
07/08/15, 846.43, 846.46, 845.01, 845.85
07/07/15, 859.33, 859.69, 858.96, 859.04
07/06/15, 861.12, 862.79, 860.78, 861.63
07/05/15, 868.89, 868.89, 868.89, 868.89
07/03/15, 869.51, 869.51, 869.51, 869.51
07/02/15, 870.89, 871.08, 869.18, 870.82
07/01/15, 869.53, 869.60, 869.17, 869.31
06/30/15, 864.40, 864.68, 863.76, 864.08
06/29/15, 865.47, 865.62, 865.10, 865.34
06/28/15, 884.38, 884.38, 884.38, 884.38
06/26/15, 885.48, 885.48, 883.23, 885.48
06/25/15, 894.46, 894.57, 893.73, 894.01
06/24/15, 898.39, 898.45, 897.83, 898.15
06/23/15, 901.99, 901.99, 901.16, 901.37
06/22/15, 899.04, 900.08, 899.02, 899.81
06/21/15, 891.99, 891.99, 891.75, 891.99
06/19/15, 890.70, 897.79, 890.39, 890.70
06/18/15, 897.01, 897.19, 896.90, 896.94
06/17/15, 891.41, 892.03, 891.29, 891.46
06/16/15, 888.59, 888.78, 888.10, 888.23
06/15/15, 884.98, 885.07, 884.37, 884.56
06/14/15, 892.08, 892.08, 892.08, 892.08
06/12/15, 892.21, 892.21, 891.32, 892.21
06/11/15, 897.75, 898.45, 897.47, 897.66
06/10/15, 897.64, 897.90, 897.36, 897.36
06/09/15, 885.71, 886.22, 885.63, 885.68
06/08/15, 888.33, 888.58, 888.00, 888.28
06/07/15, 898.85, 898.91, 898.85, 898.85
06/05/15, 899.64, 899.64, 896.47, 899.64
06/04/15, 903.84, 904.82, 903.72, 904.59
06/03/15, 911.77, 912.28, 911.48, 911.68
06/02/15, 909.43, 909.94, 909.11, 909.13
06/01/15, 910.56, 910.68, 910.21, 910.31
05/31/15, 908.39, 908.39, 908.39, 908.39
05/29/15, 908.79, 908.79, 907.64, 908.79
05/28/15, 916.48, 916.93, 916.18, 916.64
05/27/15, 916.70, 916.78, 916.13, 916.50
05/26/15, 905.53, 905.69, 904.81, 905.02
05/25/15, 917.40, 917.40, 916.42, 916.51
05/24/15, 916.62, 916.62, 916.62, 916.62
05/22/15, 917.13, 920.26, 916.69, 917.13
05/21/15, 918.93, 918.98, 918.26, 918.26
05/20/15, 917.67, 917.81, 917.46, 917.77
05/19/15, 916.66, 917.14, 916.46, 917.05
05/18/15, 917.86, 918.32, 917.35, 917.96
05/17/15, 917.39, 917.39, 917.39, 917.39
05/15/15, 916.84, 920.38, 914.94, 916.84
05/14/15, 919.52, 919.55, 919.19, 919.23
05/13/15, 905.68, 905.76, 905.31, 905.47
05/12/15, 900.95, 900.95, 900.01, 900.66
05/11/15, 906.35, 906.78, 905.75, 905.75
05/10/15, 909.65, 909.65, 909.65, 909.65
05/08/15, 908.70, 909.23, 896.61, 908.70
05/07/15, 897.11, 897.53, 897.05, 897.15
05/06/15, 894.48, 894.88, 894.41, 894.61
05/05/15, 903.16, 903.16, 902.06, 902.10
05/04/15, 916.70, 917.16, 915.88, 916.91
05/03/15, 917.25, 917.25, 917.25, 917.25
05/01/15, 918.10, 918.10, 908.84, 918.10
04/30/15, 909.02, 909.05, 908.91, 908.98
04/29/15, 922.79, 923.54, 922.56, 923.41
04/28/15, 927.58, 928.45, 927.58, 928.13
04/27/15, 925.02, 925.24, 923.98, 924.05
04/26/15, 921.83, 921.83, 921.83, 921.83
04/24/15, 921.74, 924.17, 910.91, 921.74
04/23/15, 911.45, 911.84, 911.27, 911.55
04/22/15, 912.77, 912.77, 912.04, 912.41
04/21/15, 903.56, 903.72, 903.21, 903.56
04/20/15, 901.34, 901.78, 901.21, 901.55
04/19/15, 889.38, 889.38, 889.38, 889.38
04/17/15, 889.46, 889.46, 887.48, 889.46
04/16/15, 901.99, 902.03, 901.21, 901.33
04/15/15, 902.10, 903.23, 901.84, 902.99
04/14/15, 896.55, 896.91, 896.26, 896.41
04/13/15, 902.26, 902.49, 901.89, 902.23
04/12/15, 901.75, 901.75, 901.04, 901.75
04/10/15, 902.14, 902.14, 902.14, 902.14
04/09/15, 895.46, 896.02, 895.46, 895.90
04/08/15, 890.89, 891.43, 890.89, 891.07
04/07/15, 889.53, 889.71, 889.07, 889.69
04/06/15, 892.05, 892.33, 891.55, 891.60
04/05/15, 883.65, 883.65, 883.65, 883.65
04/03/15, 881.83, 883.62, 881.83, 881.83
04/02/15, 881.97, 882.04, 881.51, 881.78
04/01/15, 881.45, 881.69, 881.18, 881.48
03/31/15, 885.38, 885.41, 884.82, 885.31
03/30/15, 891.75, 891.85, 891.17, 891.23
03/29/15, 883.22, 883.22, 882.52, 883.22
03/27/15, 883.11, 885.59, 878.31, 883.11
03/26/15, 881.87, 882.43, 881.87, 882.23
03/25/15, 887.97, 887.97, 886.12, 886.67
03/24/15, 908.05, 908.50, 907.54, 907.74
03/23/15, 909.49, 909.81, 909.40, 909.60
03/22/15, 907.80, 907.80, 907.23, 907.80
03/20/15, 907.69, 911.75, 900.59, 907.69
03/19/15, 901.69, 901.89, 901.02, 901.41
03/18/15, 903.25, 903.53, 902.73, 902.73
03/17/15, 888.48, 889.00, 888.25, 888.89
03/16/15, 887.20, 887.66, 886.85, 887.63
03/15/15, 877.37, 877.37, 877.37, 877.37
03/13/15, 878.09, 878.09, 872.75, 878.09
03/12/15, 880.82, 882.02, 880.59, 881.06
03/11/15, 879.15, 879.48, 878.99, 879.21
03/10/15, 881.70, 882.49, 881.70, 881.92
03/09/15, 900.41, 900.41, 899.73, 900.15
03/08/15, 898.72, 898.72, 898.72, 898.72
03/06/15, 899.78, 910.65, 897.47, 899.78
03/05/15, 909.13, 910.18, 908.99, 910.00
03/04/15, 911.15, 911.33, 910.16, 910.87
03/03/15, 913.47, 913.80, 912.83, 913.35
03/02/15, 920.00, 920.08, 919.34, 919.59
03/01/15, 910.82, 910.82, 910.82, 910.82
02/27/15, 910.68, 914.70, 909.36, 910.68
02/26/15, 913.57, 913.70, 913.02, 913.15
02/25/15, 911.49, 911.61, 910.50, 910.76
02/24/15, 914.56, 915.38, 914.47, 915.29
02/23/15, 911.23, 912.20, 910.85, 911.85
02/22/15, 910.85, 910.85, 910.85, 910.85
02/20/15, 911.39, 911.89, 903.21, 911.39
02/19/15, 907.95, 908.04, 907.90, 908.03
02/18/15, 904.12, 904.28, 904.09, 904.26
02/17/15, 903.15, 903.23, 902.91, 902.92
02/16/15, 904.50, 904.91, 904.03, 904.32
02/15/15, 904.71, 905.48, 904.45, 904.71
02/13/15, 904.42, 904.42, 904.42, 904.42
02/12/15, 898.98, 899.18, 898.58, 898.94
02/11/15, 884.92, 885.91, 883.99, 884.44
02/10/15, 884.53, 885.76, 884.02, 885.49
02/09/15, 871.78, 872.40, 871.71, 872.16
02/08/15, 872.71, 872.71, 872.71, 872.71
02/06/15, 873.87, 880.98, 870.90, 873.87
02/05/15, 879.29, 879.72, 878.92, 879.13
02/04/15, 872.39, 872.76, 871.46, 871.82
02/03/15, 874.42, 874.82, 874.17, 874.48
02/02/15, 866.41, 866.88, 865.68, 866.56
02/01/15, 857.76, 857.76, 857.76, 857.76
01/30/15, 857.85, 857.85, 857.26, 857.85
01/29/15, 869.99, 870.83, 869.23, 869.28
01/28/15, 868.27, 868.57, 866.82, 866.94
01/27/15, 873.79, 873.87, 872.53, 872.74
01/26/15, 897.79, 898.73, 897.79, 898.38
01/25/15, 899.60, 899.60, 899.60, 899.60
01/23/15, 900.41, 903.71, 900.41, 900.41
01/22/15, 897.95, 899.23, 897.46, 899.03
01/21/15, 883.11, 883.51, 882.19, 883.38
01/20/15, 878.10, 879.83, 877.72, 879.67
01/19/15, 873.66, 874.07, 873.04, 873.35
01/18/15, 871.94, 871.94, 871.54, 871.94
01/16/15, 871.03, 872.05, 860.87, 871.03
01/15/15, 866.16, 866.96, 865.23, 865.54
01/14/15, 874.62, 875.39, 874.52, 874.66
01/13/15, 878.79, 879.45, 878.21, 878.38
01/12/15, 877.80, 878.20, 877.59, 877.97
01/11/15, 885.52, 885.52, 885.52, 885.52
01/09/15, 885.15, 891.94, 879.57, 885.15
01/08/15, 887.71, 887.99, 887.09, 887.38
01/07/15, 870.71, 871.51, 869.88, 871.28
01/06/15, 863.16, 864.41, 862.77, 863.97
01/05/15, 874.26, 874.29, 873.16, 874.15
01/04/15, 888.76, 888.76, 888.76, 888.76
01/02/15, 889.28, 896.72, 884.97, 889.28
01/01/15, 890.45, 890.83, 889.84, 889.93
