Date, Open, High, Low, Close, Volume
03/31/16, 4.633, 4.66, 4.63, 4.688, 25297
03/30/16, 4.683, 4.738, 4.663, 4.705, 2239
03/29/16, 4.72, 4.72, 4.658, 4.705, 25025
03/24/16, 4.80, 4.80, 4.72, 4.763, 6886
03/23/16, 4.91, 4.95, 4.86, 4.835, 6886
03/22/16, 4.918, 4.95, 4.918, 4.943, 3086
03/21/16, 4.87, 4.883, 4.82, 4.935, 3916
03/18/16, 4.855, 4.86, 4.825, 4.858, 34846
03/17/16, 4.713, 4.803, 4.70, 4.793, 3504
03/16/16, 4.603, 4.70, 4.603, 4.705, 1950
03/15/16, 4.718, 4.718, 4.638, 4.665, 14575
03/14/16, 4.85, 4.85, 4.763, 4.773, 1676
03/11/16, 4.793, 4.793, 4.793, 4.803, 2086
03/10/16, 4.81, 4.855, 4.73, 4.708, 24310
03/09/16, 4.86, 4.86, 4.853, 4.883, 271
03/08/16, 4.81, 4.81, 4.683, 4.765, 884
03/07/16, 4.988, 4.988, 4.94, 4.91, 2994
03/04/16, 5.03, 5.03, 4.94, 4.985, 1641
03/03/16, 5.00, 5.025, 4.975, 4.995, 4034
03/02/16, 4.90, 4.96, 4.90, 4.973, 7539
03/01/16, 4.848, 4.855, 4.815, 4.855, 3745
02/29/16, 4.81, 4.878, 4.81, 4.833, 6495
02/26/16, 4.74, 4.80, 4.74, 4.768, 3155
02/25/16, 4.658, 4.658, 4.658, 4.658, 0
02/24/16, 4.713, 4.713, 4.713, 4.713, 0
02/23/16, 4.728, 4.75, 4.68, 4.685, 9947
02/22/16, 4.65, 4.818, 4.65, 4.795, 3120
02/19/16, 4.575, 4.628, 4.575, 4.618, 3721
02/18/16, 4.50, 4.50, 4.50, 4.523, 97
02/17/16, 4.40, 4.45, 4.40, 4.38, 8431
02/16/16, 4.488, 4.488, 4.488, 4.433, 1100
02/15/16, 4.518, 4.518, 4.48, 4.508, 1320
02/12/16, 4.53, 4.53, 4.493, 4.525, 953
02/11/16, 4.488, 4.568, 4.488, 4.478, 11244
02/10/16, 4.52, 4.52, 4.52, 4.463, 44
02/09/16, 4.65, 4.68, 4.32, 4.345, 7605
02/08/16, 4.538, 4.60, 4.538, 4.595, 1392
02/05/16, 4.563, 4.563, 4.463, 4.458, 1258
02/04/16, 4.608, 4.608, 4.55, 4.568, 1202
02/03/16, 4.588, 4.60, 4.54, 4.54, 7790
02/02/16, 4.51, 4.553, 4.50, 4.54, 3562
02/01/16, 4.40, 4.40, 4.395, 4.448, 2558
01/29/16, 4.38, 4.41, 4.38, 4.45, 8098
01/28/16, 4.31, 4.31, 4.31, 4.288, 383
01/27/16, 4.39, 4.39, 4.35, 4.398, 4627
01/26/16, 4.238, 4.305, 4.238, 4.34, 3509
01/25/16, 4.17, 4.17, 4.17, 4.173, 45
01/22/16, 4.20, 4.203, 4.18, 4.195, 4792
01/21/16, 4.02, 4.09, 3.998, 4.11, 15457
01/20/16, 4.088, 4.088, 4.023, 4.032, 3758
01/19/16, 4.118, 4.118, 4.118, 4.118, 0
01/18/16, 4.08, 4.08, 4.077, 4.088, 6068
01/15/16, 4.06, 4.063, 4.008, 4.023, 29727
01/14/16, 4.04, 4.13, 4.04, 4.133, 6849
01/13/16, 4.035, 4.08, 4.018, 4.073, 391
01/12/16, 4.00, 4.032, 3.98, 4.03, 2864
01/11/16, 4.05, 4.05, 4.023, 4.037, 2593
01/08/16, 4.168, 4.168, 4.168, 4.133, 21
01/07/16, 4.12, 4.12, 4.05, 4.12, 8980
01/06/16, 4.28, 4.28, 4.28, 4.27, 750
01/05/16, 4.298, 4.298, 4.298, 4.35, 116
01/04/16, 4.31, 4.31, 4.305, 4.335, 612
12/30/15, 4.418, 4.418, 4.418, 4.418, 0
12/29/15, 4.225, 4.36, 4.225, 4.40, 4746
12/28/15, 4.20, 4.20, 4.155, 4.18, 965
12/23/15, 4.225, 4.225, 4.223, 4.228, 2325
12/22/15, 4.155, 4.188, 4.14, 4.12, 2325
12/21/15, 4.188, 4.188, 4.188, 4.188, 0
12/18/15, 4.175, 4.175, 4.17, 4.155, 1183
12/17/15, 4.088, 4.09, 4.088, 4.098, 687
12/16/15, 4.10, 4.10, 4.07, 4.108, 4400
12/15/15, 4.13, 4.14, 4.123, 4.123, 301
12/14/15, 4.24, 4.24, 4.19, 4.183, 2492
12/11/15, 4.205, 4.205, 4.19, 4.21, 1712
12/10/15, 4.18, 4.208, 4.18, 4.175, 2200
12/09/15, 4.203, 4.203, 4.20, 4.185, 1265
12/08/15, 4.17, 4.20, 4.14, 4.213, 2570
12/07/15, 4.29, 4.29, 4.29, 4.218, 4500
12/04/15, 4.29, 4.29, 4.19, 4.278, 2336
12/03/15, 4.30, 4.30, 4.18, 4.168, 15020
12/02/15, 4.39, 4.39, 4.39, 4.405, 693
12/01/15, 4.413, 4.413, 4.413, 4.413, 0
11/30/15, 4.353, 4.438, 4.353, 4.433, 452
11/27/15, 4.49, 4.49, 4.40, 4.388, 2781
11/26/15, 4.53, 4.60, 4.52, 4.543, 9641
11/25/15, 4.42, 4.455, 4.42, 4.475, 568
11/24/15, 4.48, 4.48, 4.393, 4.48, 36940
11/23/15, 4.333, 4.333, 4.27, 4.333, 2850
11/20/15, 4.44, 4.518, 4.415, 4.425, 6312
11/19/15, 4.23, 4.24, 4.20, 4.225, 4244
11/18/15, 4.37, 4.37, 4.25, 4.255, 10426
11/17/15, 4.395, 4.458, 4.39, 4.39, 3067
11/16/15, 4.455, 4.468, 4.44, 4.415, 583
11/13/15, 4.45, 4.488, 4.45, 4.523, 1242
11/12/15, 4.523, 4.523, 4.48, 4.508, 1435
11/11/15, 4.40, 4.488, 4.35, 4.493, 4895
11/10/15, 4.50, 4.55, 4.44, 4.485, 22807
11/09/15, 4.64, 4.64, 4.603, 4.60, 823
11/06/15, 4.538, 4.65, 4.538, 4.613, 1691
11/05/15, 4.61, 4.61, 4.56, 4.573, 2123
11/04/15, 4.74, 4.74, 4.67, 4.635, 1374
11/03/15, 4.583, 4.613, 4.583, 4.608, 238
