Date, Open, High, Low, Close, Volume
03/31/16, 5.34, 5.34, 5.34, 5.34, 1000
03/30/16, 5.31, 5.31, 5.25, 5.33, 13189
03/29/16, 5.29, 5.29, 5.25, 5.27, 60302
03/24/16, 5.32, 5.32, 5.32, 5.32, 4990
03/23/16, 5.39, 5.52, 5.39, 5.40, 4990
03/22/16, 5.54, 5.54, 5.54, 5.54, 1300
03/21/16, 5.52, 5.52, 5.48, 5.56, 1300
03/18/16, 5.42, 5.47, 5.42, 5.48, 2670
03/17/16, 5.32, 5.32, 5.32, 5.43, 250
03/16/16, 5.18, 5.18, 5.18, 5.21, 1000
03/15/16, 5.16, 5.23, 5.16, 5.18, 24704
03/14/16, 5.28, 5.28, 5.28, 5.28, 2280
03/11/16, 5.37, 5.37, 5.37, 5.37, 2280
03/10/16, 5.26, 5.26, 5.26, 5.26, 2280
03/09/16, 5.38, 5.38, 5.38, 5.36, 2280
03/08/16, 5.32, 5.38, 5.20, 5.26, 8950
03/07/16, 5.48, 5.48, 5.48, 5.39, 24213
03/04/16, 5.51, 5.51, 5.43, 5.48, 10046
03/03/16, 5.45, 5.46, 5.46, 5.45, 29
03/02/16, 5.37, 5.40, 5.34, 5.38, 112550
03/01/16, 5.28, 5.28, 5.28, 5.27, 3826
02/29/16, 5.27, 5.31, 5.27, 5.25, 26608
02/26/16, 5.21, 5.21, 5.21, 5.21, 10730
02/25/16, 5.27, 5.28, 5.19, 5.14, 10730
02/24/16, 5.12, 5.12, 5.12, 5.21, 1350
02/23/16, 5.18, 5.26, 5.16, 5.16, 190315
02/22/16, 5.28, 5.30, 5.23, 5.28, 30977
02/19/16, 5.12, 5.17, 5.07, 5.14, 38612
02/18/16, 5.01, 5.02, 4.99, 5.02, 41500
02/17/16, 4.93, 4.93, 4.93, 4.89, 464007
02/16/16, 5.01, 5.01, 5.01, 4.95, 2175
02/15/16, 4.99, 5.04, 4.99, 5.02, 300
02/12/16, 5.08, 5.13, 5.08, 5.08, 6883
02/11/16, 5.11, 5.11, 5.11, 5.07, 56
02/10/16, 5.01, 5.01, 5.01, 5.01, 25073
02/09/16, 5.08, 5.23, 4.89, 4.91, 25073
02/08/16, 5.13, 5.13, 5.13, 5.13, 14350
02/05/16, 5.08, 5.09, 4.96, 4.97, 14350
02/04/16, 5.10, 5.10, 5.10, 5.10, 25602
02/03/16, 4.97, 5.04, 4.97, 5.04, 25602
02/02/16, 4.91, 4.91, 4.91, 4.95, 50250
02/01/16, 4.77, 4.77, 4.77, 4.85, 2500
01/29/16, 4.82, 4.82, 4.82, 4.82, 1292
01/28/16, 4.72, 4.72, 4.72, 4.70, 1292
01/27/16, 4.75, 4.75, 4.75, 4.78, 50000
01/26/16, 4.71, 4.71, 4.71, 4.71, 80
01/25/16, 4.53, 4.53, 4.53, 4.53, 80
01/22/16, 4.49, 4.49, 4.49, 4.54, 80
01/21/16, 4.36, 4.36, 4.34, 4.46, 5600
01/20/16, 4.39, 4.39, 4.39, 4.39, 56280
01/19/16, 4.52, 4.53, 4.52, 4.49, 56280
01/18/16, 4.40, 4.47, 4.40, 4.45, 555
01/15/16, 4.42, 4.43, 4.42, 4.40, 1392
01/14/16, 4.49, 4.49, 4.49, 4.49, 49519
01/13/16, 4.46, 4.46, 4.41, 4.42, 49519
01/12/16, 4.38, 4.38, 4.38, 4.37, 99
01/11/16, 4.39, 4.39, 4.39, 4.39, 5690
01/08/16, 4.45, 4.47, 4.45, 4.50, 5690
01/07/16, 4.46, 4.46, 4.34, 4.47, 8130
01/06/16, 4.63, 4.65, 4.63, 4.59, 766
01/05/16, 4.75, 4.75, 4.75, 4.67, 616
01/04/16, 4.76, 4.76, 4.76, 4.68, 6800
12/31/15, 4.85, 4.85, 4.85, 4.85, 7771
12/30/15, 4.83, 4.84, 4.81, 4.82, 7771
12/29/15, 4.70, 4.70, 4.70, 4.80, 100
12/24/15, 4.68, 4.68, 4.68, 4.68, 13346
12/23/15, 4.62, 4.62, 4.60, 4.61, 13346
12/22/15, 4.52, 4.52, 4.52, 4.52, 13480
12/21/15, 4.56, 4.56, 4.55, 4.57, 13480
12/18/15, 4.51, 4.51, 4.51, 4.51, 4504
12/17/15, 4.43, 4.43, 4.43, 4.43, 4504
12/16/15, 4.47, 4.49, 4.47, 4.49, 4504
12/15/15, 4.50, 4.50, 4.50, 4.50, 100
12/14/15, 4.62, 4.62, 4.62, 4.62, 100
12/11/15, 4.62, 4.62, 4.62, 4.62, 100
12/10/15, 4.57, 4.57, 4.57, 4.57, 100
12/09/15, 4.58, 4.58, 4.58, 4.60, 100
12/08/15, 4.52, 4.52, 4.48, 4.58, 5500
12/07/15, 4.56, 4.56, 4.56, 4.57, 40
12/04/15, 4.65, 4.65, 4.65, 4.67, 21500
12/03/15, 4.54, 4.54, 4.54, 4.54, 3000
12/02/15, 4.65, 4.65, 4.65, 4.66, 3000
12/01/15, 4.69, 4.69, 4.69, 4.69, 1200
11/30/15, 4.66, 4.66, 4.66, 4.69, 1200
11/27/15, 4.65, 4.65, 4.65, 4.65, 800
11/26/15, 4.86, 4.89, 4.86, 4.82, 800
11/25/15, 4.75, 4.75, 4.75, 4.75, 100
11/24/15, 4.77, 4.77, 4.77, 4.77, 100
11/23/15, 4.70, 4.70, 4.70, 4.60, 100
11/20/15, 4.83, 4.83, 4.68, 4.70, 2534
11/19/15, 4.56, 4.56, 4.56, 4.56, 12288
11/18/15, 4.64, 4.64, 4.54, 4.54, 12288
11/17/15, 4.70, 4.70, 4.70, 4.67, 500
11/16/15, 4.73, 4.73, 4.73, 4.74, 4200
11/13/15, 4.85, 4.85, 4.85, 4.85, 6300
11/12/15, 4.93, 4.93, 4.81, 4.84, 6300
11/11/15, 4.70, 4.82, 4.70, 4.82, 14814
11/10/15, 4.87, 4.87, 4.77, 4.79, 22314
11/09/15, 4.95, 4.95, 4.95, 4.95, 3580
11/06/15, 4.97, 5.01, 4.97, 4.97, 3580
11/05/15, 4.98, 4.98, 4.98, 4.98, 180
11/04/15, 5.11, 5.12, 5.11, 5.04, 4063
11/03/15, 5.08, 5.08, 5.01, 5.05, 451
11/02/15, 5.10, 5.10, 5.10, 5.05, 190080
10/30/15, 5.10, 5.10, 5.07, 5.10, 24814
10/29/15, 5.13, 5.13, 5.13, 5.13, 60
10/28/15, 5.23, 5.23, 5.23, 5.23, 60
10/27/15, 5.27, 5.27, 5.27, 5.23, 60
10/26/15, 5.30, 5.30, 5.29, 5.23, 1005
10/23/15, 5.35, 5.35, 5.31, 5.29, 10863
10/22/15, 5.32, 5.32, 5.32, 5.26, 400
10/21/15, 5.29, 5.29, 5.20, 5.22, 19400
10/20/15, 5.35, 5.35, 5.35, 5.35, 1000
10/19/15, 5.38, 5.38, 5.38, 5.39, 1000
10/16/15, 5.43, 5.43, 5.43, 5.43, 800
10/15/15, 5.51, 5.51, 5.51, 5.49, 800
10/14/15, 5.47, 5.47, 5.47, 5.47, 500
10/13/15, 5.49, 5.49, 5.48, 5.46, 500
10/12/15, 5.66, 5.67, 5.55, 5.54, 44150
10/09/15, 5.37, 5.68, 5.37, 5.58, 197065
10/08/15, 5.06, 5.06, 5.06, 5.06, 300
10/07/15, 5.15, 5.15, 5.15, 5.13, 300
10/06/15, 5.05, 5.05, 5.05, 5.00, 300
10/05/15, 5.03, 5.03, 5.03, 5.03, 23617
10/02/15, 5.08, 5.08, 5.06, 5.06, 23617
10/01/15, 5.17, 5.17, 5.17, 5.13, 39325
09/30/15, 5.09, 5.09, 5.09, 5.09, 1300
09/29/15, 5.01, 5.01, 5.01, 5.01, 1300
09/28/15, 4.92, 4.92, 4.92, 4.91, 1300
09/25/15, 5.01, 5.01, 5.01, 4.95, 400
09/24/15, 5.07, 5.07, 5.07, 5.07, 23006
09/23/15, 5.05, 5.05, 5.05, 5.03, 23006
09/22/15, 4.94, 4.94, 4.94, 4.94, 7274
09/21/15, 5.02, 5.02, 5.02, 5.04, 7274
09/18/15, 5.13, 5.13, 5.13, 5.11, 25
09/17/15, 5.27, 5.27, 5.27, 5.27, 1228
09/16/15, 5.30, 5.30, 5.30, 5.30, 1228
09/15/15, 5.15, 5.15, 5.15, 5.23, 1228
09/14/15, 5.31, 5.31, 5.31, 5.31, 36500
09/11/15, 5.43, 5.43, 5.43, 5.47, 36500
09/10/15, 5.47, 5.47, 5.47, 5.47, 28670
09/09/15, 5.50, 5.56, 5.50, 5.49, 28670
09/08/15, 5.48, 5.48, 5.48, 5.48, 1000
09/07/15, 5.38, 5.38, 5.38, 5.38, 1000
09/04/15, 5.41, 5.41, 5.41, 5.41, 1000
09/03/15, 5.54, 5.54, 5.54, 5.53, 1000
09/02/15, 5.47, 5.47, 5.47, 5.52, 1000
09/01/15, 5.53, 5.54, 5.50, 5.48, 78100
08/28/15, 5.43, 5.43, 5.43, 5.53, 1687
08/27/15, 5.27, 5.27, 5.27, 5.33, 1687
