Date, Open, High, Low, Close, Volume
03/31/16, 19583, 19710, 19485, 19621, 9078
03/30/16, 19561, 19909, 19524, 19826, 9550
03/29/16, 19480, 19480, 18982, 19136, 1497
03/24/16, 19430, 19467, 19110, 19284, 1132
03/23/16, 19767, 19867, 19648, 19762, 1132
03/22/16, 19469, 19661, 19217, 19721, 13849
03/21/16, 19511, 19851, 19511, 19700, 1853
03/18/16, 19800, 20004, 19682, 19701, 8579
03/17/16, 19900, 19900, 19313, 19696, 8078
03/16/16, 19510, 19622, 19321, 19585, 5258
03/15/16, 19317, 19410, 19213, 19370, 6551
03/14/16, 19474, 19680, 19453, 19548, 13362
03/11/16, 19281, 19378, 19199, 19351, 13424
03/10/16, 19404, 19749, 18779, 18779, 106717
03/09/16, 19294, 19515, 19200, 19440, 2972
03/08/16, 19220, 19426, 19157, 19237, 3333
03/07/16, 19522, 19586, 19272, 19579, 4338
03/04/16, 19504, 19729, 19443, 19673, 9388
03/03/16, 19382, 19515, 19272, 19272, 18723
03/02/16, 19588, 19596, 19029, 19334, 10869
03/01/16, 18876, 19360, 18872, 19327, 18329
02/29/16, 18698, 19066, 18617, 18913, 11097
02/26/16, 18826, 19114, 18817, 19041, 10357
02/25/16, 18025, 18587, 18025, 18507, 15364
02/24/16, 18134, 18134, 17484, 17578, 22866
02/23/16, 18320, 18505, 18149, 18177, 11980
02/22/16, 18461, 18802, 18440, 18639, 6159
02/19/16, 18329, 18420, 17945, 18052, 11632
02/18/16, 18515, 18574, 18117, 18269, 10515
02/17/16, 17660, 18447, 17599, 18456, 26355
02/16/16, 17533, 17568, 17232, 17443, 17767
02/15/16, 17153, 17369, 17053, 17248, 11566
02/12/16, 15929, 16526, 15909, 16552, 11998
02/11/16, 16064, 16066, 15417, 15618, 24267
02/10/16, 16307, 16579, 16107, 16351, 14300
02/09/16, 16600, 16720, 15939, 16211, 14626
02/08/16, 17593, 17595, 16341, 16505, 16407
02/05/16, 17868, 17945, 17420, 17428, 7650
02/04/16, 17915, 17990, 17386, 17752, 10069
02/03/16, 17760, 17842, 17073, 17357, 11282
02/02/16, 18442, 18442, 17678, 17840, 17746
02/01/16, 18890, 18985, 18306, 18683, 17135
01/29/16, 18395, 18744, 18240, 18703, 10121
01/28/16, 18415, 18478, 17750, 17911, 10496
01/27/16, 17726, 18169, 17624, 18152, 6240
01/26/16, 17100, 17873, 17047, 17853, 29580
01/25/16, 17851, 17876, 17497, 17612, 4297
01/22/16, 17602, 17914, 17486, 17825, 24854
01/21/16, 16606, 17051, 16370, 16983, 22387
01/20/16, 16976, 16976, 16233, 16446, 31448
01/19/16, 17657, 17852, 17549, 17624, 7609
01/18/16, 17250, 17540, 17058, 17098, 12811
01/15/16, 17965, 18021, 17060, 17172, 24812
01/14/16, 17750, 18111, 17416, 18023, 13489
01/13/16, 18300, 18481, 18100, 18140, 7660
01/12/16, 17678, 18330, 17626, 18000, 12886
01/11/16, 17786, 18064, 17710, 17750, 27099
01/08/16, 18314, 18508, 17968, 17960, 12920
01/07/16, 18122, 18280, 17774, 18126, 20523
01/06/16, 19200, 19200, 18577, 18853, 19483
01/05/16, 19357, 19493, 18961, 19193, 13800
01/04/16, 19400, 19495, 18855, 18890, 26765
12/31/15, 20113, 20121, 19940, 19860, 2588
12/30/15, 20185, 20323, 20118, 20237, 3700
12/29/15, 20215, 20450, 20109, 20450, 4605
12/24/15, 20100, 20110, 19976, 20108, 17913
12/23/15, 19410, 20004, 19373, 19992, 17913
12/22/15, 19030, 19030, 18678, 18957, 13543
12/21/15, 18906, 19163, 18660, 18660, 6868
12/18/15, 18933, 19140, 18838, 18832, 7346
12/17/15, 19418, 19500, 19115, 19223, 20490
12/16/15, 18785, 19039, 18662, 18857, 21113
12/15/15, 18095, 18688, 18018, 18632, 22131
12/14/15, 18525, 18569, 17728, 17758, 29195
12/11/15, 19000, 19015, 18210, 18325, 44117
12/10/15, 19113, 19308, 19031, 19111, 14395
12/09/15, 19384, 19615, 19174, 19365, 25973
12/08/15, 19840, 19857, 19278, 19409, 21599
12/07/15, 20168, 20343, 19879, 19879, 17521
12/04/15, 20144, 20245, 19910, 19983, 34678
12/03/15, 21190, 21450, 20267, 20267, 54489
12/02/15, 21230, 21397, 21127, 21261, 33541
12/01/15, 21006, 21083, 20911, 21091, 3883
11/30/15, 20750, 21010, 20645, 20799, 3664
11/27/15, 20739, 20992, 20739, 20941, 4102
11/26/15, 20795, 21066, 20779, 21078, 18462
11/25/15, 20531, 20735, 20371, 20661, 11187
11/24/15, 20227, 20298, 19932, 20304, 23068
11/23/15, 20229, 20605, 20222, 20464, 8061
11/20/15, 20678, 20826, 20575, 20646, 5968
11/19/15, 20599, 20873, 20547, 20690, 14660
11/18/15, 20035, 20284, 20035, 20309, 7682
11/17/15, 19881, 20178, 19830, 20158, 21489
11/16/15, 19125, 19521, 19125, 19377, 15084
11/13/15, 19526, 19526, 19081, 19239, 13639
11/12/15, 20220, 20388, 19704, 19716, 21775
11/11/15, 20520, 20528, 20200, 20346, 7837
11/10/15, 20273, 20462, 20111, 20175, 3330
11/09/15, 20819, 20858, 20305, 20312, 13053
11/06/15, 20852, 20901, 20742, 20724, 3602
11/05/15, 21020, 21129, 20774, 20791, 5758
11/04/15, 21089, 21380, 21047, 21066, 7281
11/03/15, 20717, 20827, 20646, 20826, 17403
11/02/15, 20464, 20757, 20461, 20744, 16850
10/30/15, 21005, 21075, 20597, 20624, 5039
10/29/15, 20911, 21049, 20727, 20943, 8228
10/28/15, 20890, 21300, 20868, 21289, 5230
10/27/15, 21014, 21014, 20794, 20794, 13421
10/26/15, 21103, 21312, 21040, 21130, 6063
10/23/15, 21050, 21559, 21050, 21283, 17460
10/22/15, 20623, 20889, 20529, 20887, 11887
10/21/15, 20539, 20872, 20433, 20598, 7244
10/20/15, 20647, 20718, 20439, 20661, 21596
10/19/15, 20883, 20891, 20541, 20619, 7952
10/16/15, 20766, 20955, 20684, 20826, 7101
10/15/15, 20455, 20645, 20356, 20595, 6722
10/14/15, 20220, 20406, 20117, 20185, 7212
10/13/15, 20519, 20670, 20359, 20586, 7075
10/12/15, 20964, 20964, 20719, 20808, 877
10/09/15, 21073, 21337, 20964, 21138, 12293
10/08/15, 20461, 20814, 20394, 20810, 10228
10/07/15, 20697, 20942, 20448, 20494, 6086
10/06/15, 20255, 20584, 20051, 20550, 6673
10/05/15, 19891, 20334, 19780, 20255, 14255
10/02/15, 19207, 19517, 18825, 19258, 17796
10/01/15, 19283, 19453, 18794, 18939, 10374
09/30/15, 18537, 18781, 18469, 18751, 13155
09/29/15, 17865, 18176, 17733, 17983, 14433
09/28/15, 18986, 19045, 18282, 18319, 19424
09/25/15, 18824, 19236, 18815, 19245, 12309
09/24/15, 18549, 18856, 18162, 18206, 9371
09/23/15, 18185, 18915, 18100, 18734, 15360
09/22/15, 19160, 19160, 18162, 18145, 24634
09/21/15, 19201, 19542, 19201, 19203, 18758
09/18/15, 19570, 19640, 18967, 19109, 18059
09/17/15, 19970, 19996, 19694, 19802, 2796
09/16/15, 19709, 20048, 19631, 20076, 12613
09/15/15, 18782, 19489, 18666, 19490, 3245
09/14/15, 19404, 19685, 18971, 19162, 16334
09/11/15, 19486, 19542, 19257, 19339, 13841
09/10/15, 19689, 19886, 19368, 19547, 19294
09/09/15, 20075, 20315, 19920, 19900, 16261
09/08/15, 19188, 19673, 19188, 19485, 10329
09/07/15, 19143, 19315, 18940, 19019, 6050
09/04/15, 19311, 19382, 18793, 18867, 23549
09/03/15, 19500, 19908, 19458, 19798, 18318
09/02/15, 19130, 19542, 18667, 19218, 32105
09/01/15, 19953, 19953, 18716, 18861, 27888
08/28/15, 19911, 20007, 19530, 20007, 34579
08/27/15, 19214, 19898, 19109, 19857, 34579
08/26/15, 18558, 19183, 18321, 18584, 16766
08/25/15, 18519, 19322, 18413, 19163, 74130
08/24/15, 18810, 19183, 17234, 17988, 70415
08/21/15, 20638, 20883, 19958, 19948, 17528
08/20/15, 21120, 21305, 20994, 21041, 6592
08/19/15, 21845, 21943, 21266, 21272, 11746
08/18/15, 22280, 22343, 21988, 22134, 6241
08/17/15, 22161, 22493, 21960, 22287, 8267
08/14/15, 22543, 22570, 22236, 22322, 3290
08/13/15, 22710, 22826, 22333, 22365, 6778
08/12/15, 22321, 22424, 21922, 22187, 14771
08/11/15, 23046, 23080, 22847, 22811, 1650
08/10/15, 23140, 23288, 22712, 23254, 6443
08/07/15, 23323, 23390, 23173, 23225, 1612
08/06/15, 23307, 23461, 23276, 23363, 6566
08/05/15, 23052, 23400, 22936, 23368, 2236
08/04/15, 22716, 23098, 22660, 22891, 17564
08/03/15, 22885, 23059, 22787, 22895, 7104
07/31/15, 22807, 23025, 22662, 23044, 7446
07/30/15, 22728, 22988, 22594, 22859, 6161
07/29/15, 22310, 22564, 22175, 22508, 9171
07/28/15, 21904, 22109, 21838, 22040, 15607
07/27/15, 22157, 22225, 21647, 21754, 30214
07/24/15, 22680, 22901, 22174, 22178, 8129
07/23/15, 22932, 23080, 22661, 22676, 12639
07/22/15, 23118, 23181, 22685, 22799, 29082
07/21/15, 23682, 23699, 23425, 23470, 3341
07/20/15, 23533, 23785, 23533, 23683, 12510
07/17/15, 23531, 23656, 23473, 23556, 3094
07/16/15, 23562, 23735, 23403, 23652, 11649
07/15/15, 23351, 23561, 23258, 23427, 9251
07/14/15, 23114, 23392, 23110, 23385, 4485
07/13/15, 23350, 23350, 23109, 23252, 5339
07/10/15, 22730, 22971, 22630, 22881, 13757
07/09/15, 21761, 22334, 21707, 22223, 14326
07/08/15, 21351, 21772, 21300, 21618, 21414
07/07/15, 21995, 21996, 21272, 21298, 13344
07/06/15, 21898, 22208, 21796, 21943, 9732
07/03/15, 22498, 22506, 22212, 22318, 6670
07/02/15, 22495, 22713, 22398, 22578, 4880
07/01/15, 22250, 22613, 22090, 22380, 18003
06/30/15, 22343, 22382, 21998, 22021, 19183
06/29/15, 22404, 22952, 22350, 22597, 15368
06/26/15, 23650, 23742, 23316, 23498, 5900
06/25/15, 23998, 24292, 23833, 23887, 9253
06/24/15, 24130, 24271, 24030, 24123, 9730
06/23/15, 24035, 24170, 23969, 24099, 2649
06/22/15, 23650, 23964, 23564, 23954, 9685
06/19/15, 23180, 23508, 23068, 23163, 3261
06/18/15, 22880, 23150, 22614, 23139, 21879
06/17/15, 23273, 23275, 22901, 22991, 7475
06/16/15, 22917, 23254, 22820, 23164, 18391
06/15/15, 23490, 23490, 23175, 23188, 7497
06/12/15, 23900, 24000, 23557, 23717, 14315
06/11/15, 23960, 24273, 23894, 24149, 10973
06/10/15, 23325, 24009, 23323, 23923, 11748
06/09/15, 23652, 23687, 23330, 23417, 28495
06/08/15, 23775, 23909, 23650, 23676, 9407
06/05/15, 24110, 24110, 23680, 23915, 33530
06/04/15, 24535, 24575, 24045, 24207, 41928
06/03/15, 24597, 24997, 24440, 24851, 8130
06/02/15, 24705, 24856, 24253, 24624, 15626
06/01/15, 25350, 25414, 24750, 24760, 16590
05/29/15, 25517, 25651, 24911, 24925, 5054
05/28/15, 25293, 25430, 25262, 25449, 1087
05/27/15, 24993, 25531, 24937, 25405, 14353
05/26/15, 25426, 25584, 24661, 24820, 27759
05/22/15, 25456, 25604, 25360, 25444, 16151
05/21/15, 25322, 25356, 25188, 25297, 16151
05/20/15, 25044, 25251, 24872, 25192, 12111
05/19/15, 25041, 25202, 24980, 25090, 7120
05/18/15, 25105, 25260, 24685, 24966, 14868
05/15/15, 25140, 25202, 24728, 24912, 10776
05/14/15, 24623, 24988, 24350, 25001, 17590
05/13/15, 24749, 24983, 24499, 24647, 7151
05/12/15, 24975, 24993, 24276, 24590, 55228
05/11/15, 25294, 25610, 25292, 25256, 8799
05/08/15, 25272, 25413, 24977, 25408, 16626
05/07/15, 24441, 24537, 23740, 24404, 25403
05/06/15, 24771, 24800, 24446, 24612, 7943
05/05/15, 25244, 25444, 24616, 24646, 29405
05/01/15, 24595, 25001, 24467, 24924, 17549
04/30/15, 24650, 24818, 24402, 24818, 17549
04/29/15, 25450, 25454, 24657, 24686, 10867
04/28/15, 25512, 25640, 24935, 25246, 19634
04/27/15, 25259, 25901, 25247, 25684, 15395
04/24/15, 25570, 25776, 25563, 25556, 1383
04/23/15, 25361, 25436, 25051, 25400, 11300
04/22/15, 25621, 25632, 24982, 25226, 11525
04/21/15, 25477, 25600, 25283, 25434, 5930
04/20/15, 25372, 25414, 25182, 25382, 3637
04/17/15, 24955, 25540, 24860, 24989, 4907
04/16/15, 25476, 25792, 25471, 25498, 987
04/15/15, 25493, 25749, 25493, 25722, 3937
04/14/15, 25560, 25561, 25375, 25514, 918
04/13/15, 25510, 25566, 25334, 25450, 7225
04/10/15, 25157, 25656, 25153, 25666, 5751
04/09/15, 24863, 25068, 24708, 25075, 8762
04/08/15, 24930, 25073, 24497, 24517, 6274
04/07/15, 24195, 24715, 24134, 24630, 17705
04/02/15, 23673, 23815, 23665, 23703, 8014
04/01/15, 23335, 23938, 23314, 23619, 8014
03/31/15, 24140, 24281, 23313, 23434, 17776
03/30/15, 24195, 24362, 24045, 24237, 5172
03/27/15, 24290, 24301, 23842, 23938, 8722
03/26/15, 24748, 24761, 24122, 24219, 14247
03/25/15, 25171, 25178, 24908, 25002, 3034
03/24/15, 25261, 25453, 25002, 25217, 10088
03/23/15, 25065, 25221, 24961, 25191, 2949
