Date, Open, High, Low, Close, Volume
03/31/16, 152.45, 153.17, 152.40, 153.10, 2218
03/30/16, 154.54, 155.00, 154.32, 154.65, 3177
03/29/16, 154.24, 154.30, 153.46, 153.79, 34046
03/24/16, 154.58, 155.08, 154.16, 154.68, 2477
03/23/16, 156.10, 156.34, 154.00, 154.34, 11168
03/22/16, 156.28, 156.74, 156.00, 156.14, 3413
03/21/16, 157.24, 157.58, 157.00, 157.09, 7817
03/18/16, 156.68, 157.52, 156.55, 157.20, 4464
03/17/16, 158.92, 159.15, 157.03, 159.05, 4566
03/16/16, 157.16, 157.68, 156.68, 157.50, 5140
03/15/16, 156.60, 157.00, 155.77, 156.42, 19219
03/14/16, 157.95, 157.95, 157.14, 157.54, 7014
03/11/16, 162.14, 163.40, 161.34, 161.60, 10585
03/10/16, 159.46, 161.00, 159.01, 159.25, 5393
03/09/16, 162.00, 162.00, 160.68, 161.00, 11159
03/08/16, 161.60, 163.12, 161.01, 161.97, 13167
03/07/16, 161.72, 162.75, 161.49, 161.78, 6572
03/04/16, 162.00, 163.64, 162.00, 163.42, 21621
03/03/16, 162.06, 162.29, 161.10, 161.55, 8992
03/02/16, 163.46, 163.62, 161.32, 161.54, 20340
03/01/16, 164.88, 166.98, 164.88, 166.18, 10192
02/29/16, 162.51, 164.49, 162.51, 164.49, 7091
02/26/16, 162.30, 162.93, 162.10, 162.51, 6263
02/25/16, 163.00, 164.34, 161.55, 163.51, 8355
02/24/16, 162.38, 163.43, 161.87, 162.72, 7504
02/23/16, 159.30, 161.30, 158.75, 160.53, 6271
02/22/16, 161.01, 163.50, 160.11, 160.11, 4477
02/19/16, 162.20, 164.84, 162.20, 164.47, 8467
02/18/16, 160.51, 161.35, 160.00, 161.01, 4347
02/17/16, 160.76, 163.00, 158.00, 163.00, 9748
02/16/16, 161.26, 161.26, 158.27, 159.00, 15884
02/15/16, 164.57, 165.44, 161.72, 162.97, 8731
02/12/16, 165.00, 167.04, 164.72, 165.00, 18707
02/11/16, 160.00, 163.00, 160.00, 163.00, 12764
02/10/16, 160.18, 161.42, 160.00, 160.96, 10008
02/09/16, 160.02, 161.97, 160.00, 161.58, 16811
02/08/16, 153.60, 157.00, 153.60, 156.70, 9760
02/05/16, 152.50, 153.39, 152.50, 152.50, 2828
02/04/16, 151.80, 151.84, 151.20, 151.28, 3184
02/03/16, 152.50, 153.48, 152.48, 153.48, 6605
02/02/16, 151.00, 151.78, 150.72, 151.50, 3590
02/01/16, 150.04, 151.38, 150.04, 151.33, 7674
01/29/16, 150.24, 152.95, 149.11, 152.95, 4080
01/28/16, 152.58, 152.95, 151.38, 151.38, 2334
01/27/16, 152.30, 152.99, 151.52, 152.99, 9367
01/25/16, 149.30, 150.00, 149.02, 149.40, 2475
01/22/16, 150.04, 150.04, 149.14, 149.58, 3778
01/21/16, 151.50, 152.00, 150.44, 152.00, 4554
01/20/16, 150.16, 151.74, 149.52, 151.57, 3974
01/19/16, 151.02, 151.65, 148.50, 148.50, 3805
01/18/16, 148.14, 151.62, 148.14, 151.30, 6549
01/15/16, 147.00, 148.64, 146.53, 148.14, 5282
01/14/16, 149.48, 150.66, 149.48, 150.66, 3292
01/13/16, 148.48, 148.77, 146.64, 146.64, 3264
01/12/16, 150.78, 150.78, 146.00, 146.00, 6388
01/11/16, 152.10, 152.10, 149.10, 150.60, 6392
01/08/16, 150.00, 151.36, 148.32, 148.88, 36260
01/07/16, 147.32, 149.29, 146.81, 148.50, 6454
