Date, Open, High, Low, Close
03/31/16, 6203.17, 6203.39, 6149.82, 6174.90
03/30/16, 6105.90, 6221.80, 6105.90, 6203.17
03/29/16, 6106.48, 6156.67, 6070.77, 6105.90
03/24/16, 6199.11, 6199.11, 6090.03, 6106.48
03/23/16, 6192.74, 6216.76, 6171.13, 6199.11
03/22/16, 6184.58, 6193.47, 6110.39, 6192.74
03/21/16, 6189.64, 6215.30, 6154.12, 6184.58
03/18/16, 6201.12, 6237.02, 6186.24, 6189.64
03/17/16, 6175.49, 6220.02, 6125.70, 6201.12
03/16/16, 6139.97, 6186.18, 6134.27, 6175.49
03/15/16, 6174.57, 6174.57, 6114.77, 6139.97
03/14/16, 6139.79, 6197.83, 6139.79, 6174.57
03/11/16, 6036.70, 6150.88, 6036.70, 6139.79
03/10/16, 6146.32, 6203.40, 6036.70, 6036.70
03/09/16, 6125.44, 6174.82, 6118.23, 6146.32
03/08/16, 6182.40, 6182.45, 6101.89, 6125.44
03/07/16, 6199.43, 6216.10, 6125.64, 6182.40
03/04/16, 6130.46, 6204.14, 6130.46, 6199.43
03/03/16, 6147.06, 6173.70, 6108.35, 6130.46
03/02/16, 6152.88, 6194.01, 6097.77, 6147.06
03/01/16, 6097.09, 6153.75, 6070.51, 6152.88
02/29/16, 6096.01, 6104.98, 6033.21, 6097.09
02/26/16, 6012.81, 6115.37, 6012.81, 6096.01
02/25/16, 5867.18, 6028.97, 5867.18, 6012.81
02/24/16, 5962.31, 5966.73, 5845.55, 5867.18
02/23/16, 6037.73, 6037.73, 5954.18, 5962.31
02/22/16, 5950.23, 6065.81, 5950.23, 6037.73
02/19/16, 5971.95, 6001.22, 5916.26, 5950.23
02/18/16, 6030.32, 6036.46, 5948.25, 5971.95
02/17/16, 5862.17, 6030.32, 5862.17, 6030.32
02/16/16, 5824.28, 5880.72, 5812.49, 5862.17
02/15/16, 5707.60, 5844.53, 5707.60, 5824.28
02/12/16, 5536.97, 5707.60, 5536.97, 5707.60
02/11/16, 5672.30, 5672.30, 5499.51, 5536.97
02/10/16, 5632.19, 5712.78, 5616.88, 5672.30
02/09/16, 5689.36, 5739.25, 5596.26, 5632.19
02/08/16, 5848.06, 5882.43, 5666.13, 5689.36
02/05/16, 5898.76, 5945.90, 5839.36, 5848.06
02/04/16, 5837.14, 5938.12, 5831.12, 5898.76
02/03/16, 5922.01, 5924.58, 5791.04, 5837.14
02/02/16, 6060.10, 6060.45, 5889.60, 5922.01
02/01/16, 6083.79, 6115.11, 5993.84, 6060.10
01/29/16, 5931.78, 6083.79, 5931.78, 6083.79
01/28/16, 5990.37, 6020.54, 5889.37, 5931.78
01/27/16, 5911.46, 5990.37, 5870.75, 5990.37
01/26/16, 5877.00, 5919.17, 5771.37, 5911.46
01/25/16, 5900.01, 5933.47, 5851.83, 5877.00
01/22/16, 5773.79, 5926.94, 5773.79, 5900.01
01/21/16, 5673.58, 5781.24, 5659.15, 5773.79
01/20/16, 5876.80, 5876.80, 5639.88, 5673.58
01/19/16, 5779.92, 5915.69, 5779.92, 5876.80
01/18/16, 5804.10, 5852.09, 5766.50, 5779.92
01/15/16, 5918.23, 5934.62, 5769.23, 5804.10
01/14/16, 5960.97, 5960.97, 5829.26, 5918.23
01/13/16, 5929.24, 6011.13, 5929.24, 5960.97
01/12/16, 5871.83, 5985.80, 5866.67, 5929.24
01/11/16, 5912.44, 5941.93, 5871.83, 5871.83
01/08/16, 5954.08, 6013.38, 5912.44, 5912.44
01/07/16, 6073.38, 6073.38, 5887.97, 5954.08
01/06/16, 6137.24, 6137.24, 6018.65, 6073.38
01/05/16, 6093.43, 6166.26, 6079.23, 6137.24
01/04/16, 6242.32, 6242.32, 6071.01, 6093.43
12/31/15, 6274.05, 6278.31, 6233.03, 6242.32
12/30/15, 6314.57, 6314.57, 6261.48, 6274.05
12/29/15, 6254.64, 6314.57, 6245.24, 6314.57
12/24/15, 6240.98, 6259.86, 6236.85, 6254.64
12/23/15, 6083.10, 6248.50, 6083.10, 6240.98
12/22/15, 6034.84, 6090.58, 6031.82, 6083.10
12/21/15, 6052.42, 6113.96, 6034.84, 6034.84
12/18/15, 6102.54, 6105.57, 6051.74, 6052.42
12/17/15, 6061.19, 6160.78, 6061.19, 6102.54
12/16/15, 6017.79, 6089.31, 6016.25, 6061.19
12/15/15, 5874.06, 6036.68, 5874.06, 6017.79
12/14/15, 5952.78, 6009.92, 5871.88, 5874.06
12/11/15, 6088.05, 6088.05, 5949.84, 5952.78
12/10/15, 6126.68, 6127.09, 6079.96, 6088.05
12/09/15, 6135.22, 6175.75, 6101.22, 6126.68
12/08/15, 6223.52, 6224.86, 6120.68, 6135.22
12/07/15, 6238.29, 6287.23, 6215.17, 6223.52
12/04/15, 6275.00, 6277.59, 6219.50, 6238.29
12/03/15, 6420.93, 6444.72, 6275.00, 6275.00
12/02/15, 6395.65, 6447.34, 6395.20, 6420.93
12/01/15, 6356.09, 6402.36, 6356.09, 6395.65
11/30/15, 6375.15, 6387.11, 6329.92, 6356.09
11/27/15, 6393.13, 6393.13, 6345.30, 6375.15
11/26/15, 6337.64, 6395.33, 6333.92, 6393.13
11/25/15, 6277.23, 6348.05, 6277.23, 6337.64
11/24/15, 6305.49, 6305.49, 6221.33, 6277.23
11/23/15, 6334.63, 6334.63, 6267.05, 6305.49
11/20/15, 6329.93, 6360.73, 6311.76, 6334.63
11/19/15, 6278.97, 6366.85, 6278.97, 6329.93
11/18/15, 6268.76, 6283.90, 6228.15, 6278.97
11/17/15, 6146.38, 6269.44, 6146.38, 6268.76
11/16/15, 6118.28, 6161.90, 6079.79, 6146.38
11/13/15, 6178.68, 6178.95, 6088.76, 6118.28
11/12/15, 6297.20, 6300.90, 6178.68, 6178.68
11/11/15, 6275.28, 6327.16, 6272.69, 6297.20
11/10/15, 6295.16, 6329.69, 6250.31, 6275.28
11/09/15, 6353.83, 6380.42, 6292.05, 6295.16
11/06/15, 6364.90, 6395.19, 6332.73, 6353.83
11/05/15, 6412.88, 6421.81, 6358.12, 6364.90
11/04/15, 6383.61, 6459.46, 6383.04, 6412.88
11/03/15, 6361.80, 6383.61, 6344.70, 6383.61
11/02/15, 6361.09, 6364.42, 6317.29, 6361.80
10/30/15, 6395.80, 6410.28, 6337.65, 6361.09
10/29/15, 6437.80, 6437.85, 6358.16, 6395.80
10/28/15, 6365.27, 6448.46, 6355.78, 6437.80
10/27/15, 6417.02, 6419.62, 6365.27, 6365.27
10/26/15, 6444.08, 6453.00, 6405.38, 6417.02
10/23/15, 6376.28, 6487.89, 6376.28, 6444.08
10/22/15, 6348.42, 6387.28, 6321.65, 6376.28
10/21/15, 6345.13, 6387.29, 6316.30, 6348.42
10/20/15, 6352.33, 6367.75, 6319.25, 6345.13
10/19/15, 6378.04, 6408.09, 6336.27, 6352.33
10/16/15, 6338.67, 6398.23, 6338.67, 6378.04
10/15/15, 6269.61, 6351.43, 6269.61, 6338.67
10/14/15, 6342.28, 6342.28, 6268.29, 6269.61
10/13/15, 6371.18, 6371.18, 6303.02, 6342.28
10/12/15, 6416.16, 6416.16, 6351.34, 6371.18
10/09/15, 6374.82, 6453.22, 6374.82, 6416.16
10/08/15, 6336.35, 6380.30, 6303.46, 6374.82
10/07/15, 6326.16, 6396.34, 6319.77, 6336.35
10/06/15, 6298.92, 6343.71, 6255.10, 6326.16
10/05/15, 6129.98, 6301.05, 6129.98, 6298.92
10/02/15, 6072.47, 6176.20, 6051.62, 6129.98
10/01/15, 6061.61, 6172.78, 6053.26, 6072.47
09/30/15, 5909.24, 6061.61, 5909.24, 6061.61
09/29/15, 5958.86, 5958.86, 5877.08, 5909.24
09/28/15, 6109.01, 6110.31, 5958.86, 5958.86
09/25/15, 5961.49, 6120.67, 5961.49, 6109.01
09/24/15, 6032.24, 6055.64, 5947.19, 5961.49
09/23/15, 5935.84, 6067.56, 5933.23, 6032.24
09/22/15, 6108.71, 6111.57, 5935.84, 5935.84
09/21/15, 6104.11, 6168.74, 6083.64, 6108.71
09/18/15, 6186.99, 6188.74, 6053.87, 6104.11
09/17/15, 6229.21, 6239.86, 6182.63, 6186.99
09/16/15, 6137.60, 6244.94, 6137.60, 6229.21
09/15/15, 6084.59, 6158.08, 6019.92, 6137.60
09/14/15, 6117.76, 6191.82, 6065.43, 6084.59
09/11/15, 6155.81, 6174.28, 6113.10, 6117.76
09/10/15, 6229.01, 6229.01, 6127.52, 6155.81
09/09/15, 6146.10, 6284.17, 6146.10, 6229.01
09/08/15, 6074.52, 6196.47, 6074.52, 6146.10
09/07/15, 6042.92, 6125.67, 6042.92, 6074.52
09/04/15, 6194.10, 6194.10, 6040.49, 6042.92
09/03/15, 6083.31, 6215.74, 6083.31, 6194.10
09/02/15, 6058.54, 6161.68, 6021.36, 6083.31
09/01/15, 6247.94, 6247.94, 6028.71, 6058.54
08/28/15, 6192.03, 6247.94, 6152.01, 6247.94
08/27/15, 5979.20, 6212.48, 5979.20, 6192.03
08/26/15, 6081.34, 6095.05, 5949.94, 5979.20
08/25/15, 5898.87, 6115.74, 5898.87, 6081.34
08/24/15, 6187.65, 6187.65, 5768.22, 5898.87
08/21/15, 6367.89, 6367.89, 6187.65, 6187.65
08/20/15, 6403.45, 6408.61, 6359.71, 6367.89
08/19/15, 6526.29, 6526.52, 6403.45, 6403.45
08/18/15, 6550.30, 6564.55, 6505.69, 6526.29
08/17/15, 6550.74, 6585.88, 6507.76, 6550.30
08/14/15, 6568.33, 6603.17, 6544.42, 6550.74
08/13/15, 6571.19, 6634.71, 6553.45, 6568.33
08/12/15, 6664.54, 6664.54, 6536.41, 6571.19
08/11/15, 6736.22, 6736.22, 6663.98, 6664.54
08/10/15, 6718.49, 6751.49, 6653.65, 6736.22
08/07/15, 6747.09, 6754.77, 6718.49, 6718.49
08/06/15, 6752.41, 6763.34, 6717.49, 6747.09
08/05/15, 6686.57, 6764.82, 6686.57, 6752.41
08/04/15, 6688.62, 6715.51, 6644.65, 6686.57
08/03/15, 6696.28, 6710.79, 6668.18, 6688.62
07/31/15, 6668.87, 6705.42, 6646.26, 6696.28
07/30/15, 6631.00, 6697.40, 6631.00, 6668.87
07/29/15, 6555.28, 6634.04, 6555.28, 6631.00
07/28/15, 6505.13, 6569.45, 6505.13, 6555.28
07/27/15, 6579.81, 6589.48, 6495.67, 6505.13
07/24/15, 6655.01, 6684.81, 6573.96, 6579.81
07/23/15, 6667.34, 6711.49, 6644.85, 6655.01
07/22/15, 6769.07, 6769.07, 6653.39, 6667.34
07/21/15, 6788.69, 6800.13, 6758.75, 6769.07
07/20/15, 6775.08, 6813.41, 6772.09, 6788.69
07/17/15, 6796.45, 6799.78, 6764.80, 6775.08
07/16/15, 6753.75, 6805.14, 6752.09, 6796.45
07/15/15, 6753.75, 6775.91, 6728.49, 6753.75
07/14/15, 6737.95, 6753.75, 6710.62, 6753.75
07/13/15, 6673.38, 6743.05, 6673.38, 6737.95
07/10/15, 6581.63, 6687.57, 6581.63, 6673.38
07/09/15, 6490.70, 6594.18, 6490.70, 6581.63
07/08/15, 6432.21, 6515.06, 6430.36, 6490.70
07/07/15, 6535.68, 6543.80, 6432.21, 6432.21
07/06/15, 6585.78, 6585.78, 6506.71, 6535.68
07/03/15, 6630.47, 6630.75, 6572.46, 6585.78
07/02/15, 6608.59, 6647.70, 6600.37, 6630.47
07/01/15, 6520.98, 6637.34, 6520.98, 6608.59
06/30/15, 6620.48, 6620.75, 6520.98, 6520.98
06/29/15, 6753.70, 6753.70, 6598.64, 6620.48
06/26/15, 6807.82, 6807.82, 6731.13, 6753.70
06/25/15, 6844.80, 6869.04, 6798.80, 6807.82
06/24/15, 6834.87, 6873.43, 6834.32, 6844.80
06/23/15, 6825.67, 6856.49, 6825.67, 6834.87
06/22/15, 6710.45, 6825.67, 6710.45, 6825.67
06/19/15, 6707.88, 6759.29, 6691.82, 6710.45
06/18/15, 6680.55, 6707.88, 6625.16, 6707.88
06/17/15, 6710.10, 6731.54, 6665.95, 6680.55
06/16/15, 6710.52, 6723.49, 6656.90, 6710.10
06/15/15, 6784.92, 6784.92, 6708.50, 6710.52
06/12/15, 6846.74, 6846.74, 6760.06, 6784.92
06/11/15, 6830.27, 6870.19, 6807.29, 6846.74
06/10/15, 6753.80, 6843.57, 6734.15, 6830.27
06/09/15, 6790.04, 6803.75, 6736.88, 6753.80
06/08/15, 6804.60, 6827.16, 6781.66, 6790.04
06/05/15, 6859.24, 6859.24, 6785.15, 6804.60
06/04/15, 6950.46, 6950.46, 6838.95, 6859.24
06/03/15, 6928.27, 6985.69, 6901.79, 6950.46
06/02/15, 6953.58, 6972.25, 6872.12, 6928.27
06/01/15, 6984.43, 7037.58, 6942.66, 6953.58
05/29/15, 7040.92, 7069.93, 6967.92, 6984.43
05/28/15, 7033.33, 7049.62, 7005.88, 7040.92
05/27/15, 6948.99, 7054.14, 6948.62, 7033.33
05/26/15, 7031.72, 7039.55, 6930.28, 6948.99
05/22/15, 7013.47, 7061.66, 7013.47, 7031.72
05/21/15, 7007.26, 7026.01, 6994.26, 7013.47
05/20/15, 6995.10, 7018.70, 6962.06, 7007.26
05/19/15, 6968.87, 7011.35, 6968.87, 6995.10
05/18/15, 6960.49, 7015.49, 6931.64, 6968.87
05/15/15, 6973.04, 7009.41, 6937.12, 6960.49
05/14/15, 6949.63, 6977.93, 6884.63, 6973.04
05/13/15, 6933.80, 6989.91, 6920.65, 6949.63
05/12/15, 7029.85, 7029.85, 6887.52, 6933.80
05/11/15, 7046.82, 7083.72, 7025.17, 7029.85
05/08/15, 6886.95, 7046.82, 6885.79, 7046.82
05/07/15, 6933.74, 6933.74, 6810.05, 6886.95
05/06/15, 6927.58, 6974.82, 6913.46, 6933.74
05/05/15, 6985.95, 7053.18, 6927.58, 6927.58
05/01/15, 6960.63, 6995.41, 6919.39, 6985.95
04/30/15, 6946.28, 6970.34, 6906.24, 6960.63
04/29/15, 7030.53, 7058.19, 6945.56, 6946.28
04/28/15, 7103.98, 7103.99, 6983.97, 7030.53
04/27/15, 7070.70, 7122.74, 7025.27, 7103.98
04/24/15, 7053.67, 7102.59, 7051.17, 7070.70
04/23/15, 7028.24, 7055.15, 6995.79, 7053.67
04/22/15, 7062.93, 7092.34, 6997.15, 7028.24
04/21/15, 7052.13, 7105.13, 7030.00, 7062.93
04/20/15, 6994.63, 7067.84, 6994.63, 7052.13
04/17/15, 7060.45, 7093.52, 6979.32, 6994.63
04/16/15, 7096.78, 7119.35, 7057.74, 7060.45
04/15/15, 7075.26, 7111.72, 7058.34, 7096.78
04/14/15, 7064.30, 7086.06, 7044.60, 7075.26
04/13/15, 7089.77, 7089.84, 7046.68, 7064.30
04/10/15, 7015.36, 7095.36, 7015.36, 7089.77
04/09/15, 6937.41, 7016.99, 6937.41, 7015.36
04/08/15, 6961.77, 7012.06, 6931.59, 6937.41
04/07/15, 6833.46, 6967.69, 6833.46, 6961.77
04/02/15, 6809.50, 6849.91, 6801.27, 6833.46
