Date, Open, High, Low, Close, Volume
03/31/16, 9.19, 9.24, 8.99, 9.08, 24929375
03/30/16, 9.07, 9.20, 8.88, 9.20, 24406303
03/29/16, 9.19, 9.19, 8.86, 8.91, 18949449
03/28/16, 9.09, 9.25, 9.05, 9.17, 26148386
03/25/16, 9.05, 9.16, 8.81, 9.05, 26355536
03/24/16, 9.00, 9.47, 8.95, 9.11, 51921202
03/23/16, 8.73, 9.58, 8.70, 9.43, 71266027
03/22/16, 8.83, 8.87, 8.67, 8.71, 23227354
03/21/16, 8.72, 8.97, 8.59, 8.90, 26304008
03/18/16, 8.33, 8.77, 8.31, 8.62, 25840260
03/17/16, 8.12, 8.35, 8.07, 8.28, 14172672
03/16/16, 8.25, 8.32, 7.98, 8.03, 9532926
03/15/16, 8.20, 8.32, 8.07, 8.17, 9348793
03/14/16, 8.26, 8.44, 8.11, 8.28, 13893526
03/11/16, 8.00, 8.18, 7.90, 8.06, 10929492
03/10/16, 8.59, 8.60, 7.99, 8.08, 16858905
03/09/16, 8.53, 8.67, 8.30, 8.44, 28548621
03/08/16, 8.89, 9.10, 8.43, 9.00, 40846862
03/07/16, 8.66, 8.82, 8.40, 8.73, 22776444
03/04/16, 8.43, 8.85, 8.12, 8.45, 33493093
03/03/16, 8.31, 9.08, 8.29, 8.60, 43834243
03/02/16, 7.72, 8.31, 7.65, 8.25, 19893035
03/01/16, 7.55, 7.80, 7.48, 7.73, 14715018
02/29/16, 8.05, 8.12, 7.45, 7.53, 18539823
02/26/16, 8.23, 8.40, 8.00, 8.28, 18133775
02/25/16, 9.07, 9.08, 8.22, 8.22, 28974808
02/24/16, 8.88, 9.20, 8.80, 9.13, 23459304
02/23/16, 9.05, 9.11, 8.71, 8.92, 21039786
02/22/16, 9.03, 9.24, 8.92, 9.07, 26707586
02/19/16, 9.06, 9.23, 8.88, 9.00, 42998576
02/18/16, 8.58, 9.34, 8.48, 8.97, 48048779
02/17/16, 8.47, 8.52, 8.27, 8.49, 22356535
02/16/16, 8.31, 8.58, 8.21, 8.56, 26913824
02/15/16, 8.40, 8.58, 8.00, 8.40, 26906634
02/05/16, 7.88, 8.24, 7.81, 8.02, 20752215
02/04/16, 7.60, 8.00, 7.59, 7.80, 18933695
02/03/16, 7.41, 7.57, 7.34, 7.50, 10997825
02/02/16, 7.20, 7.69, 7.20, 7.54, 13755934
02/01/16, 7.30, 7.48, 7.13, 7.26, 13414545
01/29/16, 7.24, 7.59, 7.00, 7.52, 16363486
01/28/16, 7.50, 7.73, 7.01, 7.12, 16752209
01/27/16, 7.80, 7.85, 7.21, 7.59, 21514416
01/26/16, 8.45, 8.52, 7.75, 7.75, 20454398
01/25/16, 8.61, 8.75, 8.48, 8.61, 15637232
01/22/16, 8.50, 8.65, 8.11, 8.59, 19619479
01/21/16, 8.50, 9.07, 8.39, 8.39, 25055292
01/20/16, 8.59, 9.00, 8.50, 8.67, 28904406
01/19/16, 8.21, 8.70, 8.21, 8.65, 23605172
01/18/16, 8.00, 8.46, 7.96, 8.27, 17982616
01/15/16, 8.54, 8.60, 8.00, 8.14, 22592464
01/14/16, 8.00, 8.78, 7.91, 8.62, 29578896
01/13/16, 9.43, 9.60, 8.44, 8.44, 30276678
01/12/16, 9.72, 9.99, 9.05, 9.38, 31236063
01/11/16, 10.65, 10.90, 9.92, 9.92, 38844301
01/08/16, 10.90, 11.36, 10.00, 11.02, 44717067
01/07/16, 11.38, 11.50, 10.58, 10.58, 13132408
01/06/16, 10.96, 11.95, 10.70, 11.75, 51505380
01/05/16, 10.12, 11.08, 10.12, 10.90, 42246143
01/04/16, 12.00, 12.45, 10.80, 10.82, 36545856
12/31/15, 12.10, 12.35, 11.78, 12.00, 41723677
12/30/15, 11.66, 12.85, 11.58, 12.30, 70848737
12/29/15, 12.00, 12.10, 11.44, 11.70, 67541175
12/28/15, 11.48, 12.21, 11.48, 12.21, 31532937
12/25/15, 10.65, 11.16, 10.55, 11.10, 37652961
12/24/15, 10.48, 10.69, 10.34, 10.59, 18312883
12/23/15, 11.09, 11.09, 10.52, 10.57, 27438967
12/22/15, 10.80, 11.06, 10.72, 11.05, 31855456
12/21/15, 10.70, 10.87, 10.60, 10.78, 26134739
12/18/15, 10.95, 11.11, 10.71, 10.88, 33052567
12/17/15, 10.87, 11.27, 10.75, 11.02, 51103268
12/16/15, 10.55, 10.76, 10.40, 10.70, 33192594
12/15/15, 10.38, 10.55, 10.28, 10.40, 24774642
12/14/15, 9.91, 10.47, 9.90, 10.37, 28603978
12/11/15, 10.39, 10.48, 9.90, 10.10, 31847715
12/10/15, 10.41, 11.00, 10.20, 10.41, 46225223
12/09/15, 10.40, 10.73, 10.30, 10.48, 45226988
12/08/15, 11.30, 11.50, 10.81, 10.83, 106268167
12/07/15, 10.65, 10.65, 10.65, 10.65, 12768620
12/04/15, 9.63, 9.85, 9.53, 9.68, 16231075
12/03/15, 9.55, 9.69, 9.52, 9.68, 14414009
12/02/15, 9.49, 9.54, 9.09, 9.50, 13609687
12/01/15, 9.40, 9.55, 9.31, 9.46, 13747239
11/30/15, 9.57, 9.68, 8.91, 9.41, 23041768
11/27/15, 10.43, 10.49, 9.50, 9.55, 35305686
11/26/15, 10.50, 10.97, 10.37, 10.56, 39111576
11/25/15, 10.38, 10.56, 10.32, 10.53, 25637137
11/24/15, 10.24, 10.44, 10.18, 10.38, 16931285
11/23/15, 10.50, 10.60, 10.18, 10.24, 28042131
11/20/15, 10.44, 10.76, 10.37, 10.55, 27492829
11/19/15, 10.29, 10.52, 10.29, 10.48, 19814346
11/18/15, 10.73, 10.82, 10.20, 10.25, 34802867
11/17/15, 11.12, 11.24, 10.75, 10.80, 51383583
11/16/15, 10.16, 11.25, 10.10, 11.13, 55585962
11/13/15, 10.19, 10.89, 9.80, 10.48, 58996450
11/12/15, 10.33, 10.68, 10.20, 10.41, 47921506
11/11/15, 10.71, 10.71, 10.15, 10.39, 55897790
11/10/15, 9.74, 10.67, 9.68, 10.67, 64192988
11/09/15, 9.64, 9.90, 9.41, 9.70, 36885012
11/06/15, 9.60, 9.81, 9.51, 9.76, 37269891
11/05/15, 9.45, 9.92, 9.30, 9.65, 36235339
11/04/15, 9.09, 9.51, 9.01, 9.51, 22851849
11/03/15, 9.25, 9.38, 8.99, 9.04, 17062223
11/02/15, 9.34, 9.59, 9.06, 9.13, 21992350
10/30/15, 9.84, 9.94, 9.51, 9.74, 19852511
10/29/15, 9.70, 10.05, 9.40, 9.83, 30192439
10/28/15, 9.85, 10.25, 9.71, 9.80, 47122896
10/27/15, 9.56, 9.75, 8.97, 9.65, 28435756
10/26/15, 9.65, 9.80, 9.37, 9.68, 30727763
10/23/15, 9.56, 9.67, 9.25, 9.58, 28872218
10/22/15, 9.20, 9.60, 8.85, 9.53, 30357774
10/21/15, 10.35, 10.37, 9.28, 9.28, 38218780
10/20/15, 10.38, 10.38, 10.02, 10.31, 27020046
10/19/15, 10.19, 10.60, 9.85, 10.43, 53497540
10/16/15, 9.80, 10.19, 9.79, 10.09, 38027740
