Date, Open, High, Low, Close, Volume
03/31/16, 0.003, 0.003, 0.003, 0.003, 30000
03/30/16, 0.003, 0.003, 0.003, 0.003, 180000
03/29/16, 0.004, 0.004, 0.004, 0.004, 727512
03/24/16, 0.004, 0.004, 0.004, 0.004, 0
03/23/16, 0.004, 0.004, 0.004, 0.004, 0
03/22/16, 0.004, 0.004, 0.004, 0.004, 0
03/21/16, 0.004, 0.004, 0.004, 0.004, 0
03/18/16, 0.005, 0.005, 0.005, 0.005, 60000
03/17/16, 0.004, 0.004, 0.004, 0.004, 1323995
03/16/16, 0.005, 0.005, 0.004, 0.004, 7331096
03/15/16, 0.006, 0.006, 0.005, 0.005, 6250000
03/14/16, 0.006, 0.006, 0.006, 0.006, 0
03/11/16, 0.008, 0.008, 0.007, 0.007, 271000
03/10/16, 0.008, 0.008, 0.008, 0.008, 145612
03/09/16, 0.008, 0.008, 0.007, 0.007, 940000
03/08/16, 0.008, 0.008, 0.007, 0.008, 1628672
03/07/16, 0.009, 0.009, 0.008, 0.008, 1070000
03/04/16, 0.009, 0.009, 0.009, 0.009, 56888
03/03/16, 0.008, 0.008, 0.008, 0.008, 0
03/02/16, 0.008, 0.008, 0.008, 0.008, 0
03/01/16, 0.009, 0.009, 0.009, 0.009, 50000
02/29/16, 0.008, 0.01, 0.008, 0.009, 1170000
02/26/16, 0.01, 0.011, 0.01, 0.011, 552500
02/25/16, 0.008, 0.008, 0.008, 0.008, 0
02/24/16, 0.008, 0.01, 0.008, 0.009, 1562500
02/23/16, 0.01, 0.012, 0.01, 0.012, 61800
02/22/16, 0.012, 0.012, 0.012, 0.012, 55000
02/19/16, 0.012, 0.012, 0.011, 0.012, 160000
02/18/16, 0.01, 0.01, 0.01, 0.01, 0
02/17/16, 0.012, 0.013, 0.012, 0.013, 500000
02/16/16, 0.01, 0.01, 0.01, 0.01, 0
02/15/16, 0.011, 0.011, 0.011, 0.011, 75000
02/12/16, 0.011, 0.011, 0.011, 0.011, 55000
02/11/16, 0.01, 0.01, 0.01, 0.01, 0
02/10/16, 0.011, 0.011, 0.011, 0.011, 50000
02/09/16, 0.01, 0.012, 0.01, 0.012, 251600
02/08/16, 0.01, 0.01, 0.01, 0.01, 0
02/05/16, 0.012, 0.012, 0.012, 0.012, 170000
02/04/16, 0.012, 0.012, 0.012, 0.012, 20714
02/03/16, 0.012, 0.012, 0.012, 0.012, 1000000
02/02/16, 0.012, 0.013, 0.012, 0.013, 198358
02/01/16, 0.012, 0.012, 0.012, 0.012, 0
01/29/16, 0.013, 0.013, 0.013, 0.013, 116180
01/28/16, 0.012, 0.012, 0.012, 0.012, 10000
01/27/16, 0.012, 0.012, 0.012, 0.012, 20
01/25/16, 0.013, 0.013, 0.013, 0.013, 8820
01/22/16, 0.013, 0.013, 0.013, 0.013, 35180
01/21/16, 0.013, 0.013, 0.013, 0.013, 0
01/20/16, 0.013, 0.013, 0.013, 0.013, 6000
01/19/16, 0.014, 0.014, 0.013, 0.014, 245000
01/18/16, 0.013, 0.013, 0.013, 0.013, 0
01/15/16, 0.013, 0.013, 0.013, 0.013, 0
01/14/16, 0.014, 0.015, 0.014, 0.015, 283428
01/13/16, 0.013, 0.013, 0.013, 0.013, 0
01/12/16, 0.014, 0.017, 0.014, 0.014, 537500
01/11/16, 0.012, 0.012, 0.012, 0.012, 100000
01/08/16, 0.012, 0.012, 0.012, 0.012, 0
01/07/16, 0.015, 0.015, 0.014, 0.014, 1133000
01/06/16, 0.016, 0.017, 0.015, 0.017, 369500
01/05/16, 0.015, 0.015, 0.015, 0.015, 725000
01/04/16, 0.013, 0.013, 0.013, 0.013, 0
12/31/15, 0.012, 0.012, 0.012, 0.012, 0
12/30/15, 0.02, 0.02, 0.02, 0.02, 26000
12/29/15, 0.012, 0.012, 0.012, 0.012, 0
12/24/15, 0.012, 0.012, 0.012, 0.012, 0
12/23/15, 0.02, 0.02, 0.02, 0.02, 75000
12/22/15, 0.011, 0.011, 0.011, 0.011, 0
12/21/15, 0.011, 0.011, 0.011, 0.011, 0
12/18/15, 0.011, 0.011, 0.011, 0.011, 0
12/17/15, 0.011, 0.011, 0.011, 0.011, 0
12/16/15, 0.011, 0.011, 0.011, 0.011, 0
12/15/15, 0.015, 0.015, 0.015, 0.015, 0
12/14/15, 0.015, 0.02, 0.012, 0.02, 1343000
12/11/15, 0.02, 0.02, 0.02, 0.02, 87000
12/10/15, 0.023, 0.025, 0.023, 0.025, 25000
12/09/15, 0.016, 0.016, 0.016, 0.016, 0
12/08/15, 0.016, 0.016, 0.016, 0.016, 0
12/07/15, 0.016, 0.016, 0.016, 0.016, 0
12/04/15, 0.02, 0.02, 0.02, 0.02, 75000
12/03/15, 0.02, 0.02, 0.02, 0.02, 0
07/30/15, 0.025, 0.025, 0.025, 0.025, 0
07/29/15, 0.027, 0.027, 0.027, 0.027, 0
07/28/15, 0.027, 0.027, 0.027, 0.027, 0
07/27/15, 0.028, 0.03, 0.028, 0.03, 185180
07/24/15, 0.03, 0.03, 0.03, 0.03, 53333
07/23/15, 0.027, 0.027, 0.027, 0.027, 0
07/22/15, 0.027, 0.027, 0.027, 0.027, 0
07/21/15, 0.027, 0.03, 0.027, 0.03, 700000
07/20/15, 0.027, 0.027, 0.027, 0.027, 200440
07/17/15, 0.027, 0.027, 0.027, 0.027, 0
07/16/15, 0.028, 0.028, 0.028, 0.028, 0
07/15/15, 0.035, 0.035, 0.035, 0.035, 30000
07/14/15, 0.035, 0.035, 0.035, 0.035, 50000
07/13/15, 0.027, 0.027, 0.027, 0.027, 0
07/10/15, 0.035, 0.035, 0.035, 0.035, 20000
07/09/15, 0.025, 0.025, 0.025, 0.025, 0
07/08/15, 0.025, 0.025, 0.025, 0.025, 0
07/07/15, 0.025, 0.025, 0.025, 0.025, 0
07/06/15, 0.035, 0.035, 0.035, 0.035, 62858
07/03/15, 0.035, 0.035, 0.035, 0.035, 37142
07/02/15, 0.026, 0.026, 0.026, 0.026, 0
07/01/15, 0.035, 0.035, 0.035, 0.035, 38433
06/30/15, 0.033, 0.035, 0.03, 0.03, 70167
06/29/15, 0.033, 0.033, 0.033, 0.033, 0
06/26/15, 0.03, 0.03, 0.03, 0.03, 81400
06/25/15, 0.034, 0.034, 0.029, 0.03, 694000
06/24/15, 0.031, 0.031, 0.031, 0.031, 5200
06/23/15, 0.034, 0.034, 0.031, 0.031, 120800
06/22/15, 0.035, 0.037, 0.035, 0.037, 250000
06/19/15, 0.031, 0.031, 0.031, 0.031, 0
06/18/15, 0.032, 0.032, 0.032, 0.032, 0
06/17/15, 0.032, 0.032, 0.032, 0.032, 0
06/16/15, 0.035, 0.037, 0.035, 0.037, 39730
06/15/15, 0.032, 0.032, 0.032, 0.032, 0
06/12/15, 0.038, 0.038, 0.038, 0.038, 50000
06/11/15, 0.032, 0.032, 0.032, 0.032, 0
06/10/15, 0.038, 0.038, 0.038, 0.038, 50000
06/09/15, 0.038, 0.038, 0.033, 0.038, 128500
06/05/15, 0.038, 0.038, 0.038, 0.038, 0
06/04/15, 0.038, 0.038, 0.038, 0.038, 0
06/03/15, 0.038, 0.038, 0.038, 0.038, 0
06/02/15, 0.043, 0.043, 0.043, 0.043, 15000
06/01/15, 0.04, 0.043, 0.04, 0.043, 380000
05/29/15, 0.039, 0.039, 0.039, 0.039, 80000
05/28/15, 0.039, 0.04, 0.039, 0.04, 190000
05/27/15, 0.04, 0.04, 0.04, 0.04, 100000
05/26/15, 0.04, 0.04, 0.04, 0.04, 53750
05/25/15, 0.04, 0.04, 0.04, 0.04, 200000
05/22/15, 0.035, 0.035, 0.035, 0.035, 0
05/21/15, 0.035, 0.035, 0.035, 0.035, 0
05/20/15, 0.032, 0.032, 0.032, 0.032, 28840
05/19/15, 0.04, 0.04, 0.04, 0.04, 20000
05/18/15, 0.032, 0.032, 0.032, 0.032, 0
05/15/15, 0.033, 0.033, 0.033, 0.033, 0
05/14/15, 0.04, 0.04, 0.04, 0.04, 15000
05/13/15, 0.031, 0.031, 0.031, 0.031, 0
05/12/15, 0.031, 0.031, 0.031, 0.031, 0
05/11/15, 0.038, 0.038, 0.038, 0.038, 20000
05/08/15, 0.031, 0.031, 0.031, 0.031, 0
05/07/15, 0.04, 0.04, 0.04, 0.04, 115000
05/06/15, 0.035, 0.035, 0.035, 0.035, 55000
05/05/15, 0.035, 0.035, 0.035, 0.035, 45000
05/04/15, 0.035, 0.035, 0.035, 0.035, 70000
05/01/15, 0.035, 0.035, 0.035, 0.035, 0
04/30/15, 0.033, 0.033, 0.033, 0.033, 0
04/29/15, 0.038, 0.04, 0.038, 0.04, 125128
04/28/15, 0.038, 0.038, 0.038, 0.038, 0
04/27/15, 0.038, 0.038, 0.038, 0.038, 0
04/24/15, 0.042, 0.042, 0.042, 0.042, 50952
04/23/15, 0.039, 0.039, 0.036, 0.038, 355000
04/22/15, 0.035, 0.035, 0.035, 0.035, 0
04/21/15, 0.04, 0.042, 0.04, 0.042, 109300
04/20/15, 0.04, 0.04, 0.04, 0.04, 5700
04/17/15, 0.039, 0.039, 0.039, 0.039, 0
04/16/15, 0.043, 0.045, 0.043, 0.045, 180000
04/15/15, 0.043, 0.043, 0.043, 0.043, 50000
04/14/15, 0.031, 0.031, 0.031, 0.031, 0
04/13/15, 0.035, 0.035, 0.035, 0.035, 0
04/10/15, 0.035, 0.035, 0.035, 0.035, 0
04/09/15, 0.048, 0.048, 0.045, 0.045, 29000
04/08/15, 0.045, 0.048, 0.045, 0.048, 51000
04/07/15, 0.04, 0.04, 0.04, 0.04, 0
04/02/15, 0.045, 0.045, 0.045, 0.045, 64000
04/01/15, 0.04, 0.04, 0.04, 0.04, 0
03/31/15, 0.04, 0.04, 0.04, 0.04, 0
03/30/15, 0.04, 0.04, 0.04, 0.04, 0
03/27/15, 0.04, 0.04, 0.04, 0.04, 0
03/26/15, 0.04, 0.04, 0.04, 0.04, 0
03/25/15, 0.04, 0.04, 0.04, 0.04, 0
03/24/15, 0.04, 0.04, 0.04, 0.04, 0
03/23/15, 0.04, 0.04, 0.04, 0.04, 0
03/20/15, 0.04, 0.04, 0.04, 0.04, 0
03/19/15, 0.04, 0.04, 0.04, 0.04, 0
03/18/15, 0.04, 0.04, 0.04, 0.04, 0
03/17/15, 0.04, 0.04, 0.04, 0.04, 0
03/16/15, 0.048, 0.05, 0.048, 0.05, 100000
03/13/15, 0.05, 0.052, 0.05, 0.05, 91333
03/12/15, 0.05, 0.05, 0.05, 0.05, 76002
03/11/15, 0.04, 0.046, 0.04, 0.046, 1403998
03/10/15, 0.037, 0.037, 0.037, 0.037, 0
03/09/15, 0.036, 0.036, 0.036, 0.036, 0
03/06/15, 0.022, 0.022, 0.022, 0.022, 0
03/05/15, 0.022, 0.022, 0.022, 0.022, 0
03/04/15, 0.023, 0.023, 0.023, 0.023, 0
03/03/15, 0.022, 0.022, 0.022, 0.022, 0
03/02/15, 0.022, 0.022, 0.022, 0.022, 0
02/27/15, 0.04, 0.04, 0.04, 0.04, 3894
02/26/15, 0.043, 0.043, 0.04, 0.043, 45000
02/25/15, 0.043, 0.043, 0.043, 0.043, 75000
02/24/15, 0.043, 0.043, 0.04, 0.04, 67000
02/23/15, 0.035, 0.035, 0.035, 0.035, 0
02/20/15, 0.035, 0.035, 0.035, 0.035, 0
02/19/15, 0.035, 0.035, 0.035, 0.035, 0
02/18/15, 0.035, 0.035, 0.035, 0.035, 0
02/17/15, 0.035, 0.035, 0.035, 0.035, 0
02/16/15, 0.035, 0.035, 0.035, 0.035, 0
02/13/15, 0.035, 0.035, 0.035, 0.035, 0
02/12/15, 0.035, 0.035, 0.035, 0.035, 0
02/11/15, 0.035, 0.035, 0.035, 0.035, 12606
02/10/15, 0.035, 0.035, 0.035, 0.035, 30000
02/09/15, 0.03, 0.03, 0.03, 0.03, 0
02/06/15, 0.02, 0.02, 0.02, 0.02, 0
02/05/15, 0.02, 0.02, 0.02, 0.02, 0
02/04/15, 0.02, 0.02, 0.02, 0.02, 0
02/03/15, 0.02, 0.02, 0.02, 0.02, 0
02/02/15, 0.02, 0.02, 0.02, 0.02, 0
01/30/15, 0.02, 0.02, 0.02, 0.02, 0
01/29/15, 0.03, 0.03, 0.03, 0.03, 30000
01/28/15, 0.03, 0.03, 0.03, 0.03, 70000
01/27/15, 0.02, 0.02, 0.02, 0.02, 0
01/23/15, 0.02, 0.02, 0.02, 0.02, 0
01/22/15, 0.02, 0.02, 0.02, 0.02, 0
01/21/15, 0.042, 0.042, 0.042, 0.042, 6666
01/20/15, 0.042, 0.042, 0.042, 0.042, 0
01/19/15, 0.042, 0.042, 0.042, 0.042, 0
