Date, Open, High, Low, Close, Volume
03/31/16, 815.00, 824.50, 809.90, 814.10, 4586967
03/30/16, 805.45, 822.00, 805.45, 820.60, 2302342
03/29/16, 814.60, 816.20, 799.90, 806.80, 2531685
03/28/16, 819.90, 826.50, 806.45, 810.65, 2957244
03/23/16, 828.00, 830.00, 813.40, 817.70, 2509320
03/22/16, 820.75, 831.00, 817.00, 828.45, 2733211
03/21/16, 828.00, 828.00, 815.20, 822.55, 1658201
03/18/16, 816.00, 828.80, 815.00, 824.15, 1661532
03/17/16, 820.00, 829.00, 810.55, 815.30, 1714817
03/16/16, 813.45, 816.50, 807.50, 814.90, 1218254
03/15/16, 826.00, 826.95, 810.50, 811.85, 1355645
03/14/16, 823.85, 830.40, 822.00, 827.90, 1426361
03/11/16, 817.00, 825.00, 812.50, 823.05, 2120515
03/10/16, 821.80, 822.90, 806.40, 817.85, 2507897
03/09/16, 813.95, 818.00, 801.35, 815.65, 6110739
03/08/16, 828.00, 831.95, 809.45, 815.25, 3245006
03/04/16, 860.20, 861.10, 830.35, 835.40, 1777388
03/03/16, 865.00, 866.35, 851.60, 859.30, 1007921
03/02/16, 837.00, 865.00, 829.35, 854.85, 1639639
03/01/16, 813.90, 841.40, 809.00, 832.15, 1057236
02/29/16, 822.00, 831.65, 795.00, 813.25, 1547030
02/26/16, 814.35, 832.00, 814.00, 824.65, 1023912
02/25/16, 807.00, 815.00, 799.70, 808.75, 809816
02/24/16, 829.60, 839.00, 809.00, 811.05, 861124
02/23/16, 845.00, 849.00, 827.00, 828.95, 630477
02/22/16, 849.80, 849.80, 840.10, 845.95, 923775
02/19/16, 842.00, 857.00, 828.40, 851.55, 1183068
02/18/16, 829.05, 847.00, 827.35, 843.95, 1064582
02/17/16, 829.95, 835.00, 816.35, 824.80, 1360181
02/16/16, 825.10, 837.90, 819.25, 824.30, 1052299
02/15/16, 813.00, 832.50, 810.35, 827.10, 1380806
02/12/16, 814.00, 825.85, 784.95, 798.25, 1392467
02/11/16, 827.40, 827.40, 801.60, 808.00, 1619207
02/10/16, 815.50, 833.00, 807.60, 827.40, 1132697
02/09/16, 843.00, 844.00, 805.95, 810.45, 1667218
02/08/16, 866.10, 868.95, 846.00, 849.75, 805217
02/05/16, 877.00, 877.00, 858.35, 869.65, 983851
02/04/16, 855.10, 874.80, 848.95, 867.35, 1317307
02/03/16, 866.35, 870.00, 848.85, 852.10, 978045
02/02/16, 880.00, 885.00, 867.05, 872.65, 1112732
02/01/16, 865.80, 889.90, 865.80, 880.30, 1297246
01/29/16, 845.25, 870.00, 842.30, 865.75, 1917557
01/28/16, 833.00, 849.80, 829.70, 844.50, 1600653
01/27/16, 838.00, 840.90, 830.20, 836.00, 1100759
01/25/16, 847.50, 858.90, 836.85, 838.70, 1095067
01/22/16, 838.00, 850.95, 831.90, 839.25, 1009239
01/21/16, 844.00, 850.15, 831.25, 835.25, 1674215
01/20/16, 831.05, 846.00, 823.00, 841.90, 1988009
01/19/16, 867.00, 870.00, 800.00, 838.25, 5309499
01/18/16, 831.10, 853.95, 831.10, 842.35, 1887068
01/15/16, 828.50, 842.00, 816.00, 838.05, 2285591
01/14/16, 810.05, 841.80, 810.05, 828.85, 2540610
01/13/16, 814.80, 829.85, 804.30, 826.40, 1579234
01/12/16, 818.00, 819.00, 798.05, 810.05, 1157664
01/11/16, 815.00, 833.00, 811.10, 814.55, 1267638
01/08/16, 828.00, 836.75, 813.80, 828.35, 1688435
01/07/16, 836.10, 837.90, 819.00, 825.05, 1450657
01/06/16, 853.70, 853.70, 837.00, 841.40, 1398935
01/05/16, 848.95, 851.05, 836.40, 842.80, 732691
01/04/16, 841.00, 854.95, 837.45, 845.95, 1086036
01/01/16, 855.10, 855.10, 843.50, 845.85, 485196
12/31/15, 837.00, 860.00, 836.95, 855.10, 873853
12/30/15, 854.85, 858.50, 838.00, 840.50, 876037
