Date, Open, High, Low, Close, Volume
03/31/16, 67.25, 67.50, 66.25, 67.50, 1825
03/30/16, 66.25, 67.50, 66.25, 66.25, 1881
03/29/16, 65.25, 66.75, 65.25, 65.25, 3690
03/23/16, 66.00, 66.75, 65.75, 65.75, 54651
03/22/16, 67.25, 68.00, 64.75, 67.00, 54651
03/21/16, 66.50, 67.00, 66.50, 67.00, 17850
03/18/16, 66.50, 66.50, 65.50, 65.50, 5296
03/17/16, 66.50, 66.75, 66.50, 66.75, 926
03/16/16, 66.00, 66.25, 65.50, 65.50, 1457
03/15/16, 65.50, 65.50, 65.25, 65.25, 4494
03/14/16, 65.00, 65.00, 65.00, 65.00, 0
03/11/16, 66.00, 66.00, 64.75, 65.75, 675
03/10/16, 65.50, 66.00, 65.50, 66.00, 1613
03/09/16, 65.50, 66.00, 65.50, 65.50, 4408
03/08/16, 64.25, 65.00, 64.25, 65.00, 3597
03/07/16, 64.25, 64.75, 64.25, 64.25, 7939
03/04/16, 64.00, 64.00, 64.00, 64.00, 317
03/03/16, 64.00, 64.75, 63.50, 64.75, 3211
03/02/16, 63.50, 64.50, 63.50, 63.50, 935
03/01/16, 63.50, 63.50, 63.00, 63.00, 1007
02/29/16, 62.00, 62.50, 62.00, 62.50, 12149
02/26/16, 60.75, 60.75, 60.75, 60.75, 0
02/25/16, 60.75, 60.75, 60.75, 60.75, 0
02/24/16, 61.00, 61.75, 61.00, 61.75, 518
02/23/16, 61.00, 61.75, 61.00, 61.00, 8400
02/22/16, 61.00, 61.00, 60.00, 60.00, 2304
02/19/16, 61.00, 61.00, 61.00, 61.00, 1795
02/18/16, 60.50, 61.50, 60.50, 61.50, 1217
02/17/16, 60.50, 60.50, 60.00, 60.00, 334
02/16/16, 60.25, 61.50, 59.00, 60.50, 5581
02/15/16, 61.50, 61.50, 60.00, 60.00, 7039
02/12/16, 61.00, 61.25, 60.00, 60.00, 17879
02/11/16, 60.25, 61.00, 60.00, 61.00, 1512
02/10/16, 61.25, 61.25, 60.00, 60.25, 1610
02/09/16, 60.00, 61.25, 60.00, 61.00, 5400
02/08/16, 60.25, 60.75, 59.50, 59.50, 3914
02/05/16, 59.50, 60.25, 59.50, 60.25, 2210
02/04/16, 60.25, 60.25, 59.50, 59.50, 2053
02/03/16, 57.50, 60.25, 57.50, 60.00, 11240
02/02/16, 57.25, 57.25, 57.25, 57.25, 385
02/01/16, 57.00, 58.25, 57.00, 57.50, 436
01/29/16, 57.00, 57.00, 56.75, 57.00, 1734
01/28/16, 57.00, 57.00, 57.00, 57.00, 6983
01/27/16, 57.00, 57.00, 56.50, 57.00, 6920
01/26/16, 57.00, 57.00, 57.00, 57.00, 8098
01/25/16, 58.00, 58.00, 57.00, 57.00, 2843
01/22/16, 58.00, 58.00, 58.00, 58.00, 1053
01/21/16, 56.75, 58.00, 56.75, 58.00, 1341
01/20/16, 58.25, 58.75, 58.25, 58.75, 1063
01/19/16, 58.50, 58.50, 58.50, 58.50, 1065
01/18/16, 57.00, 57.75, 57.00, 57.75, 1068
01/15/16, 57.25, 58.00, 57.00, 58.00, 647
01/14/16, 58.00, 58.00, 57.75, 57.75, 3500
01/13/16, 58.25, 58.25, 58.25, 58.25, 0
01/12/16, 58.00, 58.00, 58.00, 58.00, 0
01/11/16, 59.00, 59.00, 58.00, 58.50, 1967
01/08/16, 59.00, 59.00, 59.00, 59.00, 503
01/07/16, 58.00, 58.75, 58.00, 58.75, 2016
01/06/16, 58.50, 59.00, 58.25, 58.25, 1556
01/05/16, 58.75, 59.25, 58.25, 58.25, 3421
01/04/16, 59.50, 59.50, 59.25, 59.25, 412
12/30/15, 58.50, 59.75, 58.50, 59.75, 3839
12/29/15, 58.50, 59.50, 58.50, 58.75, 4570
12/28/15, 59.75, 60.00, 59.75, 60.00, 1900
12/23/15, 58.00, 59.50, 58.00, 58.25, 1763
12/22/15, 60.00, 60.00, 58.50, 59.00, 1763
12/21/15, 59.25, 59.50, 59.25, 59.50, 3129
12/18/15, 58.75, 58.75, 58.00, 58.00, 2301
12/17/15, 59.00, 59.25, 58.50, 58.50, 1160
12/16/15, 58.00, 59.00, 58.00, 59.00, 773
12/15/15, 59.00, 59.00, 58.50, 58.50, 302
12/14/15, 59.50, 59.50, 58.00, 58.00, 1804
12/11/15, 59.25, 59.25, 58.50, 59.25, 1161
12/10/15, 59.25, 60.00, 57.75, 58.00, 2061
12/09/15, 58.50, 61.00, 58.50, 60.00, 3295
12/08/15, 58.00, 58.00, 57.25, 57.25, 4362
12/07/15, 58.00, 58.50, 58.00, 58.50, 1302
12/04/15, 58.00, 58.00, 58.00, 58.00, 1058
