Date, Open, High, Low, Close, Volume
03/31/16, 65.00, 66.00, 64.50, 66.00, 1591
03/30/16, 65.50, 66.25, 65.50, 66.00, 5342
03/29/16, 66.50, 66.50, 64.50, 65.50, 839
03/23/16, 66.00, 66.00, 65.50, 65.50, 6042
03/22/16, 65.00, 66.00, 65.00, 65.00, 6042
03/21/16, 65.25, 65.50, 65.00, 65.00, 11205
03/18/16, 65.25, 65.50, 63.75, 63.75, 6539
03/17/16, 64.50, 64.50, 64.50, 64.50, 0
03/16/16, 65.25, 65.50, 64.50, 64.50, 496
03/15/16, 64.50, 65.25, 64.00, 65.25, 253
03/14/16, 64.00, 64.00, 64.00, 64.00, 0
03/11/16, 64.75, 65.75, 63.75, 64.50, 6386
03/10/16, 65.00, 65.50, 65.00, 65.00, 17226
03/09/16, 65.00, 65.00, 65.00, 65.00, 10301
03/08/16, 64.75, 65.00, 63.50, 65.00, 5702
03/07/16, 64.00, 64.75, 63.75, 64.25, 4140
03/04/16, 62.50, 62.50, 62.50, 62.50, 0
03/03/16, 63.50, 63.50, 61.25, 62.00, 7475
03/02/16, 63.50, 64.00, 62.75, 63.50, 6244
03/01/16, 62.00, 63.50, 62.00, 62.00, 2875
02/29/16, 62.00, 62.25, 62.00, 62.25, 1968
02/26/16, 61.50, 61.75, 61.50, 61.75, 2314
02/25/16, 60.25, 61.50, 60.25, 61.50, 645
02/24/16, 61.25, 61.25, 60.50, 61.00, 2430
02/23/16, 61.25, 61.25, 61.25, 61.25, 1120
02/22/16, 61.00, 61.00, 60.00, 60.00, 818
02/19/16, 60.25, 61.00, 59.75, 59.75, 804
02/18/16, 60.50, 61.00, 60.25, 61.00, 3365
02/17/16, 59.50, 60.50, 59.50, 59.50, 191
02/16/16, 59.25, 60.50, 59.25, 60.50, 1882
02/15/16, 59.75, 60.50, 59.00, 59.75, 1277
02/12/16, 60.50, 60.50, 59.75, 59.75, 6596
02/11/16, 59.75, 60.50, 59.50, 59.50, 3600
02/10/16, 60.00, 60.75, 59.25, 60.25, 1030
02/09/16, 59.00, 60.75, 59.00, 59.25, 7981
02/08/16, 60.25, 60.25, 59.50, 59.50, 3540
02/05/16, 59.75, 60.25, 59.50, 60.25, 8198
02/04/16, 59.50, 59.75, 59.00, 59.25, 2972
02/03/16, 57.25, 59.50, 57.25, 59.50, 22074
02/02/16, 56.50, 56.50, 56.50, 56.50, 0
02/01/16, 56.75, 57.25, 56.75, 57.25, 685
01/29/16, 56.25, 56.50, 56.00, 56.50, 1088
01/28/16, 56.50, 56.50, 56.50, 56.50, 0
01/27/16, 56.75, 57.50, 56.00, 56.00, 2670
01/26/16, 56.75, 56.75, 56.50, 56.50, 2394
01/25/16, 57.75, 57.75, 56.75, 56.75, 2474
01/22/16, 56.50, 57.25, 56.50, 57.25, 163
01/21/16, 56.00, 56.50, 56.00, 56.50, 3578
01/20/16, 56.50, 57.50, 56.50, 56.50, 1927
01/19/16, 56.00, 57.75, 56.00, 57.00, 4316
01/18/16, 56.75, 57.00, 55.50, 57.00, 6126
01/15/16, 58.00, 58.00, 56.75, 56.75, 638
01/14/16, 57.75, 58.50, 57.75, 58.00, 1456
01/13/16, 57.25, 58.75, 57.25, 58.25, 470
01/12/16, 58.75, 58.75, 57.50, 57.50, 2068
01/11/16, 58.75, 58.75, 58.75, 58.75, 274
01/08/16, 57.75, 58.75, 57.50, 58.50, 251
01/07/16, 58.00, 58.75, 57.25, 58.25, 8693
01/06/16, 58.50, 58.75, 58.00, 58.75, 1515
01/05/16, 59.50, 59.50, 58.00, 59.00, 5990
01/04/16, 59.50, 59.75, 59.50, 59.75, 4098
12/30/15, 58.50, 59.00, 58.50, 58.75, 2173
12/29/15, 59.25, 59.25, 58.50, 58.50, 2044
12/28/15, 59.50, 59.50, 59.50, 59.50, 1359
12/23/15, 59.00, 59.00, 58.00, 58.00, 1032
12/22/15, 58.50, 59.00, 58.00, 59.00, 1032
12/21/15, 58.00, 58.00, 58.00, 58.00, 1713
12/18/15, 58.00, 58.00, 58.00, 58.00, 1869
12/17/15, 58.00, 58.00, 57.00, 57.00, 3349
12/16/15, 58.25, 58.25, 57.50, 58.00, 5287
12/15/15, 58.00, 58.00, 58.00, 58.00, 6951
12/14/15, 59.50, 59.50, 57.75, 57.75, 4285
12/11/15, 58.00, 59.50, 58.00, 59.50, 1879
12/10/15, 59.25, 59.75, 58.25, 58.75, 3594
12/09/15, 58.50, 60.00, 58.50, 59.50, 11381
12/08/15, 57.75, 57.75, 57.00, 57.75, 9581
12/07/15, 57.75, 58.25, 57.75, 57.75, 2427
12/04/15, 58.00, 58.50, 57.75, 58.25, 2090
12/03/15, 58.50, 58.50, 58.00, 58.00, 1613
12/02/15, 57.50, 58.50, 57.50, 58.50, 3366
12/01/15, 58.00, 58.50, 58.00, 58.00, 4501
11/30/15, 58.00, 58.50, 58.00, 58.50, 3112
11/27/15, 56.50, 57.75, 56.50, 57.75, 6794
11/26/15, 57.00, 57.00, 56.75, 56.75, 1253
11/25/15, 56.25, 57.25, 56.00, 57.25, 5393
11/24/15, 57.00, 57.25, 56.00, 56.00, 188
11/23/15, 57.00, 58.00, 56.00, 56.00, 5480
11/20/15, 56.50, 57.00, 56.50, 57.00, 2101
11/19/15, 56.50, 57.00, 56.50, 56.75, 1080
11/18/15, 56.50, 57.00, 56.00, 57.00, 3491
11/17/15, 55.75, 57.00, 55.75, 56.50, 4718
11/16/15, 56.00, 57.00, 56.00, 57.00, 2116
11/13/15, 56.25, 56.25, 56.00, 56.00, 1303
11/12/15, 55.75, 56.50, 55.75, 56.00, 2146
11/11/15, 57.00, 57.00, 56.00, 56.75, 1693
11/10/15, 56.75, 56.75, 55.75, 56.25, 1734
11/09/15, 56.75, 56.75, 56.00, 56.50, 507
11/06/15, 55.50, 56.50, 55.50, 56.50, 558
11/05/15, 56.50, 56.50, 55.50, 55.50, 1213
11/04/15, 55.75, 56.50, 55.75, 56.50, 1535
11/03/15, 56.00, 56.50, 56.00, 56.50, 2582
11/02/15, 56.50, 56.75, 55.50, 56.00, 1652
10/30/15, 56.50, 56.50, 56.00, 56.00, 276
10/29/15, 56.50, 57.00, 56.50, 57.00, 203
10/28/15, 56.00, 56.25, 55.50, 55.75, 2689
10/27/15, 56.00, 56.00, 55.50, 55.50, 7431
10/26/15, 55.00, 56.00, 55.00, 56.00, 1750
10/23/15, 56.25, 56.75, 55.75, 56.75, 6470
10/22/15, 56.00, 57.00, 56.00, 56.00, 22415
10/21/15, 55.50, 56.00, 55.50, 56.00, 1204
10/20/15, 55.50, 55.50, 55.50, 55.50, 0
10/19/15, 56.00, 57.00, 56.00, 57.00, 701
10/16/15, 55.75, 56.00, 55.75, 55.75, 865
10/15/15, 55.00, 55.50, 55.00, 55.50, 6935
10/14/15, 55.75, 56.00, 54.75, 55.50, 7791
10/13/15, 55.75, 56.00, 55.50, 55.50, 8746
10/12/15, 56.50, 56.50, 55.25, 56.00, 10794
10/09/15, 56.50, 56.50, 56.50, 56.50, 15530
10/08/15, 57.00, 57.00, 56.25, 57.00, 449
10/07/15, 56.50, 56.50, 56.50, 56.50, 0
10/06/15, 57.00, 57.50, 57.00, 57.50, 300
10/05/15, 56.25, 56.25, 56.25, 56.25, 0
10/02/15, 56.25, 57.00, 56.25, 57.00, 628
10/01/15, 57.00, 57.50, 57.00, 57.50, 3372
09/30/15, 57.00, 57.00, 56.00, 57.00, 785
09/29/15, 56.50, 56.50, 56.25, 56.25, 2842
09/28/15, 57.00, 57.00, 56.50, 56.50, 343
09/25/15, 57.25, 57.25, 57.00, 57.00, 189
09/24/15, 56.75, 57.00, 56.50, 56.50, 1613
09/23/15, 57.00, 57.25, 56.50, 56.50, 1871
09/22/15, 56.50, 57.25, 56.50, 57.00, 4743
09/21/15, 57.00, 57.00, 57.00, 57.00, 0
09/18/15, 56.25, 57.00, 56.25, 57.00, 4046
09/17/15, 56.25, 56.25, 56.25, 56.25, 5010
09/16/15, 56.00, 56.00, 55.75, 55.75, 452
09/15/15, 56.25, 56.25, 56.00, 56.00, 1778
09/14/15, 56.50, 56.50, 56.25, 56.25, 356
09/11/15, 56.50, 56.50, 56.50, 56.50, 49
09/10/15, 56.25, 57.00, 56.25, 56.50, 1732
09/09/15, 57.00, 57.00, 57.00, 57.00, 552
09/08/15, 56.50, 57.00, 56.50, 57.00, 5370
09/07/15, 57.00, 57.50, 56.50, 56.50, 1251
09/04/15, 57.00, 57.50, 57.00, 57.00, 1208
09/03/15, 57.50, 57.50, 57.25, 57.25, 2236
09/02/15, 57.75, 57.75, 57.50, 57.50, 5050
09/01/15, 55.75, 57.00, 55.75, 56.00, 947
08/31/15, 56.00, 57.50, 56.00, 57.50, 1952
08/28/15, 57.00, 57.00, 55.50, 55.75, 2469
08/27/15, 56.50, 57.00, 56.50, 56.50, 1513
08/26/15, 56.50, 56.50, 56.50, 56.50, 200
08/25/15, 56.00, 56.75, 55.00, 56.75, 1750
08/24/15, 56.00, 56.00, 55.50, 55.75, 7880
08/21/15, 56.50, 58.00, 56.50, 58.00, 10981
08/20/15, 57.00, 57.00, 57.00, 57.00, 146
08/19/15, 55.50, 56.50, 55.50, 56.50, 943
08/18/15, 56.50, 56.50, 55.00, 55.00, 7760
08/17/15, 57.50, 57.50, 56.00, 56.00, 1712
08/14/15, 57.50, 57.50, 57.50, 57.50, 500
08/13/15, 57.50, 57.50, 57.50, 57.50, 50
08/12/15, 56.25, 58.00, 56.00, 57.50, 2555
08/11/15, 58.00, 58.00, 56.00, 56.00, 4521
08/10/15, 57.75, 58.00, 57.75, 58.00, 5210
08/07/15, 58.00, 58.00, 57.50, 57.75, 4038
08/06/15, 56.75, 56.75, 56.75, 56.75, 299
08/05/15, 58.00, 58.00, 58.00, 58.00, 1237
08/04/15, 56.75, 56.75, 56.75, 56.75, 183
08/03/15, 58.00, 58.00, 57.75, 58.00, 7740
07/31/15, 57.75, 57.75, 57.75, 57.75, 200
07/30/15, 57.00, 57.50, 57.00, 57.50, 5865
07/29/15, 57.25, 57.25, 56.50, 57.25, 7186
07/28/15, 57.25, 57.75, 57.25, 57.75, 638
07/27/15, 57.25, 58.00, 57.25, 58.00, 16
07/24/15, 57.00, 57.25, 57.00, 57.25, 2000
07/23/15, 57.50, 58.00, 57.50, 58.00, 231
07/22/15, 58.00, 58.00, 57.25, 57.25, 3610
07/21/15, 58.00, 58.00, 57.00, 58.00, 14491
07/20/15, 58.00, 58.00, 58.00, 58.00, 1691
07/17/15, 57.75, 58.00, 57.75, 58.00, 7561
07/16/15, 58.00, 58.00, 57.50, 58.00, 501
07/15/15, 58.00, 58.00, 58.00, 58.00, 10
07/14/15, 57.25, 57.25, 57.00, 57.25, 1576
07/13/15, 57.25, 57.50, 57.25, 57.25, 1062
07/10/15, 56.75, 58.50, 56.75, 58.00, 4762
07/09/15, 55.50, 56.25, 55.50, 56.25, 2183
07/08/15, 55.50, 56.00, 55.50, 56.00, 3649
07/07/15, 56.00, 56.00, 56.00, 56.00, 0
07/06/15, 56.25, 56.25, 56.25, 56.25, 15
07/03/15, 56.75, 56.75, 55.50, 56.25, 6820
07/02/15, 56.75, 56.75, 56.75, 56.75, 250
07/01/15, 56.75, 57.75, 55.75, 56.25, 3379
06/30/15, 56.25, 56.25, 56.25, 56.25, 747
06/29/15, 56.75, 56.75, 56.50, 56.50, 2430
06/26/15, 57.00, 57.50, 56.75, 56.75, 1397
06/25/15, 57.50, 57.50, 57.00, 57.00, 1000
06/24/15, 56.75, 57.25, 56.50, 57.25, 1933
06/23/15, 57.50, 57.50, 57.50, 57.50, 179
06/22/15, 57.25, 57.25, 57.25, 57.25, 0
06/19/15, 57.50, 57.50, 57.50, 57.50, 324
06/18/15, 57.25, 57.25, 57.25, 57.25, 0
06/17/15, 57.25, 58.50, 57.00, 57.25, 1914
06/16/15, 55.00, 58.50, 55.00, 58.50, 2304
06/15/15, 57.25, 57.75, 57.00, 57.75, 6554
06/12/15, 58.50, 58.50, 58.50, 58.50, 27351
06/11/15, 58.50, 58.50, 58.00, 58.00, 1378
06/10/15, 58.50, 58.50, 58.50, 58.50, 10
06/09/15, 57.25, 58.50, 56.25, 58.50, 1344
06/08/15, 57.75, 58.00, 57.50, 58.00, 5702
06/05/15, 57.50, 57.50, 57.00, 57.00, 3508
06/04/15, 58.00, 58.00, 57.50, 57.50, 8002
06/03/15, 57.75, 58.00, 57.75, 58.00, 2886
06/02/15, 57.00, 57.75, 57.00, 57.75, 235
06/01/15, 57.00, 57.00, 57.00, 57.00, 0
05/29/15, 58.00, 58.00, 57.75, 58.00, 7195
05/28/15, 58.00, 58.00, 56.75, 58.00, 7115
05/27/15, 58.25, 58.25, 58.00, 58.00, 2017
05/26/15, 57.50, 58.25, 57.50, 58.00, 1709
05/22/15, 57.50, 57.50, 57.50, 57.50, 6731
05/21/15, 57.00, 58.00, 57.00, 58.00, 6731
05/20/15, 57.75, 58.00, 57.75, 58.00, 146
05/19/15, 57.00, 57.25, 57.00, 57.00, 4807
05/18/15, 57.00, 57.00, 57.00, 57.00, 874
05/15/15, 58.00, 58.00, 57.00, 57.00, 11747
05/13/15, 58.00, 58.00, 58.00, 58.00, 1663
05/12/15, 58.50, 58.50, 57.00, 57.00, 1663
05/11/15, 58.75, 58.75, 58.50, 58.50, 6100
05/08/15, 59.00, 59.00, 58.50, 58.50, 20923
05/07/15, 59.75, 60.00, 59.75, 60.00, 4852
05/06/15, 58.75, 59.75, 58.00, 59.75, 1906
05/05/15, 59.25, 59.25, 58.00, 58.00, 1996
05/04/15, 58.50, 59.25, 58.50, 59.25, 6625
04/30/15, 58.50, 58.50, 58.50, 58.50, 6906
04/29/15, 59.25, 59.25, 58.00, 58.00, 6906
04/28/15, 59.75, 59.75, 59.25, 59.25, 16100
04/27/15, 60.50, 60.50, 59.50, 59.50, 9730
04/24/15, 60.00, 60.75, 60.00, 60.50, 10469
04/23/15, 59.75, 60.00, 59.00, 60.00, 2143
04/22/15, 59.00, 59.75, 58.00, 59.75, 7736
04/21/15, 59.25, 59.50, 59.00, 59.50, 2092
04/20/15, 59.50, 59.50, 58.00, 58.25, 8716
04/17/15, 59.00, 59.25, 59.00, 59.25, 887
04/16/15, 59.00, 59.00, 59.00, 59.00, 24482
04/15/15, 58.50, 59.00, 58.50, 59.00, 5239
04/14/15, 58.50, 59.00, 58.50, 59.00, 1980
04/13/15, 58.50, 58.50, 58.00, 58.00, 8007
04/10/15, 58.00, 59.00, 58.00, 59.00, 2841
04/09/15, 58.75, 58.75, 58.25, 58.75, 16609
04/08/15, 58.75, 59.50, 58.50, 59.50, 1353
04/07/15, 57.50, 58.50, 57.50, 58.50, 10584
04/01/15, 57.25, 57.25, 57.25, 57.25, 0
03/31/15, 57.25, 58.00, 57.00, 57.50, 2548
03/30/15, 57.75, 58.00, 57.75, 57.75, 1224
03/27/15, 57.00, 57.00, 57.00, 57.00, 660
03/26/15, 57.00, 57.50, 57.00, 57.50, 1892
03/25/15, 57.00, 57.00, 57.00, 57.00, 508
03/24/15, 57.25, 57.25, 57.25, 57.25, 194
03/23/15, 57.00, 57.00, 56.50, 57.00, 3278
03/20/15, 57.25, 57.25, 57.00, 57.00, 1611
03/19/15, 58.00, 58.00, 56.75, 58.00, 3625
03/18/15, 59.00, 59.50, 58.00, 58.00, 5907
03/17/15, 58.00, 58.00, 57.50, 57.50, 1214
03/16/15, 58.00, 58.00, 58.00, 58.00, 0
03/13/15, 58.00, 58.25, 58.00, 58.25, 1098
03/12/15, 59.50, 59.50, 57.50, 58.00, 3640
03/11/15, 57.00, 58.50, 57.00, 57.25, 1892
03/10/15, 56.75, 57.00, 56.50, 57.00, 3651
03/09/15, 56.75, 58.00, 56.00, 56.00, 5618
03/06/15, 58.00, 58.50, 56.75, 56.75, 670
03/05/15, 57.50, 57.50, 57.50, 57.50, 900
03/04/15, 57.00, 58.25, 57.00, 58.25, 1972
03/03/15, 57.00, 57.00, 57.00, 57.00, 0
03/02/15, 58.75, 58.75, 57.00, 57.00, 1676
02/27/15, 57.00, 58.00, 57.00, 57.50, 8860
02/26/15, 57.00, 57.00, 56.50, 57.00, 16133
02/25/15, 58.00, 58.00, 56.50, 57.50, 10209
02/24/15, 57.75, 57.75, 56.25, 57.75, 6490
02/23/15, 56.75, 56.75, 55.75, 56.00, 5173
02/20/15, 56.00, 56.75, 56.00, 56.75, 402
02/19/15, 55.75, 57.50, 55.25, 56.25, 8779
02/18/15, 56.75, 56.75, 55.75, 55.75, 1587
02/17/15, 56.50, 56.50, 56.00, 56.00, 646
02/16/15, 56.50, 57.00, 55.00, 56.50, 5197
02/13/15, 56.50, 56.50, 56.00, 56.50, 16531
02/12/15, 56.00, 56.50, 56.00, 56.50, 221
02/11/15, 55.00, 56.25, 55.00, 56.25, 9257
02/10/15, 55.00, 55.50, 55.00, 55.00, 2005
02/09/15, 55.00, 55.50, 54.50, 55.00, 15410
02/06/15, 54.75, 55.00, 54.75, 54.75, 4529
02/05/15, 54.50, 55.00, 54.00, 54.75, 4520
02/04/15, 54.50, 54.75, 54.00, 54.25, 8327
02/03/15, 53.50, 54.25, 53.50, 53.50, 19324
02/02/15, 52.75, 54.25, 52.75, 53.50, 9466
01/30/15, 52.00, 52.50, 51.75, 52.50, 33564
01/29/15, 51.50, 52.00, 51.50, 52.00, 4485
01/28/15, 51.50, 51.75, 51.50, 51.75, 17772
01/27/15, 52.00, 52.00, 51.50, 51.50, 5102
01/26/15, 52.00, 52.00, 52.00, 52.00, 6917
01/23/15, 51.50, 52.00, 51.25, 51.25, 4398
01/22/15, 50.75, 51.25, 50.75, 51.25, 995
01/21/15, 50.25, 51.50, 50.25, 51.50, 1019
01/20/15, 50.25, 51.00, 50.00, 51.00, 2736
01/19/15, 50.50, 50.50, 50.50, 50.50, 0
01/16/15, 50.50, 50.50, 50.50, 50.50, 0
01/15/15, 50.50, 50.50, 50.50, 50.50, 1909
01/14/15, 51.00, 51.25, 50.50, 50.50, 9099
01/13/15, 49.70, 51.25, 49.70, 51.00, 10931
01/12/15, 50.00, 50.25, 50.00, 50.25, 1047
01/09/15, 50.50, 51.00, 50.00, 50.75, 2191
01/08/15, 49.80, 51.25, 49.80, 51.25, 307
01/07/15, 51.00, 51.00, 50.00, 51.00, 5899
01/06/15, 49.90, 50.50, 49.60, 50.00, 18557
01/05/15, 51.00, 51.25, 51.00, 51.00, 766
01/02/15, 51.25, 52.00, 51.25, 51.75, 724
