Date, Open, High, Low, Close, Volume
03/31/16, 13.45, 13.54, 12.94, 12.94, 178020
03/30/16, 13.20, 13.58, 12.97, 13.55, 92999
03/29/16, 13.63, 13.71, 13.20, 13.20, 54839
03/24/16, 13.77, 13.87, 13.62, 13.62, 19854
03/23/16, 13.80, 13.99, 13.73, 13.99, 69237
03/22/16, 13.44, 13.78, 13.33, 13.78, 46085
03/21/16, 13.59, 13.74, 13.34, 13.43, 33326
03/18/16, 13.52, 13.81, 13.42, 13.81, 43570
03/17/16, 13.25, 13.49, 13.04, 13.41, 39530
03/16/16, 13.32, 13.48, 13.29, 13.35, 24260
03/15/16, 13.65, 13.65, 13.31, 13.40, 18346
03/14/16, 13.60, 13.69, 13.55, 13.61, 43973
03/11/16, 13.00, 13.52, 12.89, 13.49, 40848
03/10/16, 13.25, 13.31, 12.65, 12.65, 72744
03/09/16, 13.24, 13.40, 13.08, 13.08, 44104
03/08/16, 14.00, 14.00, 13.24, 13.28, 71023
03/07/16, 13.45, 14.07, 13.37, 14.07, 64930
03/04/16, 13.35, 13.42, 13.13, 13.35, 37299
03/03/16, 13.31, 13.70, 13.05, 13.05, 60913
03/02/16, 13.15, 13.42, 13.10, 13.42, 65283
03/01/16, 12.70, 13.05, 12.70, 12.98, 60590
02/29/16, 12.62, 12.72, 12.48, 12.68, 24874
02/26/16, 12.83, 12.83, 12.55, 12.55, 25542
02/25/16, 12.60, 12.73, 12.44, 12.58, 28478
02/24/16, 12.66, 12.66, 12.26, 12.42, 43136
02/23/16, 12.73, 12.88, 12.59, 12.64, 48258
02/22/16, 12.71, 12.83, 12.56, 12.82, 30517
02/19/16, 12.56, 12.66, 12.37, 12.41, 45540
02/18/16, 12.55, 12.85, 12.47, 12.68, 42747
02/17/16, 12.40, 12.54, 12.25, 12.54, 114422
02/16/16, 12.36, 12.37, 12.12, 12.20, 32975
02/15/16, 12.70, 12.70, 12.22, 12.23, 40745
02/12/16, 12.07, 12.24, 12.06, 12.07, 61581
02/11/16, 12.38, 12.38, 11.95, 11.95, 71794
02/10/16, 12.12, 12.48, 12.05, 12.28, 38663
02/09/16, 12.35, 12.35, 11.86, 12.07, 125924
02/08/16, 12.68, 12.70, 12.27, 12.32, 67364
02/05/16, 12.80, 12.89, 12.69, 12.70, 56495
02/04/16, 12.45, 12.85, 12.38, 12.85, 65208
02/03/16, 12.63, 12.63, 12.34, 12.43, 67625
02/02/16, 12.75, 12.83, 12.53, 12.55, 68228
02/01/16, 12.84, 13.05, 12.75, 12.77, 82817
01/29/16, 12.74, 12.79, 12.63, 12.77, 41309
01/28/16, 12.90, 12.90, 12.51, 12.60, 54693
01/27/16, 12.97, 12.97, 12.63, 12.79, 35616
01/26/16, 12.60, 12.98, 12.49, 12.88, 40354
01/25/16, 12.77, 12.90, 12.57, 12.67, 38870
01/22/16, 12.72, 12.87, 12.54, 12.75, 89011
01/21/16, 12.27, 12.57, 12.10, 12.44, 79897
01/20/16, 12.18, 12.38, 12.01, 12.23, 86750
01/19/16, 12.48, 12.59, 12.30, 12.35, 65897
01/18/16, 12.53, 12.64, 12.29, 12.40, 74187
01/15/16, 13.27, 13.27, 12.49, 12.52, 120609
01/14/16, 13.00, 13.24, 12.88, 13.17, 108062
01/13/16, 13.31, 13.31, 13.00, 13.05, 62092
01/12/16, 13.12, 13.38, 13.10, 13.17, 48334
01/11/16, 13.30, 13.34, 13.08, 13.08, 40987
01/08/16, 13.35, 13.47, 13.28, 13.34, 67808
01/07/16, 13.20, 13.35, 12.97, 13.32, 114009
01/06/16, 13.88, 13.92, 13.30, 13.40, 103304
01/05/16, 14.03, 14.03, 13.61, 13.96, 79941
01/04/16, 13.75, 13.89, 13.67, 13.88, 67346
12/30/15, 14.15, 14.19, 14.05, 14.06, 24379
12/29/15, 14.70, 14.70, 14.20, 14.24, 78514
12/28/15, 14.49, 14.70, 14.40, 14.60, 73199
12/23/15, 14.20, 14.47, 14.00, 14.47, 194247
12/22/15, 14.16, 14.25, 14.01, 14.09, 52930
12/21/15, 14.02, 14.42, 14.00, 14.14, 98237
12/18/15, 14.00, 14.16, 13.83, 14.04, 162413
12/17/15, 14.04, 14.14, 13.89, 13.95, 69346
12/16/15, 13.77, 13.92, 13.54, 13.90, 99322
12/15/15, 13.26, 13.86, 13.26, 13.86, 130232
12/14/15, 13.19, 13.49, 13.06, 13.27, 109418
12/11/15, 13.40, 13.44, 13.12, 13.13, 100918
12/10/15, 13.22, 13.47, 13.22, 13.37, 68804
12/09/15, 13.18, 13.32, 13.00, 13.29, 133168
12/08/15, 13.64, 13.65, 13.00, 13.10, 110732
12/07/15, 13.50, 13.78, 13.48, 13.67, 80250
12/04/15, 13.22, 13.47, 13.20, 13.47, 61770
12/03/15, 13.43, 13.53, 13.16, 13.25, 148121
12/02/15, 13.75, 13.75, 13.39, 13.40, 58707
12/01/15, 13.83, 13.97, 13.66, 13.75, 96057
11/30/15, 13.49, 13.86, 13.49, 13.84, 56634
11/27/15, 13.71, 13.71, 13.52, 13.53, 37084
11/26/15, 13.45, 13.82, 13.45, 13.69, 66645
11/25/15, 13.50, 13.50, 13.36, 13.40, 100728
11/24/15, 13.55, 13.60, 13.41, 13.48, 67205
11/23/15, 13.81, 13.83, 13.58, 13.60, 92480
11/20/15, 13.79, 13.83, 13.65, 13.80, 80172
11/19/15, 13.57, 14.10, 13.57, 13.86, 167783
11/18/15, 13.24, 13.51, 13.22, 13.48, 65410
11/17/15, 13.23, 13.27, 13.13, 13.27, 145144
11/16/15, 13.14, 13.28, 12.86, 13.09, 107523
11/13/15, 13.03, 13.31, 12.87, 13.18, 115596
11/12/15, 12.90, 13.06, 12.77, 12.92, 105042
11/11/15, 13.17, 13.33, 12.95, 13.10, 84548
11/10/15, 13.27, 13.27, 12.97, 13.11, 53679
11/09/15, 13.48, 13.51, 13.14, 13.19, 56713
11/06/15, 13.27, 13.57, 13.27, 13.55, 55059
11/05/15, 13.38, 13.42, 13.22, 13.39, 63746
11/04/15, 13.54, 13.58, 13.27, 13.33, 58295
11/03/15, 13.45, 13.51, 13.34, 13.46, 74055
11/02/15, 13.20, 13.43, 13.19, 13.38, 53985
10/30/15, 13.11, 13.23, 13.04, 13.16, 87162
10/29/15, 13.46, 13.46, 12.94, 13.03, 108147
10/28/15, 13.31, 13.40, 13.22, 13.40, 70826
10/27/15, 13.69, 13.74, 13.34, 13.34, 106409
10/26/15, 13.59, 13.67, 13.44, 13.64, 97014
10/23/15, 13.48, 13.65, 13.43, 13.56, 111674
10/22/15, 13.00, 13.51, 13.00, 13.47, 120573
10/21/15, 13.04, 13.15, 12.76, 13.07, 92891
10/20/15, 13.07, 13.08, 12.90, 12.93, 92973
10/19/15, 13.00, 13.04, 12.84, 12.97, 62659
10/16/15, 13.21, 13.25, 12.93, 12.95, 144658
10/15/15, 13.13, 13.47, 13.00, 13.38, 146884
