Date, Open, High, Low, Close, Volume
03/31/16, 1310, 1315, 1310, 1315, 24
03/30/16, 1300, 1305, 1295, 1305, 190
03/29/16, 1290, 1295, 1280, 1295, 19091
03/28/16, 1285, 1290, 1275, 1285, 1087
03/25/16, 1295, 1305, 1265, 1285, 353
03/24/16, 1300, 1300, 1270, 1270, 27071
03/23/16, 1330, 1330, 1330, 1330, 234
03/22/16, 1325, 1330, 1325, 1330, 218
03/21/16, 1290, 1345, 1290, 1325, 2428
03/18/16, 1300, 1330, 1265, 1265, 1094
03/17/16, 1285, 1290, 1260, 1260, 693
03/16/16, 1335, 1335, 1280, 1285, 441
03/15/16, 1270, 1270, 1270, 1270, 665
03/14/16, 1270, 1290, 1260, 1270, 4726
03/11/16, 1255, 1295, 1255, 1270, 288
03/10/16, 1270, 1270, 1255, 1255, 711
03/09/16, 1270, 1290, 1255, 1255, 202
03/08/16, 1270, 1270, 1250, 1250, 5
03/07/16, 1250, 1265, 1230, 1255, 1831
03/04/16, 1245, 1265, 1230, 1245, 3398
03/03/16, 1220, 1240, 1220, 1240, 9784
03/02/16, 1300, 1300, 1200, 1235, 11510
02/29/16, 1275, 1400, 1270, 1300, 1171
02/26/16, 1370, 1370, 1235, 1250, 3610
02/25/16, 1295, 1330, 1295, 1330, 24
02/24/16, 1280, 1315, 1265, 1265, 467
02/23/16, 1260, 1335, 1260, 1320, 146
02/22/16, 1220, 1225, 1215, 1220, 259
02/19/16, 1240, 1245, 1210, 1245, 1257
02/18/16, 1250, 1250, 1240, 1240, 25
02/17/16, 1265, 1265, 1265, 1265, 20
02/16/16, 1215, 1255, 1215, 1220, 33
02/15/16, 1325, 1325, 1165, 1240, 3298
02/12/16, 1330, 1330, 1330, 1330, 1
02/11/16, 1210, 1210, 1210, 1210, 68
02/05/16, 1265, 1390, 1220, 1220, 380
02/04/16, 1250, 1265, 1250, 1265, 4012
02/03/16, 1275, 1290, 1250, 1250, 3052
02/02/16, 1290, 1290, 1285, 1290, 408
02/01/16, 1290, 1290, 1290, 1290, 1829
01/29/16, 1285, 1290, 1215, 1290, 155
01/28/16, 1290, 1290, 1290, 1290, 80
01/27/16, 1295, 1295, 1295, 1295, 31
01/26/16, 1255, 1270, 1255, 1270, 112
01/25/16, 1265, 1370, 1265, 1370, 33
01/22/16, 1290, 1290, 1260, 1290, 171
01/21/16, 1310, 1310, 1270, 1270, 26
01/20/16, 1255, 1340, 1250, 1305, 1210
01/19/16, 1330, 1375, 1330, 1330, 61
01/18/16, 1370, 1375, 1370, 1375, 31
01/15/16, 1325, 1470, 1290, 1330, 68
01/14/16, 1390, 1390, 1295, 1295, 5384
01/13/16, 1395, 1395, 1350, 1370, 202
01/12/16, 1410, 1450, 1355, 1360, 3987
01/11/16, 1400, 1415, 1350, 1410, 7662
01/08/16, 1390, 1500, 1390, 1485, 3260
01/07/16, 1400, 1500, 1390, 1480, 6318
01/06/16, 1435, 1495, 1385, 1440, 8330
01/05/16, 1370, 1570, 1370, 1435, 13452
01/04/16, 1645, 1830, 1415, 1455, 73599
12/30/15, 1380, 1570, 1380, 1410, 3339
12/29/15, 1410, 1500, 1385, 1385, 7754
12/28/15, 1390, 1490, 1390, 1405, 5300
12/24/15, 1450, 1450, 1370, 1390, 2217
12/23/15, 1400, 1550, 1400, 1450, 858
12/22/15, 1435, 1675, 1400, 1425, 6929
12/21/15, 1445, 1445, 1435, 1435, 61
12/18/15, 1475, 1475, 1365, 1405, 1765
12/17/15, 1535, 1535, 1415, 1460, 68
12/16/15, 1540, 1540, 1435, 1460, 52
12/15/15, 1490, 1510, 1480, 1480, 351
12/14/15, 1690, 1695, 1500, 1500, 4698
12/11/15, 1510, 1540, 1500, 1510, 8611
12/10/15, 1305, 1605, 1305, 1510, 166786
12/09/15, 1670, 1830, 1670, 1805, 82191
12/08/15, 1605, 1745, 1595, 1650, 396
12/07/15, 1605, 1605, 1605, 1605, 20
12/04/15, 1570, 1570, 1570, 1570, 0
12/03/15, 1600, 1605, 1600, 1605, 1032
12/02/15, 1600, 1615, 1600, 1600, 2826
12/01/15, 1580, 1655, 1570, 1600, 10835
11/30/15, 1645, 1650, 1595, 1595, 18398
11/27/15, 1615, 1640, 1610, 1640, 1144
11/26/15, 1670, 1685, 1600, 1600, 26633
11/25/15, 1710, 1710, 1630, 1670, 124
11/24/15, 1600, 1710, 1600, 1685, 1039
11/23/15, 1695, 1715, 1695, 1705, 35
11/20/15, 1630, 1630, 1630, 1630, 0
11/19/15, 1720, 1720, 1715, 1715, 8
11/18/15, 1710, 1710, 1710, 1710, 1
11/17/15, 1720, 1720, 1720, 1720, 1
11/16/15, 1695, 1695, 1680, 1680, 40
11/13/15, 1705, 1705, 1705, 1705, 0
11/12/15, 1710, 1710, 1710, 1710, 0
11/11/15, 1705, 1720, 1690, 1715, 341
11/10/15, 1720, 1720, 1705, 1705, 51
11/09/15, 1660, 1700, 1650, 1650, 1069
11/06/15, 1790, 1790, 1655, 1730, 1226
11/05/15, 1720, 1720, 1720, 1720, 1
11/04/15, 1650, 1715, 1630, 1700, 1537
11/03/15, 1700, 1725, 1695, 1700, 952
11/02/15, 1700, 1735, 1700, 1725, 79
10/30/15, 1760, 1760, 1705, 1705, 623
10/29/15, 1750, 1750, 1750, 1750, 1
10/28/15, 1725, 1820, 1710, 1710, 325
10/27/15, 1895, 1895, 1705, 1780, 492
10/26/15, 1825, 1825, 1700, 1805, 592
10/23/15, 1800, 1840, 1780, 1810, 892
10/22/15, 1800, 1800, 1800, 1800, 1
10/21/15, 1810, 1820, 1785, 1785, 449
10/20/15, 1845, 1845, 1825, 1825, 18
10/19/15, 1850, 1850, 1830, 1830, 17
10/16/15, 1805, 1805, 1795, 1795, 3
10/15/15, 1835, 1835, 1770, 1795, 55
10/14/15, 1790, 1790, 1775, 1775, 21
10/13/15, 1825, 1825, 1825, 1825, 0
