Date, Open, High, Low, Close, Volume
03/31/16, 136.10, 137.40, 136.10, 137.10, 2165517
03/30/16, 135.40, 136.50, 134.70, 136.00, 1702626
03/29/16, 132.80, 135.10, 132.60, 134.80, 1009994
03/24/16, 134.50, 134.50, 132.60, 132.80, 1020018
03/23/16, 133.20, 133.80, 132.40, 133.40, 1081654
03/22/16, 134.30, 135.00, 133.60, 133.60, 563432
03/21/16, 135.70, 136.00, 133.50, 134.20, 1099690
03/18/16, 134.90, 137.00, 134.70, 135.10, 2257470
03/17/16, 134.00, 136.00, 133.50, 135.90, 3462413
03/16/16, 132.40, 133.90, 132.20, 132.60, 1124114
03/15/16, 132.00, 132.70, 131.70, 132.50, 869416
03/14/16, 132.60, 132.70, 131.50, 132.50, 991096
03/11/16, 131.50, 132.00, 131.00, 131.40, 1119540
03/10/16, 132.10, 132.50, 130.20, 130.80, 821571
03/09/16, 129.60, 132.00, 129.20, 131.20, 1370495
03/08/16, 131.40, 131.50, 129.00, 130.40, 1258369
03/07/16, 132.00, 132.00, 130.70, 131.20, 2047628
03/04/16, 135.30, 138.00, 134.30, 137.90, 3147253
03/03/16, 133.50, 135.70, 133.50, 134.90, 1887894
03/02/16, 132.80, 134.50, 132.80, 134.30, 1963664
03/01/16, 131.90, 132.40, 130.90, 132.40, 1573301
02/29/16, 132.00, 132.10, 130.60, 131.40, 1441614
02/26/16, 132.00, 132.40, 130.30, 132.10, 2400649
02/25/16, 131.00, 131.50, 129.90, 130.00, 2233736
02/24/16, 130.60, 132.60, 130.10, 131.10, 1995568
02/23/16, 133.60, 134.00, 130.10, 130.90, 3718775
02/22/16, 126.30, 136.00, 126.30, 134.50, 5081834
02/19/16, 127.10, 127.30, 126.00, 126.30, 717404
02/18/16, 127.90, 127.90, 126.50, 127.10, 1448028
02/17/16, 126.50, 127.30, 125.80, 126.20, 1024770
02/16/16, 127.00, 127.90, 125.90, 126.10, 1884828
02/15/16, 125.20, 127.30, 125.00, 126.50, 2173681
02/12/16, 122.20, 125.00, 122.20, 124.10, 2275667
02/11/16, 123.50, 125.40, 123.50, 124.50, 4288012
02/05/16, 127.00, 129.40, 127.00, 129.00, 2377311
02/04/16, 129.00, 129.60, 127.80, 128.10, 2610595
02/03/16, 126.00, 128.40, 123.80, 127.40, 2569582
02/02/16, 128.80, 128.80, 126.50, 128.20, 1083139
02/01/16, 130.00, 130.00, 126.70, 127.70, 2837075
01/29/16, 123.00, 128.70, 122.70, 128.50, 2736030
01/28/16, 122.20, 124.40, 122.10, 124.10, 2105464
01/27/16, 124.60, 124.70, 121.50, 121.60, 1859540
01/26/16, 124.80, 124.80, 122.70, 122.90, 1348241
01/25/16, 123.90, 126.00, 123.30, 125.60, 3649679
01/22/16, 123.00, 123.40, 121.40, 122.90, 3098857
01/21/16, 127.00, 127.00, 121.10, 121.40, 3830091
01/20/16, 129.00, 129.00, 125.10, 125.20, 3007831
01/19/16, 131.40, 131.40, 126.90, 129.10, 2635783
01/18/16, 131.50, 131.80, 129.70, 130.00, 2219705
01/15/16, 134.10, 134.30, 132.20, 132.30, 1087899
01/14/16, 132.00, 134.10, 131.40, 133.90, 1854911
01/13/16, 133.10, 134.40, 133.10, 133.60, 2319377
01/12/16, 136.00, 136.00, 133.10, 133.60, 2654307
01/11/16, 136.00, 137.80, 135.00, 135.10, 1561422
01/08/16, 138.30, 139.30, 137.50, 138.00, 2505791
01/07/16, 141.40, 141.90, 137.30, 137.40, 2968078
01/06/16, 145.50, 145.50, 141.70, 142.30, 1801440
01/05/16, 142.50, 144.80, 142.40, 144.60, 1210200
01/04/16, 146.50, 147.50, 143.00, 143.00, 2148814
12/31/15, 148.40, 148.90, 147.20, 147.50, 300317
12/30/15, 147.50, 148.20, 146.20, 148.10, 783391
12/29/15, 146.00, 147.80, 145.50, 147.50, 602231
12/28/15, 146.30, 146.80, 145.10, 145.60, 523572
12/24/15, 147.00, 147.80, 146.60, 146.80, 602180
12/23/15, 145.80, 147.00, 144.70, 146.40, 696228
12/22/15, 144.20, 145.30, 144.00, 145.20, 456681
12/21/15, 144.70, 145.50, 144.00, 144.10, 647664
12/18/15, 145.60, 145.90, 144.30, 144.60, 1702765
12/17/15, 145.50, 148.00, 143.80, 147.20, 2126063
12/16/15, 143.20, 144.20, 143.20, 143.60, 800187
12/15/15, 143.70, 144.80, 143.10, 143.70, 1005074
12/14/15, 142.30, 144.60, 141.30, 144.40, 1702149
12/11/15, 142.60, 144.50, 142.60, 143.80, 1214113
12/10/15, 142.50, 144.10, 142.50, 143.70, 1157397
12/09/15, 141.00, 144.50, 141.00, 143.30, 1875418
12/08/15, 143.30, 143.30, 141.50, 142.50, 1636903
12/07/15, 142.30, 143.80, 142.30, 143.60, 880490
12/04/15, 142.70, 143.10, 141.50, 143.00, 968893
12/03/15, 142.20, 142.90, 142.10, 142.50, 803882
12/02/15, 143.40, 143.40, 142.20, 143.10, 1103182
12/01/15, 140.10, 143.80, 140.10, 142.20, 1350461
11/30/15, 142.40, 142.40, 139.90, 140.50, 2913437
11/27/15, 142.00, 142.40, 140.50, 140.80, 1563210
11/26/15, 143.50, 144.60, 141.90, 142.20, 972305
11/25/15, 141.60, 143.10, 141.20, 141.50, 1108299
11/24/15, 142.80, 143.50, 142.00, 142.70, 661577
11/23/15, 144.20, 144.20, 142.60, 143.70, 941291
11/20/15, 143.00, 144.30, 142.50, 144.20, 1144649
11/19/15, 142.30, 143.90, 142.30, 143.80, 1227368
11/18/15, 142.20, 142.50, 140.80, 141.20, 994814
11/17/15, 141.80, 142.50, 141.20, 142.40, 1135933
11/16/15, 141.00, 141.90, 139.60, 140.10, 1616296
11/13/15, 142.20, 143.50, 141.50, 141.60, 1124695
11/12/15, 142.90, 145.00, 141.50, 144.70, 1729713
11/11/15, 141.30, 143.50, 141.00, 142.30, 856639
11/10/15, 142.20, 142.80, 141.00, 141.30, 1767997
11/09/15, 141.60, 144.50, 141.10, 142.60, 1152923
11/06/15, 143.20, 143.20, 141.60, 142.00, 1084651
11/05/15, 144.00, 145.20, 143.20, 143.40, 1468773
11/04/15, 142.70, 147.40, 142.50, 144.90, 2114087
11/03/15, 141.50, 144.00, 141.50, 143.60, 1191175
11/02/15, 142.10, 142.30, 140.10, 141.20, 732050
10/30/15, 144.30, 144.30, 142.20, 142.60, 877858
10/29/15, 144.10, 144.70, 143.10, 143.30, 1290202
10/28/15, 143.80, 145.00, 143.80, 144.70, 803206
10/27/15, 144.40, 145.00, 143.10, 144.70, 914962
10/26/15, 145.00, 145.00, 143.20, 143.40, 857755
10/23/15, 144.10, 144.80, 143.20, 144.70, 1323383
10/22/15, 141.90, 143.70, 141.30, 142.60, 1036114
10/20/15, 142.50, 143.00, 141.50, 141.90, 1240587
10/19/15, 142.60, 142.90, 141.30, 141.90, 993038
10/16/15, 142.00, 143.30, 141.60, 142.60, 2595030
10/15/15, 141.20, 142.40, 140.30, 141.70, 1994954
10/14/15, 139.30, 141.20, 139.20, 140.50, 1637056
10/13/15, 141.00, 141.00, 139.40, 139.60, 2671880
10/12/15, 141.00, 142.10, 141.00, 141.40, 2599637
10/09/15, 143.50, 144.00, 142.00, 142.30, 1222453
10/08/15, 144.40, 145.00, 141.80, 141.90, 2065528
10/07/15, 142.30, 146.00, 141.60, 145.50, 1776235
10/06/15, 147.00, 147.00, 141.00, 141.20, 1395942
10/05/15, 142.90, 144.10, 142.20, 143.90, 1411973
10/02/15, 141.00, 141.90, 139.60, 141.50, 1899273
09/30/15, 140.00, 140.90, 138.50, 139.20, 3349909
09/29/15, 138.10, 139.70, 137.40, 139.50, 2905833
09/25/15, 141.00, 142.50, 140.20, 141.90, 1963691
09/24/15, 143.80, 144.40, 141.50, 141.70, 1762416
09/23/15, 144.80, 145.80, 142.50, 143.00, 2050611
09/22/15, 145.70, 149.40, 145.10, 147.00, 970952
09/21/15, 144.70, 146.70, 144.10, 145.40, 957511
09/18/15, 147.50, 148.00, 144.60, 145.00, 1751681
09/17/15, 147.70, 148.80, 143.00, 146.70, 2784386
09/16/15, 146.60, 149.00, 145.00, 147.20, 1610330
09/15/15, 145.00, 147.60, 144.00, 145.40, 1196040
09/14/15, 146.80, 146.80, 144.70, 145.60, 813035
09/11/15, 146.40, 146.80, 143.60, 145.50, 1301032
09/10/15, 145.40, 146.60, 143.70, 144.60, 2508167
09/09/15, 144.70, 148.10, 144.00, 147.90, 3905425
09/08/15, 139.00, 144.70, 135.80, 144.70, 2626877
09/07/15, 136.50, 138.90, 135.50, 137.30, 1758832
09/04/15, 139.00, 139.00, 134.60, 137.50, 2321659
09/02/15, 137.70, 137.70, 133.20, 135.50, 2203372
09/01/15, 139.00, 139.60, 137.10, 137.70, 2298949
08/31/15, 140.00, 140.80, 136.50, 137.90, 1240403
08/28/15, 140.50, 141.20, 137.50, 138.10, 2097820
08/27/15, 138.00, 139.60, 138.00, 139.30, 2556667
08/26/15, 136.00, 138.80, 134.10, 136.00, 1997577
08/25/15, 131.00, 139.50, 130.80, 138.20, 4565919
08/24/15, 136.00, 137.40, 132.90, 133.00, 4995400
08/21/15, 141.00, 142.20, 136.70, 138.80, 3624242
08/20/15, 145.00, 145.60, 141.30, 142.50, 2618008
08/19/15, 152.30, 152.30, 146.30, 146.40, 3037135
08/18/15, 154.00, 154.00, 150.10, 150.20, 1927120
08/17/15, 154.20, 154.80, 151.80, 152.60, 1562587
