Date, Open, High, Low, Close
03/31/16, 14301.57, 14363.46, 14144.39, 14250.94
03/30/16, 14059.75, 14325.28, 14057.30, 14304.41
03/29/16, 13867.41, 13920.64, 13741.36, 13893.81
03/24/16, 13959.22, 14045.99, 13790.15, 13843.08
03/23/16, 14155.07, 14254.50, 13999.33, 14131.66
03/22/16, 14258.95, 14270.13, 14096.73, 14185.05
03/21/16, 14027.23, 14344.67, 14018.05, 14213.69
03/18/16, 13801.04, 14021.30, 13769.07, 14002.33
03/17/16, 13781.66, 13851.62, 13691.76, 13799.56
03/16/16, 13597.47, 13671.73, 13420.56, 13533.41
03/15/16, 13587.51, 13612.00, 13492.21, 13543.86
03/14/16, 13581.92, 13754.34, 13511.35, 13628.27
03/11/16, 13192.52, 13420.48, 13134.65, 13395.47
03/10/16, 13299.34, 13428.98, 13157.99, 13234.11
03/09/16, 13232.40, 13269.35, 13120.72, 13264.79
03/08/16, 13508.41, 13515.95, 13201.33, 13343.52
03/07/16, 13580.54, 13752.59, 13558.62, 13577.17
03/04/16, 13274.37, 13505.34, 13246.79, 13472.83
03/03/16, 13276.34, 13330.77, 13069.78, 13210.40
03/02/16, 12955.39, 13273.84, 12955.39, 13178.59
03/01/16, 12602.45, 12707.70, 12419.20, 12696.15
02/29/16, 12638.14, 12666.40, 12419.45, 12508.68
02/26/16, 12660.78, 12767.22, 12536.09, 12675.97
02/25/16, 12782.94, 12782.94, 12391.41, 12450.92
02/24/16, 12820.88, 12915.14, 12648.14, 12776.07
02/23/16, 13061.13, 13067.26, 12864.41, 12919.68
02/22/16, 12925.37, 13076.03, 12901.81, 13034.72
02/19/16, 12772.27, 12914.23, 12751.73, 12809.28
02/18/16, 12921.66, 13001.35, 12832.95, 12898.45
02/17/16, 12810.36, 12963.57, 12579.92, 12591.21
02/16/16, 12630.00, 12944.81, 12600.83, 12755.46
02/15/16, 12174.05, 12566.74, 12170.60, 12523.30
02/12/16, 12036.62, 12165.46, 11913.24, 11923.25
02/11/16, 12221.77, 12367.40, 12161.82, 12211.21
02/05/16, 12711.77, 12915.79, 12711.03, 12843.82
02/04/16, 12677.36, 12816.46, 12661.46, 12679.61
02/03/16, 12594.59, 12594.59, 12461.72, 12565.88
02/02/16, 12918.82, 13037.41, 12854.39, 12894.46
02/01/16, 13252.94, 13273.01, 12934.19, 13031.97
01/29/16, 12839.54, 13256.91, 12826.95, 13232.77
01/28/16, 12799.62, 12957.59, 12707.98, 12878.10
01/27/16, 12929.30, 12930.56, 12680.35, 12793.87
01/26/16, 12945.43, 12967.88, 12591.13, 12698.48
01/25/16, 13132.81, 13228.65, 13060.18, 13114.12
01/22/16, 13064.44, 13133.34, 12828.43, 13027.61
01/21/16, 13103.60, 13221.39, 12665.17, 12690.46
01/20/16, 13303.66, 13310.43, 12820.00, 12978.90
01/19/16, 13194.65, 13576.34, 13160.58, 13523.22
01/18/16, 13196.47, 13331.36, 13134.95, 13142.11
01/15/16, 13625.60, 13661.09, 13306.28, 13316.35
01/14/16, 13462.57, 13740.04, 13402.21, 13661.54
01/13/16, 13955.35, 14084.85, 13671.75, 13731.88
01/12/16, 13919.19, 14005.00, 13662.05, 13692.64
01/11/16, 13911.83, 13933.64, 13733.16, 13769.22
01/08/16, 14463.57, 14482.94, 14192.10, 14326.17
01/07/16, 14645.17, 14666.14, 14107.18, 14215.64
01/06/16, 14893.44, 14963.00, 14763.00, 14822.63
01/05/16, 15017.33, 15210.34, 14814.69, 14962.07
01/04/16, 15581.23, 15592.77, 14966.30, 15089.58
12/31/15, 15638.54, 15749.10, 15633.23, 15682.76
12/30/15, 15933.98, 15959.02, 15576.11, 15653.71
12/29/15, 15869.43, 15949.57, 15823.49, 15895.13
12/28/15, 16154.95, 16154.95, 15843.01, 15878.63
12/24/15, 16142.02, 16191.79, 16118.00, 16136.56
12/23/15, 15863.68, 16146.59, 15842.29, 16061.83
12/22/15, 15855.43, 15892.50, 15755.72, 15830.29
12/21/15, 15551.07, 15920.72, 15525.12, 15841.28
12/18/15, 15498.16, 15755.26, 15473.87, 15621.79
12/17/15, 15563.11, 15810.20, 15495.44, 15637.18
12/16/15, 15311.37, 15505.80, 15311.37, 15380.84
12/15/15, 15010.18, 15272.69, 15010.18, 15115.24
12/14/15, 14692.78, 15150.09, 14692.78, 15063.51
12/11/15, 15244.14, 15244.14, 14953.28, 14999.22
12/10/15, 15272.83, 15437.10, 15164.14, 15218.48
12/09/15, 15454.49, 15476.65, 15311.57, 15323.37
12/08/15, 15617.08, 15617.08, 15377.36, 15535.10
12/07/15, 15886.32, 15905.48, 15740.94, 15751.96
12/04/15, 15828.08, 15859.94, 15720.38, 15758.12
12/03/15, 16001.36, 16121.41, 15974.08, 16032.56
12/02/15, 15927.66, 16195.63, 15846.25, 16105.50
12/01/15, 15889.09, 16100.51, 15787.48, 15899.87
11/30/15, 15696.80, 15862.95, 15618.61, 15688.85
11/27/15, 16250.58, 16250.58, 15766.93, 15812.96
11/26/15, 16403.46, 16496.09, 16161.40, 16221.65
11/25/15, 16247.03, 16364.48, 16155.14, 16265.95
11/24/15, 16340.42, 16340.42, 16106.31, 16282.47
11/23/15, 16508.81, 16549.77, 16353.19, 16387.01
11/20/15, 16360.30, 16565.02, 16251.55, 16506.40
11/19/15, 16322.15, 16415.20, 16280.08, 16328.29
11/18/15, 16186.13, 16262.50, 16069.39, 16114.06
11/17/15, 16205.15, 16416.43, 16082.02, 16112.57
11/16/15, 15961.77, 16122.65, 15937.99, 15960.36
11/13/15, 16280.90, 16401.99, 16200.54, 16283.15
11/12/15, 16392.23, 16696.00, 16333.41, 16567.27
11/11/15, 16362.25, 16438.54, 16220.89, 16334.02
11/10/15, 16473.86, 16668.69, 16377.60, 16431.42
11/09/15, 16603.17, 17024.19, 16576.72, 16718.93
11/06/15, 16634.02, 16815.93, 16563.69, 16719.48
11/05/15, 16513.22, 16965.72, 16480.38, 16726.10
11/04/15, 16181.28, 16768.92, 16181.28, 16562.74
11/03/15, 16247.30, 16305.48, 16107.35, 16118.85
11/02/15, 16072.20, 16310.41, 16012.52, 16066.02
10/30/15, 16296.48, 16433.16, 16165.80, 16287.12
