Date, Open, High, Low, Close
03/31/16, 2844.36, 2853.40, 2831.39, 2844.78
03/30/16, 2806.94, 2843.13, 2806.94, 2841.49
03/29/16, 2788.88, 2788.88, 2771.10, 2784.18
03/24/16, 2799.51, 2805.52, 2773.70, 2783.27
03/23/16, 2823.41, 2831.32, 2803.28, 2817.29
03/22/16, 2840.63, 2840.63, 2817.11, 2826.13
03/21/16, 2826.44, 2840.74, 2821.08, 2830.59
03/18/16, 2799.99, 2819.51, 2791.51, 2817.29
03/17/16, 2787.00, 2796.35, 2777.72, 2788.89
03/16/16, 2765.43, 2769.74, 2736.44, 2748.38
03/15/16, 2768.47, 2773.32, 2754.72, 2759.62
03/14/16, 2771.51, 2793.77, 2768.49, 2781.85
03/11/16, 2707.53, 2750.15, 2701.64, 2748.54
03/10/16, 2726.59, 2742.11, 2705.49, 2714.12
03/09/16, 2715.09, 2720.71, 2700.71, 2719.72
03/08/16, 2747.54, 2748.62, 2709.81, 2729.11
03/07/16, 2765.54, 2775.93, 2747.12, 2752.01
03/04/16, 2726.74, 2751.73, 2721.60, 2750.40
03/03/16, 2729.63, 2731.35, 2693.38, 2713.79
03/02/16, 2683.84, 2727.54, 2683.84, 2720.28
03/01/16, 2613.85, 2639.24, 2598.88, 2638.14
02/29/16, 2632.94, 2633.89, 2588.97, 2597.82
02/26/16, 2607.17, 2637.48, 2603.11, 2630.02
02/25/16, 2619.13, 2619.13, 2565.16, 2570.23
02/24/16, 2630.36, 2636.71, 2599.58, 2617.52
02/23/16, 2660.32, 2662.22, 2635.72, 2644.15
02/22/16, 2642.50, 2661.72, 2642.50, 2654.09
02/19/16, 2624.33, 2636.60, 2619.92, 2632.24
02/18/16, 2630.25, 2641.75, 2622.69, 2638.96
02/17/16, 2605.48, 2622.80, 2572.32, 2574.59
02/16/16, 2575.93, 2614.87, 2572.28, 2596.83
02/15/16, 2521.39, 2567.54, 2521.39, 2565.36
02/12/16, 2482.35, 2503.04, 2477.75, 2480.02
02/11/16, 2518.58, 2526.80, 2503.60, 2513.43
02/05/16, 2614.43, 2630.02, 2607.04, 2613.37
02/04/16, 2599.60, 2618.77, 2599.60, 2602.05
02/03/16, 2580.06, 2583.33, 2555.26, 2579.06
02/02/16, 2643.47, 2661.89, 2633.26, 2641.91
02/01/16, 2673.93, 2675.72, 2637.40, 2655.53
01/29/16, 2597.74, 2668.32, 2594.10, 2665.00
01/28/16, 2591.61, 2609.97, 2576.77, 2602.76
01/27/16, 2610.72, 2611.24, 2570.94, 2588.30
01/26/16, 2604.99, 2605.46, 2559.81, 2566.85
01/25/16, 2631.21, 2653.18, 2626.44, 2636.78
01/22/16, 2582.86, 2606.03, 2555.81, 2600.34
01/21/16, 2603.51, 2625.24, 2526.25, 2527.19
01/20/16, 2651.19, 2651.19, 2577.10, 2585.83
01/19/16, 2632.64, 2687.18, 2623.02, 2686.04
01/18/16, 2633.67, 2652.27, 2620.77, 2628.05
01/15/16, 2705.47, 2711.11, 2662.73, 2665.04
01/14/16, 2681.07, 2715.63, 2666.55, 2708.48
01/13/16, 2739.69, 2765.62, 2714.98, 2725.43
01/12/16, 2737.51, 2753.70, 2698.04, 2700.02
01/11/16, 2745.99, 2745.99, 2717.13, 2718.74
01/08/16, 2810.33, 2822.80, 2785.34, 2806.71
01/07/16, 2867.18, 2870.43, 2789.11, 2792.52
01/06/16, 2912.46, 2918.21, 2885.37, 2893.18
01/05/16, 2932.61, 2949.40, 2901.47, 2916.50
01/04/16, 3007.26, 3008.52, 2919.69, 2933.81
12/31/15, 3016.06, 3024.33, 3013.69, 3021.47
12/30/15, 3040.12, 3043.26, 3011.40, 3015.70
12/29/15, 3021.70, 3031.65, 3017.24, 3030.04
12/28/15, 3050.97, 3050.97, 3016.81, 3020.75
12/24/15, 3054.86, 3058.58, 3047.65, 3048.69
12/23/15, 3010.67, 3041.77, 3009.58, 3035.33
12/22/15, 3008.05, 3010.25, 2996.71, 3006.15
12/21/15, 2980.66, 3010.16, 2980.01, 3001.26
12/18/15, 2984.92, 3014.82, 2980.69, 2994.37
12/17/15, 3001.00, 3027.36, 2994.30, 3011.06
12/16/15, 2963.31, 2991.94, 2963.31, 2980.53
12/15/15, 2923.34, 2951.12, 2923.34, 2930.45
12/14/15, 2894.55, 2939.73, 2885.62, 2932.75
12/11/15, 2989.95, 2990.80, 2945.16, 2948.24
12/10/15, 2998.15, 3017.60, 2982.66, 2987.23
12/09/15, 3007.94, 3016.23, 3001.51, 3006.78
12/08/15, 3043.21, 3043.21, 3005.50, 3023.51
12/07/15, 3073.33, 3076.04, 3058.42, 3059.18
12/04/15, 3053.93, 3060.93, 3046.08, 3059.66
12/03/15, 3080.41, 3093.88, 3079.70, 3087.52
12/02/15, 3089.53, 3106.81, 3079.11, 3098.19
12/01/15, 3057.45, 3087.95, 3050.50, 3079.08
11/30/15, 3032.80, 3054.58, 3021.48, 3032.02
11/27/15, 3107.42, 3107.89, 3037.34, 3041.13
11/26/15, 3132.00, 3137.46, 3094.78, 3099.34
11/25/15, 3112.12, 3119.26, 3097.61, 3106.32
11/24/15, 3120.91, 3120.91, 3098.20, 3117.06
11/23/15, 3141.10, 3146.10, 3122.40, 3127.71
11/20/15, 3109.44, 3142.13, 3096.71, 3138.98
11/19/15, 3095.83, 3111.88, 3095.36, 3106.82
11/18/15, 3080.34, 3082.16, 3062.56, 3065.71
11/17/15, 3075.57, 3099.60, 3067.22, 3069.80
11/16/15, 3036.44, 3056.25, 3035.45, 3039.63
11/13/15, 3105.88, 3106.28, 3080.91, 3090.91
11/12/15, 3106.24, 3159.72, 3104.61, 3150.11
11/11/15, 3098.03, 3104.77, 3085.20, 3091.98
11/10/15, 3118.68, 3121.42, 3092.56, 3099.61
11/09/15, 3151.32, 3176.15, 3140.77, 3144.82
11/06/15, 3161.04, 3166.40, 3147.39, 3160.97
11/05/15, 3171.92, 3190.25, 3161.14, 3174.97
11/04/15, 3125.82, 3201.65, 3125.82, 3171.18
11/03/15, 3112.22, 3124.59, 3106.95, 3108.63
11/02/15, 3100.78, 3115.95, 3078.66, 3084.03
