Date, Open, High, Low, Close
03/31/16, 20811.46, 20872.55, 20689.22, 20776.70
03/30/16, 20545.44, 20820.73, 20541.07, 20803.39
03/29/16, 20386.32, 20386.32, 20250.15, 20366.30
03/24/16, 20450.69, 20499.40, 20268.53, 20345.61
03/23/16, 20629.40, 20693.48, 20513.61, 20615.23
03/22/16, 20765.07, 20765.07, 20576.80, 20666.75
03/21/16, 20738.25, 20772.46, 20618.56, 20684.15
03/18/16, 20599.19, 20687.97, 20514.97, 20671.63
03/17/16, 20580.06, 20619.34, 20435.65, 20503.81
03/16/16, 20339.90, 20383.20, 20168.74, 20257.70
03/15/16, 20298.15, 20366.56, 20254.59, 20288.77
03/14/16, 20371.59, 20512.03, 20328.88, 20435.34
03/11/16, 19900.67, 20238.72, 19853.63, 20199.60
03/10/16, 20055.42, 20184.23, 19923.54, 19984.42
03/09/16, 19898.74, 20005.41, 19818.42, 19996.26
03/08/16, 20132.10, 20137.73, 19902.75, 20011.58
03/07/16, 20306.09, 20331.69, 20095.63, 20159.72
03/04/16, 20052.10, 20200.38, 19977.43, 20176.70
03/03/16, 20082.01, 20082.01, 19791.60, 19941.76
03/02/16, 19788.17, 20058.12, 19783.92, 20003.49
03/01/16, 19259.99, 19420.00, 19108.30, 19407.46
02/29/16, 19366.17, 19377.72, 19053.78, 19111.93
02/26/16, 19179.95, 19436.71, 19122.56, 19364.15
02/25/16, 19215.49, 19215.49, 18867.70, 18888.75
02/24/16, 19282.34, 19360.80, 19060.16, 19192.45
02/23/16, 19506.94, 19519.85, 19328.26, 19414.78
02/22/16, 19374.24, 19524.97, 19374.24, 19464.09
02/19/16, 19238.43, 19342.03, 19210.65, 19285.50
02/18/16, 19409.21, 19436.39, 19266.22, 19363.08
02/17/16, 19198.18, 19308.54, 18909.06, 18924.57
02/16/16, 19013.74, 19260.67, 18974.60, 19122.08
02/15/16, 18668.87, 18937.06, 18668.87, 18918.14
02/12/16, 18278.80, 18482.33, 18278.80, 18319.58
02/11/16, 18486.93, 18627.51, 18446.56, 18545.80
02/05/16, 19287.36, 19397.88, 19230.00, 19288.17
02/04/16, 19190.36, 19338.37, 19166.18, 19183.09
02/03/16, 18910.88, 19032.71, 18764.82, 18991.59
02/02/16, 19474.87, 19628.57, 19403.49, 19446.84
02/01/16, 19770.96, 19770.96, 19444.26, 19595.50
01/29/16, 19138.42, 19709.99, 19130.59, 19683.11
01/28/16, 19093.77, 19223.59, 18982.22, 19195.83
01/27/16, 19211.86, 19216.99, 18931.34, 19052.45
01/26/16, 19068.84, 19098.07, 18811.83, 18860.80
