Date, Open, High, Low, Close, Volume
03/31/16, 21.97, 22.20, 21.86, 22.02, 221632
03/30/16, 21.93, 22.28, 21.86, 22.00, 271603
03/29/16, 21.67, 21.89, 21.3201, 21.88, 303681
03/28/16, 22.00, 22.11, 21.80, 21.82, 78835
03/24/16, 21.94, 22.06, 21.75, 21.99, 103261
03/23/16, 22.40, 22.44, 22.09, 22.09, 137391
03/22/16, 22.14, 22.5399, 22.01, 22.50, 85778
03/21/16, 22.46, 22.50, 22.00, 22.29, 107387
03/18/16, 22.04, 22.55, 22.03, 22.43, 233839
03/17/16, 21.39, 22.00, 20.93, 21.89, 197632
03/16/16, 21.68, 21.83, 21.30, 21.47, 143157
03/15/16, 21.90, 22.075, 21.69, 21.79, 84515
03/14/16, 22.14, 22.26, 21.96, 22.09, 176589
03/11/16, 22.11, 22.32, 21.91, 22.18, 184851
03/10/16, 22.03, 22.15, 21.685, 22.03, 199561
03/09/16, 22.29, 22.45, 21.81, 22.03, 137433
03/08/16, 22.21, 22.395, 21.93, 22.15, 120044
03/07/16, 22.10, 22.53, 22.01, 22.45, 94472
03/04/16, 22.28, 22.40, 22.08, 22.30, 121500
03/03/16, 22.04, 22.28, 21.94, 22.18, 85674
03/02/16, 21.72, 22.08, 21.52, 22.05, 196181
03/01/16, 20.97, 21.88, 20.97, 21.69, 156842
02/29/16, 21.26, 21.35, 20.4344, 20.83, 274683
02/26/16, 20.97, 21.42, 20.85, 21.29, 114462
02/25/16, 20.43, 20.96, 20.39, 20.84, 127436
02/24/16, 20.15, 20.62, 20.10, 20.56, 156774
02/23/16, 20.55, 20.68, 20.15, 20.46, 214259
02/22/16, 20.90, 21.47, 20.43, 20.57, 281394
02/19/16, 20.35, 20.65, 20.22, 20.61, 222701
02/18/16, 20.27, 20.59, 20.05, 20.48, 287735
02/17/16, 20.62, 20.91, 20.11, 20.20, 168106
02/16/16, 20.25, 20.89, 19.92, 20.41, 159979
02/12/16, 19.49, 20.33, 19.49, 19.95, 242396
02/11/16, 19.75, 19.85, 18.92, 19.06, 542506
02/10/16, 20.43, 20.95, 20.20, 20.23, 153885
02/09/16, 19.92, 20.48, 19.85, 20.31, 225687
02/08/16, 20.22, 20.24, 19.50, 20.12, 200204
02/05/16, 21.11, 21.30, 20.51, 20.51, 194880
02/04/16, 21.27, 21.79, 20.95, 21.12, 182907
02/03/16, 21.06, 21.44, 20.73, 21.30, 263032
02/02/16, 21.32, 21.51, 20.80, 20.84, 249916
02/01/16, 21.48, 21.96, 21.19, 21.65, 231069
01/29/16, 21.40, 21.75, 21.10, 21.70, 478129
01/28/16, 21.03, 21.80, 21.03, 21.19, 505469
01/27/16, 20.80, 21.03, 19.93, 20.20, 408663
01/26/16, 21.44, 21.44, 20.36, 20.65, 224606
01/25/16, 20.46, 21.415, 19.95, 20.01, 216630
01/22/16, 20.48, 21.47, 20.30, 20.57, 140059
01/21/16, 20.45, 20.89, 20.05, 20.08, 171471
01/20/16, 20.07, 20.80, 19.87, 20.50, 151262
01/19/16, 21.28, 21.28, 20.38, 20.57, 220891
01/15/16, 20.80, 21.22, 20.43, 21.11, 175469
01/14/16, 21.53, 21.82, 20.21, 21.37, 142864
01/13/16, 22.00, 22.00, 21.26, 21.35, 181755
01/12/16, 22.25, 22.25, 21.52, 21.91, 248402
01/11/16, 21.46, 22.1305, 21.385, 22.01, 289822
01/08/16, 23.13, 23.13, 21.35, 21.38, 350686
01/07/16, 22.84, 23.146, 22.80, 22.91, 234989
01/06/16, 22.68, 23.38, 22.68, 23.29, 307617
01/05/16, 23.06, 23.23, 22.62, 23.09, 208395
01/04/16, 23.19, 23.31, 22.74, 22.97, 193974
12/31/15, 23.89, 24.08, 23.41, 23.72, 250235
12/30/15, 24.16, 24.16, 23.90, 23.91, 142460
12/29/15, 24.31, 24.40, 23.99, 24.28, 147371
12/28/15, 24.40, 24.44, 23.92, 24.26, 154650
12/24/15, 24.20, 24.52, 24.14, 24.48, 191745
12/23/15, 24.62, 25.025, 24.24, 24.25, 232029
12/22/15, 24.05, 24.58, 23.56, 24.57, 209825
12/21/15, 23.73, 24.13, 23.62, 23.87, 163931
12/18/15, 24.10, 24.42, 23.09, 23.63, 2044563
12/17/15, 24.02, 24.34, 23.86, 24.14, 286899
12/16/15, 23.53, 24.15, 22.89, 23.98, 328612
12/15/15, 22.92, 23.56, 22.81, 23.44, 247105
12/14/15, 22.93, 23.14, 22.48, 22.72, 220859
12/11/15, 23.18, 23.59, 22.65, 22.95, 303459
12/10/15, 24.01, 24.11, 23.52, 23.61, 228045
12/09/15, 23.84, 24.45, 23.84, 23.96, 516588
12/08/15, 24.41, 24.63, 24.01, 24.03, 163096
12/07/15, 25.41, 25.55, 24.18, 24.59, 239453
12/04/15, 25.29, 25.81, 25.14, 25.58, 175588
12/03/15, 25.39, 25.85, 25.09, 25.24, 190366
12/02/15, 26.17, 26.32, 25.19, 25.20, 309661
12/01/15, 26.29, 26.49, 26.00, 26.23, 249868
11/30/15, 26.39, 26.40, 25.94, 26.10, 240448
11/27/15, 26.16, 26.51, 25.98, 26.32, 150734
11/25/15, 26.78, 26.888, 25.89, 26.17, 285107
11/24/15, 26.90, 27.56, 26.63, 26.72, 530104
11/23/15, 27.35, 27.52, 26.92, 27.02, 317309
11/20/15, 26.70, 27.41, 26.25, 27.25, 247394
11/19/15, 27.01, 27.17, 26.82, 27.04, 110733
11/18/15, 26.85, 27.20, 26.48, 27.11, 120522
11/17/15, 26.69, 27.25, 26.17, 26.81, 164240
11/16/15, 26.40, 26.70, 26.17, 26.56, 86797
11/13/15, 26.58, 26.94, 26.46, 26.50, 169149
