Date, Open, High, Low, Close, Volume
03/31/16, 51.70, 52.10, 50.55, 50.75, 53315
03/30/16, 50.00, 51.70, 49.95, 50.85, 32465
03/29/16, 50.90, 51.35, 49.10, 49.65, 31212
03/28/16, 52.60, 54.00, 51.00, 51.20, 33222
03/23/16, 52.20, 54.30, 51.85, 52.55, 127921
03/22/16, 52.70, 53.10, 51.40, 51.90, 48986
03/21/16, 50.95, 54.70, 50.65, 52.65, 222280
03/18/16, 51.80, 51.80, 49.90, 50.85, 85524
03/17/16, 49.00, 52.20, 48.10, 50.05, 137422
03/16/16, 48.70, 48.70, 47.15, 47.70, 13692
03/15/16, 47.75, 48.55, 47.60, 47.80, 12091
03/14/16, 48.85, 49.55, 47.90, 48.05, 13435
03/11/16, 49.15, 49.30, 48.05, 48.30, 32672
03/10/16, 49.20, 50.30, 48.60, 48.95, 34199
03/09/16, 49.25, 49.75, 48.50, 49.25, 24480
03/08/16, 49.00, 52.05, 49.00, 50.05, 68285
03/04/16, 48.25, 49.70, 47.50, 49.05, 53028
03/03/16, 46.70, 48.90, 46.10, 48.35, 66715
03/02/16, 45.20, 46.90, 45.15, 46.25, 40940
03/01/16, 43.05, 45.45, 43.05, 44.55, 30402
02/29/16, 43.00, 44.25, 43.00, 43.15, 18610
02/26/16, 43.70, 43.85, 42.90, 43.15, 8642
02/25/16, 43.60, 44.15, 43.00, 43.45, 19053
02/24/16, 43.70, 43.75, 42.60, 43.30, 18930
02/23/16, 44.90, 45.20, 43.40, 43.60, 15656
02/22/16, 44.80, 45.40, 44.40, 44.85, 9345
02/19/16, 43.70, 45.20, 42.30, 44.85, 50429
02/18/16, 46.40, 47.00, 43.30, 43.70, 55338
02/17/16, 46.10, 46.60, 45.00, 45.60, 27480
02/16/16, 47.75, 47.75, 45.60, 46.00, 15081
02/15/16, 45.50, 48.40, 45.50, 46.70, 40756
02/12/16, 46.80, 46.80, 44.10, 45.10, 16183
02/11/16, 47.30, 48.40, 45.50, 46.20, 19362
02/10/16, 48.00, 48.35, 47.40, 47.60, 10372
02/09/16, 48.00, 48.65, 48.00, 48.40, 14140
02/08/16, 49.00, 49.80, 48.50, 48.55, 23472
02/05/16, 48.90, 49.85, 48.60, 49.30, 16223
02/04/16, 48.75, 49.10, 48.00, 48.35, 13673
02/03/16, 49.00, 49.30, 46.70, 48.10, 63512
02/02/16, 49.45, 49.90, 49.05, 49.25, 16958
02/01/16, 50.80, 50.80, 49.20, 49.40, 28517
01/29/16, 49.10, 49.75, 48.00, 49.60, 39452
01/28/16, 49.75, 50.05, 48.80, 49.10, 27328
01/27/16, 49.85, 50.10, 49.10, 49.25, 16446
01/25/16, 50.00, 50.60, 49.50, 49.70, 25889
01/22/16, 49.90, 50.30, 48.85, 49.30, 86736
01/21/16, 49.70, 50.05, 48.00, 49.10, 29950
01/20/16, 49.40, 50.00, 48.50, 49.30, 27644
01/19/16, 50.00, 50.80, 49.40, 50.15, 33864
