Date, Open, High, Low, Close, Volume
03/31/16, 192.00, 199.80, 181.00, 183.50, 2509266
03/30/16, 171.00, 175.80, 171.00, 175.15, 352828
03/29/16, 167.80, 171.10, 167.40, 169.80, 65408
03/28/16, 171.00, 171.00, 166.15, 167.85, 49230
03/23/16, 170.15, 172.00, 169.00, 169.60, 45218
03/22/16, 171.50, 172.65, 169.65, 170.05, 60569
03/21/16, 170.10, 173.20, 170.10, 171.50, 51729
03/18/16, 172.00, 173.40, 170.90, 171.55, 81582
03/17/16, 170.10, 172.30, 168.45, 168.95, 44902
03/16/16, 170.80, 171.65, 166.75, 168.80, 38444
03/15/16, 170.25, 172.90, 170.00, 171.45, 94282
03/14/16, 171.95, 172.30, 169.65, 170.50, 72120
03/11/16, 167.00, 171.50, 166.90, 169.45, 122933
03/10/16, 172.05, 173.20, 168.00, 169.45, 52182
03/09/16, 171.00, 174.00, 168.75, 172.20, 67659
03/08/16, 173.30, 178.25, 172.35, 174.55, 84921
03/04/16, 172.00, 176.00, 171.10, 173.30, 176498
03/03/16, 167.00, 172.15, 161.50, 170.20, 121389
03/02/16, 165.00, 166.70, 161.70, 162.30, 40609
03/01/16, 161.20, 165.10, 160.90, 163.00, 52384
02/29/16, 162.50, 163.00, 157.20, 160.20, 32997
02/26/16, 163.25, 164.50, 159.55, 162.40, 47111
02/25/16, 163.40, 164.60, 162.00, 163.70, 29110
02/24/16, 158.30, 164.30, 158.05, 163.75, 96530
02/23/16, 165.95, 165.95, 163.20, 163.90, 52583
02/22/16, 165.00, 165.00, 162.60, 163.75, 14727
02/19/16, 160.00, 166.00, 160.00, 164.15, 17676
02/18/16, 171.70, 171.70, 162.60, 165.05, 72190
02/17/16, 158.70, 165.40, 158.70, 163.25, 74337
02/16/16, 169.00, 170.80, 163.50, 165.45, 77244
02/15/16, 158.60, 170.00, 158.60, 167.90, 74626
02/12/16, 162.00, 162.00, 155.00, 158.30, 110457
02/11/16, 161.00, 163.75, 155.20, 161.75, 239215
02/10/16, 164.40, 167.20, 159.35, 162.05, 1724986
02/09/16, 167.25, 168.65, 161.80, 164.20, 121648
02/08/16, 168.00, 170.00, 165.10, 167.25, 60016
02/05/16, 162.05, 169.70, 162.05, 168.25, 109536
02/04/16, 155.00, 164.80, 155.00, 161.35, 127310
02/03/16, 154.35, 156.50, 153.00, 154.90, 62076
02/02/16, 158.10, 164.00, 154.60, 155.70, 49561
02/01/16, 160.10, 161.95, 157.10, 160.25, 101419
01/29/16, 162.50, 162.80, 155.20, 160.65, 115667
01/28/16, 158.00, 172.50, 157.50, 164.80, 487126
01/27/16, 152.15, 162.25, 151.00, 158.65, 298587
01/25/16, 146.50, 152.55, 146.20, 151.10, 131136
01/22/16, 141.30, 147.40, 141.30, 145.45, 144635
01/21/16, 136.10, 144.00, 136.10, 141.20, 196546
01/20/16, 136.00, 139.75, 135.80, 138.90, 52382
01/19/16, 139.50, 141.70, 137.70, 138.50, 33295
01/18/16, 140.00, 141.00, 137.80, 138.70, 29257
01/15/16, 141.50, 142.20, 136.50, 138.90, 19469
01/14/16, 138.30, 142.50, 138.30, 141.35, 22472
01/13/16, 142.70, 143.00, 139.55, 141.20, 43017
01/12/16, 140.50, 142.75, 140.50, 141.50, 26457
01/11/16, 140.95, 140.95, 137.00, 139.55, 46313
01/08/16, 140.50, 141.95, 138.50, 140.30, 44533
01/07/16, 143.90, 144.55, 138.10, 139.00, 81577
01/06/16, 150.20, 150.50, 145.50, 146.00, 45795
01/05/16, 145.50, 152.20, 143.95, 150.80, 132489
01/04/16, 148.50, 150.50, 144.10, 144.65, 67640
01/01/16, 147.00, 149.40, 146.45, 148.85, 31889
12/31/15, 146.50, 148.00, 145.65, 146.60, 57144
12/30/15, 147.15, 148.35, 145.45, 146.35, 26983
12/29/15, 148.00, 148.40, 144.75, 145.75, 21973
12/28/15, 149.70, 149.70, 146.70, 147.40, 25206
12/24/15, 148.10, 149.45, 146.10, 148.45, 51425
12/23/15, 146.95, 148.80, 145.55, 146.80, 45389
12/22/15, 147.70, 151.40, 143.50, 144.50, 113492
12/21/15, 145.10, 148.35, 143.40, 147.80, 55254
12/18/15, 148.05, 148.70, 145.00, 145.60, 70152
12/17/15, 145.10, 149.70, 145.10, 149.20, 60921
