Date, Open, High, Low, Close, Volume
03/31/16, 192.55, 196.80, 180.70, 183.60, 20990886
03/30/16, 171.50, 176.00, 171.50, 175.05, 1975072
03/29/16, 167.10, 171.45, 167.10, 169.95, 1004592
03/28/16, 170.15, 170.35, 166.20, 168.00, 868427
03/23/16, 170.60, 172.05, 169.05, 169.55, 1058402
03/22/16, 171.85, 172.65, 169.20, 170.00, 1001930
03/21/16, 170.95, 173.20, 170.45, 171.55, 707187
03/18/16, 171.00, 173.20, 171.00, 171.50, 994232
03/17/16, 170.00, 172.40, 168.40, 169.10, 730586
03/16/16, 170.05, 171.90, 166.80, 169.20, 602327
03/15/16, 169.50, 172.90, 169.10, 171.60, 879945
03/14/16, 170.55, 172.20, 169.60, 170.45, 543555
03/11/16, 169.50, 171.75, 166.90, 169.15, 992924
03/10/16, 173.60, 173.85, 168.90, 169.75, 991559
03/09/16, 172.00, 174.50, 168.65, 172.10, 1143845
03/08/16, 172.60, 178.25, 171.80, 174.35, 1787572
03/04/16, 172.85, 176.00, 171.10, 173.45, 2795241
03/03/16, 164.55, 172.30, 161.25, 170.20, 1758944
03/02/16, 164.70, 166.80, 161.50, 162.05, 1399080
03/01/16, 161.10, 165.45, 160.95, 163.00, 1051110
02/29/16, 160.50, 163.20, 156.90, 160.35, 574797
02/26/16, 164.10, 164.50, 159.45, 162.85, 716255
02/25/16, 164.00, 164.75, 161.60, 163.85, 928748
02/24/16, 162.90, 164.35, 158.10, 163.90, 1049226
02/23/16, 164.50, 165.80, 163.20, 163.85, 536131
02/22/16, 163.85, 165.00, 162.90, 163.80, 451514
02/19/16, 165.00, 168.00, 162.90, 164.20, 444324
02/18/16, 165.50, 167.15, 162.50, 165.45, 1533444
02/17/16, 163.75, 165.65, 160.40, 163.25, 1085487
02/16/16, 169.00, 170.90, 163.60, 165.45, 1118583
02/15/16, 160.00, 169.90, 160.00, 167.95, 613458
02/12/16, 161.45, 162.30, 155.05, 158.00, 1403087
02/11/16, 161.00, 163.70, 154.60, 161.15, 1162338
02/10/16, 162.10, 166.85, 159.10, 162.35, 619320
02/09/16, 165.00, 168.45, 161.70, 164.00, 592327
02/08/16, 168.60, 170.00, 165.00, 167.70, 580409
02/05/16, 163.00, 169.50, 163.00, 168.25, 959801
02/04/16, 155.30, 164.95, 155.30, 161.40, 1117926
02/03/16, 155.10, 156.65, 153.00, 154.85, 362758
02/02/16, 159.00, 160.60, 154.50, 155.85, 564526
02/01/16, 160.50, 161.75, 157.15, 160.05, 605007
01/29/16, 163.00, 163.65, 155.05, 161.00, 1492897
01/28/16, 159.00, 173.00, 157.70, 164.55, 8426807
