Date, Open, High, Low, Close
03/31/16, 0.585, 0.590, 0.573, 0.579
03/30/16, 0.644, 0.654, 0.616, 0.616
03/29/16, 0.681, 0.686, 0.665, 0.686
03/25/16, 0.683, 0.683, 0.655, 0.665
03/24/16, 0.683, 0.683, 0.655, 0.665
03/23/16, 0.573, 0.672, 0.573, 0.672
03/22/16, 0.621, 0.631, 0.583, 0.615
03/21/16, 0.605, 0.605, 0.578, 0.584
03/18/16, 0.560, 0.589, 0.560, 0.589
03/17/16, 0.659, 0.659, 0.575, 0.580
03/16/16, 0.722, 0.743, 0.722, 0.743
03/15/16, 0.702, 0.712, 0.676, 0.696
03/14/16, 0.686, 0.697, 0.686, 0.697
03/11/16, 0.646, 0.671, 0.645, 0.655
03/10/16, 0.610, 0.625, 0.610, 0.615
03/09/16, 0.585, 0.595, 0.553, 0.590
03/08/16, 0.627, 0.627, 0.611, 0.611
03/07/16, 0.689, 0.694, 0.637, 0.637
03/04/16, 0.700, 0.700, 0.658, 0.663
03/03/16, 0.690, 0.716, 0.685, 0.705
03/02/16, 0.629, 0.639, 0.583, 0.639
03/01/16, 0.630, 0.630, 0.578, 0.588
02/29/16, 0.630, 0.650, 0.630, 0.640
02/26/16, 0.601, 0.601, 0.599, 0.599
02/25/16, 0.626, 0.626, 0.611, 0.611
02/24/16, 0.602, 0.627, 0.602, 0.627
02/23/16, 0.703, 0.703, 0.622, 0.622
02/22/16, 0.719, 0.719, 0.703, 0.708
02/19/16, 0.710, 0.710, 0.694, 0.709
02/18/16, 0.750, 0.760, 0.720, 0.720
02/17/16, 0.730, 0.745, 0.695, 0.725
02/16/16, 0.800, 0.805, 0.715, 0.715
02/15/16, 0.816, 0.816, 0.724, 0.759
02/12/16, 0.763, 0.793, 0.763, 0.793
02/11/16, 0.837, 0.837, 0.780, 0.780
02/05/16, 0.833, 0.865, 0.833, 0.837
02/04/16, 0.918, 0.918, 0.788, 0.861
02/03/16, 1.003, 1.032, 0.975, 0.975
02/02/16, 0.837, 0.837, 0.820, 0.832
02/01/16, 0.847, 0.847, 0.758, 0.803
01/29/16, 0.936, 0.955, 0.859, 0.870
01/28/16, 0.912, 0.958, 0.902, 0.913
