Date, Open, High, Low, Close, Volume
03/31/16, 7.54, 7.57, 7.54, 7.57, 2000
03/30/16, 7.58, 7.58, 7.54, 7.55, 500
03/29/16, 7.55, 7.55, 7.55, 7.55, 6400
03/28/16, 7.58, 7.59, 7.58, 7.59, 5400
03/24/16, 7.49, 7.49, 7.48, 7.48, 1272
03/23/16, 7.48, 7.48, 7.48, 7.48, 0
03/22/16, 7.42, 7.42, 7.42, 7.42, 0
03/21/16, 7.46, 7.46, 7.44, 7.44, 970
03/18/16, 7.51, 7.51, 7.51, 7.51, 535
03/17/16, 7.44, 7.49, 7.44, 7.49, 2100
03/16/16, 7.45, 7.45, 7.45, 7.45, 1300
03/15/16, 7.37, 7.48, 7.37, 7.48, 400
03/14/16, 7.41, 7.41, 7.36, 7.36, 13003
03/11/16, 7.51, 7.51, 7.44, 7.44, 3500
03/10/16, 7.35, 7.48, 7.35, 7.45, 7597
03/09/16, 7.37, 7.37, 7.32, 7.32, 2300
03/08/16, 7.46, 7.46, 7.44, 7.44, 9900
03/07/16, 7.43, 7.45, 7.36, 7.45, 801
03/04/16, 7.26, 7.26, 7.26, 7.26, 0
03/03/16, 7.35, 7.35, 7.35, 7.35, 200
03/02/16, 7.23, 7.23, 7.23, 7.23, 203
03/01/16, 7.15, 7.15, 7.15, 7.15, 1100
02/29/16, 7.25, 7.25, 7.25, 7.25, 300
02/26/16, 7.10, 7.10, 7.10, 7.10, 0
02/25/16, 7.20, 7.20, 7.09, 7.18, 11600
02/24/16, 7.07, 7.07, 7.07, 7.07, 100
02/23/16, 6.98, 7.13, 6.98, 7.12, 2604
02/22/16, 7.00, 7.21, 6.99, 6.99, 5459
02/19/16, 7.07, 7.14, 7.07, 7.14, 2400
02/18/16, 7.13, 7.13, 7.12, 7.12, 7730
02/17/16, 7.00, 7.19, 7.00, 7.19, 4000
02/16/16, 7.08, 7.08, 7.07, 7.08, 3072
02/12/16, 7.05, 7.05, 7.04, 7.04, 5200
02/11/16, 7.03, 7.03, 7.03, 7.03, 0
02/10/16, 7.11, 7.25, 7.11, 7.13, 1599
02/09/16, 7.26, 7.27, 7.26, 7.27, 2500
