Date, Open, High, Low, Close, Volume
03/31/16, 4565, 4731, 4279, 4700, 3407345
03/30/16, 4356, 4651, 4310, 4527, 3063292
03/29/16, 4607, 4607, 4280, 4280, 1883010
03/24/16, 4300, 4606, 4184, 4550, 4449863
03/23/16, 4744, 4750, 4275, 4297, 4418607
03/22/16, 4601, 4864, 4513, 4848, 3317335
03/18/16, 4810, 4900, 4617, 4720, 3382152
03/17/16, 4551, 4857, 4551, 4762, 3222086
03/16/16, 4300, 4500, 4149, 4443, 2854569
03/15/16, 4570, 4570, 4206, 4208, 3905015
03/14/16, 4976, 5000, 4511, 4602, 4534839
03/11/16, 4785, 4976, 4646, 4976, 2427437
03/10/16, 4625, 4870, 4601, 4710, 5622604
03/09/16, 4687, 4797, 4500, 4573, 4404611
03/08/16, 4964, 5050, 4801, 4870, 5261007
03/07/16, 4595, 5003, 4517, 4964, 7193646
03/04/16, 4630, 4810, 4423, 4514, 6692972
03/03/16, 3850, 4565, 3750, 4400, 8845657
03/02/16, 3800, 3893, 3721, 3825, 22409727
03/01/16, 3375, 3779, 3375, 3661, 6837660
02/29/16, 3100, 3412, 3075, 3346, 11091766
02/26/16, 3360, 3402, 3033, 3100, 7271027
02/25/16, 3400, 3494, 3296, 3350, 4515854
02/24/16, 3400, 3450, 3274, 3322, 3391620
02/23/16, 3420, 3436, 3369, 3400, 2197426
02/22/16, 3430, 3480, 3332, 3400, 2228226
02/19/16, 3488, 3488, 3384, 3428, 2908909
02/18/16, 3470, 3599, 3322, 3420, 3378288
02/17/16, 3350, 3599, 3336, 3462, 4859913
02/16/16, 3520, 3740, 3279, 3350, 4123143
02/15/16, 3550, 3600, 3366, 3550, 3919927
02/12/16, 3400, 3646, 3360, 3526, 5915216
02/11/16, 3350, 3370, 3151, 3300, 6834044
02/10/16, 3680, 3680, 3163, 3166, 5206730
02/09/16, 4020, 4100, 3453, 3529, 9166972
02/08/16, 3850, 4160, 3840, 3936, 8889886
