Date, Open, High, Low, Close, Volume
03/31/16, 34.50, 35.50, 34.25, 35.50, 1718
03/30/16, 33.80, 35.00, 33.80, 34.95, 1573
03/29/16, 33.50, 35.15, 33.40, 33.45, 5777
03/28/16, 38.50, 38.50, 33.75, 33.90, 4617
03/23/16, 38.60, 38.60, 34.10, 34.90, 1549
03/22/16, 34.25, 36.00, 33.90, 34.30, 2098
03/21/16, 36.65, 36.65, 34.20, 35.25, 2013
03/18/16, 36.00, 36.00, 33.40, 33.85, 2837
03/17/16, 35.20, 35.20, 34.00, 34.10, 3910
03/16/16, 34.65, 35.50, 33.00, 35.00, 3074
03/15/16, 35.10, 35.65, 34.75, 34.80, 2464
03/14/16, 35.75, 36.00, 34.65, 35.00, 1876
03/11/16, 35.40, 36.00, 34.75, 35.60, 1716
03/10/16, 37.80, 38.00, 35.25, 36.35, 980
03/09/16, 34.00, 37.00, 34.00, 36.50, 1191
03/08/16, 35.00, 36.00, 34.75, 35.00, 886
03/04/16, 36.00, 36.65, 35.50, 36.65, 1745
03/03/16, 33.20, 35.80, 33.20, 35.80, 2154
03/02/16, 34.50, 35.50, 34.30, 35.50, 2255
03/01/16, 33.10, 35.40, 33.10, 35.30, 607
02/29/16, 35.40, 35.40, 33.10, 33.10, 452
02/26/16, 33.25, 34.00, 32.50, 34.00, 5051
02/25/16, 34.40, 34.40, 33.00, 33.30, 905
02/24/16, 34.00, 34.00, 32.80, 33.00, 2050
02/23/16, 35.90, 35.90, 34.20, 34.20, 2329
02/22/16, 35.00, 37.00, 34.75, 35.20, 1564
02/19/16, 35.60, 36.95, 35.00, 35.70, 975
02/18/16, 35.90, 36.00, 34.10, 36.00, 1180
02/17/16, 35.20, 35.50, 34.50, 35.40, 4475
02/16/16, 38.00, 38.00, 34.50, 34.70, 3400
02/15/16, 37.90, 37.90, 35.85, 36.40, 1287
02/12/16, 35.00, 36.00, 34.00, 35.00, 1940
02/11/16, 38.00, 38.00, 36.50, 36.55, 2147
02/10/16, 39.65, 39.65, 37.50, 38.00, 6726
02/09/16, 38.55, 38.55, 37.50, 37.55, 4944
02/08/16, 40.75, 40.75, 38.50, 39.60, 3658
02/05/16, 38.15, 39.00, 37.40, 38.95, 1493
02/04/16, 38.50, 38.55, 37.25, 37.35, 3334
02/03/16, 38.20, 39.60, 38.10, 38.15, 373
02/02/16, 39.00, 39.25, 38.25, 38.40, 7870
02/01/16, 40.95, 41.00, 38.85, 39.00, 707
01/29/16, 39.15, 40.00, 39.10, 39.50, 4132
01/28/16, 38.90, 41.00, 38.70, 39.95, 2864
01/27/16, 37.75, 40.90, 37.75, 40.85, 1174
01/25/16, 41.20, 41.50, 39.55, 40.20, 6806
01/22/16, 37.00, 41.40, 37.00, 40.70, 14230
01/21/16, 35.75, 37.00, 35.20, 35.90, 4232
01/20/16, 35.10, 37.75, 35.10, 35.60, 6575
01/19/16, 36.75, 37.90, 34.50, 37.65, 8694
01/18/16, 38.10, 39.90, 36.00, 36.45, 10260
01/15/16, 39.95, 40.65, 39.00, 39.65, 5093
01/14/16, 40.60, 41.90, 40.40, 41.85, 4534
01/13/16, 44.00, 44.00, 39.35, 41.05, 27156
01/12/16, 44.00, 45.90, 42.50, 42.75, 37820
01/11/16, 42.60, 44.00, 42.60, 43.45, 20945
01/08/16, 42.00, 46.00, 40.55, 44.10, 68291
01/07/16, 42.30, 42.30, 40.75, 41.30, 6843
01/06/16, 40.40, 44.00, 40.40, 42.30, 39286
01/05/16, 40.00, 41.90, 40.00, 41.75, 10496
01/04/16, 41.40, 42.00, 39.70, 40.40, 5229
01/01/16, 39.60, 41.20, 39.60, 40.85, 2332
12/31/15, 40.95, 41.80, 40.00, 40.40, 3500
12/30/15, 40.95, 40.95, 39.00, 40.30, 817
12/29/15, 40.45, 40.90, 39.60, 39.95, 4979
12/28/15, 39.35, 40.85, 39.30, 40.10, 6230
12/24/15, 39.25, 40.95, 39.20, 40.15, 7612
12/23/15, 40.50, 41.00, 39.30, 39.75, 4550
12/22/15, 41.25, 41.25, 39.60, 39.65, 2681
12/21/15, 39.75, 41.70, 39.50, 40.30, 4511
12/18/15, 41.90, 41.90, 39.20, 39.50, 13225
12/17/15, 41.80, 41.80, 39.80, 40.50, 7621
12/16/15, 39.60, 41.60, 39.60, 41.05, 7710
12/15/15, 41.80, 41.80, 38.70, 40.05, 2471
12/14/15, 41.00, 41.00, 38.10, 39.25, 6390
12/11/15, 39.25, 39.70, 39.00, 39.20, 6066
12/10/15, 38.60, 41.90, 35.60, 40.50, 12380
12/09/15, 40.20, 41.00, 38.60, 38.60, 4740
12/08/15, 41.40, 42.00, 40.10, 40.50, 17217
12/07/15, 45.00, 45.00, 41.00, 42.35, 43743
12/04/15, 41.65, 42.70, 41.60, 42.00, 9345
12/03/15, 40.10, 44.00, 40.10, 42.55, 39942
12/02/15, 44.45, 44.50, 41.50, 42.40, 19815
12/01/15, 44.90, 46.70, 42.05, 42.55, 36568
11/30/15, 39.75, 44.50, 39.10, 43.65, 44564
