Date, Open, High, Low, Close, Volume
03/31/16, 294.133, 294.133, 292.413, 293.15, 14770
03/30/16, 285.58, 291.12, 285.42, 291.12, 3536
03/29/16, 277.96, 277.97, 277.96, 277.97, 200
03/21/16, 288.00, 288.00, 288.00, 288.00, 115
03/14/16, 284.47, 284.47, 284.47, 284.47, 120
03/07/16, 279.597, 279.597, 278.50, 279.597, 10097
03/01/16, 267.21, 267.21, 267.21, 267.21, 246
02/26/16, 272.334, 272.334, 269.878, 272.334, 40161
02/25/16, 262.00, 264.25, 262.00, 264.25, 5750
02/22/16, 290.50, 293.05, 290.50, 293.05, 355
02/19/16, 294.00, 294.00, 293.00, 293.00, 20510
02/12/16, 271.00, 271.85, 271.00, 271.85, 838
02/11/16, 254.292, 254.292, 254.292, 254.292, 100
02/09/16, 255.28, 256.00, 253.80, 256.00, 1290
02/05/16, 270.3999, 270.3999, 264.541, 268.00, 1463
02/04/16, 270.00, 270.01, 270.00, 270.01, 600
02/03/16, 263.284, 269.20, 263.284, 269.1999, 2043
02/01/16, 273.00, 273.00, 273.00, 273.00, 190
01/29/16, 273.2999, 273.2999, 273.2999, 273.2999, 17242
01/25/16, 268.49, 268.50, 266.70, 266.70, 300
01/21/16, 272.35, 272.35, 266.00, 266.00, 607
01/20/16, 266.00, 266.00, 266.00, 266.00, 360
01/14/16, 282.00, 282.00, 282.00, 282.00, 384
01/12/16, 277.00, 281.20, 277.00, 281.20, 706
01/11/16, 282.828, 282.828, 282.828, 282.828, 150
01/07/16, 295.00, 295.00, 278.00, 280.911, 1071
01/06/16, 307.324, 307.324, 307.324, 307.324, 8380
01/05/16, 310.00, 310.00, 310.00, 310.00, 100
12/31/15, 315.00, 315.00, 308.00, 308.00, 359
12/30/15, 321.00, 321.00, 315.00, 315.00, 974
12/29/15, 323.25, 325.00, 322.00, 325.00, 808
12/23/15, 325.75, 329.00, 324.58, 324.58, 723
12/22/15, 310.84, 310.84, 310.84, 310.84, 804
12/21/15, 350.00, 350.00, 297.375, 300.00, 10639
12/17/15, 301.00, 301.31, 300.00, 300.30, 1276
12/09/15, 299.50, 299.50, 299.50, 299.50, 150
12/02/15, 302.15, 302.15, 302.15, 302.15, 305
12/01/15, 299.93, 299.93, 299.93, 299.93, 203
11/30/15, 300.70, 300.70, 300.69, 300.69, 531
11/17/15, 290.00, 290.00, 290.00, 290.00, 126
11/13/15, 287.00, 287.00, 285.7999, 285.7999, 261
11/12/15, 287.00, 287.00, 287.00, 287.00, 100
11/10/15, 295.655, 295.655, 295.655, 295.655, 150
11/03/15, 311.915, 311.915, 310.613, 310.613, 40816
11/02/15, 301.67, 301.6701, 301.67, 301.6701, 279
10/29/15, 273.50, 275.00, 273.50, 275.00, 14663
10/28/15, 257.00, 257.00, 257.00, 257.00, 238
10/27/15, 267.582, 267.582, 264.3664, 264.3664, 10180
10/22/15, 268.1537, 268.1537, 265.52, 265.52, 391
10/14/15, 264.00, 264.00, 264.00, 264.00, 300
10/13/15, 267.18, 267.18, 263.86, 263.86, 302
10/05/15, 249.00, 249.00, 245.43, 245.43, 572
10/02/15, 241.22, 243.00, 238.70, 243.00, 1855
10/01/15, 243.91, 243.91, 236.56, 239.50, 3562
09/30/15, 243.50, 243.50, 243.50, 243.50, 274
09/29/15, 240.01, 240.01, 240.01, 240.01, 555
09/28/15, 245.92, 248.59, 241.91, 243.58, 1171
09/21/15, 266.00, 266.00, 265.00, 265.00, 9798
09/18/15, 267.9174, 267.9174, 267.9174, 267.9174, 117
09/16/15, 274.71, 274.71, 274.71, 274.71, 383
09/11/15, 264.50, 266.00, 264.50, 266.00, 1070
09/09/15, 263.9349, 263.9349, 263.9349, 263.9349, 441
09/08/15, 267.51, 267.51, 267.51, 267.51, 378
09/04/15, 269.01, 269.01, 269.01, 269.01, 243
09/03/15, 271.25, 273.657, 271.25, 271.25, 20354
09/02/15, 271.10, 273.30, 263.697, 270.50, 28898
09/01/15, 279.00, 279.00, 274.00, 274.9056, 1604
08/31/15, 275.58, 279.00, 272.50, 279.00, 1332
08/28/15, 275.63, 279.50, 275.63, 279.50, 614
08/27/15, 275.60, 278.90, 275.60, 278.90, 968
08/26/15, 289.95, 289.95, 270.30, 273.58, 1379
08/25/15, 313.75, 313.75, 265.114, 267.50, 2738
08/24/15, 266.34, 267.4354, 266.34, 267.4354, 633
08/21/15, 266.05, 267.66, 266.005, 266.005, 1682
08/20/15, 267.50, 267.50, 267.50, 267.50, 465
08/19/15, 267.2325, 267.2325, 267.2325, 267.2325, 374
08/18/15, 274.448, 274.448, 270.00, 270.85, 1202
08/17/15, 275.00, 276.00, 272.00, 275.05, 1075
08/14/15, 269.00, 271.70, 269.00, 270.00, 2196
08/12/15, 268.05, 270.15, 267.00, 270.15, 1219
08/10/15, 271.70, 271.70, 271.70, 271.70, 210
08/07/15, 271.70, 271.70, 271.70, 271.70, 610
08/06/15, 257.387, 257.387, 257.387, 257.387, 671
08/05/15, 261.168, 266.00, 259.90, 266.00, 50568
08/04/15, 267.00, 279.40, 265.20, 273.89, 3160
07/31/15, 291.61, 292.00, 290.00, 290.00, 2900
07/27/15, 292.163, 292.163, 280.00, 280.80, 80704
07/24/15, 289.154, 289.668, 289.148, 289.154, 66626
07/21/15, 302.00, 305.00, 302.00, 305.00, 6300
07/20/15, 305.75, 306.28, 305.75, 305.75, 29074
07/17/15, 282.00, 310.193, 282.00, 282.00, 10300
07/16/15, 311.70, 311.70, 309.00, 309.00, 250
07/15/15, 314.37, 316.00, 313.86, 316.00, 800
07/14/15, 323.99, 323.99, 318.7199, 318.7199, 200
07/13/15, 314.112, 314.112, 311.9001, 311.9001, 200
07/10/15, 309.961, 310.693, 309.961, 309.961, 10001
07/08/15, 303.95, 304.85, 303.95, 304.85, 210
07/07/15, 300.0501, 300.0501, 300.0501, 300.0501, 102
07/06/15, 316.693, 319.34, 315.25, 319.34, 912
07/01/15, 334.93, 334.93, 334.93, 334.93, 261
06/30/15, 334.90, 334.90, 334.90, 334.90, 330
06/29/15, 343.6001, 343.96, 343.6001, 343.96, 610
06/26/15, 354.40, 354.40, 354.40, 354.40, 200
06/23/15, 354.50, 357.642, 354.50, 357.642, 2100
06/18/15, 360.03, 362.86, 360.03, 362.86, 400
06/15/15, 352.56, 358.10, 352.56, 357.50, 374
06/10/15, 367.968, 368.245, 367.968, 368.245, 400
06/09/15, 363.50, 363.50, 363.50, 363.50, 100
05/29/15, 368.57, 373.00, 368.57, 373.00, 11833
05/11/15, 360.00, 368.75, 360.00, 368.75, 400
05/04/15, 365.70, 365.70, 365.70, 365.70, 100
04/27/15, 381.1964, 381.1964, 381.1964, 381.1964, 6133
04/23/15, 380.40, 380.40, 379.80, 379.80, 19743
04/20/15, 389.00, 389.00, 387.63, 387.63, 19891
04/16/15, 390.01, 391.01, 388.375, 391.01, 30360
04/15/15, 382.00, 388.00, 382.00, 388.00, 60200
04/14/15, 374.50, 374.50, 366.864, 374.50, 3607
04/10/15, 367.99, 367.99, 367.99, 367.99, 3000
04/09/15, 378.25, 378.25, 378.25, 378.25, 13139
04/08/15, 374.00, 376.29, 374.00, 375.29, 4450
04/07/15, 373.90, 373.90, 373.90, 373.90, 100
04/06/15, 366.00, 370.25, 366.00, 369.43, 924
04/02/15, 368.00, 372.94, 366.90, 368.26, 2500
04/01/15, 360.72, 365.91, 360.38, 365.24, 600
03/31/15, 353.31, 353.78, 351.85, 351.85, 1201
03/27/15, 349.10, 355.00, 349.10, 355.00, 398
03/23/15, 400.00, 400.00, 354.40, 354.40, 200
03/19/15, 351.75, 351.75, 351.75, 351.75, 510
03/18/15, 350.00, 350.00, 350.00, 350.00, 150
03/16/15, 348.01, 348.01, 348.01, 348.01, 500
03/13/15, 342.30, 342.30, 341.80, 341.80, 200
03/03/15, 344.70, 344.70, 344.70, 344.70, 1120
02/26/15, 361.05, 361.05, 361.05, 361.05, 100
02/25/15, 356.60, 356.60, 356.60, 356.60, 100
02/24/15, 361.00, 361.00, 361.00, 361.00, 124
02/19/15, 351.20, 357.90, 351.20, 357.90, 9760
02/12/15, 346.40, 349.40, 346.40, 349.40, 350
02/11/15, 338.99, 338.99, 338.99, 338.99, 160
02/04/15, 337.30, 337.69, 335.69, 335.69, 1000
02/03/15, 329.40, 334.60, 327.60, 334.30, 800
02/02/15, 329.75, 329.75, 324.46, 328.80, 675
01/30/15, 333.70, 333.70, 333.70, 333.70, 300
01/29/15, 334.65, 335.35, 334.65, 335.35, 365
01/26/15, 344.95, 344.95, 344.95, 344.95, 300
01/15/15, 343.80, 365.66, 333.25, 333.25, 1020
01/14/15, 346.00, 346.00, 346.00, 346.00, 100
01/13/15, 360.45, 360.45, 345.50, 347.85, 690
01/12/15, 352.00, 352.95, 352.00, 352.95, 301
01/06/15, 347.00, 347.00, 347.00, 347.00, 175
01/02/15, 365.35, 365.35, 365.35, 365.35, 901
