Date, Open, High, Low, Close, Volume
03/31/16, 6.61, 6.61, 6.61, 6.61, 0
03/30/16, 6.48, 6.48, 6.48, 6.48, 0
03/29/16, 6.40, 6.51, 6.40, 6.47, 50
03/24/16, 6.32, 6.32, 6.32, 6.32, 0
03/23/16, 6.70, 6.70, 6.70, 6.70, 0
03/22/16, 6.72, 6.72, 6.72, 6.72, 0
03/21/16, 6.66, 6.66, 6.66, 6.66, 0
03/18/16, 6.54, 6.54, 6.54, 6.54, 0
03/17/16, 6.32, 6.32, 6.32, 6.32, 0
03/16/16, 6.38, 6.38, 6.38, 6.38, 0
03/15/16, 6.65, 6.65, 6.65, 6.65, 0
03/14/16, 6.48, 6.48, 6.48, 6.48, 0
03/11/16, 6.34, 6.34, 6.34, 6.34, 0
03/10/16, 6.62, 6.62, 6.62, 6.62, 0
03/09/16, 6.49, 6.49, 6.49, 6.49, 0
03/08/16, 6.59, 6.59, 6.59, 6.59, 0
03/07/16, 6.63, 6.63, 6.63, 6.63, 0
03/04/16, 6.50, 6.50, 6.50, 6.50, 0
03/03/16, 6.53, 6.53, 6.53, 6.53, 0
03/02/16, 6.42, 6.42, 6.42, 6.42, 0
03/01/16, 6.32, 6.32, 6.32, 6.32, 0
02/29/16, 6.59, 6.59, 6.59, 6.59, 0
02/26/16, 6.26, 6.26, 6.26, 6.26, 0
02/25/16, 6.72, 6.72, 6.72, 6.72, 0
02/24/16, 6.57, 6.57, 6.57, 6.57, 0
02/23/16, 6.81, 6.81, 6.67, 6.67, 0
02/22/16, 6.77, 6.77, 6.77, 6.77, 0
02/19/16, 6.72, 6.72, 6.72, 6.72, 0
02/18/16, 6.50, 6.50, 6.50, 6.50, 0
02/17/16, 6.41, 6.41, 6.41, 6.41, 0
02/16/16, 6.33, 6.33, 6.33, 6.33, 0
02/15/16, 6.25, 6.25, 6.25, 6.25, 0
02/12/16, 5.78, 5.78, 5.78, 5.78, 0
02/11/16, 5.58, 5.58, 5.58, 5.58, 0
02/10/16, 5.66, 5.66, 5.66, 5.66, 0
02/09/16, 5.93, 5.93, 5.59, 5.59, 0
02/08/16, 6.04, 6.04, 5.80, 5.80, 0
02/05/16, 6.20, 6.20, 6.20, 6.20, 0
02/04/16, 6.15, 6.15, 6.15, 6.15, 0
02/03/16, 6.04, 6.04, 5.90, 5.90, 0
02/02/16, 6.39, 6.39, 6.39, 6.39, 0
02/01/16, 6.36, 6.36, 6.36, 6.36, 0
01/29/16, 6.25, 6.40, 6.25, 6.40, 0
01/28/16, 6.22, 6.22, 6.22, 6.22, 0
01/27/16, 6.28, 6.28, 6.28, 6.28, 0
01/26/16, 6.06, 6.24, 6.06, 6.24, 0
01/25/16, 6.17, 6.17, 6.17, 6.17, 0
01/22/16, 5.91, 5.91, 5.91, 5.91, 0
01/21/16, 6.14, 6.28, 6.14, 6.28, 0
01/20/16, 6.15, 6.15, 6.15, 6.15, 0
01/19/16, 6.38, 6.38, 6.38, 6.38, 0
01/18/16, 6.33, 6.33, 6.33, 6.33, 0
01/15/16, 6.44, 6.44, 6.44, 6.44, 0
01/14/16, 6.41, 6.41, 6.41, 6.41, 0
01/13/16, 6.51, 6.51, 6.51, 6.51, 0
01/12/16, 6.67, 6.67, 6.67, 6.67, 0
01/11/16, 6.77, 6.77, 6.77, 6.77, 0
01/08/16, 6.83, 6.83, 6.83, 6.83, 0
01/07/16, 7.48, 7.48, 7.37, 7.37, 133
01/06/16, 7.72, 7.72, 7.72, 7.72, 0
01/05/16, 7.62, 7.62, 7.62, 7.62, 0
01/04/16, 7.60, 7.60, 7.60, 7.60, 0
12/30/15, 8.09, 8.09, 8.09, 8.09, 0
12/29/15, 7.74, 7.74, 7.74, 7.74, 0
12/28/15, 7.77, 7.77, 7.77, 7.77, 0
12/23/15, 7.73, 7.73, 7.73, 7.73, 0
12/22/15, 7.24, 7.24, 7.24, 7.24, 0
12/21/15, 7.27, 7.27, 7.27, 7.27, 0
12/18/15, 7.13, 7.13, 7.13, 7.13, 0
12/17/15, 7.23, 7.23, 7.22, 7.22, 100
12/16/15, 6.97, 6.97, 6.97, 6.97, 0
12/15/15, 6.70, 6.70, 6.70, 6.70, 0
12/14/15, 6.94, 6.94, 6.94, 6.94, 0
12/11/15, 7.29, 7.29, 7.29, 7.29, 0
12/10/15, 7.18, 7.18, 7.18, 7.18, 0
12/09/15, 7.13, 7.13, 7.13, 7.13, 0
12/08/15, 6.99, 6.99, 6.99, 6.99, 0
12/07/15, 7.26, 7.26, 7.26, 7.26, 0
12/04/15, 7.39, 7.39, 7.39, 7.39, 0
12/03/15, 7.80, 7.80, 7.80, 7.80, 0
12/02/15, 7.67, 7.67, 7.67, 7.67, 0
12/01/15, 7.71, 7.71, 7.71, 7.71, 0
11/30/15, 7.27, 7.27, 7.27, 7.27, 0
11/27/15, 7.43, 7.43, 7.43, 7.43, 0
11/26/15, 7.45, 7.45, 7.45, 7.45, 0
11/25/15, 7.32, 7.32, 7.32, 7.32, 0
11/24/15, 7.23, 7.23, 7.23, 7.23, 0
11/23/15, 7.24, 7.38, 7.24, 7.38, 110
11/20/15, 7.19, 7.19, 7.19, 7.19, 0
11/19/15, 7.28, 7.28, 7.28, 7.28, 0
11/18/15, 7.04, 7.04, 7.04, 7.04, 0
11/17/15, 7.06, 7.06, 7.06, 7.06, 0
11/16/15, 6.86, 6.86, 6.86, 6.86, 0
11/13/15, 6.99, 6.99, 6.99, 6.99, 0
11/12/15, 7.25, 7.25, 7.13, 7.13, 0
11/11/15, 7.33, 7.33, 7.33, 7.33, 0
11/10/15, 7.30, 7.31, 7.30, 7.31, 1700
11/09/15, 7.48, 7.48, 7.48, 7.48, 0
11/06/15, 7.45, 7.58, 7.45, 7.58, 0
11/05/15, 7.60, 7.60, 7.52, 7.52, 0
11/04/15, 7.70, 7.70, 7.70, 7.70, 0
11/03/15, 7.42, 7.42, 7.42, 7.42, 0
11/02/15, 7.36, 7.36, 7.36, 7.36, 0
10/30/15, 7.23, 7.23, 7.23, 7.23, 0
10/29/15, 5.89, 5.89, 5.89, 5.89, 0
10/28/15, 5.83, 5.83, 5.83, 5.83, 0
10/27/15, 6.39, 6.39, 6.39, 6.39, 0
10/26/15, 6.46, 6.46, 6.43, 6.43, 0
10/23/15, 6.23, 6.38, 6.23, 6.38, 0
10/22/15, 6.00, 6.25, 6.00, 6.17, 200
10/21/15, 6.22, 6.22, 6.11, 6.11, 0
10/20/15, 5.94, 5.94, 5.94, 5.94, 0
10/19/15, 5.96, 5.96, 5.96, 5.96, 0
10/16/15, 6.14, 6.14, 6.14, 6.14, 0
10/15/15, 5.88, 5.88, 5.88, 5.88, 0
10/14/15, 5.91, 5.91, 5.91, 5.91, 0
10/13/15, 6.00, 6.00, 6.00, 6.00, 0
10/12/15, 5.95, 5.95, 5.95, 5.95, 0
10/09/15, 5.91, 5.91, 5.91, 5.91, 0
10/08/15, 5.92, 5.92, 5.92, 5.92, 0
10/07/15, 5.80, 5.80, 5.80, 5.80, 0
10/06/15, 5.56, 5.56, 5.56, 5.56, 0
10/05/15, 5.40, 5.40, 5.40, 5.40, 0
10/02/15, 5.22, 5.22, 5.12, 5.12, 0
10/01/15, 5.51, 5.51, 5.25, 5.25, 0
09/30/15, 5.37, 5.37, 5.37, 5.37, 0
09/29/15, 5.38, 5.42, 5.38, 5.42, 0
09/28/15, 5.67, 5.67, 5.67, 5.67, 0
09/25/15, 5.71, 5.71, 5.71, 5.71, 0
09/24/15, 5.96, 5.96, 5.96, 5.96, 0
09/23/15, 5.99, 5.99, 5.99, 5.99, 0
09/22/15, 5.98, 5.98, 5.98, 5.98, 0
09/21/15, 5.99, 5.99, 5.99, 5.99, 0
09/18/15, 6.11, 6.11, 6.11, 6.11, 0
09/17/15, 6.26, 6.26, 6.26, 6.26, 0
09/16/15, 6.05, 6.05, 6.05, 6.05, 0
09/15/15, 6.02, 6.02, 6.02, 6.02, 0
09/14/15, 5.91, 5.91, 5.91, 5.91, 500
09/11/15, 5.94, 5.94, 5.94, 5.94, 0
09/10/15, 6.01, 6.01, 6.01, 6.01, 0
09/09/15, 6.15, 6.15, 6.15, 6.15, 0
09/08/15, 6.14, 6.14, 6.14, 6.14, 0
09/07/15, 6.16, 6.16, 6.16, 6.16, 0
09/04/15, 6.27, 6.27, 6.27, 6.27, 0
09/03/15, 6.11, 6.11, 6.11, 6.11, 0
09/02/15, 6.19, 6.19, 6.19, 6.19, 0
09/01/15, 6.43, 6.43, 6.43, 6.43, 0
08/31/15, 6.26, 6.26, 6.26, 6.26, 0
08/28/15, 6.23, 6.23, 6.23, 6.23, 0
08/27/15, 6.04, 6.04, 6.04, 6.04, 0
08/26/15, 5.92, 6.01, 5.92, 6.01, 1700
08/25/15, 5.86, 5.92, 5.86, 5.92, 0
08/24/15, 5.65, 5.65, 5.65, 5.65, 0
08/21/15, 5.84, 5.84, 5.84, 5.84, 0
08/20/15, 6.09, 6.09, 6.00, 6.00, 0
08/19/15, 6.13, 6.13, 6.13, 6.13, 0
08/18/15, 6.26, 6.26, 6.26, 6.26, 0
08/17/15, 6.20, 6.20, 6.20, 6.20, 0
08/14/15, 6.01, 6.01, 6.01, 6.01, 0
08/13/15, 6.15, 6.15, 6.15, 6.15, 0
08/12/15, 6.12, 6.13, 6.11, 6.13, 0
08/11/15, 6.25, 6.25, 6.25, 6.25, 0
08/10/15, 6.12, 6.12, 6.12, 6.12, 0
08/07/15, 6.17, 6.17, 6.13, 6.13, 0
08/06/15, 6.07, 6.07, 6.07, 6.07, 0
08/05/15, 6.35, 6.35, 6.18, 6.18, 0
08/04/15, 6.44, 6.44, 6.44, 6.44, 0
08/03/15, 6.70, 6.70, 6.70, 6.70, 0
07/31/15, 7.03, 7.03, 7.03, 7.03, 0
07/30/15, 6.98, 6.98, 6.98, 6.98, 0
07/29/15, 6.61, 6.61, 6.61, 6.61, 0
07/28/15, 6.60, 6.60, 6.60, 6.60, 0
07/27/15, 6.76, 6.81, 6.76, 6.81, 0
07/24/15, 6.95, 6.95, 6.95, 6.95, 0
07/23/15, 7.39, 7.39, 7.25, 7.25, 0
07/22/15, 7.39, 7.39, 7.39, 7.39, 0
07/21/15, 7.43, 7.44, 7.43, 7.44, 0
07/20/15, 7.55, 7.55, 7.55, 7.55, 0
07/17/15, 7.66, 7.66, 7.66, 7.66, 0
07/16/15, 7.74, 7.74, 7.74, 7.74, 0
07/15/15, 7.72, 7.72, 7.72, 7.72, 0
07/14/15, 7.67, 7.67, 7.67, 7.67, 0
07/13/15, 7.41, 7.41, 7.41, 7.41, 0
07/10/15, 7.49, 7.49, 7.49, 7.49, 0
07/09/15, 7.38, 7.38, 7.38, 7.38, 0
07/08/15, 7.42, 7.42, 7.42, 7.42, 0
07/07/15, 7.62, 7.62, 7.62, 7.62, 0
07/06/15, 7.75, 7.75, 7.75, 7.75, 0
07/03/15, 7.83, 7.83, 7.83, 7.83, 0
07/02/15, 8.08, 8.08, 8.08, 8.08, 0
