Date, Open, High, Low, Close, Volume
03/31/16, 7.60, 7.97, 7.5655, 7.87, 1298964
03/30/16, 7.50, 7.85, 7.39, 7.64, 1305652
03/29/16, 7.21, 7.495, 7.0199, 7.46, 755779
03/28/16, 7.21, 7.33, 7.09, 7.21, 439732
03/24/16, 7.11, 7.175, 6.96, 7.17, 602508
03/23/16, 7.51, 7.56, 7.10, 7.14, 734607
03/22/16, 7.59, 7.665, 7.515, 7.57, 352734
03/21/16, 7.53, 7.685, 7.38, 7.63, 585623
03/18/16, 7.51, 7.58, 7.27, 7.58, 1697956
03/17/16, 7.16, 7.51, 7.10, 7.45, 506380
03/16/16, 7.13, 7.26, 7.08, 7.14, 578534
03/15/16, 7.39, 7.39, 7.07, 7.13, 472791
03/14/16, 7.22, 7.56, 7.18, 7.47, 800637
03/11/16, 7.17, 7.365, 6.96, 7.30, 702950
03/10/16, 7.35, 7.385, 6.975, 7.08, 460589
03/09/16, 7.21, 7.36, 7.16, 7.32, 660708
03/08/16, 7.30, 7.40, 7.07, 7.17, 593633
03/07/16, 7.32, 7.47, 7.28, 7.36, 927515
03/04/16, 7.20, 7.65, 7.20, 7.35, 711586
03/03/16, 7.16, 7.49, 7.0466, 7.18, 978123
03/02/16, 6.60, 7.155, 6.5501, 7.14, 1161667
03/01/16, 7.02, 7.07, 6.78, 7.01, 677314
02/29/16, 7.32, 7.39, 6.87, 6.93, 1989854
02/26/16, 6.80, 7.31, 6.52, 7.31, 2306067
02/25/16, 6.95, 7.1395, 6.40, 6.97, 1279690
02/24/16, 7.23, 7.79, 7.14, 7.49, 649336
02/23/16, 7.59, 7.63, 7.27, 7.29, 586312
02/22/16, 7.61, 7.7899, 7.54, 7.60, 444199
02/19/16, 7.45, 7.7934, 7.34, 7.55, 1214782
02/18/16, 7.30, 7.54, 7.14, 7.51, 605778
02/17/16, 7.80, 7.80, 7.23, 7.30, 679054
02/16/16, 7.07, 7.285, 6.94, 7.23, 577084
02/12/16, 6.69, 7.07, 6.55, 7.00, 651120
02/11/16, 6.32, 6.62, 6.14, 6.59, 541761
02/10/16, 6.52, 6.69, 6.36, 6.39, 413782
02/09/16, 6.63, 6.75, 6.26, 6.46, 612395
02/08/16, 6.67, 6.99, 6.40, 6.76, 521404
02/05/16, 6.96, 7.04, 6.68, 6.76, 704198
02/04/16, 6.83, 7.05, 6.59, 7.01, 457529
02/03/16, 6.78, 6.96, 6.48, 6.82, 634219
02/02/16, 6.98, 7.12, 6.65, 6.67, 1054295
02/01/16, 6.91, 7.085, 6.84, 7.05, 967271
01/29/16, 6.80, 7.10, 6.80, 6.96, 1268137
01/28/16, 6.89, 6.94, 6.74, 6.80, 400289
01/27/16, 6.83, 6.98, 6.73, 6.81, 487331
01/26/16, 6.71, 7.00, 6.68, 6.90, 622822
01/25/16, 6.72, 6.8625, 6.62, 6.67, 464056
01/22/16, 6.58, 6.79, 6.48, 6.72, 872161
