Date, Open, High, Low, Close, Volume
03/24/16, 92.25, 92.25, 91.985, 92.25, 400
02/19/16, 98.237, 98.237, 98.047, 98.237, 20000
02/18/16, 92.00, 92.00, 92.00, 92.00, 100
02/05/16, 88.057, 88.307, 88.057, 88.057, 20000
01/21/16, 85.80, 85.80, 85.80, 85.80, 900
12/23/15, 106.163, 106.163, 106.163, 106.163, 10000
12/22/15, 103.108, 103.108, 102.75, 103.108, 20000
12/18/15, 94.09, 94.09, 94.09, 94.09, 471
12/01/15, 96.601, 97.375, 96.601, 96.601, 3500
11/18/15, 95.875, 96.105, 95.875, 96.0348, 20000
11/16/15, 93.0816, 93.331, 93.0816, 93.331, 30000
10/22/15, 89.25, 89.25, 89.00, 89.00, 2600
10/14/15, 86.87, 86.87, 86.6171, 86.6171, 1400
09/25/15, 81.00, 81.25, 81.00, 81.25, 100000
09/24/15, 81.00, 81.2305, 81.00, 81.2305, 50000
09/22/15, 87.865, 87.865, 85.652, 85.8584, 60381
09/21/15, 87.48, 87.74, 87.48, 87.74, 40350
09/18/15, 87.00, 87.00, 87.00, 87.00, 360
09/17/15, 88.248, 88.248, 88.094, 88.094, 50000
09/16/15, 88.8791, 89.0959, 88.8791, 89.0959, 38000
09/14/15, 86.661, 86.941, 86.661, 86.941, 40000
09/04/15, 89.00, 89.00, 89.00, 89.00, 100
09/03/15, 87.9836, 89.142, 87.734, 89.142, 40000
09/02/15, 89.5788, 89.5788, 86.4858, 86.5788, 120000
09/01/15, 87.7828, 87.7828, 87.7828, 87.7828, 20000
08/13/15, 85.7246, 86.3684, 85.624, 86.1486, 33477
08/06/15, 85.1458, 85.1458, 85.1458, 85.1458, 3298
08/05/15, 84.9137, 84.9137, 84.9137, 84.9137, 22184
07/24/15, 91.592, 91.798, 91.798, 91.798, 7600
07/20/15, 98.6963, 98.6963, 98.6043, 98.6043, 38482
06/30/15, 106.6557, 107.172, 106.6557, 107.172, 35370
05/08/15, 117.513, 117.763, 117.513, 117.513, 30000
04/16/15, 125.152, 125.978, 125.152, 125.978, 15716
