Date, Open, High, Low, Close, Volume
03/09/16, 0.0001, 0.0001, 0.0001, 0.0001, 4050
03/01/16, 0.00, 0.00, 0.00, 0.00, 1300
02/26/16, 0.001, 0.001, 0.001, 0.001, 300
01/14/16, 0.00, 0.00, 0.00, 0.00, 361
01/08/16, 0.00, 0.00, 0.00, 0.00, 120
12/29/15, 0.001, 0.001, 0.001, 0.001, 200
12/23/15, 0.00, 0.001, 0.00, 0.00, 700
12/22/15, 0.001, 0.001, 0.001, 0.001, 500
12/09/15, 0.0001, 0.0001, 0.0001, 0.0001, 1160
11/25/15, 0.001, 0.001, 0.001, 0.001, 100
11/09/15, 0.001, 0.001, 0.001, 0.001, 100
11/04/15, 0.00, 0.00, 0.00, 0.00, 1200
11/03/15, 0.001, 0.001, 0.001, 0.001, 100
11/02/15, 0.001, 0.001, 0.001, 0.001, 400
10/23/15, 0.001, 0.001, 0.001, 0.001, 1000
10/02/15, 0.0001, 0.0001, 0.0001, 0.0001, 4437
10/01/15, 0.0001, 0.0001, 0.0001, 0.0001, 2000
09/30/15, 0.00, 0.00, 0.00, 0.00, 300
09/08/15, 0.0001, 0.001, 0.0001, 0.0001, 650
09/02/15, 0.001, 0.001, 0.001, 0.001, 500
09/01/15, 0.001, 0.001, 0.001, 0.001, 200
08/07/15, 0.0003, 0.0003, 0.0003, 0.0003, 150
08/04/15, 0.0001, 0.0003, 0.0001, 0.0003, 1893
08/03/15, 0.0001, 0.001, 0.0001, 0.001, 300
07/29/15, 0.001, 0.001, 0.001, 0.001, 200
07/23/15, 0.001, 0.001, 0.001, 0.001, 200
07/17/15, 0.00, 0.00, 0.00, 0.00, 200
07/13/15, 0.00, 0.00, 0.00, 0.00, 100
07/10/15, 0.001, 0.001, 0.001, 0.001, 100
06/22/15, 0.001, 0.001, 0.001, 0.001, 10000
06/18/15, 0.0001, 0.001, 0.0001, 0.001, 600
06/10/15, 0.001, 0.001, 0.001, 0.001, 2500
06/08/15, 0.0001, 0.001, 0.0001, 0.001, 649
05/22/15, 0.001, 0.001, 0.001, 0.001, 800
05/19/15, 0.001, 0.001, 0.001, 0.001, 125
05/18/15, 0.001, 0.001, 0.001, 0.001, 300
05/13/15, 0.0001, 0.0001, 0.0001, 0.0001, 200
05/12/15, 0.0001, 0.0001, 0.0001, 0.0001, 100
05/11/15, 0.0002, 0.0002, 0.0002, 0.0002, 100
05/08/15, 0.001, 0.001, 0.001, 0.001, 200
04/28/15, 0.001, 0.001, 0.001, 0.001, 200
03/27/15, 0.00, 0.001, 0.00, 0.00, 600
03/18/15, 0.0001, 0.0001, 0.0001, 0.0001, 79425
03/16/15, 0.001, 0.001, 0.001, 0.001, 300
03/03/15, 0.0001, 0.0001, 0.0001, 0.0001, 1800
03/02/15, 0.0001, 0.0001, 0.0001, 0.0001, 5091
02/25/15, 0.0001, 0.0001, 0.0001, 0.0001, 250
02/24/15, 0.001, 0.001, 0.001, 0.001, 2000
02/20/15, 0.001, 0.001, 0.001, 0.001, 200
02/19/15, 0.0001, 0.0001, 0.0001, 0.0001, 200
02/17/15, 0.0001, 0.0001, 0.0001, 0.0001, 170
02/13/15, 0.001, 0.001, 0.0001, 0.001, 800
02/11/15, 0.0001, 0.0001, 0.0001, 0.0001, 500
02/09/15, 0.0001, 0.0001, 0.0001, 0.0001, 1600
02/04/15, 0.0001, 0.0001, 0.0001, 0.0001, 100
02/03/15, 0.0001, 0.0001, 0.0001, 0.0001, 100
01/28/15, 0.0001, 0.0001, 0.0001, 0.0001, 135
01/27/15, 0.0001, 0.0001, 0.0001, 0.0001, 515
01/26/15, 0.0001, 0.0001, 0.0001, 0.0001, 500
01/23/15, 0.0001, 0.0001, 0.0001, 0.0001, 913
01/22/15, 0.00, 0.00, 0.00, 0.00, 3795
01/20/15, 0.001, 0.001, 0.001, 0.001, 100
01/14/15, 0.001, 0.001, 0.001, 0.001, 200
01/13/15, 0.001, 0.001, 0.001, 0.001, 115
01/09/15, 0.0001, 0.0001, 0.0001, 0.0001, 10650
