Date, Open, High, Low, Close, Volume
03/31/16, 5.18, 5.18, 5.00, 5.25, 174405
03/30/16, 5.40, 5.40, 5.00, 5.25, 548376
03/29/16, 5.47, 5.47, 5.25, 5.38, 1144759
03/24/16, 5.41, 5.49, 5.25, 5.38, 1299314
03/23/16, 5.38, 5.50, 5.38, 5.38, 1299314
03/22/16, 5.47, 5.50, 5.33, 5.38, 1563927
03/21/16, 5.00, 5.75, 5.00, 5.38, 4814093
03/18/16, 4.45, 4.50, 4.26, 4.38, 94657
03/17/16, 4.28, 4.45, 4.28, 4.38, 115730
03/16/16, 4.50, 4.50, 4.25, 4.38, 262145
03/15/16, 4.53, 4.53, 4.53, 4.63, 9381
03/14/16, 4.55, 4.55, 4.53, 4.63, 15522
03/11/16, 4.50, 4.50, 4.25, 4.63, 121683
03/10/16, 4.80, 4.80, 4.50, 4.63, 306106
03/09/16, 4.80, 4.80, 4.80, 4.75, 60573
03/08/16, 4.55, 4.80, 4.55, 4.75, 40751
03/07/16, 4.82, 4.82, 4.55, 4.75, 36432
03/04/16, 4.75, 4.75, 4.55, 4.75, 159957
03/03/16, 4.85, 4.85, 4.50, 4.63, 333291
03/02/16, 4.75, 5.20, 4.75, 5.13, 22090
03/01/16, 4.75, 4.75, 4.75, 5.13, 25515
02/29/16, 4.85, 4.85, 4.85, 5.13, 20619
02/26/16, 4.75, 5.35, 4.75, 5.13, 221090
02/25/16, 4.66, 4.70, 4.65, 4.63, 141505
02/24/16, 4.30, 4.30, 4.03, 4.38, 208099
02/23/16, 4.55, 4.70, 4.30, 4.38, 63969
02/22/16, 4.38, 4.45, 4.20, 4.38, 276238
02/19/16, 4.30, 4.45, 4.22, 4.25, 320467
02/18/16, 4.25, 4.25, 4.25, 4.63, 38437
02/17/16, 4.25, 4.25, 4.25, 4.63, 34293
02/16/16, 4.25, 4.80, 4.25, 4.63, 2053
02/15/16, 4.80, 4.80, 4.80, 4.63, 10416
02/12/16, 4.63, 4.63, 4.63, 4.63, 23955
02/11/16, 4.70, 4.70, 4.25, 4.63, 23955
02/10/16, 4.30, 4.30, 4.30, 4.63, 100000
02/09/16, 4.35, 4.35, 4.35, 4.63, 68808
02/08/16, 4.36, 4.95, 4.36, 4.63, 286875
02/05/16, 4.36, 4.80, 4.36, 4.63, 31905
02/04/16, 4.36, 4.82, 4.36, 4.50, 33481
02/03/16, 4.97, 4.97, 4.97, 4.50, 5000
02/02/16, 4.35, 4.35, 4.35, 4.50, 14850
02/01/16, 4.36, 4.87, 4.36, 4.63, 3123
01/29/16, 4.87, 4.97, 4.36, 4.63, 102576
01/28/16, 4.82, 4.87, 4.80, 4.63, 135609
01/27/16, 4.84, 4.84, 4.25, 4.50, 28620
01/26/16, 4.20, 4.84, 4.20, 4.50, 127895
01/25/16, 4.47, 4.68, 4.47, 4.38, 85750
01/22/16, 4.38, 4.38, 4.38, 4.38, 66434
01/21/16, 4.30, 4.50, 4.30, 4.38, 66434
01/20/16, 5.25, 5.25, 4.18, 4.38, 392994
01/19/16, 5.31, 5.31, 5.31, 5.63, 8931
01/18/16, 5.63, 5.63, 5.63, 5.63, 103255
01/15/16, 5.35, 5.70, 5.35, 5.63, 103255
01/14/16, 5.36, 5.36, 5.36, 5.63, 2025
01/13/16, 5.88, 5.88, 5.73, 5.63, 58290
01/12/16, 5.73, 5.74, 5.73, 5.75, 101687
01/11/16, 5.97, 5.97, 5.72, 5.75, 210456
01/08/16, 5.90, 6.00, 5.90, 5.75, 73000
01/07/16, 5.90, 5.90, 5.36, 5.63, 104178
01/06/16, 5.36, 5.95, 5.36, 5.63, 72983
01/05/16, 5.33, 5.75, 5.33, 5.50, 46232
01/04/16, 5.50, 5.50, 5.50, 5.50, 1650
12/31/15, 5.70, 5.70, 5.70, 5.50, 1650
12/30/15, 5.65, 5.65, 5.65, 5.50, 30000
12/29/15, 5.20, 5.70, 5.20, 5.50, 202898
12/24/15, 5.22, 5.22, 5.22, 5.13, 98500
12/23/15, 5.25, 5.36, 5.08, 5.13, 98500
12/22/15, 5.10, 5.37, 5.10, 5.25, 11477
12/21/15, 5.38, 5.38, 5.08, 5.25, 82166
12/18/15, 5.25, 5.50, 5.05, 5.25, 426838
12/17/15, 4.80, 4.95, 4.80, 4.88, 665777
12/16/15, 4.75, 4.90, 4.75, 4.88, 350000
12/15/15, 4.90, 4.90, 4.75, 5.00, 102806
12/14/15, 5.08, 5.25, 4.83, 5.13, 399221
12/11/15, 4.83, 4.83, 4.83, 5.00, 25262
12/10/15, 4.83, 4.83, 4.83, 5.00, 31336
12/09/15, 5.34, 5.34, 4.75, 5.00, 935746
12/08/15, 5.40, 5.40, 5.40, 5.50, 10000
12/07/15, 5.70, 5.70, 5.25, 5.50, 327186
12/04/15, 5.40, 5.70, 5.30, 5.50, 163316
12/03/15, 5.13, 5.13, 5.13, 5.13, 21662
12/02/15, 4.86, 5.40, 4.86, 5.13, 21662
12/01/15, 5.25, 5.40, 4.90, 5.13, 230629
11/30/15, 5.22, 5.75, 4.85, 5.38, 223000
11/27/15, 5.19, 5.19, 4.85, 5.00, 279399
11/26/15, 4.50, 5.00, 4.50, 4.63, 269390
11/25/15, 4.50, 5.00, 4.50, 4.63, 26819
11/24/15, 4.36, 5.00, 4.36, 4.63, 30226
11/23/15, 4.05, 5.00, 4.05, 4.63, 138464
11/20/15, 4.12, 4.18, 3.83, 4.00, 444970
11/19/15, 3.75, 4.20, 3.75, 4.13, 334604
11/18/15, 4.25, 4.25, 4.05, 4.00, 166156
