Date, Open, High, Low, Close, Volume
03/31/16, 19580, 19580, 19400, 19410, 69
03/30/16, 19300, 19840, 19300, 19630, 14
03/29/16, 19510, 19760, 19510, 19610, 14
03/28/16, 19000, 19960, 19000, 19510, 256
03/25/16, 20000, 20000, 19330, 19330, 128
03/24/16, 20350, 20350, 19500, 19890, 94
03/23/16, 20160, 20760, 20160, 20350, 185
03/22/16, 20170, 20510, 20120, 20510, 290
03/18/16, 19990, 20150, 19990, 20090, 120
03/17/16, 19760, 20010, 19760, 19990, 164
03/16/16, 19610, 19790, 19600, 19790, 90
03/15/16, 19900, 19900, 19500, 19650, 75
03/14/16, 19900, 19990, 19510, 19920, 194
03/11/16, 19900, 19910, 19750, 19860, 103
03/10/16, 19900, 19900, 19630, 19900, 56
03/09/16, 19600, 19670, 19200, 19670, 205
03/08/16, 19810, 19960, 19810, 19910, 246
03/07/16, 19000, 19590, 19000, 19380, 286
03/04/16, 18410, 18870, 18410, 18700, 365
03/03/16, 18250, 18300, 17890, 18010, 84
03/02/16, 17500, 17940, 17500, 17920, 237
03/01/16, 17050, 17300, 17050, 17260, 101
02/29/16, 17080, 17100, 17010, 17010, 49
02/26/16, 17070, 17480, 17070, 17080, 27
02/25/16, 17200, 17200, 16930, 17060, 243
02/24/16, 17400, 17400, 17340, 17400, 28
02/23/16, 17570, 17570, 17300, 17440, 208
02/22/16, 17750, 17750, 17550, 17600, 67
02/19/16, 18050, 18050, 17770, 17850, 150
02/18/16, 18000, 18980, 18000, 18270, 40
02/17/16, 17940, 18030, 17940, 18030, 22
02/16/16, 18580, 18580, 17950, 18030, 36
02/15/16, 18700, 18700, 17900, 18450, 129
02/12/16, 17950, 18010, 17900, 17900, 205
02/10/16, 18470, 18470, 18110, 18120, 149
02/09/16, 18490, 18490, 18300, 18300, 125
02/08/16, 18490, 18490, 18280, 18450, 14
02/05/16, 18470, 18670, 18470, 18500, 13
02/04/16, 18890, 18890, 18530, 18680, 103
02/03/16, 18550, 18550, 18110, 18280, 107
02/02/16, 19000, 19000, 18730, 18800, 67
02/01/16, 18300, 18900, 18300, 18670, 67
01/29/16, 18290, 18290, 18200, 18280, 47
01/28/16, 17930, 18340, 17930, 18300, 90
01/27/16, 18480, 18480, 18010, 18170, 53
01/26/16, 18000, 18000, 17810, 17850, 84
01/25/16, 18410, 18410, 18000, 18000, 94
01/22/16, 18000, 18180, 17900, 18010, 169
01/21/16, 17800, 18520, 17700, 17700, 349
01/20/16, 18100, 18110, 17840, 18060, 134
01/19/16, 17620, 17720, 17620, 17690, 64
01/18/16, 17500, 17820, 17500, 17620, 97
01/15/16, 17990, 18060, 17840, 17850, 206
01/14/16, 17850, 17850, 17540, 17580, 241
01/13/16, 18050, 18050, 17300, 17450, 601
01/12/16, 18540, 18580, 17900, 18100, 961
01/08/16, 18690, 19000, 18550, 18940, 452
01/07/16, 19100, 19100, 18540, 18650, 1855
01/06/16, 20000, 20930, 19990, 20080, 172
01/05/16, 20290, 20290, 20080, 20150, 286
01/04/16, 20890, 20890, 20500, 20740, 61
12/30/15, 20640, 20920, 20640, 20890, 104
12/29/15, 20760, 20800, 20500, 20740, 49
12/28/15, 20510, 20940, 20510, 20780, 107
12/25/15, 20280, 20800, 20280, 20500, 422
12/24/15, 20890, 20890, 20600, 20650, 125
12/22/15, 20840, 20970, 20670, 20950, 54
12/21/15, 20700, 20850, 20700, 20800, 366
12/18/15, 21010, 21020, 20050, 20850, 789
12/17/15, 21500, 21580, 20610, 21580, 187
12/16/15, 21490, 21490, 21360, 21450, 118
12/15/15, 20580, 21160, 20580, 21050, 86
12/14/15, 20510, 20670, 20510, 20670, 102
12/11/15, 20700, 20800, 20600, 20670, 196
12/10/15, 20790, 21000, 20790, 21000, 140
12/09/15, 20890, 21300, 20750, 21080, 448
12/08/15, 21280, 21280, 21000, 21020, 181
12/07/15, 21110, 21450, 21110, 21280, 110
12/04/15, 20900, 21000, 20650, 20680, 196
12/03/15, 21430, 21430, 20550, 21000, 534
12/02/15, 21700, 21700, 21210, 21440, 334
12/01/15, 21850, 21950, 21660, 21880, 115
11/30/15, 21700, 21700, 21280, 21650, 57
11/27/15, 21990, 21990, 21180, 21300, 52
11/26/15, 21050, 21350, 20980, 21310, 179
11/25/15, 21100, 21100, 20750, 20830, 212
11/24/15, 21400, 21400, 20800, 21100, 134
11/20/15, 21000, 21450, 20890, 21110, 319
11/19/15, 21520, 21520, 21000, 21040, 162
11/18/15, 21220, 21230, 20970, 21020, 459
11/17/15, 21590, 21890, 21350, 21420, 392
11/16/15, 22780, 23080, 21550, 21550, 310
11/13/15, 22250, 22350, 21430, 22100, 419
11/12/15, 22500, 22500, 22220, 22350, 183
11/11/15, 23440, 23440, 22880, 22890, 191
11/10/15, 23250, 23270, 22900, 23270, 115
11/09/15, 23760, 23760, 23120, 23270, 51
11/06/15, 23200, 24230, 23000, 23020, 263
11/05/15, 24060, 24060, 23500, 23520, 76
11/04/15, 24430, 24430, 24220, 24270, 109
11/02/15, 24910, 24940, 24810, 24810, 26
10/30/15, 24900, 24940, 24900, 24940, 9
10/29/15, 25000, 25100, 25000, 25020, 70
10/28/15, 24790, 25000, 24790, 25000, 31
10/27/15, 25000, 25290, 25000, 25290, 92
10/26/15, 25490, 25500, 24490, 25390, 143
10/23/15, 25760, 25760, 24800, 24890, 930
10/22/15, 25540, 25540, 25000, 25000, 33
10/21/15, 25760, 25760, 25190, 25540, 25
10/20/15, 25140, 25160, 25090, 25090, 111
10/19/15, 25210, 25600, 24950, 24970, 63
10/16/15, 25760, 25760, 25500, 25750, 18
10/15/15, 25700, 25700, 25300, 25570, 23
10/14/15, 25200, 25300, 25000, 25200, 118
10/13/15, 25100, 25780, 25100, 25350, 103
10/09/15, 25360, 26100, 25360, 26100, 458
10/08/15, 26000, 26000, 25370, 25590, 453
10/07/15, 25700, 26210, 25660, 26020, 427
10/06/15, 25300, 25600, 25250, 25600, 773
10/05/15, 25110, 26000, 25110, 25640, 462
10/02/15, 24380, 24820, 24380, 24810, 402
10/01/15, 24180, 24180, 23800, 23900, 49
09/30/15, 24150, 24160, 23430, 23830, 327
09/29/15, 24340, 24350, 22760, 23240, 160
09/28/15, 24250, 24450, 24250, 24400, 258
09/25/15, 24080, 24080, 23740, 24050, 222
09/24/15, 23700, 24090, 23560, 23990, 494
09/18/15, 22550, 22550, 22240, 22250, 10
09/17/15, 22230, 22560, 22140, 22560, 256
09/16/15, 22100, 22220, 21810, 21810, 162
09/15/15, 21800, 21800, 21560, 21560, 90
09/14/15, 22000, 22120, 21800, 21800, 189
09/11/15, 22000, 22000, 21820, 21890, 120
09/10/15, 21310, 21680, 21310, 21680, 25
09/09/15, 21040, 21890, 21040, 21870, 408
09/08/15, 21080, 21310, 21080, 21140, 131
09/07/15, 21700, 21700, 20960, 21580, 204
09/04/15, 21690, 21690, 21220, 21220, 27
09/03/15, 21630, 21810, 21630, 21770, 39
09/02/15, 21500, 21600, 21410, 21600, 123
09/01/15, 22170, 22180, 22100, 22110, 360
08/31/15, 21400, 21800, 21400, 21620, 613
08/28/15, 21400, 22090, 21400, 21900, 683
08/27/15, 20550, 20550, 19840, 20360, 476
08/26/15, 20180, 20350, 19820, 20350, 859
08/25/15, 20530, 21590, 20410, 20850, 886
08/24/15, 22980, 22980, 22300, 22300, 427
08/21/15, 24000, 24000, 23500, 23640, 260
08/20/15, 23290, 23760, 23290, 23760, 217
08/19/15, 23750, 23820, 23240, 23440, 129
08/18/15, 23750, 23900, 23750, 23890, 20
08/17/15, 24000, 24100, 23700, 23770, 109
08/14/15, 23900, 23980, 23860, 23860, 178
08/13/15, 24220, 24220, 23830, 24190, 140
08/12/15, 23840, 23840, 23320, 23320, 286
08/11/15, 23600, 23600, 23240, 23340, 109
08/10/15, 23200, 23300, 23180, 23230, 122
08/07/15, 23370, 23370, 23000, 23300, 134
08/06/15, 23130, 23150, 23100, 23120, 285
08/05/15, 23450, 23450, 22990, 23110, 120
08/04/15, 23500, 23500, 22810, 22990, 815
08/03/15, 23900, 23910, 23700, 23890, 243
07/31/15, 24000, 24090, 23960, 23980, 103
07/30/15, 23950, 24110, 23950, 23990, 130
07/29/15, 23690, 24140, 23690, 24100, 312
07/28/15, 23870, 23870, 23500, 23790, 278
07/27/15, 23890, 24490, 23840, 24000, 375
07/24/15, 24500, 24500, 23850, 23870, 639
07/23/15, 24170, 24820, 24170, 24590, 367
07/22/15, 24380, 24380, 23880, 23880, 288
07/21/15, 24010, 24490, 23690, 23880, 1206
07/17/15, 24800, 25400, 24300, 25400, 1117
07/16/15, 25300, 25300, 24670, 25000, 321
07/15/15, 25600, 25600, 25270, 25310, 162
07/14/15, 25650, 25650, 25150, 25290, 303
07/13/15, 25390, 25500, 24750, 24750, 317
07/10/15, 24980, 25030, 24450, 24890, 570
07/09/15, 24940, 25400, 24360, 25400, 539
07/08/15, 25900, 25900, 24600, 24870, 1849
07/07/15, 26290, 26290, 26100, 26200, 100
07/06/15, 26940, 27080, 25710, 25790, 932
07/03/15, 27000, 27000, 26220, 26800, 357
07/02/15, 27000, 27000, 26790, 26910, 172
07/01/15, 26970, 26970, 26000, 26590, 420
06/30/15, 25970, 27470, 25970, 26590, 240
06/29/15, 26020, 26200, 26000, 26050, 639
06/26/15, 26800, 26840, 26260, 26650, 1620
06/25/15, 27090, 27100, 26900, 26950, 612
06/24/15, 27680, 27680, 27090, 27180, 637
06/23/15, 27610, 27610, 26890, 27300, 1044
06/22/15, 27800, 28320, 27110, 27110, 1396
06/19/15, 27750, 28320, 27560, 28320, 195
06/18/15, 28170, 28180, 27810, 27890, 528
06/17/15, 28600, 28600, 28170, 28270, 233
06/16/15, 28330, 28400, 28300, 28400, 112
06/15/15, 28950, 28950, 28130, 28330, 543
06/12/15, 28910, 28990, 28790, 28990, 47
06/11/15, 28920, 28920, 28590, 28720, 75
06/10/15, 28750, 28840, 28430, 28510, 538
06/09/15, 28990, 28990, 28570, 28890, 247
06/08/15, 29030, 29120, 29030, 29120, 20
06/05/15, 29020, 29030, 29010, 29030, 45
06/04/15, 28950, 29110, 28940, 29050, 110
06/03/15, 29500, 29500, 29340, 29450, 163
06/02/15, 29950, 29950, 29760, 29760, 29
06/01/15, 29900, 29950, 29850, 29930, 40
05/29/15, 29900, 29900, 29870, 29870, 69
05/28/15, 29720, 29890, 29710, 29780, 267
05/27/15, 29550, 29580, 29500, 29550, 97
05/26/15, 29300, 29550, 29300, 29550, 325
05/25/15, 29160, 29220, 29160, 29200, 122
05/22/15, 29030, 29170, 29030, 29160, 15
05/21/15, 29210, 29220, 29180, 29190, 58
05/20/15, 28980, 29290, 28980, 29220, 62
05/19/15, 29200, 29200, 29010, 29090, 48
05/18/15, 29230, 29230, 29080, 29200, 77
05/15/15, 29200, 29200, 28820, 28920, 38
05/14/15, 29010, 29280, 28700, 28700, 161
05/13/15, 29410, 29410, 28710, 29170, 58
05/12/15, 28910, 29110, 28910, 29110, 74
05/11/15, 28950, 29390, 28950, 29110, 411
05/08/15, 28990, 29000, 28950, 28950, 62
05/07/15, 28940, 29090, 28940, 29010, 394
05/01/15, 28730, 28730, 28670, 28700, 52
04/30/15, 28800, 28800, 28500, 28500, 207
04/28/15, 28450, 28460, 28450, 28460, 72
04/27/15, 28400, 28400, 28320, 28320, 43
04/24/15, 28420, 28450, 28400, 28400, 46
04/23/15, 28580, 28580, 28370, 28440, 237
04/22/15, 29000, 29100, 28550, 28850, 41
04/21/15, 28500, 28520, 28500, 28520, 2
04/20/15, 28470, 28880, 28470, 28480, 226
04/17/15, 28390, 28880, 28390, 28700, 42
04/16/15, 28390, 28390, 28160, 28350, 58
04/15/15, 28500, 28510, 28300, 28390, 88
04/14/15, 28450, 28650, 28450, 28490, 136
04/13/15, 28520, 28970, 28520, 28760, 153
04/10/15, 28010, 28490, 28010, 28440, 109
04/09/15, 28220, 28390, 28200, 28290, 75
04/08/15, 28400, 28400, 28360, 28380, 79
04/07/15, 28400, 28400, 28350, 28390, 120
04/06/15, 28390, 28390, 28080, 28080, 49
04/03/15, 28410, 28500, 28000, 28000, 152
04/02/15, 28200, 28200, 27900, 27970, 213
04/01/15, 28050, 28050, 27550, 27700, 346
03/31/15, 27960, 27960, 27400, 27550, 504
03/30/15, 28400, 28400, 27300, 28000, 1396
03/27/15, 28850, 28990, 28600, 28990, 100
03/26/15, 28940, 28940, 28440, 28600, 92
03/25/15, 28660, 28660, 28300, 28440, 290
03/24/15, 29390, 29390, 28800, 28800, 42
03/23/15, 28850, 29040, 28770, 28890, 169
03/20/15, 28990, 29100, 28800, 29040, 145
03/18/15, 29020, 29200, 28900, 29000, 229
03/17/15, 29440, 29440, 29000, 29100, 187
03/16/15, 30300, 30300, 29440, 29440, 79
03/13/15, 29690, 29900, 29650, 29820, 31
03/12/15, 29800, 29800, 29500, 29500, 160
03/11/15, 30200, 30200, 30000, 30050, 77
03/10/15, 30500, 30550, 30500, 30500, 29
03/09/15, 30800, 30800, 30500, 30500, 206
03/06/15, 30500, 30950, 30450, 30800, 259
03/05/15, 30050, 30350, 30050, 30350, 110
03/04/15, 30200, 30200, 30150, 30150, 68
03/03/15, 30350, 30400, 30200, 30200, 281
03/02/15, 29820, 30150, 29820, 30150, 389
02/27/15, 29760, 29900, 29760, 29800, 214
02/26/15, 29330, 29780, 29330, 29750, 257
02/25/15, 28860, 29340, 28860, 29280, 301
02/24/15, 28760, 28950, 28760, 28860, 257
02/23/15, 28750, 28800, 28750, 28780, 59
02/20/15, 28810, 28850, 28800, 28830, 81
02/19/15, 28800, 28830, 28750, 28750, 168
02/18/15, 28800, 28840, 28790, 28790, 38
02/17/15, 28790, 28970, 28790, 28800, 93
02/16/15, 28690, 28800, 28680, 28780, 261
02/13/15, 28540, 28680, 28380, 28380, 57
02/12/15, 28500, 28680, 28500, 28500, 74
02/10/15, 28700, 28700, 28690, 28690, 8
02/09/15, 28720, 28720, 28690, 28700, 50
02/06/15, 28570, 28790, 28570, 28600, 12
02/05/15, 28780, 28780, 28700, 28700, 24
02/04/15, 28880, 28880, 28310, 28680, 79
02/03/15, 28470, 28630, 28470, 28470, 34
02/02/15, 28400, 28400, 28120, 28280, 60
01/30/15, 28500, 28500, 28320, 28470, 34
01/29/15, 28800, 28800, 28600, 28750, 184
01/28/15, 28480, 28500, 28470, 28470, 27
01/27/15, 28400, 28470, 28300, 28470, 80
01/26/15, 28590, 28590, 27940, 27940, 106
01/23/15, 28980, 28980, 28090, 28410, 75
01/22/15, 28500, 28500, 28060, 28200, 142
01/21/15, 28550, 28550, 28200, 28540, 80
01/20/15, 27610, 28050, 27610, 28050, 85
01/19/15, 27840, 27840, 27410, 27590, 325
01/16/15, 28060, 28060, 27640, 28020, 309
01/15/15, 28500, 28680, 27560, 28160, 638
01/14/15, 29490, 29700, 29070, 29100, 268
01/13/15, 29260, 29770, 29260, 29450, 103
01/09/15, 29400, 29410, 29250, 29250, 34
01/08/15, 29990, 29990, 29380, 29400, 87
01/07/15, 29400, 29990, 29290, 29990, 181
01/06/15, 29500, 29640, 29300, 29310, 69
01/05/15, 29630, 29930, 29080, 29640, 52
