Date, Open, High, Low, Close, Volume
03/31/16, 9.93, 10.00, 9.73, 9.82, 25440110
03/30/16, 9.77, 9.98, 9.73, 9.97, 31600794
03/29/16, 9.62, 9.84, 9.38, 9.77, 30438376
03/28/16, 10.27, 10.38, 9.54, 9.68, 43430973
03/25/16, 10.07, 10.30, 10.05, 10.25, 20778146
03/24/16, 10.32, 10.46, 10.16, 10.19, 35954541
03/23/16, 10.72, 10.88, 10.38, 10.66, 37753247
03/22/16, 10.97, 11.27, 10.76, 10.84, 51231697
03/21/16, 10.50, 11.22, 10.35, 11.19, 65610758
03/18/16, 10.19, 10.90, 10.10, 10.72, 58257610
03/17/16, 10.09, 10.20, 9.70, 10.05, 41551786
03/16/16, 9.80, 10.15, 9.54, 9.85, 39710226
03/15/16, 9.67, 9.79, 9.46, 9.65, 28169255
03/14/16, 9.65, 10.07, 9.53, 9.86, 30687171
03/11/16, 9.80, 9.80, 9.41, 9.54, 27126027
03/10/16, 10.11, 10.30, 9.80, 9.81, 34389974
03/09/16, 10.20, 10.32, 9.89, 9.91, 49098176
03/08/16, 11.36, 11.36, 10.65, 10.99, 52578709
03/07/16, 11.35, 11.59, 10.90, 11.37, 69518641
03/04/16, 11.04, 11.39, 10.25, 10.91, 90208712
03/03/16, 10.32, 11.13, 10.23, 10.83, 100328937
03/02/16, 9.21, 10.12, 9.02, 10.12, 54768767
03/01/16, 8.97, 9.34, 8.76, 9.20, 35745455
02/29/16, 9.50, 9.59, 8.75, 8.82, 36564531
02/26/16, 9.41, 9.97, 8.80, 9.72, 45000721
02/25/16, 9.90, 10.47, 9.02, 9.33, 56612482
02/24/16, 10.08, 10.20, 9.79, 10.00, 57208029
02/23/16, 9.48, 10.29, 9.18, 10.29, 73753241
02/22/16, 9.13, 9.64, 9.10, 9.35, 45161974
02/19/16, 9.01, 9.15, 8.85, 9.06, 31376632
02/18/16, 9.42, 9.83, 9.13, 9.17, 52814458
02/17/16, 9.25, 9.46, 9.12, 9.35, 45620739
02/16/16, 9.33, 9.80, 9.01, 9.50, 69061960
02/15/16, 8.10, 9.34, 8.10, 9.34, 45712175
02/05/16, 9.20, 9.45, 8.33, 8.49, 68941550
02/04/16, 7.99, 8.59, 7.84, 8.59, 48266563
02/03/16, 7.00, 7.81, 6.97, 7.81, 58277245
02/02/16, 6.77, 7.19, 6.73, 7.10, 38310407
02/01/16, 7.20, 7.46, 6.82, 6.83, 42394430
01/29/16, 7.32, 7.70, 7.21, 7.58, 16788844
01/28/16, 7.93, 8.03, 7.30, 7.30, 20839223
01/27/16, 8.03, 8.30, 7.66, 8.11, 14971886
01/26/16, 9.01, 9.02, 8.21, 8.21, 14861734
01/25/16, 9.12, 9.26, 8.97, 9.12, 12821878
01/22/16, 8.96, 9.15, 8.71, 9.06, 12583319
01/21/16, 9.45, 9.69, 8.74, 8.79, 19360955
01/20/16, 9.80, 10.00, 9.60, 9.64, 18047813
01/19/16, 9.57, 10.02, 9.50, 9.95, 17073953
01/18/16, 9.28, 9.79, 9.19, 9.60, 13409181
01/15/16, 10.08, 10.29, 9.50, 9.60, 15636023
01/14/16, 9.44, 10.08, 9.30, 10.04, 17771501
01/13/16, 10.62, 10.75, 9.80, 9.82, 18734264
01/12/16, 10.85, 10.99, 9.80, 10.63, 17552273
01/11/16, 10.50, 11.30, 10.30, 10.88, 25489209
01/08/16, 10.77, 11.08, 9.73, 10.81, 21211375
01/07/16, 11.40, 11.42, 10.52, 10.52, 6664250
01/06/16, 11.31, 11.77, 11.12, 11.69, 22552231
01/05/16, 11.00, 11.60, 10.63, 11.18, 23540897
01/04/16, 12.87, 13.10, 11.60, 11.60, 12957644
12/31/15, 13.25, 13.28, 12.88, 12.89, 13388434
12/30/15, 13.37, 13.46, 13.08, 13.25, 16270093
12/29/15, 13.05, 13.28, 12.85, 13.26, 15562072
12/28/15, 13.25, 13.54, 13.06, 13.08, 21766134
12/25/15, 13.38, 13.46, 13.15, 13.23, 16798835
12/24/15, 13.42, 13.64, 12.96, 13.37, 21219370
12/23/15, 14.09, 14.17, 13.35, 13.42, 36214310
12/22/15, 13.80, 14.44, 13.77, 14.25, 50310291
12/21/15, 13.67, 14.28, 13.57, 13.89, 49589886
12/18/15, 13.90, 14.28, 13.62, 13.79, 61105967
12/17/15, 13.50, 14.97, 13.22, 14.32, 109589830
12/16/15, 13.74, 13.74, 12.75, 13.73, 113269090
12/15/15, 12.49, 12.49, 12.49, 12.49, 2953353
12/14/15, 11.35, 11.35, 11.35, 11.35, 1130219
12/11/15, 10.32, 10.32, 10.32, 10.32, 538251
08/25/15, 9.38, 9.60, 9.38, 9.38, 19068921
08/24/15, 11.01, 11.01, 10.42, 10.42, 16814028
08/21/15, 12.35, 12.38, 11.49, 11.58, 22231747
08/20/15, 12.42, 13.18, 12.21, 12.48, 30987378
08/19/15, 11.80, 12.66, 11.40, 12.54, 28723854
08/18/15, 14.00, 14.00, 12.52, 12.52, 41637436
08/17/15, 13.28, 13.93, 13.11, 13.91, 35180447
08/14/15, 13.58, 13.71, 13.20, 13.28, 33414239
08/13/15, 12.96, 13.60, 12.88, 13.58, 33036250
08/12/15, 13.20, 13.45, 12.92, 13.05, 35080183
08/11/15, 13.25, 13.94, 13.09, 13.55, 45203127
08/10/15, 12.46, 13.25, 12.46, 13.17, 36918013
08/07/15, 12.18, 12.58, 12.08, 12.43, 28784181
08/06/15, 11.70, 12.18, 11.51, 12.05, 17972187
08/05/15, 12.20, 12.36, 11.80, 11.93, 24886853
08/04/15, 11.50, 12.25, 11.39, 12.23, 27109096
08/03/15, 11.69, 11.69, 10.94, 11.39, 20439455
07/31/15, 11.85, 12.23, 11.55, 11.81, 22095014
07/30/15, 12.47, 12.86, 12.05, 12.21, 36610844
07/29/15, 12.15, 12.65, 11.41, 12.60, 35643539
07/28/15, 11.96, 12.77, 11.67, 11.94, 49556861
07/27/15, 14.19, 14.23, 12.97, 12.97, 45451499
07/24/15, 14.16, 15.20, 14.00, 14.41, 70109491
07/23/15, 13.39, 14.28, 13.21, 14.15, 45688310
07/22/15, 13.63, 13.85, 13.08, 13.45, 39455326
07/21/15, 12.85, 13.64, 12.63, 13.61, 40836439
07/20/15, 12.87, 13.48, 12.62, 13.08, 40536857
07/17/15, 12.12, 13.14, 11.95, 12.97, 34226026
07/16/15, 11.20, 12.49, 10.95, 12.12, 29431904
07/15/15, 13.70, 13.73, 11.90, 11.90, 58862859
07/14/15, 13.22, 13.22, 13.22, 13.22, 2680770
07/13/15, 12.02, 12.02, 12.02, 12.02, 2421915
07/06/15, 13.17, 13.17, 10.93, 10.93, 42079646
07/03/15, 12.88, 13.49, 12.14, 12.14, 31082330
07/02/15, 14.75, 15.47, 13.49, 13.49, 31103854
07/01/15, 16.03, 16.87, 14.99, 14.99, 28592752
06/30/15, 15.66, 16.72, 14.13, 16.66, 32844615
06/29/15, 17.73, 17.78, 15.64, 15.70, 31988261
06/26/15, 18.83, 18.83, 17.38, 17.38, 28190566
06/25/15, 20.70, 20.88, 18.87, 19.31, 28386468
06/24/15, 20.33, 21.05, 20.12, 20.85, 31394054
06/23/15, 19.49, 20.29, 18.60, 20.17, 24401591
06/19/15, 21.40, 21.81, 19.75, 19.77, 23041458
06/18/15, 22.85, 23.09, 21.64, 21.81, 23817512
06/17/15, 21.80, 23.20, 21.52, 23.04, 30556293
06/16/15, 22.73, 22.73, 21.44, 21.79, 31506144
06/15/15, 23.78, 23.78, 22.71, 22.90, 33883185
06/12/15, 24.25, 24.68, 23.50, 23.66, 43305177
06/11/15, 23.50, 24.35, 23.10, 24.01, 42073773
06/10/15, 23.05, 24.71, 22.86, 23.72, 51721712
06/09/15, 23.02, 24.29, 22.40, 23.78, 61979520
06/08/15, 23.70, 25.30, 22.51, 23.14, 97325099
06/05/15, 22.50, 23.51, 22.39, 23.51, 50561430
06/04/15, 19.44, 21.37, 18.50, 21.37, 56099978
06/03/15, 20.02, 20.17, 19.13, 19.43, 36086093
06/02/15, 19.67, 20.10, 19.11, 19.98, 33022329
06/01/15, 18.29, 19.67, 18.19, 19.50, 29897486
05/29/15, 18.80, 19.11, 17.63, 18.28, 30087973
05/28/15, 20.65, 21.20, 18.69, 18.79, 44178083
05/27/15, 20.03, 20.95, 19.71, 20.77, 42885763
05/26/15, 20.08, 20.64, 19.58, 20.33, 38775026
05/25/15, 19.28, 20.00, 19.20, 19.96, 40327641
05/22/15, 18.67, 19.49, 18.53, 19.39, 39722149
05/21/15, 18.52, 18.54, 18.15, 18.52, 25126208
05/20/15, 18.41, 18.87, 18.36, 18.53, 27007810
05/19/15, 18.11, 18.71, 18.05, 18.67, 19815200
05/18/15, 18.40, 18.50, 18.05, 18.18, 22149668
05/15/15, 19.45, 19.75, 18.65, 18.70, 29716458
05/14/15, 18.91, 19.62, 18.39, 19.44, 37106631
05/13/15, 19.22, 19.46, 18.82, 19.02, 27864445
05/12/15, 19.01, 19.29, 18.80, 19.03, 25682161
05/11/15, 18.76, 19.22, 18.45, 19.10, 26052656
05/08/15, 18.36, 18.58, 18.01, 18.49, 23293067
05/07/15, 18.40, 18.67, 17.90, 18.10, 18892619
05/06/15, 18.86, 19.08, 18.00, 18.50, 28048768
05/05/15, 19.80, 19.83, 18.30, 18.42, 29989391
05/04/15, 19.84, 20.19, 19.25, 19.53, 23211664
04/30/15, 20.30, 20.99, 19.72, 19.84, 35959061
04/29/15, 19.95, 20.99, 19.66, 20.49, 51227478
04/28/15, 19.51, 21.08, 19.51, 19.76, 57646844
04/27/15, 19.65, 19.95, 18.90, 19.26, 40146365
04/24/15, 19.00, 19.17, 18.46, 18.76, 35556037
04/23/15, 18.39, 19.69, 18.10, 19.23, 59144358
04/22/15, 18.40, 18.88, 18.18, 18.48, 45772990
04/21/15, 18.06, 18.50, 17.68, 18.35, 35515291
04/20/15, 17.68, 18.75, 17.38, 18.03, 65807229
04/17/15, 16.97, 18.13, 16.84, 17.72, 57055263
04/16/15, 16.47, 16.97, 16.30, 16.82, 21193576
04/15/15, 17.35, 17.71, 16.52, 16.62, 30187360
04/14/15, 17.04, 17.33, 16.70, 17.31, 33151381
04/13/15, 16.92, 17.29, 16.81, 17.07, 28589297
04/10/15, 16.50, 17.00, 16.34, 16.88, 25710720
04/09/15, 17.06, 17.18, 16.28, 16.48, 30843513
04/08/15, 17.60, 17.71, 16.88, 17.10, 42250381
04/07/15, 17.20, 17.75, 17.03, 17.73, 46667663
04/03/15, 16.71, 17.57, 16.65, 17.05, 45270087
04/01/15, 17.00, 17.25, 16.85, 17.13, 36488668
03/31/15, 16.58, 17.27, 16.30, 17.23, 56593238
03/30/15, 16.43, 16.65, 16.37, 16.54, 26452660
03/27/15, 16.65, 16.88, 16.10, 16.52, 24888116
03/26/15, 16.11, 16.85, 15.80, 16.63, 32185306
03/25/15, 16.55, 16.55, 15.99, 16.15, 26563670
03/24/15, 16.60, 16.96, 16.08, 16.45, 34086059
03/23/15, 16.48, 16.77, 16.39, 16.63, 28564683
03/20/15, 16.27, 16.55, 16.12, 16.20, 23211157
03/19/15, 16.18, 16.85, 16.09, 16.38, 33576808
03/18/15, 16.00, 16.23, 15.80, 16.18, 29597493
03/17/15, 15.98, 16.30, 15.80, 16.06, 30289813
03/16/15, 15.93, 16.12, 15.70, 16.08, 28215554
03/13/15, 15.61, 16.00, 15.28, 15.74, 20931026
03/12/15, 15.30, 15.80, 15.11, 15.53, 21653071
03/11/15, 15.30, 15.76, 15.18, 15.34, 18472834
03/10/15, 15.23, 16.30, 15.21, 15.45, 35201428
03/09/15, 15.23, 15.40, 15.03, 15.19, 24206977
03/06/15, 14.39, 15.26, 14.28, 15.18, 36616245
03/05/15, 14.40, 14.59, 14.29, 14.40, 11034637
03/04/15, 14.53, 14.60, 14.28, 14.40, 14319835
03/03/15, 14.41, 14.96, 14.25, 14.54, 23808492
03/02/15, 14.37, 14.63, 14.37, 14.50, 14828087
02/27/15, 14.32, 14.49, 14.16, 14.30, 10989334
02/26/15, 14.16, 14.36, 14.00, 14.35, 11983521
02/25/15, 13.91, 14.39, 13.89, 14.16, 12056178
02/17/15, 14.03, 14.06, 13.79, 13.89, 8666096
02/16/15, 13.73, 13.99, 13.72, 13.98, 10971162
02/13/15, 13.53, 13.84, 13.52, 13.72, 9551931
02/12/15, 13.43, 13.51, 13.36, 13.49, 4336544
02/11/15, 13.48, 13.53, 13.36, 13.45, 6232097
02/10/15, 13.45, 13.60, 13.34, 13.54, 4940183
02/09/15, 13.14, 13.46, 13.12, 13.42, 4187680
02/06/15, 13.41, 13.45, 13.20, 13.23, 7397402
02/05/15, 13.70, 13.80, 13.45, 13.48, 9228316
02/04/15, 13.93, 13.99, 13.51, 13.62, 10512983
02/03/15, 13.80, 13.90, 13.56, 13.76, 9901566
02/02/15, 13.88, 14.05, 13.56, 13.70, 11126578
01/30/15, 14.62, 14.67, 14.20, 14.22, 8762654
01/29/15, 14.31, 14.69, 14.26, 14.59, 11066987
01/28/15, 14.46, 14.58, 14.30, 14.40, 9618535
01/27/15, 14.70, 14.84, 14.45, 14.64, 16478959
01/26/15, 14.35, 14.55, 14.15, 14.51, 14382462
01/23/15, 14.62, 14.78, 14.28, 14.36, 15675182
01/22/15, 14.25, 14.96, 14.25, 14.67, 24374897
01/21/15, 14.11, 14.48, 14.00, 14.32, 16269132
01/20/15, 13.72, 14.10, 13.62, 14.02, 10554573
01/19/15, 13.66, 14.14, 13.40, 13.65, 16168616
01/16/15, 13.62, 13.99, 13.55, 13.90, 10768870
01/15/15, 13.48, 13.60, 13.19, 13.58, 10069699
01/14/15, 13.87, 13.94, 13.44, 13.48, 15020522
01/13/15, 13.90, 14.09, 13.88, 14.00, 6820107
01/12/15, 14.00, 14.14, 13.84, 13.90, 9829240
01/09/15, 14.46, 14.53, 14.09, 14.11, 10876927
01/08/15, 14.75, 14.92, 14.34, 14.45, 11256633
01/07/15, 14.59, 14.99, 14.46, 14.70, 16804278
01/06/15, 14.70, 14.75, 14.30, 14.60, 19344731
01/05/15, 14.24, 14.89, 13.75, 14.86, 38387628
