Date, Open, High, Low, Close, Volume
03/31/16, 14.15, 14.23, 13.90, 14.16, 22929502
03/30/16, 13.96, 14.19, 13.96, 14.15, 19898271
03/29/16, 13.97, 14.10, 13.70, 13.80, 18200938
03/28/16, 14.17, 14.35, 13.92, 13.97, 20478514
03/25/16, 14.13, 14.22, 13.73, 14.09, 24373314
03/24/16, 14.50, 14.50, 14.10, 14.13, 38571890
03/23/16, 14.85, 15.10, 14.65, 14.98, 27771682
03/22/16, 14.97, 15.24, 14.81, 14.93, 30849975
03/21/16, 14.95, 15.33, 14.69, 15.21, 45410527
03/18/16, 14.88, 15.47, 14.83, 15.01, 48293303
03/17/16, 14.43, 14.71, 14.18, 14.54, 28640111
03/16/16, 14.10, 14.27, 13.87, 14.18, 23368252
03/15/16, 14.30, 14.39, 13.90, 14.10, 25304738
03/14/16, 14.28, 15.10, 14.06, 14.57, 42523121
03/11/16, 13.91, 14.52, 13.80, 14.40, 31068669
03/10/16, 14.58, 14.71, 13.81, 13.92, 30543818
03/09/16, 14.70, 14.80, 14.20, 14.54, 44085303
03/08/16, 15.90, 15.90, 15.23, 15.68, 50065230
03/07/16, 15.88, 16.63, 15.32, 15.96, 66570924
03/04/16, 15.11, 15.60, 14.45, 15.12, 57035586
03/03/16, 15.15, 15.88, 14.66, 14.69, 65352438
03/02/16, 13.35, 14.75, 13.30, 14.75, 53592451
03/01/16, 12.58, 13.45, 12.40, 13.41, 33344841
02/29/16, 12.95, 12.95, 11.80, 12.54, 26234670
02/26/16, 12.96, 13.30, 12.37, 13.01, 30345964
02/15/16, 12.60, 13.74, 12.55, 13.45, 28103008
02/05/16, 13.05, 13.25, 12.85, 12.87, 16495166
02/04/16, 12.63, 13.26, 12.63, 13.04, 24344048
02/03/16, 12.23, 12.39, 12.02, 12.33, 8432533
02/02/16, 12.13, 12.42, 12.13, 12.38, 9793557
02/01/16, 12.24, 12.42, 11.86, 12.09, 10199275
01/29/16, 11.80, 12.58, 11.80, 12.41, 14693864
01/28/16, 12.69, 12.90, 12.00, 12.09, 18890908
01/27/16, 12.69, 12.95, 12.20, 12.77, 16156108
01/26/16, 13.33, 13.38, 12.30, 12.47, 18398061
01/25/16, 13.35, 13.60, 13.31, 13.46, 13136082
01/22/16, 13.10, 13.37, 12.95, 13.23, 11700877
01/21/16, 13.31, 13.58, 12.93, 12.95, 16677471
01/20/16, 13.31, 13.65, 13.21, 13.47, 19522287
01/19/16, 13.05, 13.54, 13.00, 13.45, 15349532
01/18/16, 12.60, 13.38, 12.60, 13.00, 18574685
01/15/16, 13.59, 13.59, 12.54, 12.91, 22303414
01/14/16, 13.00, 13.63, 12.91, 13.60, 20456546
01/13/16, 13.56, 13.86, 13.26, 13.31, 18877017
01/12/16, 13.55, 13.79, 13.24, 13.51, 19110762
01/11/16, 14.30, 14.56, 13.40, 13.45, 30573351
01/08/16, 14.00, 14.70, 13.50, 14.49, 31543943
01/07/16, 14.72, 14.77, 13.50, 13.53, 9004556
01/06/16, 14.37, 15.28, 14.11, 14.99, 32436695
01/05/16, 13.91, 14.66, 13.68, 14.20, 28582119
01/04/16, 15.71, 15.77, 14.28, 14.33, 17338093
12/31/15, 15.92, 16.14, 15.73, 15.74, 16663301
12/30/15, 16.09, 16.16, 15.70, 15.91, 16111023
12/29/15, 15.76, 15.95, 15.59, 15.92, 16591574
12/28/15, 16.61, 16.62, 15.70, 15.76, 28473448
12/25/15, 16.53, 16.65, 16.31, 16.59, 15517636
12/24/15, 16.70, 16.98, 16.20, 16.48, 25953692
12/23/15, 16.90, 17.35, 16.59, 16.62, 35711399
12/22/15, 16.88, 17.52, 16.78, 17.09, 44279223
12/21/15, 16.78, 17.09, 16.48, 16.85, 45499540
12/18/15, 16.40, 17.20, 16.00, 16.73, 60237674
12/17/15, 16.55, 16.98, 16.28, 16.61, 55096875
12/16/15, 15.81, 16.80, 15.81, 16.43, 48996940
12/15/15, 16.30, 16.30, 15.74, 15.90, 39522475
12/14/15, 15.11, 16.95, 15.10, 16.39, 72739114
12/11/15, 14.50, 15.94, 14.42, 15.41, 44237692
12/10/15, 14.47, 14.88, 14.42, 14.58, 20341576
12/09/15, 14.42, 14.70, 14.36, 14.48, 12149725
12/08/15, 14.76, 14.80, 14.37, 14.50, 18354260
12/07/15, 15.01, 15.13, 14.89, 14.99, 14355260
12/04/15, 15.17, 15.29, 14.77, 14.84, 20110233
12/03/15, 15.13, 15.37, 15.04, 15.29, 20024351
12/02/15, 14.86, 15.46, 14.78, 15.33, 26937429
12/01/15, 14.49, 14.86, 14.28, 14.78, 16977916
11/30/15, 14.85, 15.00, 13.92, 14.54, 27497692
11/27/15, 15.96, 15.99, 14.61, 14.87, 36267612
11/26/15, 15.68, 16.68, 15.47, 16.08, 58729847
11/25/15, 15.64, 15.85, 15.54, 15.67, 31850685
11/24/15, 15.49, 15.51, 15.11, 15.37, 21785733
11/23/15, 15.48, 16.20, 15.24, 15.59, 40848548
11/20/15, 15.40, 15.68, 15.30, 15.48, 24460879
11/19/15, 15.12, 15.39, 15.12, 15.38, 15593814
11/18/15, 15.13, 15.45, 15.00, 15.05, 17770509
11/17/15, 15.40, 15.69, 15.16, 15.17, 29190005
11/16/15, 14.89, 15.45, 14.81, 15.38, 22609753
11/13/15, 15.55, 15.56, 15.02, 15.12, 40890821
11/12/15, 15.99, 16.50, 15.76, 15.91, 40357260
11/11/15, 16.29, 16.40, 15.81, 16.01, 49634433
11/10/15, 15.30, 16.85, 15.17, 16.69, 75973765
11/09/15, 15.08, 15.64, 14.95, 15.41, 45667999
11/06/15, 14.85, 15.51, 14.78, 15.34, 45139902
11/05/15, 14.63, 15.47, 14.56, 14.97, 59045324
11/04/15, 13.99, 14.58, 13.96, 14.57, 29006722
11/03/15, 13.91, 14.05, 13.82, 13.91, 10618125
11/02/15, 13.90, 14.10, 13.80, 13.85, 13677976
10/30/15, 14.24, 14.29, 13.91, 14.06, 18056729
10/29/15, 14.24, 14.51, 14.21, 14.35, 17423554
10/28/15, 14.20, 14.65, 14.14, 14.33, 25307827
10/27/15, 14.37, 14.40, 13.86, 14.33, 22558176
10/26/15, 14.80, 14.80, 14.40, 14.48, 26209120
10/23/15, 14.12, 14.45, 14.08, 14.42, 27348427
10/22/15, 13.78, 14.18, 13.53, 14.09, 23391409
10/21/15, 14.80, 14.90, 13.40, 13.66, 34064927
10/20/15, 14.73, 14.87, 14.53, 14.81, 29013885
10/19/15, 14.65, 15.42, 14.44, 15.01, 47456355
10/16/15, 14.65, 14.73, 14.45, 14.65, 32003120
10/15/15, 14.35, 14.62, 14.29, 14.61, 22472405
10/14/15, 14.43, 14.86, 14.27, 14.28, 23817497
10/13/15, 14.43, 14.60, 14.23, 14.49, 23244237
10/12/15, 14.35, 14.81, 14.24, 14.68, 36932837
10/09/15, 13.61, 14.27, 13.58, 14.07, 29094865
10/08/15, 13.58, 13.88, 13.51, 13.56, 23489607
09/30/15, 12.92, 13.14, 12.87, 12.99, 11595875
09/29/15, 13.00, 13.05, 12.72, 12.83, 17968565
09/28/15, 13.27, 13.38, 13.06, 13.29, 10573308
09/25/15, 13.70, 13.70, 13.16, 13.27, 18229582
09/24/15, 13.64, 13.80, 13.44, 13.71, 14584714
09/23/15, 13.76, 13.88, 13.46, 13.63, 22666334
09/22/15, 14.12, 14.58, 13.92, 14.21, 27533595
09/21/15, 13.52, 14.16, 13.44, 14.15, 21860424
09/18/15, 14.29, 14.36, 13.70, 13.90, 22922052
09/17/15, 14.35, 14.68, 14.01, 14.09, 39168685
09/16/15, 13.02, 14.16, 12.87, 13.94, 22147233
09/15/15, 13.50, 13.68, 12.60, 12.87, 18201708
09/14/15, 14.53, 14.64, 12.96, 13.76, 35279896
