Date, Open, High, Low, Close, Volume
03/31/16, 7.61, 8.05, 7.59, 7.86, 31756820
03/30/16, 7.55, 7.63, 7.47, 7.61, 9577840
03/29/16, 7.45, 7.54, 7.30, 7.41, 10981458
03/28/16, 7.63, 7.70, 7.43, 7.46, 13865940
03/25/16, 7.49, 7.61, 7.48, 7.61, 7081417
03/24/16, 7.66, 7.70, 7.52, 7.53, 16406238
03/23/16, 7.72, 8.05, 7.61, 7.85, 20752904
03/22/16, 7.81, 7.88, 7.67, 7.75, 20546569
03/21/16, 7.79, 7.95, 7.71, 7.93, 22441266
03/18/16, 7.39, 7.95, 7.33, 7.83, 35192099
03/17/16, 7.25, 7.36, 7.18, 7.30, 12620828
03/16/16, 7.26, 7.39, 7.04, 7.14, 11512080
03/15/16, 7.30, 7.38, 7.13, 7.26, 12690813
03/14/16, 7.31, 7.53, 7.24, 7.40, 16156494
03/11/16, 7.12, 7.31, 7.11, 7.24, 11234303
03/10/16, 7.35, 7.45, 7.13, 7.17, 14285450
03/09/16, 7.56, 7.62, 7.22, 7.30, 28269394
03/08/16, 8.08, 8.08, 7.72, 7.90, 26098130
03/07/16, 7.76, 8.10, 7.62, 8.08, 34769522
03/04/16, 7.65, 7.94, 7.37, 7.59, 35665859
03/03/16, 7.58, 7.92, 7.48, 7.68, 50809497
03/02/16, 6.96, 7.61, 6.88, 7.54, 39983036
03/01/16, 6.63, 6.95, 6.57, 6.93, 19616291
02/29/16, 6.93, 7.02, 6.42, 6.56, 14727352
02/26/16, 6.78, 7.10, 6.70, 6.96, 13936690
02/25/16, 7.27, 7.32, 6.60, 6.80, 22275283
02/24/16, 7.18, 7.31, 7.04, 7.29, 16807788
02/23/16, 7.12, 7.48, 7.09, 7.27, 25372432
02/22/16, 7.01, 7.27, 7.00, 7.12, 22093021
02/19/16, 6.90, 7.01, 6.81, 6.94, 14276922
02/18/16, 6.90, 7.49, 6.88, 7.00, 27374798
02/17/16, 6.86, 6.90, 6.75, 6.88, 16047261
02/16/16, 6.77, 6.95, 6.70, 6.92, 22726599
02/15/16, 6.34, 6.86, 6.30, 6.81, 20208785
02/05/16, 6.79, 6.82, 6.54, 6.58, 16835274
02/04/16, 6.44, 6.89, 6.39, 6.76, 24626316
02/03/16, 6.29, 6.45, 6.20, 6.35, 8930773
02/02/16, 6.18, 6.37, 6.17, 6.36, 9248474
02/01/16, 6.38, 6.39, 6.05, 6.17, 13060119
01/29/16, 6.17, 6.50, 6.15, 6.37, 11456118
01/28/16, 6.40, 6.55, 6.15, 6.20, 10128391
01/27/16, 6.66, 6.76, 6.00, 6.55, 15732827
01/26/16, 6.97, 7.04, 6.50, 6.63, 14982936
01/25/16, 6.95, 7.10, 6.95, 7.00, 10787356
01/22/16, 6.82, 7.06, 6.82, 6.94, 15797456
01/21/16, 7.10, 7.26, 6.75, 6.79, 23333274
01/20/16, 7.26, 7.40, 7.16, 7.20, 18248347
01/19/16, 7.22, 7.41, 7.09, 7.35, 23066493
01/18/16, 7.02, 7.30, 7.00, 7.22, 17575550
01/15/16, 7.56, 7.63, 7.10, 7.21, 32195079
01/14/16, 7.20, 7.94, 7.02, 7.76, 39625436
01/13/16, 7.87, 7.95, 7.37, 7.42, 54569791
01/12/16, 7.26, 7.77, 7.12, 7.77, 43943351
01/11/16, 7.42, 7.48, 7.00, 7.06, 23658595
01/08/16, 7.38, 7.74, 7.12, 7.58, 23333183
01/07/16, 7.80, 7.82, 7.18, 7.18, 6241370
01/06/16, 7.52, 8.05, 7.47, 7.98, 25393210
01/05/16, 7.30, 7.63, 7.15, 7.45, 20004935
01/04/16, 8.27, 8.31, 7.45, 7.48, 12030483
12/31/15, 8.45, 8.48, 8.25, 8.28, 11533310
12/30/15, 8.44, 8.53, 8.30, 8.48, 17569134
12/29/15, 8.23, 8.45, 8.17, 8.45, 16179725
12/28/15, 8.49, 8.54, 8.23, 8.26, 22478237
12/25/15, 8.39, 8.62, 8.33, 8.46, 19290923
12/24/15, 8.31, 8.46, 8.24, 8.39, 20470790
12/23/15, 8.49, 8.53, 8.22, 8.27, 20051158
12/22/15, 8.45, 8.66, 8.39, 8.50, 23107112
12/21/15, 8.32, 8.48, 8.28, 8.45, 23743315
12/18/15, 8.30, 8.35, 8.09, 8.30, 22906596
12/17/15, 8.28, 8.44, 8.21, 8.35, 21446684
12/16/15, 8.16, 8.39, 8.14, 8.22, 20601372
12/15/15, 8.18, 8.28, 8.09, 8.18, 18113326
12/14/15, 7.74, 8.22, 7.71, 8.17, 25516038
12/11/15, 7.68, 8.00, 7.54, 7.84, 21444064
12/10/15, 7.90, 7.96, 7.70, 7.73, 13882568
12/09/15, 7.90, 8.02, 7.82, 7.89, 10379340
12/08/15, 8.17, 8.18, 7.91, 7.91, 14127751
12/07/15, 8.20, 8.34, 8.15, 8.27, 13368994
12/04/15, 8.20, 8.27, 8.09, 8.14, 12875098
12/03/15, 8.22, 8.30, 8.15, 8.28, 14949904
12/02/15, 8.07, 8.25, 7.96, 8.23, 18895944
12/01/15, 8.00, 8.15, 7.91, 8.06, 16558938
11/30/15, 8.14, 8.29, 7.66, 7.99, 26266140
11/27/15, 8.76, 8.81, 7.97, 8.18, 33610866
11/26/15, 8.68, 9.16, 8.57, 8.83, 45230574
11/25/15, 8.68, 8.85, 8.63, 8.73, 29524679
11/24/15, 8.40, 8.66, 8.35, 8.65, 21107170
11/23/15, 8.71, 8.93, 8.46, 8.53, 35646163
11/20/15, 8.56, 8.87, 8.51, 8.74, 39543167
11/19/15, 8.39, 8.54, 8.34, 8.53, 15679480
11/18/15, 8.41, 8.59, 8.30, 8.35, 17892635
11/17/15, 8.48, 8.65, 8.41, 8.42, 28025593
11/16/15, 8.20, 8.45, 8.11, 8.44, 20024677
11/13/15, 8.60, 8.73, 8.30, 8.33, 26982471
11/12/15, 8.66, 8.87, 8.61, 8.69, 41808467
11/11/15, 8.75, 8.80, 8.53, 8.63, 41812271
11/10/15, 8.47, 8.97, 8.33, 8.85, 64729861
11/09/15, 8.35, 8.57, 8.21, 8.49, 46934831
11/06/15, 8.24, 8.53, 8.18, 8.43, 41238656
