Date, Open, High, Low, Close
03/31/16, 14.16, 14.61, 13.75, 14.45
03/30/16, 14.10, 14.33, 13.51, 13.96
03/29/16, 16.01, 16.24, 13.15, 14.45
03/28/16, 15.75, 15.98, 14.99, 15.32
03/24/16, 16.39, 16.47, 14.81, 14.86
03/23/16, 15.03, 17.24, 14.64, 15.14
03/22/16, 14.86, 17.11, 14.16, 14.61
03/21/16, 14.76, 14.90, 13.72, 14.14
03/18/16, 14.23, 14.38, 13.54, 13.96
03/17/16, 15.48, 15.48, 13.90, 14.27
03/16/16, 16.83, 21.93, 14.65, 15.21
03/15/16, 17.78, 19.03, 16.27, 16.70
03/14/16, 17.75, 17.75, 16.32, 17.21
03/11/16, 17.33, 17.33, 17.32, 17.32
03/10/16, 18.27, 19.33, 17.04, 18.29
03/09/16, 18.62, 18.89, 17.89, 18.49
03/08/16, 18.75, 18.77, 17.87, 18.59
03/07/16, 18.60, 18.60, 17.30, 17.91
03/04/16, 17.43, 17.83, 16.85, 17.62
03/03/16, 17.80, 19.18, 16.84, 17.60
03/02/16, 18.52, 19.64, 17.22, 17.53
03/01/16, 20.04, 20.20, 18.03, 18.22
02/29/16, 20.58, 21.17, 19.19, 20.49
02/26/16, 18.68, 19.89, 18.65, 19.77
02/25/16, 20.35, 20.79, 18.93, 18.95
02/24/16, 22.01, 22.97, 20.40, 20.62
02/23/16, 19.43, 20.69, 19.30, 20.57
02/22/16, 20.05, 20.17, 18.63, 19.31
02/19/16, 21.86, 22.06, 20.21, 20.23
02/18/16, 21.81, 22.51, 20.75, 21.30
02/17/16, 23.75, 23.78, 21.85, 22.19
02/16/16, 25.20, 25.46, 23.90, 24.30
02/12/16, 27.48, 27.58, 25.05, 25.49
02/11/16, 29.00, 29.74, 26.98, 28.42
02/10/16, 25.49, 26.09, 24.23, 25.92
02/09/16, 27.78, 27.78, 25.58, 26.12
02/08/16, 25.24, 26.80, 25.22, 25.61
02/05/16, 21.95, 23.37, 21.88, 23.08
02/04/16, 22.49, 22.87, 21.35, 21.81
02/03/16, 21.83, 25.50, 21.35, 21.84
02/02/16, 21.95, 22.39, 21.43, 21.96
02/01/16, 21.70, 21.90, 20.31, 20.67
01/29/16, 21.89, 21.99, 20.19, 20.34
01/28/16, 22.43, 23.80, 19.00, 22.57
01/27/16, 23.30, 24.05, 21.94, 23.10
01/26/16, 23.98, 25.46, 22.41, 22.64
01/25/16, 23.79, 24.50, 23.05, 24.45
01/22/16, 24.07, 24.22, 22.56, 22.93
01/21/16, 28.14, 29.40, 25.58, 26.63
01/20/16, 28.46, 31.39, 27.13, 28.26
01/19/16, 26.15, 27.37, 25.62, 26.49
01/15/16, 29.56, 30.51, 27.19, 27.89
01/14/16, 25.28, 26.35, 23.31, 24.93
01/13/16, 23.14, 26.58, 22.75, 25.63
01/12/16, 24.35, 24.80, 22.37, 23.97
01/11/16, 26.96, 27.97, 24.55, 25.30
01/08/16, 23.22, 26.48, 22.69, 26.34
01/07/16, 23.21, 25.38, 21.98, 24.09
01/06/16, 21.78, 31.23, 20.40, 20.62
01/05/16, 20.36, 20.92, 19.38, 19.87
01/04/16, 22.15, 27.41, 19.82, 19.99
12/31/15, 18.05, 18.63, 17.36, 18.04
12/30/15, 16.88, 17.51, 16.88, 17.45
12/29/15, 16.82, 20.36, 16.20, 16.67
12/28/15, 18.10, 18.33, 17.36, 17.66
12/24/15, 16.57, 16.70, 16.03, 16.44
12/23/15, 16.70, 28.75, 16.17, 16.46
12/22/15, 18.22, 29.28, 17.24, 17.31
12/21/15, 19.59, 20.10, 18.77, 19.06
12/18/15, 18.68, 20.32, 18.68, 20.24
12/17/15, 16.52, 30.90, 16.23, 18.39
12/16/15, 19.37, 23.41, 13.52, 17.57
12/15/15, 21.16, 21.16, 19.55, 20.31
12/14/15, 24.53, 26.38, 21.40, 22.02
12/11/15, 21.20, 24.31, 20.55, 23.79
12/10/15, 19.30, 19.53, 18.16, 19.06
12/09/15, 18.49, 20.05, 16.97, 19.52
12/08/15, 18.07, 18.55, 17.21, 18.08
12/07/15, 16.51, 17.44, 16.44, 16.49
12/04/15, 18.05, 18.05, 15.34, 15.83
12/03/15, 16.91, 19.28, 16.84, 18.60
12/02/15, 16.10, 19.51, 15.51, 16.74
12/01/15, 16.16, 24.76, 15.40, 15.82
11/30/15, 16.58, 17.04, 16.40, 16.56
11/27/15, 16.15, 16.48, 15.58, 15.90
11/25/15, 15.91, 16.91, 15.22, 15.49
11/24/15, 16.77, 17.85, 15.31, 15.99
11/23/15, 16.70, 23.22, 15.82, 15.83
11/20/15, 16.50, 16.50, 15.33, 15.71
11/19/15, 17.09, 17.18, 16.38, 17.00
11/18/15, 18.82, 18.88, 16.98, 17.15
11/17/15, 17.88, 19.30, 17.42, 18.65
11/16/15, 20.41, 20.44, 17.93, 18.34
11/13/15, 19.00, 20.35, 18.53, 19.91
11/12/15, 17.52, 18.57, 16.81, 18.23
11/11/15, 15.67, 16.56, 15.47, 16.35
11/10/15, 17.09, 17.09, 15.71, 15.94
11/09/15, 15.97, 17.09, 15.89, 16.62
11/06/15, 15.69, 16.20, 14.81, 14.83
11/05/15, 15.99, 16.60, 15.62, 15.65
11/04/15, 14.79, 16.05, 14.74, 15.92
11/03/15, 15.29, 15.34, 14.42, 15.24
11/02/15, 16.04, 16.04, 14.78, 14.96
10/30/15, 15.49, 15.97, 14.81, 15.83
10/29/15, 15.64, 16.84, 15.08, 15.30
10/28/15, 15.84, 25.34, 14.86, 15.16
10/27/15, 16.54, 16.56, 15.75, 16.11
10/26/15, 15.68, 16.95, 15.28, 15.73
10/23/15, 13.91, 15.26, 13.90, 15.00
10/22/15, 15.36, 15.58, 14.63, 15.08
10/21/15, 15.21, 16.54, 14.61, 16.46
10/20/15, 15.54, 15.84, 14.91, 15.56
10/19/15, 16.81, 16.94, 14.69, 15.00
10/16/15, 16.03, 16.64, 15.27, 15.88
10/15/15, 17.73, 18.19, 15.96, 15.96
10/14/15, 18.07, 18.49, 17.42, 18.07
10/13/15, 17.55, 17.91, 16.18, 17.86
10/12/15, 18.39, 18.43, 16.33, 16.46
10/09/15, 17.43, 18.21, 17.11, 17.41
10/08/15, 18.95, 19.52, 17.22, 17.75
10/07/15, 19.35, 19.53, 18.29, 18.45
10/06/15, 19.75, 19.75, 19.02, 19.52
10/05/15, 20.58, 20.61, 19.36, 19.65
10/02/15, 24.17, 25.08, 20.65, 20.82
10/01/15, 22.84, 33.50, 22.46, 22.46
09/30/15, 23.88, 24.59, 20.60, 23.68
09/29/15, 25.81, 33.58, 24.88, 25.22
09/28/15, 24.97, 26.48, 24.73, 25.97
09/25/15, 21.61, 23.78, 21.39, 23.05
09/24/15, 23.67, 41.56, 22.67, 23.18
09/23/15, 22.34, 22.51, 21.46, 21.83
09/22/15, 23.39, 23.47, 21.95, 22.19
09/21/15, 22.67, 22.67, 20.41, 20.41
09/18/15, 24.49, 29.19, 21.83, 22.51
09/17/15, 22.31, 29.59, 17.97, 22.88
09/16/15, 23.20, 23.92, 21.66, 21.69
09/15/15, 24.07, 24.36, 22.55, 23.03
09/14/15, 25.01, 25.93, 24.62, 24.72
09/11/15, 26.57, 27.54, 24.21, 24.22
09/10/15, 27.78, 27.78, 19.48, 19.48
09/09/15, 23.94, 28.14, 23.74, 26.36
09/08/15, 26.91, 31.21, 25.40, 25.97
09/04/15, 28.41, 29.52, 26.95, 28.28
09/03/15, 25.78, 26.73, 24.65, 25.97
09/02/15, 29.28, 37.26, 25.73, 26.47
09/01/15, 31.81, 32.98, 30.36, 31.64
08/31/15, 27.72, 31.00, 27.50, 28.62
08/28/15, 27.87, 29.39, 26.70, 27.19
08/27/15, 28.11, 29.87, 22.70, 26.84
08/26/15, 31.45, 35.30, 30.38, 31.29
08/25/15, 31.52, 52.32, 28.63, 36.48
08/24/15, 59.66, 66.72, 29.68, 38.79
08/21/15, 23.78, 34.24, 22.14, 29.68
08/20/15, 17.84, 20.56, 17.43, 20.53
08/19/15, 16.07, 17.08, 14.69, 16.28
08/18/15, 14.73, 15.02, 14.51, 14.92
08/17/15, 15.79, 16.09, 14.40, 14.46
08/14/15, 15.30, 15.32, 14.60, 14.67
08/13/15, 16.08, 16.25, 14.82, 15.28
08/12/15, 17.63, 18.58, 16.24, 16.31
08/11/15, 15.35, 16.30, 15.07, 15.92
08/10/15, 14.71, 14.73, 14.12, 14.24
08/07/15, 15.31, 16.02, 15.12, 15.22
08/06/15, 14.60, 15.54, 14.58, 15.31
08/05/15, 14.04, 14.48, 13.67, 14.22
08/04/15, 14.27, 14.68, 14.09, 14.56
08/03/15, 14.27, 18.59, 11.91, 14.20
07/31/15, 13.47, 14.92, 12.23, 13.65
07/30/15, 14.23, 14.66, 13.41, 13.59
07/29/15, 14.85, 17.45, 13.74, 13.88
07/28/15, 16.12, 16.45, 14.55, 14.76
07/27/15, 16.68, 17.04, 16.21, 16.48
07/24/15, 14.10, 16.21, 12.95, 14.63
07/23/15, 13.53, 14.50, 13.43, 14.10
07/22/15, 14.07, 14.07, 12.68, 13.39
07/21/15, 13.80, 14.42, 13.23, 13.62
07/20/15, 13.39, 13.63, 12.88, 13.57
07/17/15, 13.35, 13.57, 10.96, 13.16
07/16/15, 13.42, 25.93, 13.09, 13.47
07/15/15, 15.07, 15.09, 13.93, 14.35
07/14/15, 15.91, 15.91, 14.41, 15.12
07/13/15, 16.96, 16.96, 15.50, 16.02
07/10/15, 18.09, 18.76, 17.56, 17.83
07/09/15, 18.34, 20.37, 18.00, 20.16
07/08/15, 18.33, 26.45, 14.35, 20.21
07/07/15, 18.16, 19.66, 16.95, 17.30
07/06/15, 19.90, 19.96, 17.98, 18.08
07/02/15, 16.90, 18.34, 16.64, 18.06
07/01/15, 17.82, 18.36, 16.91, 17.59
06/30/15, 18.69, 20.21, 18.65, 19.34
06/29/15, 17.37, 20.88, 16.80, 19.82
06/26/15, 15.01, 15.40, 11.90, 14.89
06/25/15, 14.10, 15.40, 14.04, 15.09
06/24/15, 13.64, 14.32, 13.11, 14.26
06/23/15, 13.44, 14.48, 12.98, 13.20
06/22/15, 14.17, 14.29, 13.28, 13.72
06/19/15, 14.40, 15.89, 13.70, 14.48
06/18/15, 14.78, 24.67, 13.49, 14.34
06/17/15, 15.44, 18.93, 8.26, 15.48
06/16/15, 16.66, 16.66, 15.66, 15.88
06/15/15, 16.56, 18.04, 14.90, 16.35
06/12/15, 14.44, 15.15, 14.39, 14.60
06/11/15, 14.18, 14.18, 13.57, 13.95
06/10/15, 15.34, 15.34, 14.19, 14.41
06/09/15, 16.43, 16.43, 15.61, 15.76
06/08/15, 16.24, 16.30, 15.92, 16.18
06/05/15, 16.16, 16.57, 15.45, 15.59
06/04/15, 15.60, 16.25, 14.83, 15.92
06/03/15, 14.85, 15.99, 14.27, 14.63
06/02/15, 15.68, 15.93, 14.62, 15.25
06/01/15, 14.98, 15.88, 14.54, 14.97
05/29/15, 14.87, 18.29, 14.52, 14.74
05/28/15, 14.77, 14.96, 14.29, 14.47
05/27/15, 15.11, 15.19, 13.86, 14.49
05/26/15, 14.57, 21.46, 14.51, 14.85
05/22/15, 13.64, 13.64, 12.91, 13.34
05/21/15, 13.98, 15.39, 12.97, 13.24
05/20/15, 13.67, 19.37, 13.33, 13.62
05/19/15, 13.99, 15.33, 13.29, 13.51
05/18/15, 14.04, 16.59, 13.53, 13.83
05/15/15, 14.15, 17.17, 13.43, 13.71
05/14/15, 14.55, 14.55, 14.00, 14.25
05/13/15, 15.39, 15.39, 13.67, 15.33
05/12/15, 16.60, 17.04, 15.11, 15.46
05/11/15, 15.34, 15.52, 14.80, 15.35
05/08/15, 14.66, 17.68, 14.13, 14.29
05/07/15, 16.75, 16.83, 15.91, 16.11
05/06/15, 15.12, 17.04, 15.05, 16.15
05/05/15, 15.04, 15.97, 14.73, 15.50
05/04/15, 14.81, 14.81, 14.24, 14.56
05/01/15, 15.46, 15.73, 13.48, 14.54
04/30/15, 15.36, 16.66, 15.06, 15.86
04/29/15, 15.05, 17.46, 14.47, 14.85
04/28/15, 14.81, 16.89, 14.02, 14.11
04/27/15, 14.11, 14.87, 14.11, 14.70
04/24/15, 13.99, 14.45, 13.89, 14.09
04/23/15, 14.62, 15.20, 13.64, 14.15
04/22/15, 14.27, 16.14, 13.95, 14.32
04/21/15, 14.05, 14.72, 14.03, 14.58
04/20/15, 15.01, 15.04, 13.77, 14.35
04/17/15, 15.02, 19.41, 13.78, 15.19
04/16/15, 14.22, 14.32, 13.37, 13.57
04/15/15, 14.59, 14.82, 13.75, 13.98
04/14/15, 15.54, 15.86, 14.36, 14.76
04/13/15, 14.34, 15.74, 14.00, 15.44
04/10/15, 14.43, 15.34, 13.80, 14.10
04/09/15, 15.37, 15.49, 14.17, 14.52
04/08/15, 15.45, 20.18, 14.88, 15.11
04/07/15, 15.39, 23.80, 14.98, 15.49
04/06/15, 17.17, 17.17, 15.19, 15.67
04/02/15, 16.40, 16.45, 15.40, 15.81
04/01/15, 16.39, 18.08, 16.01, 16.04
03/31/15, 16.00, 18.90, 15.21, 16.25
03/30/15, 15.65, 15.65, 14.86, 15.34
03/27/15, 16.47, 16.56, 15.82, 15.94
03/26/15, 17.48, 19.11, 16.09, 16.43
03/25/15, 14.44, 16.33, 14.41, 16.16
03/24/15, 14.47, 15.21, 13.63, 14.45
03/23/15, 14.58, 18.57, 13.67, 14.23
03/20/15, 14.55, 14.55, 13.07, 13.89
03/19/15, 15.68, 15.73, 14.49, 14.77
03/18/15, 16.80, 17.17, 9.22, 14.84
03/17/15, 17.07, 17.08, 15.96, 16.28
03/16/15, 16.10, 16.60, 15.62, 16.38
03/13/15, 15.74, 18.43, 14.76, 16.28
03/12/15, 16.67, 16.67, 15.27, 15.69
03/11/15, 16.71, 20.50, 16.40, 16.96
03/10/15, 16.44, 16.60, 16.02, 16.55
03/09/15, 16.04, 16.04, 14.93, 15.22
03/06/15, 15.11, 15.94, 14.66, 15.48
03/05/15, 14.37, 14.91, 14.13, 14.42
03/04/15, 14.75, 16.35, 14.49, 14.67
03/03/15, 14.13, 14.85, 13.98, 14.32
03/02/15, 14.52, 14.52, 13.35, 13.45
02/27/15, 14.37, 14.53, 13.79, 14.00
02/26/15, 14.15, 14.41, 13.78, 14.15
02/25/15, 14.09, 18.24, 13.52, 14.00
02/24/15, 14.87, 15.20, 13.46, 13.95
02/23/15, 15.85, 19.24, 11.97, 15.01
02/20/15, 16.58, 16.95, 14.55, 14.93
02/19/15, 16.69, 16.95, 15.25, 15.98
02/18/15, 17.21, 17.95, 13.26, 16.23
02/17/15, 16.85, 17.21, 15.82, 16.60
02/13/15, 16.61, 16.61, 15.03, 15.84
02/12/15, 17.41, 17.67, 16.11, 16.75
02/11/15, 18.27, 18.47, 17.69, 17.84
02/10/15, 18.32, 18.93, 17.37, 18.03
02/09/15, 20.01, 20.01, 18.61, 18.91
02/06/15, 17.12, 18.97, 16.52, 18.08
02/05/15, 18.07, 18.14, 16.81, 17.53
02/04/15, 18.30, 18.69, 17.12, 18.69
02/03/15, 19.30, 27.63, 14.53, 17.99
02/02/15, 21.17, 22.84, 19.78, 19.95
01/30/15, 20.13, 21.79, 15.17, 21.03
01/29/15, 20.60, 20.79, 15.70, 17.81
01/28/15, 17.64, 20.50, 14.57, 20.49
01/27/15, 18.20, 18.96, 14.28, 17.84
01/26/15, 17.52, 17.64, 15.62, 16.19
01/23/15, 16.80, 17.54, 11.60, 16.85
01/22/15, 18.03, 18.86, 15.96, 16.51
01/21/15, 20.36, 20.44, 18.59, 18.62
01/20/15, 19.78, 20.86, 19.36, 19.58
01/16/15, 21.52, 22.78, 17.26, 19.90
01/15/15, 20.49, 23.28, 15.45, 20.86
01/14/15, 21.74, 21.74, 20.42, 20.46
01/13/15, 17.91, 20.67, 17.43, 19.46
01/12/15, 18.20, 19.59, 18.05, 18.90
01/09/15, 16.03, 17.37, 16.03, 16.99
