Date, Open, High, Low, Close, Volume
03/31/16, 9.01, 9.01, 9.01, 9.01, 0
03/30/16, 8.87, 8.87, 8.87, 8.87, 0
03/29/16, 8.73, 8.73, 8.73, 8.73, 0
03/24/16, 8.73, 8.73, 8.73, 8.73, 0
03/23/16, 8.58, 8.58, 8.58, 8.58, 0
03/22/16, 8.78, 8.78, 8.78, 8.78, 0
03/21/16, 8.82, 9.50, 8.82, 9.50, 100
03/18/16, 8.82, 8.82, 8.82, 8.82, 0
03/17/16, 8.83, 8.83, 8.83, 8.83, 0
03/16/16, 8.87, 8.87, 8.87, 8.87, 0
03/15/16, 9.01, 9.01, 9.01, 9.01, 13
03/14/16, 10.00, 10.00, 10.00, 10.00, 1
03/11/16, 9.45, 9.45, 9.45, 9.45, 0
03/10/16, 9.58, 9.58, 9.58, 9.58, 0
03/09/16, 9.44, 9.44, 9.44, 9.44, 0
03/08/16, 9.30, 9.30, 9.30, 9.30, 0
03/07/16, 10.07, 10.07, 10.07, 10.07, 7
03/04/16, 9.11, 9.91, 9.11, 9.91, 217
03/03/16, 8.97, 8.97, 8.97, 8.97, 0
03/02/16, 8.97, 8.97, 8.97, 8.97, 0
03/01/16, 8.82, 8.82, 8.82, 8.82, 0
02/29/16, 8.82, 8.82, 8.82, 8.82, 0
02/26/16, 8.82, 8.82, 8.82, 8.82, 0
02/25/16, 8.82, 8.82, 8.82, 8.82, 0
02/24/16, 8.82, 8.82, 8.82, 8.82, 0
02/23/16, 8.82, 8.82, 8.82, 8.82, 0
02/22/16, 8.80, 8.80, 8.80, 8.80, 0
02/19/16, 8.73, 8.73, 8.73, 8.73, 0
02/18/16, 8.59, 8.59, 8.59, 8.59, 0
02/17/16, 8.44, 8.44, 8.44, 8.44, 20
02/16/16, 8.54, 8.54, 8.54, 8.54, 0
02/15/16, 8.82, 8.82, 8.82, 8.82, 0
02/12/16, 8.82, 8.82, 8.82, 8.82, 0
02/11/16, 8.84, 8.84, 8.84, 8.84, 0
02/10/16, 8.88, 8.88, 8.88, 8.88, 0
02/09/16, 9.23, 9.23, 9.23, 9.23, 30
02/08/16, 9.08, 9.08, 9.08, 9.08, 0
02/05/16, 8.94, 8.94, 8.94, 8.94, 0
02/04/16, 8.80, 8.80, 8.80, 8.80, 0
02/03/16, 9.00, 9.00, 9.00, 9.00, 1
02/02/16, 8.51, 8.51, 8.51, 8.51, 0
02/01/16, 8.37, 8.37, 8.37, 8.37, 0
01/29/16, 8.37, 8.37, 8.37, 8.37, 0
01/28/16, 8.37, 8.37, 8.37, 8.37, 0
01/27/16, 8.37, 8.37, 8.37, 8.37, 0
01/26/16, 8.37, 8.37, 8.37, 8.37, 0
01/25/16, 8.37, 8.37, 8.37, 8.37, 0
01/22/16, 8.37, 8.37, 8.37, 8.37, 0
01/21/16, 8.40, 8.40, 8.40, 8.40, 0
01/20/16, 8.49, 9.00, 8.49, 9.00, 50
01/19/16, 8.82, 8.82, 8.82, 8.82, 0
01/18/16, 8.82, 8.82, 8.82, 8.82, 0
01/15/16, 8.82, 8.82, 8.82, 8.82, 0
01/14/16, 8.82, 8.82, 8.82, 8.82, 0
01/13/16, 8.82, 8.82, 8.82, 8.82, 0
01/12/16, 8.82, 8.82, 8.82, 8.82, 0
01/11/16, 8.82, 8.82, 8.82, 8.82, 0
01/08/16, 8.82, 8.82, 8.82, 8.82, 0
01/07/16, 8.82, 8.82, 8.82, 8.82, 0
01/06/16, 8.82, 8.82, 8.82, 8.82, 0
01/05/16, 8.83, 8.83, 8.83, 8.83, 0
01/04/16, 9.25, 9.45, 9.25, 9.25, 60
12/30/15, 8.82, 8.82, 8.82, 8.82, 0
12/29/15, 8.82, 8.82, 8.82, 8.82, 0
12/28/15, 8.79, 8.79, 8.79, 8.79, 0
12/23/15, 8.82, 8.82, 8.82, 8.82, 20
12/22/15, 8.82, 8.82, 8.82, 8.82, 0
12/21/15, 8.82, 8.82, 8.82, 8.82, 0
12/18/15, 8.82, 8.82, 8.82, 8.82, 0
12/17/15, 8.82, 8.82, 8.82, 8.82, 0
12/16/15, 8.82, 8.82, 8.82, 8.82, 0
12/15/15, 8.82, 8.82, 8.82, 8.82, 0
12/14/15, 8.82, 8.82, 8.82, 8.82, 0
12/11/15, 8.82, 8.82, 8.82, 8.82, 0
