Date, Open, High, Low, Close, Volume
03/31/16, 11550, 11550, 11200, 11350, 55988
03/30/16, 11350, 11500, 11200, 11450, 95507
03/29/16, 10850, 11500, 10700, 11400, 208059
03/28/16, 10800, 11200, 10700, 10950, 90256
03/25/16, 10700, 10950, 10650, 10750, 30067
03/24/16, 11050, 11150, 10550, 10800, 120069
03/23/16, 11100, 11200, 10750, 11150, 59594
03/22/16, 11300, 11300, 11050, 11100, 35514
03/21/16, 11200, 11450, 11100, 11250, 82582
03/18/16, 11250, 11250, 11050, 11250, 41821
03/17/16, 11200, 11250, 11050, 11100, 42682
03/16/16, 10950, 11200, 10800, 11000, 58489
03/15/16, 11200, 11200, 10900, 10900, 34577
03/14/16, 11150, 11250, 11050, 11100, 35482
03/11/16, 11450, 11500, 10950, 11100, 175036
03/10/16, 11650, 11750, 11450, 11550, 34538
03/09/16, 11400, 11750, 11350, 11650, 39661
03/08/16, 11400, 11650, 11200, 11400, 37307
03/07/16, 11250, 11850, 11250, 11350, 118670
03/04/16, 11350, 11550, 11150, 11200, 37140
03/03/16, 11300, 11500, 11100, 11350, 42739
03/02/16, 11050, 11400, 11050, 11350, 32834
02/29/16, 11150, 11300, 11050, 11050, 21311
02/26/16, 11350, 11450, 11050, 11300, 46675
02/25/16, 11200, 11500, 11000, 11200, 82191
02/24/16, 10950, 11400, 10900, 11150, 48770
02/23/16, 10750, 11550, 10600, 11150, 85034
02/22/16, 10600, 10900, 10500, 10800, 32912
02/19/16, 10300, 10700, 10300, 10600, 38900
02/18/16, 10400, 10550, 10300, 10300, 40433
02/17/16, 10600, 10850, 10100, 10350, 98033
02/16/16, 9930, 10600, 9930, 10250, 69814
02/15/16, 9460, 10400, 9460, 9910, 94360
02/12/16, 10000, 10150, 8980, 9540, 206524
02/11/16, 10450, 10650, 10050, 10150, 143678
02/05/16, 11350, 11350, 11050, 11050, 33675
02/04/16, 11150, 11400, 10850, 11300, 52833
02/03/16, 10900, 11150, 10750, 11100, 54975
02/02/16, 11200, 11350, 11000, 11100, 45880
02/01/16, 10900, 11450, 10800, 11350, 153288
01/29/16, 10950, 11000, 10650, 10850, 62956
01/28/16, 10450, 10850, 10450, 10850, 113403
01/27/16, 10850, 10900, 10350, 10550, 55028
01/26/16, 10700, 10800, 10550, 10600, 33834
01/25/16, 10650, 10900, 10650, 10800, 69918
01/22/16, 10300, 10600, 10250, 10550, 123035
01/21/16, 11200, 11250, 10300, 10300, 190003
01/20/16, 11600, 11800, 10500, 11200, 187126
01/19/16, 11750, 12000, 11600, 11600, 40944
01/18/16, 11750, 11950, 11650, 11750, 44669
01/15/16, 12300, 12300, 11800, 11950, 84416
01/14/16, 11800, 12400, 11800, 12050, 83722
01/13/16, 11800, 12300, 11650, 12200, 122048
01/12/16, 11850, 12000, 11550, 11600, 49684
01/11/16, 12000, 12600, 11800, 11850, 167115
01/08/16, 11700, 12000, 11300, 12000, 98606
01/07/16, 11550, 12300, 11550, 12000, 180356
01/06/16, 11450, 11750, 11300, 11600, 68409
01/05/16, 11150, 11500, 11100, 11450, 88228
01/04/16, 11600, 11700, 11300, 11500, 53356
12/30/15, 11750, 11750, 11450, 11700, 39192
12/29/15, 11150, 11750, 11100, 11750, 71118
12/28/15, 11700, 11750, 11100, 11100, 94673
12/24/15, 11800, 12100, 11400, 11600, 70962
12/23/15, 11700, 12250, 11450, 11600, 170342
12/22/15, 11550, 11800, 11250, 11500, 78889
12/21/15, 11400, 11800, 11250, 11600, 109120
12/18/15, 11250, 11500, 11150, 11400, 57281
12/17/15, 11550, 11950, 11200, 11400, 173778
12/16/15, 10250, 12200, 10150, 11400, 485921
12/15/15, 10350, 10550, 10000, 10150, 94591
12/14/15, 10050, 11000, 9870, 10550, 127277
12/11/15, 10300, 10550, 10100, 10350, 63803
12/10/15, 10700, 10900, 10250, 10350, 90777
12/09/15, 10750, 10950, 10500, 10700, 45275
12/08/15, 10850, 11500, 10350, 10750, 134788
12/07/15, 11450, 11500, 10850, 11000, 87756
12/04/15, 11400, 11450, 11150, 11400, 62440
12/03/15, 11250, 11500, 11200, 11450, 39133
12/02/15, 11850, 12000, 11350, 11450, 57747
12/01/15, 11750, 12100, 11750, 11950, 46097
11/30/15, 11850, 11950, 11500, 11750, 48122
11/27/15, 12050, 12150, 11650, 11700, 50868
11/26/15, 12450, 12450, 12000, 12000, 79213
11/25/15, 12200, 12450, 12050, 12300, 66191
11/24/15, 11700, 12400, 11650, 12100, 120124
11/23/15, 11850, 11900, 11550, 11800, 43229
11/20/15, 11250, 11850, 11250, 11800, 75453
11/19/15, 11400, 11500, 11150, 11300, 58196
11/18/15, 11200, 11550, 11150, 11200, 56496
11/17/15, 11150, 11450, 11150, 11300, 59474
11/16/15, 11100, 11550, 10800, 10950, 88622
11/13/15, 11550, 11750, 11150, 11400, 76278
11/12/15, 11700, 12000, 11450, 11850, 37029
11/11/15, 11000, 11700, 11000, 11700, 100998
11/10/15, 11050, 11600, 10700, 11050, 110910
11/09/15, 12150, 12200, 11400, 11400, 113979
11/06/15, 12500, 12600, 12100, 12150, 93827
11/05/15, 12150, 12650, 12050, 12400, 125677
11/04/15, 12100, 12350, 11900, 12100, 85011
11/03/15, 12600, 12650, 11950, 12150, 151359
11/02/15, 12800, 13000, 12350, 12450, 105290
10/30/15, 13200, 13550, 12550, 12950, 169332
10/29/15, 12850, 13750, 12650, 13250, 312656
10/28/15, 12800, 13100, 12600, 12700, 98049
10/27/15, 13050, 13050, 12700, 12700, 74411
10/26/15, 12900, 13200, 12600, 13100, 134717
10/23/15, 12300, 13200, 11900, 12900, 211376
10/22/15, 12600, 12650, 12050, 12200, 160604
10/21/15, 12900, 12900, 12500, 12650, 108769
10/20/15, 12800, 12950, 12550, 12650, 104843
10/19/15, 13200, 13200, 12800, 12800, 91992
10/16/15, 13150, 13350, 12750, 13050, 105620
10/15/15, 13050, 13250, 12850, 13100, 81605
10/14/15, 13500, 13500, 12750, 12900, 147518
10/13/15, 12950, 13650, 12950, 13450, 161823
10/12/15, 13700, 13800, 12900, 12950, 231207
10/08/15, 13850, 14050, 13600, 13600, 92345
10/07/15, 13800, 14450, 13700, 13750, 217185
10/06/15, 14100, 14250, 13700, 13800, 209535
10/05/15, 14400, 14450, 14050, 14050, 140512
10/02/15, 14500, 14500, 14000, 14200, 174279
10/01/15, 14750, 14800, 14350, 14400, 132111
09/30/15, 14150, 14650, 13950, 14650, 154814
09/25/15, 14650, 14750, 14200, 14400, 138077
09/24/15, 14300, 15100, 14150, 14650, 465687
09/23/15, 14500, 14750, 14100, 14100, 221494
09/22/15, 14850, 15100, 14550, 14700, 354709
09/21/15, 14800, 14950, 14450, 14650, 265358
09/18/15, 14300, 15050, 14000, 15050, 464462
09/17/15, 14400, 14800, 14000, 14100, 346356
09/16/15, 14350, 14500, 14150, 14150, 250335
09/15/15, 13750, 14150, 13600, 14150, 197946
09/14/15, 14200, 14250, 13550, 13600, 197698
09/11/15, 14050, 14300, 13600, 14050, 291464
09/10/15, 13700, 14200, 13500, 14200, 335878
09/09/15, 13700, 14350, 13350, 13650, 469487
09/08/15, 13300, 13700, 12850, 12950, 231562
09/07/15, 12700, 13450, 12650, 13300, 297203
09/04/15, 13550, 13850, 12650, 12800, 345632
09/03/15, 14550, 14650, 13500, 13500, 486840
09/02/15, 13250, 14250, 13000, 14100, 633824
09/01/15, 14100, 15350, 13500, 13600, 1617659
08/31/15, 13800, 13850, 13250, 13500, 360883
08/28/15, 13900, 14200, 13500, 13900, 673556
08/27/15, 13800, 14150, 12850, 13350, 1052005
08/26/15, 13450, 14200, 12750, 13550, 1945698
08/25/15, 10350, 12900, 10050, 12900, 1572491
08/24/15, 9950, 10400, 9810, 9930, 421174
08/21/15, 10300, 10700, 9780, 10000, 842279
08/20/15, 11050, 11750, 10800, 11100, 399983
08/19/15, 11500, 11800, 10850, 11300, 317670
08/18/15, 13100, 13250, 11850, 11900, 266820
08/17/15, 13450, 13600, 13050, 13100, 92991
08/13/15, 12700, 13400, 12550, 13200, 199374
08/12/15, 13550, 13900, 12250, 12750, 311825
08/11/15, 14850, 14950, 13800, 13900, 182268
08/10/15, 15100, 15250, 14600, 14650, 100145
08/07/15, 14650, 15350, 14650, 15050, 109929
08/06/15, 15150, 15450, 14700, 15000, 196675
08/05/15, 14250, 16450, 14200, 15200, 995885
08/04/15, 13600, 14050, 13300, 14000, 398909
08/03/15, 14100, 14850, 13700, 13700, 274472
07/31/15, 14400, 14900, 13800, 14750, 300270
07/30/15, 16600, 17200, 14150, 14650, 620682
07/29/15, 17650, 17800, 16900, 16950, 158659
07/28/15, 17550, 17850, 17050, 17650, 174729
07/27/15, 18100, 18550, 17600, 17850, 171177
07/24/15, 18400, 18500, 17750, 18000, 240443
07/23/15, 18550, 18950, 18250, 18550, 244105
07/22/15, 18050, 18800, 17950, 18500, 189548
07/21/15, 18600, 19200, 18150, 18300, 366620
07/20/15, 17550, 18600, 17450, 18200, 221345
07/17/15, 18550, 18800, 17400, 17450, 235604
07/16/15, 18700, 19100, 18100, 18250, 267935
07/15/15, 18600, 19450, 18400, 18500, 527930
07/14/15, 18300, 18150, 18150, 18150, 232173
07/13/15, 17200, 18150, 18150, 18150, 399539
07/10/15, 17450, 17500, 16700, 16950, 309894
07/09/15, 16800, 17350, 16200, 17350, 257304
07/08/15, 17100, 17350, 16450, 17300, 315400
07/07/15, 18550, 18700, 16450, 16950, 491312
07/06/15, 18550, 19350, 18100, 18100, 399420
07/03/15, 19750, 19800, 18950, 19100, 344976
07/02/15, 19400, 19750, 18650, 19750, 530508
07/01/15, 19350, 20450, 18800, 18950, 2132572
06/30/15, 17150, 17500, 16450, 17050, 323357
06/29/15, 17200, 18200, 16200, 17500, 276965
06/26/15, 18150, 19100, 18150, 18350, 524183
06/25/15, 17700, 18500, 17550, 18150, 275658
06/24/15, 18500, 18550, 17800, 17900, 271071
06/23/15, 18550, 18750, 17900, 18400, 293938
06/22/15, 18800, 19350, 18250, 18450, 289853
06/19/15, 17400, 19550, 17400, 18450, 944048
06/18/15, 17200, 17850, 16950, 17100, 227218
06/17/15, 17300, 17450, 16600, 17000, 230250
06/16/15, 15900, 17950, 15900, 17250, 836789
06/15/15, 17650, 17950, 15900, 16100, 686523
06/12/15, 18100, 19350, 17850, 18400, 548626
06/11/15, 18750, 18800, 17600, 18000, 404835
06/10/15, 19500, 19550, 18300, 18400, 395918
06/09/15, 18700, 19300, 18500, 19200, 386637
06/08/15, 19950, 20350, 18750, 18950, 797716
06/05/15, 18500, 19700, 18350, 19600, 498093
06/04/15, 18900, 19700, 18400, 19100, 600345
06/03/15, 17850, 19550, 17300, 18800, 998410
06/02/15, 19900, 20300, 18050, 18050, 1186210
06/01/15, 21650, 21750, 20250, 20750, 684806
05/29/15, 23850, 24350, 21000, 22250, 1741374
05/28/15, 20650, 23450, 20400, 23450, 1868585
05/27/15, 21150, 21200, 20000, 20400, 510539
05/26/15, 21550, 22300, 20650, 21500, 509983
05/22/15, 23350, 23950, 21500, 21550, 1093304
05/21/15, 22600, 23450, 22050, 22700, 910835
05/20/15, 23050, 24100, 22100, 22350, 1560804
05/19/15, 24100, 24150, 22150, 23050, 1610379
05/18/15, 23200, 24500, 23000, 23800, 1684986
05/15/15, 22300, 24800, 22000, 23150, 4125425
05/14/15, 21500, 22350, 20250, 22350, 4410656
05/13/15, 17350, 19450, 17050, 19450, 1388645
05/12/15, 17100, 17900, 16800, 16950, 655425
05/11/15, 16100, 17250, 16000, 17050, 690436
05/08/15, 16350, 16450, 15700, 16050, 381087
05/07/15, 16350, 16350, 15450, 16100, 340639
05/06/15, 15750, 16650, 15400, 16300, 390889
05/04/15, 16150, 16450, 14900, 16000, 498793
04/30/15, 17050, 17350, 15900, 16150, 414253
04/29/15, 17400, 17700, 16750, 17250, 346647
04/28/15, 17950, 18150, 17050, 17100, 547553
04/27/15, 17400, 18650, 17400, 17950, 743787
04/24/15, 17100, 17750, 16350, 17350, 480110
04/23/15, 18050, 18450, 16350, 17100, 483476
04/22/15, 19050, 19900, 16750, 17750, 1001799
04/21/15, 17800, 19500, 17550, 19200, 1380675
04/20/15, 17800, 18550, 17150, 17400, 773531
04/17/15, 18700, 19050, 17800, 17950, 594537
04/16/15, 19150, 19550, 18150, 18550, 509509
04/15/15, 20100, 21100, 18750, 18850, 783552
04/14/15, 19700, 21450, 18100, 19450, 1222044
04/13/15, 20000, 20000, 18700, 19450, 607520
04/10/15, 18950, 21050, 18400, 19600, 1747573
04/09/15, 18100, 19200, 17500, 19200, 995218
04/08/15, 17600, 18700, 16650, 17700, 956940
04/07/15, 17450, 18700, 16400, 17750, 1242300
04/06/15, 15700, 17600, 14450, 17450, 1688281
04/03/15, 16200, 16500, 14700, 15350, 844787
04/02/15, 17700, 20000, 15350, 15750, 1865631
04/01/15, 16650, 18700, 16300, 18000, 1532398
03/31/15, 17950, 17950, 16800, 16950, 701130
03/30/15, 17350, 18300, 16300, 18100, 1136553
03/27/15, 18350, 18550, 16500, 17700, 1408322
03/26/15, 18000, 20900, 17850, 18700, 4148158
03/25/15, 18300, 18800, 17800, 18200, 1643807
03/24/15, 18500, 19250, 16900, 18600, 4245920
03/23/15, 16050, 17750, 16050, 17750, 2399681
03/20/15, 14100, 15450, 13650, 15450, 2513581
03/19/15, 11800, 13450, 11700, 13450, 1852382
03/18/15, 11700, 12050, 11400, 11700, 734715
03/17/15, 11200, 12800, 11050, 11700, 1989653
03/16/15, 10200, 11400, 10050, 11400, 1585407
03/13/15, 9780, 10450, 9750, 9950, 985766
03/12/15, 9650, 9940, 9360, 9750, 900108
03/11/15, 8480, 9600, 8440, 9600, 1844535
03/10/15, 8620, 8690, 8240, 8480, 210213
03/09/15, 8550, 8640, 8350, 8620, 289631
03/06/15, 8750, 8860, 8420, 8600, 374494
03/05/15, 8870, 9070, 8640, 8740, 290341
03/04/15, 9150, 9320, 8970, 8970, 224772
03/03/15, 9110, 9270, 8870, 9180, 379265
03/02/15, 9060, 9560, 8910, 9050, 981949
02/27/15, 8310, 8750, 8230, 8750, 382467
02/26/15, 8310, 8480, 8180, 8400, 324218
02/25/15, 8080, 8810, 8030, 8300, 1372204
02/24/15, 7590, 7890, 7490, 7870, 313593
02/23/15, 8050, 8220, 7470, 7590, 692602
02/17/15, 7610, 8000, 7600, 8000, 188622
02/16/15, 7750, 7810, 7650, 7710, 174398
02/13/15, 7560, 8100, 7560, 7870, 360379
02/11/15, 7670, 8100, 7450, 7660, 1481419
02/10/15, 7520, 7780, 7240, 7550, 999755
