Date, Open, High, Low, Close, Volume
03/31/16, 495500, 495500, 476500, 481500, 56076
03/30/16, 489500, 493000, 486000, 490000, 42274
03/29/16, 485000, 490000, 478000, 487000, 40146
03/28/16, 485000, 486000, 481500, 485000, 23916
03/25/16, 485000, 489000, 480000, 482000, 30331
03/24/16, 494000, 494000, 477000, 486000, 63093
03/23/16, 493000, 501000, 491000, 494500, 42600
03/22/16, 502000, 502000, 482500, 492000, 42159
03/21/16, 499000, 503000, 485000, 494500, 59584
03/18/16, 487000, 503000, 487000, 490000, 65703
03/17/16, 489500, 497000, 485000, 486500, 43073
03/16/16, 485500, 487000, 477500, 485000, 28822
03/15/16, 478000, 487000, 477000, 485000, 42369
03/14/16, 481500, 485000, 471500, 475500, 47552
03/11/16, 488500, 489000, 478000, 486000, 45696
03/10/16, 480000, 487000, 475000, 484000, 66465
03/09/16, 473000, 480500, 472000, 480500, 96243
03/08/16, 468500, 472000, 461500, 471500, 74840
03/07/16, 464000, 468000, 461500, 466000, 95152
03/04/16, 457500, 461000, 449000, 459500, 50725
03/03/16, 456000, 459000, 450500, 453500, 32316
03/02/16, 456000, 463000, 451000, 456000, 59740
02/29/16, 454500, 458500, 446500, 446500, 37513
02/26/16, 460000, 463000, 449000, 454000, 33434
02/25/16, 460500, 462500, 451000, 458000, 38682
02/24/16, 459000, 463500, 455500, 457500, 25686
02/23/16, 467500, 468000, 458500, 461000, 48564
02/22/16, 459500, 465000, 457000, 460500, 34649
02/19/16, 458000, 461500, 452000, 459500, 42884
02/18/16, 449000, 458000, 441000, 457500, 59172
02/17/16, 443000, 451500, 440500, 441000, 35721
02/16/16, 448000, 455000, 448000, 450000, 47796
02/15/16, 449000, 454000, 439000, 451000, 38601
02/12/16, 443500, 452000, 439000, 448000, 95962
02/11/16, 452500, 462000, 448000, 448000, 83391
02/05/16, 457000, 458500, 443000, 451500, 49251
02/04/16, 431000, 456000, 427000, 456000, 137830
02/03/16, 415500, 430000, 409000, 425500, 62236
02/02/16, 423500, 427000, 421500, 423000, 38372
02/01/16, 430500, 434500, 422000, 424000, 38437
01/29/16, 430000, 437000, 423000, 436000, 43894
01/28/16, 430500, 439000, 425500, 435000, 38442
01/27/16, 425000, 443000, 424000, 434500, 67157
01/26/16, 425000, 429000, 412000, 422000, 30252
01/25/16, 418500, 436000, 416500, 427500, 41043
01/22/16, 418000, 423000, 411000, 419000, 31761
01/21/16, 422500, 422500, 406500, 409000, 44137
01/20/16, 427000, 429000, 406000, 416500, 70434
01/19/16, 433000, 434000, 417000, 430000, 59680
01/18/16, 440500, 442500, 432000, 439500, 25768
01/15/16, 446000, 446000, 435000, 440000, 23673
01/14/16, 443000, 446000, 428500, 439500, 52073
01/13/16, 452000, 453500, 445000, 446500, 39569
01/12/16, 462000, 462000, 450000, 451000, 22228
01/11/16, 466500, 469000, 454500, 456000, 26917
01/08/16, 457000, 474500, 450000, 474500, 41917
01/07/16, 457500, 464000, 450500, 455000, 31729
01/06/16, 456000, 458500, 451000, 457000, 33555
01/05/16, 459500, 462000, 452000, 456000, 22446
01/04/16, 463000, 466000, 457000, 457000, 24517
12/30/15, 466500, 472000, 461000, 469000, 27679
12/29/15, 466000, 469000, 458500, 466000, 26772
12/28/15, 476500, 477000, 466000, 467500, 18013
12/24/15, 482000, 484500, 476000, 477500, 27129
12/23/15, 476500, 484500, 471500, 478500, 33693
12/22/15, 467000, 477500, 467000, 476500, 29116
12/21/15, 472500, 473000, 466000, 469500, 16262
12/18/15, 467000, 473000, 462500, 473000, 54097
12/17/15, 470000, 480000, 466500, 475500, 47421
12/16/15, 449500, 468500, 449000, 461000, 54742
12/15/15, 438000, 448000, 435000, 447000, 24216
12/14/15, 447000, 448000, 436000, 436500, 31917
12/11/15, 448000, 453500, 443500, 451500, 27822
12/10/15, 447000, 450500, 438500, 449000, 47632
12/09/15, 455000, 455000, 446000, 449500, 27381
12/08/15, 458500, 463500, 445000, 451000, 50634
12/07/15, 469000, 469500, 460500, 463500, 23357
12/04/15, 460000, 463500, 458000, 460000, 15406
12/03/15, 461000, 468000, 456000, 466000, 23718
12/02/15, 465500, 470000, 462500, 467500, 19451
12/01/15, 468000, 477000, 461000, 469500, 51168
11/30/15, 452000, 460000, 450000, 455000, 46494
11/27/15, 459000, 461500, 453000, 458500, 28644
11/26/15, 456000, 458500, 453000, 457000, 36707
11/25/15, 459500, 469000, 455500, 457000, 32605
11/24/15, 460000, 463000, 455000, 457000, 28619
11/23/15, 447000, 462000, 447000, 461000, 41429
11/20/15, 455500, 456500, 448500, 450000, 22676
11/19/15, 452000, 454500, 447000, 453500, 26509
11/18/15, 448000, 453000, 442000, 449000, 34755
11/17/15, 452500, 452500, 442000, 448500, 31965
11/16/15, 434500, 448500, 434000, 445000, 47402
11/13/15, 446000, 451000, 440500, 446000, 28905
11/12/15, 461000, 464500, 450000, 450000, 45694
11/11/15, 452000, 466500, 441000, 466500, 72271
11/10/15, 458500, 461000, 452500, 452500, 39063
11/09/15, 479000, 479000, 459000, 461500, 51737
11/06/15, 478000, 479000, 474500, 475000, 14100
11/05/15, 477500, 481000, 473000, 476000, 21496
11/04/15, 483000, 485000, 477000, 481000, 19913
11/03/15, 475000, 486500, 470000, 482500, 48418
11/02/15, 474000, 479000, 470000, 476500, 33001
10/30/15, 478000, 481500, 474000, 474000, 32102
10/29/15, 489500, 489500, 476500, 481500, 43721
10/28/15, 485000, 489500, 482000, 489500, 20910
10/27/15, 488000, 491500, 479500, 484500, 40332
10/26/15, 498000, 498500, 489000, 491500, 20960
10/23/15, 500000, 507000, 494000, 494000, 42408
10/22/15, 499000, 502000, 486000, 492000, 53404
10/21/15, 508000, 511000, 498500, 499000, 51018
10/20/15, 510000, 514000, 496500, 507000, 74348
10/19/15, 521000, 528000, 513000, 519000, 31384
10/16/15, 532000, 533000, 518000, 520000, 20978
10/15/15, 523000, 533000, 516000, 530000, 45362
10/14/15, 532000, 540000, 517000, 520000, 45460
10/13/15, 540000, 541000, 519000, 524000, 44438
10/12/15, 548000, 570000, 523000, 536000, 161445
10/08/15, 501000, 516000, 496500, 508000, 70585
10/07/15, 481500, 498500, 480500, 495000, 44748
10/06/15, 476000, 483500, 476000, 481500, 29485
10/05/15, 472000, 478500, 470500, 471500, 37094
10/02/15, 487000, 487000, 461500, 467000, 69467
10/01/15, 460000, 484500, 458500, 479000, 50727
09/30/15, 466000, 467500, 452000, 465500, 93984
09/25/15, 478500, 480000, 471500, 476000, 27032
09/24/15, 473500, 479000, 473000, 477500, 28779
09/23/15, 481000, 487000, 472500, 473000, 54748
09/22/15, 489500, 491500, 486500, 489500, 31220
09/21/15, 501000, 505000, 489000, 489000, 34411
09/18/15, 510000, 510000, 498500, 502000, 35442
09/17/15, 508000, 508000, 500000, 505000, 18191
09/16/15, 497500, 510000, 497500, 503000, 32669
09/15/15, 496500, 503000, 487000, 497500, 38096
09/14/15, 506000, 508000, 491000, 492500, 26890
09/11/15, 501000, 520000, 489000, 510000, 73245
09/10/15, 494000, 514000, 487000, 514000, 35491
09/09/15, 474000, 502000, 474000, 496500, 27279
09/08/15, 468000, 479000, 465000, 476000, 30427
09/07/15, 483500, 484000, 468500, 470000, 29448
09/04/15, 490000, 495000, 480000, 485500, 29003
09/03/15, 494000, 499000, 487500, 496500, 30884
09/02/15, 509000, 510000, 493500, 493500, 25451
09/01/15, 503000, 513000, 502000, 511000, 28074
08/31/15, 507000, 513000, 503000, 513000, 47736
08/28/15, 484000, 513000, 484000, 507000, 54077
08/27/15, 480000, 486500, 477000, 483500, 39938
08/26/15, 478000, 490000, 472500, 487000, 36677
08/25/15, 477500, 487500, 463000, 479000, 43067
08/24/15, 485000, 486500, 465500, 479000, 35311
08/21/15, 497000, 497000, 471500, 483000, 50528
08/20/15, 494000, 496000, 479000, 490500, 27875
08/19/15, 483500, 490000, 470500, 490000, 31405
08/18/15, 498500, 499500, 485500, 485500, 26055
08/17/15, 500000, 501000, 491500, 494000, 26317
08/13/15, 479500, 497500, 478000, 493500, 47124
