Date, Open, High, Low, Close, Volume
03/31/16, 0.011, 0.013, 0.011, 0.011, 2245500
03/30/16, 0.01, 0.01, 0.01, 0.01, 0
03/29/16, 0.011, 0.011, 0.011, 0.011, 123041
03/24/16, 0.01, 0.011, 0.01, 0.011, 1231463
03/23/16, 0.01, 0.01, 0.01, 0.01, 750000
03/22/16, 0.011, 0.011, 0.01, 0.01, 427015
03/21/16, 0.01, 0.01, 0.01, 0.01, 1863636
03/18/16, 0.011, 0.011, 0.011, 0.011, 1616020
03/17/16, 0.012, 0.013, 0.01, 0.01, 1859223
03/16/16, 0.011, 0.014, 0.011, 0.011, 7506806
03/15/16, 0.011, 0.012, 0.01, 0.01, 13663681
03/14/16, 0.01, 0.01, 0.01, 0.01, 1150000
03/11/16, 0.009, 0.009, 0.009, 0.009, 1213994
03/10/16, 0.008, 0.008, 0.008, 0.008, 1005000
03/09/16, 0.009, 0.009, 0.009, 0.009, 1211111
03/08/16, 0.008, 0.008, 0.008, 0.008, 100000
03/07/16, 0.008, 0.008, 0.008, 0.008, 44999
03/04/16, 0.008, 0.009, 0.008, 0.008, 155309
03/03/16, 0.008, 0.009, 0.008, 0.009, 2161101
03/02/16, 0.008, 0.008, 0.008, 0.008, 0
03/01/16, 0.008, 0.008, 0.008, 0.008, 110000
02/29/16, 0.009, 0.009, 0.008, 0.008, 200000
02/26/16, 0.008, 0.009, 0.008, 0.009, 3842000
02/25/16, 0.009, 0.009, 0.009, 0.009, 100000
02/24/16, 0.009, 0.009, 0.009, 0.009, 108894
02/23/16, 0.009, 0.009, 0.008, 0.008, 101948
02/22/16, 0.008, 0.009, 0.008, 0.008, 516670
02/19/16, 0.008, 0.008, 0.008, 0.008, 0
02/18/16, 0.008, 0.008, 0.008, 0.008, 100000
02/17/16, 0.008, 0.008, 0.008, 0.008, 100000
02/16/16, 0.008, 0.008, 0.008, 0.008, 0
02/15/16, 0.009, 0.009, 0.009, 0.009, 200000
02/12/16, 0.008, 0.008, 0.008, 0.008, 0
02/11/16, 0.007, 0.007, 0.007, 0.007, 0
02/10/16, 0.007, 0.007, 0.007, 0.007, 0
02/09/16, 0.008, 0.009, 0.008, 0.009, 1057078
02/08/16, 0.008, 0.008, 0.008, 0.008, 1514888
02/05/16, 0.007, 0.007, 0.007, 0.007, 0
02/04/16, 0.007, 0.008, 0.007, 0.008, 350000
02/03/16, 0.008, 0.008, 0.008, 0.008, 2170308
02/02/16, 0.009, 0.009, 0.009, 0.009, 100000
02/01/16, 0.008, 0.008, 0.008, 0.008, 0
01/29/16, 0.01, 0.01, 0.01, 0.01, 100000
01/28/16, 0.008, 0.008, 0.008, 0.008, 0
01/27/16, 0.01, 0.01, 0.01, 0.01, 800000
01/25/16, 0.008, 0.008, 0.008, 0.008, 0
01/22/16, 0.008, 0.008, 0.008, 0.008, 0
01/21/16, 0.009, 0.009, 0.008, 0.008, 71316
01/20/16, 0.008, 0.008, 0.008, 0.008, 0
01/19/16, 0.008, 0.008, 0.008, 0.008, 500000
01/18/16, 0.009, 0.009, 0.009, 0.009, 500000
01/15/16, 0.008, 0.008, 0.008, 0.008, 0
01/14/16, 0.008, 0.008, 0.008, 0.008, 0
01/13/16, 0.008, 0.008, 0.008, 0.008, 0
01/12/16, 0.009, 0.01, 0.009, 0.01, 1780000
01/11/16, 0.008, 0.008, 0.008, 0.008, 286888
01/08/16, 0.008, 0.008, 0.008, 0.008, 0
01/07/16, 0.008, 0.008, 0.008, 0.008, 0
01/06/16, 0.008, 0.008, 0.008, 0.008, 0
01/05/16, 0.007, 0.007, 0.007, 0.007, 0
01/04/16, 0.007, 0.007, 0.007, 0.007, 0
12/31/15, 0.008, 0.008, 0.008, 0.008, 0
12/30/15, 0.008, 0.008, 0.008, 0.008, 0
12/29/15, 0.008, 0.008, 0.008, 0.008, 2607939
12/24/15, 0.007, 0.007, 0.007, 0.007, 150000
12/23/15, 0.008, 0.008, 0.008, 0.008, 100000
12/22/15, 0.007, 0.007, 0.007, 0.007, 0
12/21/15, 0.008, 0.008, 0.008, 0.008, 125000
12/18/15, 0.008, 0.008, 0.007, 0.007, 1000000
12/17/15, 0.009, 0.009, 0.009, 0.009, 55561
12/16/15, 0.008, 0.008, 0.008, 0.008, 0
12/15/15, 0.008, 0.008, 0.008, 0.008, 0
12/14/15, 0.009, 0.009, 0.009, 0.009, 250000
12/11/15, 0.008, 0.008, 0.008, 0.008, 0
12/10/15, 0.008, 0.008, 0.008, 0.008, 0
12/09/15, 0.009, 0.009, 0.008, 0.008, 432930
12/08/15, 0.009, 0.009, 0.009, 0.009, 331672
12/07/15, 0.008, 0.008, 0.008, 0.008, 1000000
12/04/15, 0.008, 0.008, 0.008, 0.008, 0
12/03/15, 0.008, 0.008, 0.008, 0.008, 640010
12/02/15, 0.008, 0.008, 0.008, 0.008, 625000
12/01/15, 0.008, 0.008, 0.007, 0.008, 2250000
11/30/15, 0.009, 0.009, 0.009, 0.009, 77777
11/27/15, 0.009, 0.009, 0.009, 0.009, 64450
11/26/15, 0.008, 0.009, 0.008, 0.009, 562620
11/25/15, 0.009, 0.009, 0.009, 0.009, 508779
11/24/15, 0.009, 0.009, 0.009, 0.009, 100000
11/23/15, 0.008, 0.008, 0.008, 0.008, 0
11/20/15, 0.008, 0.008, 0.008, 0.008, 0
11/19/15, 0.008, 0.008, 0.008, 0.008, 0
11/18/15, 0.008, 0.008, 0.008, 0.008, 0
11/17/15, 0.009, 0.009, 0.009, 0.009, 612620
11/16/15, 0.008, 0.008, 0.008, 0.008, 333062
11/13/15, 0.008, 0.008, 0.008, 0.008, 2700000
11/12/15, 0.008, 0.008, 0.008, 0.008, 0
11/11/15, 0.009, 0.009, 0.009, 0.009, 62500
11/10/15, 0.008, 0.008, 0.008, 0.008, 0
11/09/15, 0.008, 0.008, 0.008, 0.008, 1340230
11/06/15, 0.008, 0.008, 0.008, 0.008, 0
11/05/15, 0.009, 0.009, 0.009, 0.009, 370445
11/04/15, 0.009, 0.009, 0.008, 0.008, 500200
11/03/15, 0.01, 0.01, 0.008, 0.008, 1700000
11/02/15, 0.008, 0.008, 0.008, 0.008, 0
10/30/15, 0.009, 0.009, 0.008, 0.008, 200000
10/29/15, 0.009, 0.009, 0.009, 0.009, 0
10/28/15, 0.009, 0.009, 0.009, 0.009, 0
10/27/15, 0.009, 0.01, 0.009, 0.01, 1115451
10/26/15, 0.008, 0.008, 0.008, 0.008, 0
10/23/15, 0.008, 0.008, 0.008, 0.008, 0
10/22/15, 0.009, 0.009, 0.008, 0.008, 916151
10/21/15, 0.009, 0.009, 0.009, 0.009, 874000
10/20/15, 0.009, 0.009, 0.009, 0.009, 0
10/19/15, 0.01, 0.011, 0.009, 0.01, 2840759
10/16/15, 0.008, 0.008, 0.008, 0.008, 0
10/15/15, 0.009, 0.009, 0.009, 0.009, 434506
10/14/15, 0.009, 0.009, 0.009, 0.009, 595773
10/13/15, 0.009, 0.009, 0.009, 0.009, 104227
10/12/15, 0.008, 0.008, 0.008, 0.008, 250000
10/09/15, 0.011, 0.011, 0.008, 0.008, 5053079
10/08/15, 0.008, 0.012, 0.008, 0.011, 6579720
10/07/15, 0.007, 0.007, 0.007, 0.007, 0
10/06/15, 0.008, 0.008, 0.008, 0.008, 450000
10/05/15, 0.008, 0.008, 0.008, 0.008, 0
10/02/15, 0.008, 0.008, 0.008, 0.008, 0
10/01/15, 0.008, 0.008, 0.008, 0.008, 0
09/30/15, 0.008, 0.008, 0.008, 0.008, 0
