Date, Open, High, Low, Close, Volume
03/31/16, 96.18, 96.22, 95.80, 95.90, 5974
03/30/16, 95.76, 97.15, 95.76, 96.70, 15906
03/29/16, 95.53, 95.62, 94.40, 95.15, 22906
03/24/16, 95.78, 95.78, 94.79, 94.81, 101266
03/23/16, 96.78, 97.37, 96.00, 96.47, 26266
03/22/16, 94.92, 96.14, 94.00, 96.14, 86562
03/21/16, 94.95, 97.15, 94.95, 95.73, 33812
03/18/16, 94.90, 95.80, 94.54, 95.80, 43030
03/17/16, 96.76, 96.79, 93.88, 95.18, 67284
03/16/16, 95.97, 96.40, 95.54, 96.09, 23961
03/15/16, 95.79, 95.93, 95.19, 95.62, 55386
03/14/16, 96.00, 96.60, 95.70, 96.16, 33828
03/11/16, 92.89, 94.66, 92.89, 94.66, 50548
03/10/16, 93.27, 96.20, 91.33, 91.37, 143608
03/09/16, 93.27, 94.70, 93.27, 93.54, 64920
03/08/16, 93.04, 94.13, 92.60, 93.29, 18708
03/07/16, 94.02, 94.10, 93.33, 94.10, 54367
03/04/16, 94.15, 95.20, 93.91, 94.55, 13491
03/03/16, 94.19, 94.25, 93.51, 93.78, 15113
03/02/16, 94.21, 94.60, 93.39, 94.10, 17786
03/01/16, 91.33, 93.56, 91.33, 93.56, 57367
02/29/16, 90.53, 91.43, 89.90, 91.43, 9499
02/26/16, 91.38, 92.13, 90.99, 91.65, 19464
02/25/16, 89.25, 90.37, 88.63, 89.86, 21170
02/24/16, 90.59, 90.59, 88.00, 88.25, 22117
02/23/16, 91.42, 91.76, 90.60, 90.67, 34917
02/22/16, 91.55, 92.23, 91.54, 92.19, 15450
02/19/16, 90.80, 91.02, 89.83, 90.35, 11112
02/18/16, 90.84, 91.92, 90.01, 91.13, 36946
02/17/16, 88.24, 90.46, 88.24, 90.32, 73739
02/16/16, 88.94, 89.02, 87.50, 87.92, 146740
02/15/16, 87.97, 89.00, 87.97, 88.65, 25841
02/12/16, 85.24, 86.29, 85.00, 86.29, 32625
02/11/16, 85.59, 85.59, 83.70, 84.24, 61416
02/10/16, 85.96, 87.63, 85.70, 86.76, 32521
02/09/16, 86.71, 86.96, 84.51, 85.43, 80267
02/08/16, 89.47, 89.58, 86.12, 86.42, 64613
02/05/16, 90.22, 91.10, 89.00, 89.32, 16310
02/04/16, 91.72, 91.72, 89.10, 90.37, 37118
02/03/16, 91.65, 92.02, 89.96, 90.73, 29784
02/02/16, 93.57, 93.57, 91.79, 92.18, 16907
02/01/16, 94.23, 94.35, 92.83, 93.88, 30689
01/29/16, 94.23, 94.29, 93.10, 94.29, 51708
01/28/16, 94.51, 95.21, 92.35, 92.72, 50747
01/27/16, 94.08, 95.08, 93.64, 95.08, 238225
01/26/16, 92.52, 95.00, 92.28, 94.57, 36571
01/25/16, 94.25, 94.29, 93.29, 93.72, 35896
01/22/16, 94.02, 94.71, 93.50, 94.08, 109922
01/21/16, 90.69, 92.65, 90.22, 92.17, 53227
01/20/16, 90.85, 91.33, 89.75, 90.46, 75101
01/19/16, 93.63, 93.94, 92.97, 93.08, 42219
01/18/16, 92.27, 92.78, 91.28, 91.72, 63617
01/15/16, 94.59, 94.69, 90.90, 91.92, 51492
01/14/16, 94.68, 95.09, 92.75, 94.33, 73706
01/13/16, 97.45, 97.86, 95.70, 95.97, 26953
01/12/16, 95.06, 97.16, 94.73, 96.21, 21087
01/11/16, 94.71, 95.87, 94.60, 94.61, 47162
01/08/16, 96.61, 97.37, 94.85, 94.85, 60278
01/07/16, 95.63, 96.62, 94.50, 96.12, 73131
01/06/16, 98.86, 98.86, 97.22, 98.40, 37094
01/05/16, 99.78, 99.95, 98.00, 99.34, 51091
01/04/16, 100.36, 100.36, 98.72, 99.01, 38154
12/30/15, 104.26, 104.39, 103.10, 103.27, 16722
12/29/15, 103.53, 104.58, 103.53, 104.58, 39484
12/28/15, 103.59, 103.59, 102.49, 102.61, 46680
12/23/15, 102.16, 103.49, 102.16, 103.34, 507664
12/22/15, 102.05, 102.30, 100.27, 101.04, 139686
12/21/15, 102.18, 103.99, 101.17, 101.17, 22804
12/18/15, 102.68, 103.33, 101.65, 102.10, 73247
12/17/15, 102.79, 104.30, 102.69, 103.49, 94892
12/16/15, 100.91, 101.87, 100.56, 100.85, 67503
12/15/15, 98.75, 100.98, 98.74, 100.70, 104449
12/14/15, 100.19, 100.54, 97.63, 97.68, 126304
12/11/15, 101.87, 101.98, 99.32, 99.59, 176632
