Date, Open, High, Low, Close, Volume
03/31/16, 21.70, 22.225, 21.68, 22.04, 27520300
03/30/16, 21.90, 22.215, 21.725, 21.965, 29628000
03/29/16, 21.54, 22.065, 21.24, 21.80, 40071600
03/28/16, 21.745, 21.86, 21.49, 21.74, 7565700
03/25/16, 21.60, 21.875, 20.685, 21.47, 13253500
03/24/16, 22.44, 22.565, 21.52, 21.605, 26377300
03/23/16, 21.70, 22.45, 21.59, 22.45, 27784000
03/22/16, 21.00, 21.88, 21.00, 21.78, 41543700
03/21/16, 20.895, 21.10, 20.815, 21.10, 6574400
03/18/16, 20.70, 21.10, 20.575, 21.10, 22149000
03/17/16, 21.00, 21.16, 20.405, 20.635, 15367000
03/16/16, 21.10, 21.35, 20.565, 20.88, 15098000
03/15/16, 21.23, 21.645, 20.97, 20.98, 31641500
03/14/16, 20.625, 21.465, 20.495, 21.40, 36856800
03/11/16, 20.74, 20.83, 20.285, 20.625, 29009400
03/10/16, 20.35, 20.975, 20.20, 20.61, 34736800
03/09/16, 19.54, 20.245, 19.42, 20.195, 17234800
03/07/16, 19.22, 19.875, 19.135, 19.50, 27219200
03/04/16, 19.14, 19.225, 19.005, 19.20, 21289100
03/03/16, 19.015, 19.30, 19.015, 19.14, 22489500
03/02/16, 19.325, 19.35, 19.00, 19.02, 15245700
03/01/16, 19.34, 19.345, 19.04, 19.33, 16411700
02/29/16, 19.00, 19.34, 18.915, 19.26, 22024100
02/26/16, 19.46, 19.75, 18.925, 19.05, 19613700
02/25/16, 18.80, 19.46, 18.605, 19.45, 25036900
02/24/16, 18.90, 19.095, 18.555, 18.76, 9084500
02/22/16, 19.43, 19.49, 18.845, 18.90, 8786800
02/19/16, 19.385, 19.49, 19.05, 19.43, 17160600
02/18/16, 18.955, 19.61, 18.955, 19.385, 27975000
02/17/16, 19.12, 19.50, 18.84, 18.84, 34154800
02/16/16, 18.86, 19.14, 18.82, 19.055, 6212000
02/15/16, 19.10, 19.27, 18.71, 18.79, 9586500
02/12/16, 19.40, 19.82, 18.90, 19.05, 36280200
02/11/16, 19.25, 19.49, 18.68, 19.31, 8998900
02/10/16, 18.565, 19.36, 18.565, 19.23, 29994200
02/09/16, 18.695, 18.95, 18.55, 18.565, 15575900
02/08/16, 19.39, 19.47, 18.53, 18.80, 21956000
02/05/16, 19.155, 19.45, 19.00, 19.34, 6422700
02/04/16, 19.795, 19.90, 18.95, 19.145, 11417700
02/03/16, 18.75, 19.76, 18.75, 19.60, 28059600
02/02/16, 18.80, 19.035, 18.745, 18.925, 5686600
02/01/16, 19.08, 19.39, 18.80, 18.86, 4231200
01/29/16, 19.07, 19.25, 18.405, 19.08, 15632700
01/28/16, 19.85, 20.09, 18.87, 19.04, 22994100
01/27/16, 18.70, 20.23, 18.70, 19.78, 55751800
01/26/16, 18.55, 18.98, 18.10, 18.76, 31615900
01/25/16, 18.40, 18.78, 18.02, 18.65, 23732800
01/22/16, 18.12, 18.68, 17.885, 18.37, 46037400
01/21/16, 17.40, 18.06, 17.30, 17.92, 24898200
01/20/16, 17.41, 17.63, 17.005, 17.22, 14611100
01/19/16, 17.69, 18.10, 17.51, 17.75, 24349800
01/18/16, 16.80, 17.60, 16.30, 17.555, 19142100
01/15/16, 17.67, 17.765, 16.70, 17.145, 13884000
01/14/16, 17.705, 17.95, 17.55, 17.645, 6897700
01/13/16, 18.40, 18.40, 17.765, 17.85, 13803000
01/12/16, 18.515, 18.515, 18.095, 18.285, 9659800
01/11/16, 19.11, 19.145, 18.385, 18.685, 5498700
01/06/16, 19.00, 19.455, 18.91, 19.27, 12297500
01/05/16, 18.80, 19.04, 18.70, 18.95, 3168800
01/04/16, 18.945, 18.95, 18.245, 18.82, 11398500
12/30/15, 18.095, 18.875, 17.97, 18.875, 40769900
12/29/15, 17.80, 18.10, 17.77, 17.965, 13247900
12/28/15, 18.185, 18.31, 17.71, 17.80, 10184200
12/25/15, 18.21, 18.34, 18.01, 18.18, 2349600
12/24/15, 18.295, 18.42, 17.87, 18.205, 17373700
12/23/15, 18.135, 18.38, 17.85, 18.18, 15863000
12/22/15, 18.10, 18.51, 17.535, 18.065, 29594200
12/21/15, 18.24, 18.57, 17.82, 18.095, 23831000
12/18/15, 17.845, 18.95, 17.71, 18.05, 44542600
12/17/15, 17.80, 18.155, 17.42, 17.895, 21510400
12/16/15, 17.80, 18.16, 17.47, 17.63, 16384500
12/15/15, 18.15, 18.45, 17.60, 17.78, 13114500
12/14/15, 18.60, 18.675, 17.705, 18.13, 27456300
12/11/15, 18.79, 19.05, 18.245, 18.68, 18149100
12/10/15, 19.90, 19.97, 18.75, 18.795, 22893900
12/09/15, 20.80, 20.80, 19.665, 19.92, 21098100
12/08/15, 21.105, 21.285, 20.42, 20.665, 9760000
12/07/15, 21.00, 21.41, 20.915, 21.19, 17287900
12/04/15, 21.35, 21.35, 20.535, 21.00, 8512000
12/03/15, 21.685, 21.705, 21.30, 21.34, 5155500
12/02/15, 21.43, 21.815, 21.345, 21.695, 26266300
12/01/15, 21.30, 21.59, 21.01, 21.38, 12642000
11/30/15, 20.90, 21.555, 20.90, 21.20, 21990900
11/27/15, 21.585, 21.59, 20.80, 20.97, 7108300
11/26/15, 21.81, 21.97, 21.34, 21.595, 8825300
11/25/15, 20.52, 21.76, 20.52, 21.76, 17762800
11/24/15, 21.13, 21.20, 20.525, 20.74, 13521300
11/23/15, 20.68, 21.265, 20.645, 21.07, 12548900
11/20/15, 20.77, 21.08, 20.60, 20.73, 10738400
11/19/15, 21.345, 21.45, 20.80, 20.84, 33243300
11/18/15, 20.77, 21.58, 20.625, 21.19, 41972400
11/17/15, 21.20, 21.30, 20.515, 20.77, 26614000
11/16/15, 21.30, 21.70, 21.06, 21.10, 21067600
11/13/15, 22.26, 22.40, 21.32, 21.355, 16758100
11/12/15, 21.55, 22.55, 21.54, 22.26, 25108700
11/11/15, 22.45, 22.465, 21.53, 21.58, 18030600
