Date, Open, High, Low, Close
03/31/16, 3.835, 3.835, 3.825, 3.825
03/30/16, 3.865, 3.870, 3.840, 3.840
03/29/16, 3.885, 3.885, 3.875, 3.875
03/28/16, 3.885, 3.890, 3.880, 3.890
03/25/16, 3.870, 3.875, 3.870, 3.875
03/24/16, 3.865, 3.865, 3.865, 3.865
03/23/16, 3.850, 3.860, 3.850, 3.860
03/22/16, 3.850, 3.850, 3.845, 3.845
03/21/16, 3.830, 3.855, 3.830, 3.855
03/18/16, 3.835, 3.840, 3.835, 3.835
03/17/16, 3.920, 3.920, 3.900, 3.900
03/16/16, 3.945, 3.945, 3.945, 3.945
03/15/16, 3.955, 3.955, 3.950, 3.950
03/14/16, 3.915, 3.935, 3.915, 3.935
03/11/16, 3.910, 3.910, 3.905, 3.910
03/10/16, 3.910, 3.920, 3.905, 3.905
03/09/16, 3.920, 3.925, 3.920, 3.925
03/08/16, 3.910, 3.910, 3.905, 3.905
03/07/16, 3.910, 3.910, 3.905, 3.905
03/04/16, 3.930, 3.930, 3.925, 3.925
03/03/16, 3.920, 3.920, 3.910, 3.920
03/02/16, 3.925, 3.925, 3.925, 3.925
03/01/16, 3.940, 3.940, 3.930, 3.930
02/29/16, 3.950, 3.955, 3.950, 3.950
02/26/16, 3.960, 3.965, 3.960, 3.960
02/25/16, 3.960, 3.965, 3.960, 3.965
02/24/16, 3.955, 3.970, 3.955, 3.970
02/23/16, 3.940, 3.950, 3.940, 3.950
02/22/16, 3.940, 3.945, 3.940, 3.945
02/19/16, 3.925, 3.935, 3.925, 3.935
02/18/16, 3.920, 3.925, 3.920, 3.920
02/17/16, 3.935, 3.940, 3.935, 3.935
02/16/16, 3.935, 3.935, 3.930, 3.930
02/15/16, 3.920, 3.935, 3.920, 3.935
02/12/16, 3.920, 3.935, 3.920, 3.935
02/11/16, 3.970, 3.970, 3.930, 3.935
02/10/16, 3.985, 3.990, 3.960, 3.960
02/05/16, 3.985, 3.990, 3.985, 3.990
02/04/16, 3.940, 3.960, 3.940, 3.955
02/03/16, 3.910, 3.935, 3.910, 3.935
02/02/16, 3.860, 3.915, 3.860, 3.915
01/29/16, 3.870, 3.870, 3.850, 3.860
01/28/16, 3.880, 3.880, 3.875, 3.880
01/27/16, 3.895, 3.915, 3.885, 3.885
01/26/16, 3.895, 3.930, 3.880, 3.930
01/22/16, 3.890, 3.910, 3.890, 3.895
01/21/16, 4.055, 4.055, 4.025, 4.025
01/20/16, 4.130, 4.130, 4.120, 4.120
01/19/16, 4.175, 4.175, 4.140, 4.140
01/18/16, 4.170, 4.170, 4.140, 4.170
