Date, Open, High, Low, Close, Volume
03/31/16, 233, 233, 231, 231, 3000
03/30/16, 241, 241, 241, 241, 1000
03/29/16, 234, 242, 234, 242, 2000
03/28/16, 241, 241, 240, 240, 5000
03/25/16, 240, 240, 240, 240, 2000
03/24/16, 238, 238, 237, 237, 3000
03/23/16, 238, 238, 238, 238, 1000
03/17/16, 237, 237, 237, 237, 1000
03/16/16, 233, 233, 233, 233, 1000
03/14/16, 231, 233, 231, 233, 3000
03/09/16, 233, 233, 223, 225, 18000
03/08/16, 237, 238, 237, 238, 2000
03/07/16, 230, 230, 230, 230, 1000
03/04/16, 237, 237, 230, 230, 6000
03/01/16, 237, 237, 237, 237, 2000
02/26/16, 237, 237, 237, 237, 2000
02/22/16, 234, 237, 234, 237, 2000
02/19/16, 233, 235, 232, 232, 3000
02/16/16, 225, 225, 217, 225, 37000
02/15/16, 217, 232, 217, 232, 12000
02/12/16, 225, 225, 225, 225, 5000
02/09/16, 231, 231, 231, 231, 2000
02/02/16, 233, 233, 233, 233, 2000
02/01/16, 227, 233, 227, 233, 3000
01/29/16, 226, 226, 226, 226, 3000
01/28/16, 226, 226, 226, 226, 1000
01/26/16, 232, 232, 232, 232, 3000
01/25/16, 231, 232, 231, 232, 4000
01/22/16, 232, 232, 232, 232, 1000
01/19/16, 230, 230, 225, 225, 5000
01/18/16, 230, 234, 230, 234, 5000
01/14/16, 236, 236, 235, 235, 6000
01/13/16, 237, 238, 237, 238, 4000
01/12/16, 241, 241, 238, 238, 7000
01/08/16, 247, 247, 242, 242, 5000
01/06/16, 249, 249, 249, 249, 1000
01/05/16, 247, 247, 246, 246, 7000
01/04/16, 249, 250, 245, 247, 8000
12/30/15, 249, 250, 248, 249, 9000
12/29/15, 249, 249, 248, 249, 5000
12/28/15, 238, 243, 238, 240, 3000
12/25/15, 237, 237, 235, 235, 3000
12/24/15, 241, 241, 241, 241, 1000
12/22/15, 241, 241, 241, 241, 2000
12/21/15, 241, 241, 239, 241, 6000
12/18/15, 242, 242, 241, 241, 4000
12/17/15, 244, 250, 244, 250, 3000
12/16/15, 244, 244, 239, 241, 3000
12/15/15, 239, 239, 238, 238, 3000
12/14/15, 245, 245, 245, 245, 0
12/11/15, 248, 248, 248, 248, 7000
12/10/15, 248, 248, 248, 248, 1000
12/09/15, 241, 247, 240, 240, 4000
12/08/15, 243, 245, 238, 245, 10000
12/07/15, 249, 249, 245, 247, 16000
12/04/15, 226, 254, 226, 250, 48000
12/01/15, 225, 226, 225, 225, 11000
11/30/15, 225, 225, 225, 225, 1000
11/27/15, 223, 223, 223, 223, 1000
11/26/15, 225, 225, 222, 222, 4000
11/25/15, 225, 225, 225, 225, 2000
11/19/15, 225, 225, 225, 225, 5000
11/16/15, 223, 223, 223, 223, 1000
11/13/15, 225, 225, 225, 225, 4000
11/11/15, 224, 225, 223, 225, 5000
11/09/15, 223, 224, 222, 224, 5000
11/06/15, 223, 223, 223, 223, 4000
11/04/15, 224, 224, 224, 224, 2000
11/02/15, 223, 223, 223, 223, 1000
10/30/15, 225, 225, 225, 225, 1000
10/26/15, 227, 227, 225, 225, 6000
10/22/15, 225, 225, 225, 225, 1000
10/16/15, 223, 223, 223, 223, 1000
10/15/15, 222, 223, 214, 219, 22000
10/14/15, 230, 230, 229, 230, 6000
10/09/15, 230, 230, 230, 230, 1000
10/08/15, 225, 225, 225, 225, 3000
09/30/15, 235, 235, 235, 235, 2000
09/28/15, 235, 235, 235, 235, 2000
09/25/15, 235, 235, 235, 235, 0
08/31/15, 240, 240, 240, 240, 1000
08/28/15, 240, 240, 240, 240, 2000
08/24/15, 219, 219, 219, 219, 0
08/21/15, 220, 220, 218, 219, 3000
08/20/15, 231, 231, 225, 225, 4000
08/18/15, 234, 234, 231, 231, 2000
08/14/15, 236, 236, 236, 236, 2000
08/13/15, 235, 235, 235, 235, 3000
08/12/15, 236, 241, 236, 236, 5000
08/11/15, 237, 239, 235, 235, 8000
08/10/15, 243, 245, 243, 244, 6000
08/07/15, 249, 249, 244, 248, 14000
08/06/15, 252, 252, 252, 252, 4000
08/05/15, 252, 252, 252, 252, 2000
08/04/15, 247, 252, 247, 252, 2000
08/03/15, 258, 260, 258, 260, 3000
07/29/15, 250, 250, 250, 250, 1000
07/27/15, 257, 257, 257, 257, 2000
07/17/15, 257, 257, 257, 257, 3000
07/16/15, 260, 260, 260, 260, 1000
07/15/15, 260, 260, 252, 260, 3000
07/14/15, 253, 256, 253, 255, 4000
07/13/15, 253, 253, 253, 253, 1000
07/10/15, 253, 253, 253, 253, 1000
07/09/15, 253, 255, 253, 255, 4000
07/08/15, 253, 253, 253, 253, 1000
07/01/15, 260, 260, 260, 260, 1000
06/30/15, 258, 258, 258, 258, 4000
06/29/15, 258, 258, 258, 258, 5000
06/26/15, 258, 258, 258, 258, 2000
06/25/15, 258, 258, 258, 258, 1000
06/24/15, 261, 261, 261, 261, 1000
06/19/15, 255, 255, 255, 255, 2000
06/18/15, 257, 257, 257, 257, 1000
06/12/15, 255, 255, 255, 255, 2000
06/09/15, 255, 255, 255, 255, 1000
06/08/15, 262, 262, 255, 255, 7000
06/05/15, 260, 260, 260, 260, 1000
06/04/15, 255, 260, 255, 255, 14000
06/03/15, 245, 251, 245, 251, 15000
06/02/15, 245, 245, 245, 245, 2000
06/01/15, 245, 245, 245, 245, 3000
05/29/15, 245, 245, 245, 245, 1000
05/28/15, 245, 247, 245, 245, 7000
05/26/15, 245, 245, 240, 240, 5000
05/25/15, 245, 245, 245, 245, 2000
05/21/15, 245, 245, 245, 245, 1000
05/20/15, 246, 246, 243, 243, 2000
05/19/15, 233, 248, 233, 247, 13000
05/15/15, 238, 238, 235, 235, 3000
05/14/15, 238, 238, 238, 238, 3000
05/12/15, 240, 240, 238, 238, 2000
05/11/15, 241, 244, 238, 244, 3000
05/08/15, 241, 242, 241, 242, 2000
05/07/15, 235, 235, 235, 235, 5000
05/01/15, 236, 237, 233, 233, 8000
04/30/15, 237, 244, 230, 235, 41000
04/28/15, 230, 230, 229, 229, 3000
04/27/15, 232, 232, 232, 232, 1000
04/24/15, 232, 233, 232, 233, 2000
04/23/15, 230, 235, 230, 230, 6000
04/22/15, 230, 230, 228, 228, 4000
04/20/15, 230, 230, 227, 227, 4000
04/17/15, 230, 230, 230, 230, 1000
04/15/15, 227, 229, 227, 229, 3000
04/14/15, 229, 229, 229, 229, 1000
04/13/15, 231, 231, 229, 229, 4000
04/09/15, 228, 228, 228, 228, 3000
04/07/15, 228, 228, 228, 228, 1000
04/06/15, 229, 229, 228, 228, 2000
04/02/15, 230, 230, 230, 230, 1000
04/01/15, 230, 230, 230, 230, 2000
03/30/15, 237, 240, 237, 240, 4000
03/27/15, 234, 237, 234, 237, 2000
03/26/15, 249, 249, 240, 240, 9000
03/25/15, 241, 249, 241, 249, 10000
