Date, Open, High, Low, Close, Volume
03/31/16, 48.29, 48.29, 48.29, 48.29, 0
03/30/16, 48.46, 48.46, 48.46, 48.46, 0
03/29/16, 48.51, 48.51, 48.51, 48.51, 0
03/24/16, 46.99, 46.99, 46.99, 46.99, 0
03/23/16, 47.68, 47.68, 47.68, 47.68, 0
03/22/16, 47.47, 47.47, 47.47, 47.47, 0
03/21/16, 47.03, 47.96, 47.03, 47.96, 100
03/18/16, 47.13, 47.13, 47.13, 47.13, 0
03/17/16, 46.89, 46.89, 46.89, 46.89, 0
03/16/16, 47.31, 47.31, 47.31, 47.31, 0
03/15/16, 47.20, 47.20, 47.20, 47.20, 0
03/14/16, 48.47, 48.47, 48.47, 48.47, 0
03/11/16, 47.78, 47.78, 47.78, 47.78, 0
03/10/16, 49.21, 49.21, 49.21, 49.21, 0
03/09/16, 49.08, 49.08, 49.08, 49.08, 0
03/08/16, 49.14, 49.24, 49.14, 49.24, 20
03/07/16, 49.06, 49.06, 49.06, 49.06, 0
03/04/16, 49.17, 49.17, 49.17, 49.17, 0
03/03/16, 49.09, 49.09, 49.09, 49.09, 0
03/02/16, 48.72, 48.72, 48.72, 48.72, 0
03/01/16, 48.29, 48.29, 48.29, 48.29, 0
02/29/16, 48.32, 48.32, 48.32, 48.32, 0
02/26/16, 48.46, 48.46, 48.46, 48.46, 0
02/25/16, 48.21, 48.21, 48.21, 48.21, 0
02/24/16, 47.92, 47.92, 47.92, 47.92, 0
02/23/16, 48.26, 48.26, 47.92, 47.92, 0
02/22/16, 47.85, 47.85, 47.85, 47.85, 0
02/19/16, 46.21, 46.21, 46.21, 46.21, 0
02/18/16, 45.35, 45.35, 45.35, 45.35, 0
02/17/16, 45.28, 45.28, 45.28, 45.28, 0
02/16/16, 45.23, 45.23, 45.23, 45.23, 0
02/15/16, 44.72, 44.72, 44.72, 44.72, 0
02/12/16, 42.42, 42.42, 42.42, 42.42, 0
02/11/16, 43.32, 43.32, 43.32, 43.32, 0
02/10/16, 43.36, 43.36, 43.36, 43.36, 0
02/09/16, 43.94, 43.94, 43.40, 43.40, 0
02/08/16, 41.01, 42.20, 41.01, 42.20, 0
02/05/16, 40.38, 40.38, 40.38, 40.38, 0
02/04/16, 41.49, 41.49, 41.49, 41.49, 0
02/03/16, 41.55, 41.70, 41.01, 41.01, 0
02/02/16, 41.71, 41.71, 41.71, 41.71, 0
02/01/16, 42.71, 42.71, 42.71, 42.71, 0
01/29/16, 41.58, 41.79, 41.58, 41.79, 0
01/28/16, 41.20, 41.20, 41.20, 41.20, 0
01/27/16, 41.56, 41.56, 41.56, 41.56, 0
01/26/16, 40.52, 40.84, 40.52, 40.84, 0
01/25/16, 41.44, 41.44, 41.44, 41.44, 0
01/22/16, 41.18, 41.18, 41.18, 41.18, 0
01/21/16, 40.09, 40.94, 40.09, 40.94, 0
01/20/16, 39.51, 39.51, 39.51, 39.51, 0
01/19/16, 41.07, 41.07, 41.07, 41.07, 0
01/18/16, 40.78, 40.78, 40.78, 40.78, 0
01/15/16, 40.61, 40.61, 40.61, 40.61, 0
01/14/16, 40.44, 40.44, 40.44, 40.44, 0
01/13/16, 41.14, 41.14, 41.14, 41.14, 0
01/12/16, 40.52, 40.52, 40.52, 40.52, 0
01/11/16, 39.18, 39.18, 39.18, 39.18, 0
01/08/16, 41.03, 41.03, 41.03, 41.03, 0
01/07/16, 41.64, 41.64, 41.64, 41.64, 0
01/06/16, 42.15, 42.15, 42.15, 42.15, 0
01/05/16, 42.39, 42.39, 42.39, 42.39, 0
01/04/16, 42.33, 42.33, 42.33, 42.33, 0
12/30/15, 43.36, 43.36, 43.36, 43.36, 0
12/29/15, 43.27, 43.27, 43.27, 43.27, 0
12/28/15, 42.85, 42.85, 42.85, 42.85, 0
12/23/15, 42.82, 42.82, 42.82, 42.82, 0
12/22/15, 42.35, 42.35, 42.35, 42.35, 0
12/21/15, 42.06, 42.26, 42.06, 42.26, 14
12/18/15, 42.19, 42.38, 42.19, 42.38, 10
12/17/15, 42.49, 42.49, 42.49, 42.49, 0
12/16/15, 43.52, 43.52, 43.52, 43.52, 0
12/15/15, 43.58, 43.58, 43.58, 43.58, 0
12/14/15, 44.09, 44.09, 44.09, 44.09, 0
12/11/15, 44.76, 44.76, 44.76, 44.76, 0
12/10/15, 46.12, 46.12, 46.12, 46.12, 0
12/09/15, 46.81, 46.81, 46.81, 46.81, 0
12/08/15, 47.54, 47.54, 47.54, 47.54, 0
12/07/15, 47.73, 48.16, 47.73, 48.16, 10
12/04/15, 46.62, 46.62, 46.62, 46.62, 0
12/03/15, 48.66, 48.66, 48.65, 48.65, 0
12/02/15, 48.97, 48.97, 48.97, 48.97, 0
12/01/15, 49.05, 49.05, 49.05, 49.05, 18
11/30/15, 48.47, 48.47, 48.47, 48.47, 0
11/27/15, 47.97, 47.97, 47.97, 47.97, 0
11/26/15, 48.06, 48.06, 48.06, 48.06, 0
11/25/15, 47.86, 47.86, 47.86, 47.86, 0
11/24/15, 48.14, 48.14, 48.14, 48.14, 0
11/23/15, 48.57, 48.57, 48.57, 48.57, 0
11/20/15, 47.80, 47.80, 47.80, 47.80, 0
11/19/15, 47.83, 47.83, 47.83, 47.83, 0
11/18/15, 47.22, 47.22, 47.22, 47.22, 0
11/17/15, 47.41, 47.41, 47.41, 47.41, 0
11/16/15, 46.59, 46.81, 46.59, 46.81, 54
11/13/15, 46.70, 46.70, 46.70, 46.70, 0
11/12/15, 47.88, 47.88, 47.29, 47.29, 0
11/11/15, 47.92, 47.92, 47.92, 47.92, 0
11/10/15, 47.64, 47.64, 47.64, 47.64, 0
11/09/15, 48.36, 48.36, 48.36, 48.36, 0
11/06/15, 48.02, 48.51, 48.02, 48.43, 0
11/05/15, 47.94, 47.94, 47.85, 47.85, 0
11/04/15, 47.55, 47.55, 47.55, 47.55, 0
11/03/15, 47.00, 47.39, 47.00, 47.39, 11
11/02/15, 48.71, 48.71, 48.71, 48.71, 0
10/30/15, 48.98, 48.98, 48.98, 48.98, 0
10/29/15, 49.07, 49.07, 49.01, 49.01, 100
10/28/15, 47.80, 48.65, 47.80, 48.65, 65
10/27/15, 48.02, 48.02, 48.02, 48.02, 0
10/26/15, 47.98, 48.04, 47.98, 48.04, 0
10/23/15, 47.84, 48.26, 47.84, 48.26, 0
10/22/15, 46.64, 47.66, 46.64, 47.66, 0
10/21/15, 46.86, 46.86, 46.61, 46.61, 0
10/20/15, 46.63, 46.63, 46.63, 46.63, 0
10/19/15, 46.10, 46.10, 46.10, 46.10, 0
10/16/15, 46.31, 46.31, 46.31, 46.31, 0
10/15/15, 44.73, 44.73, 44.73, 44.73, 0
10/14/15, 45.58, 45.58, 45.58, 45.58, 0
10/13/15, 45.58, 45.58, 45.58, 45.58, 0
10/12/15, 45.32, 45.32, 45.32, 45.32, 0
10/09/15, 45.44, 45.44, 45.44, 45.44, 0
10/08/15, 44.75, 44.75, 44.75, 44.75, 0
10/07/15, 44.95, 44.95, 44.95, 44.95, 0
10/06/15, 44.78, 44.78, 44.78, 44.78, 0
10/05/15, 43.88, 43.88, 43.88, 43.88, 0
10/02/15, 44.39, 44.39, 43.41, 43.41, 0
10/01/15, 45.57, 45.57, 44.35, 44.35, 0
09/30/15, 45.19, 45.19, 45.19, 45.19, 0
09/29/15, 44.85, 44.85, 44.85, 44.85, 0
09/28/15, 45.63, 45.63, 45.63, 45.63, 0
09/25/15, 46.07, 46.07, 46.07, 46.07, 0
09/24/15, 45.68, 45.68, 45.37, 45.50, 0
09/23/15, 45.89, 45.89, 45.89, 45.89, 0
09/22/15, 46.54, 46.54, 46.54, 46.54, 0
09/21/15, 45.68, 45.68, 45.68, 45.68, 0
09/18/15, 44.48, 44.48, 44.48, 44.48, 0
09/17/15, 44.97, 44.97, 44.97, 44.97, 0
09/16/15, 44.74, 44.74, 44.74, 44.74, 0
09/15/15, 44.56, 44.56, 44.56, 44.56, 0
09/14/15, 44.51, 44.51, 44.51, 44.51, 0
09/11/15, 44.51, 44.51, 44.51, 44.51, 3
09/10/15, 44.35, 44.35, 44.35, 44.35, 0
09/09/15, 44.50, 44.50, 44.50, 44.50, 0
09/08/15, 43.32, 43.32, 43.32, 43.32, 0
09/07/15, 44.33, 44.33, 44.33, 44.33, 0
09/04/15, 44.53, 44.53, 44.53, 44.53, 0
09/03/15, 44.67, 44.67, 44.67, 44.67, 0
09/02/15, 44.40, 44.40, 44.40, 44.40, 0
09/01/15, 44.34, 44.34, 44.34, 44.34, 0
08/31/15, 45.40, 45.40, 45.40, 45.40, 25
08/28/15, 45.98, 45.98, 45.98, 45.98, 0
08/27/15, 45.05, 45.05, 45.05, 45.05, 0
08/26/15, 44.44, 44.83, 44.44, 44.83, 0
08/25/15, 44.46, 44.46, 44.32, 44.32, 0
08/24/15, 45.45, 45.45, 44.97, 44.97, 70
08/21/15, 47.61, 47.61, 47.61, 47.61, 0
08/20/15, 49.33, 49.33, 48.53, 48.53, 0
08/19/15, 49.86, 49.86, 49.86, 49.86, 0
08/18/15, 49.77, 49.77, 49.77, 49.77, 0
08/17/15, 49.46, 49.46, 49.46, 49.46, 0
08/14/15, 48.37, 48.37, 48.37, 48.37, 0
08/13/15, 48.51, 48.51, 48.51, 48.51, 0
08/12/15, 48.82, 48.82, 47.90, 48.27, 0
08/11/15, 49.44, 49.44, 49.44, 49.44, 0
08/10/15, 49.96, 49.96, 49.96, 49.96, 0
08/07/15, 50.03, 50.03, 49.66, 49.66, 0
08/06/15, 50.50, 50.50, 50.50, 50.50, 55
08/05/15, 51.46, 51.46, 51.09, 51.09, 0
08/04/15, 50.58, 50.58, 50.58, 50.58, 0
08/03/15, 51.28, 51.28, 47.98, 47.98, 250
07/31/15, 51.52, 51.52, 51.52, 51.52, 0
07/30/15, 51.12, 51.12, 51.12, 51.12, 0
07/29/15, 50.64, 50.64, 50.64, 50.64, 0
07/28/15, 50.75, 50.75, 50.75, 50.75, 0
07/27/15, 51.13, 51.13, 50.67, 50.67, 0
07/24/15, 51.35, 51.35, 51.35, 51.35, 0
07/23/15, 51.76, 51.76, 51.31, 51.31, 0
07/22/15, 51.35, 51.35, 51.35, 51.35, 0
07/21/15, 52.29, 52.29, 51.72, 51.72, 0
07/20/15, 52.28, 52.28, 52.28, 52.28, 0
