Date, Open, High, Low, Close, Volume
03/31/16, 55.83, 56.0072, 55.43, 55.50, 112732
03/30/16, 56.00, 56.0199, 55.57, 55.84, 110606
03/29/16, 55.14, 55.88, 54.72, 55.82, 159308
03/28/16, 54.34, 55.28, 54.15, 55.27, 163387
03/24/16, 53.48, 54.24, 53.23, 54.24, 142859
03/23/16, 54.42, 54.4699, 53.68, 53.68, 102777
03/22/16, 54.20, 54.88, 54.07, 54.50, 97402
03/21/16, 54.04, 54.91, 54.00, 54.55, 128298
03/18/16, 54.04, 54.96, 53.95, 54.13, 288753
03/17/16, 53.63, 54.58, 53.63, 54.30, 134913
03/16/16, 53.53, 53.78, 53.37, 53.63, 132079
03/15/16, 52.92, 53.60, 52.66, 53.50, 136280
03/14/16, 53.96, 54.39, 53.60, 53.60, 154241
03/11/16, 53.49, 54.28, 53.25, 54.20, 98807
03/10/16, 54.12, 54.38, 52.70, 53.15, 160533
03/09/16, 53.95, 54.32, 53.92, 54.08, 180608
03/08/16, 54.05, 54.48, 53.82, 53.85, 113012
03/07/16, 53.69, 54.51, 53.57, 54.44, 162432
03/04/16, 53.95, 54.0999, 53.62, 54.04, 117212
03/03/16, 53.27, 54.00, 53.01, 53.92, 129822
03/02/16, 52.78, 53.40, 52.70, 53.35, 189548
03/01/16, 52.84, 53.19, 52.67, 52.83, 208042
02/29/16, 53.19, 53.26, 52.58, 52.58, 234078
02/26/16, 53.77, 53.79, 52.89, 53.20, 128406
02/25/16, 53.46, 53.74, 53.31, 53.57, 148243
02/24/16, 52.42, 53.59, 52.42, 53.42, 192569
02/23/16, 53.11, 53.69, 52.7601, 52.84, 112420
02/22/16, 53.45, 53.74, 53.01, 53.49, 169951
02/19/16, 51.60, 53.10, 51.60, 53.01, 334897
02/18/16, 50.69, 51.35, 50.52, 51.32, 140170
02/17/16, 50.94, 51.38, 50.35, 50.58, 157762
02/16/16, 50.12, 51.27, 50.12, 50.73, 147811
02/12/16, 48.38, 49.97, 48.38, 49.79, 198214
02/11/16, 48.52, 48.91, 47.96, 48.07, 215704
02/10/16, 49.28, 50.15, 49.11, 49.16, 221607
02/09/16, 49.31, 50.20, 48.56, 49.03, 341373
02/08/16, 46.01, 49.69, 46.01, 49.62, 332081
02/05/16, 45.24, 46.16, 45.24, 45.59, 139697
02/04/16, 45.73, 46.33, 45.06, 45.33, 123185
02/03/16, 45.74, 45.98, 45.12, 45.80, 165240
02/02/16, 45.45, 45.71, 45.06, 45.49, 134900
02/01/16, 46.20, 46.665, 45.68, 45.69, 144806
01/29/16, 45.18, 46.55, 45.15, 46.43, 463209
01/28/16, 45.10, 45.39, 44.68, 45.02, 125502
01/27/16, 45.15, 45.70, 44.50, 44.80, 155900
01/26/16, 44.34, 45.4658, 44.27, 45.36, 147247
01/25/16, 44.76, 45.065, 44.18, 44.23, 172349
01/22/16, 44.71, 45.18, 44.56, 44.86, 122908
01/21/16, 44.03, 44.812, 43.855, 44.28, 205762
01/20/16, 43.34, 44.33, 43.17, 44.02, 236991
01/19/16, 44.66, 44.78, 43.935, 44.01, 152341
01/15/16, 43.72, 44.52, 43.58, 44.34, 259797
01/14/16, 43.81, 44.77, 43.81, 44.65, 234925
01/13/16, 44.34, 44.40, 43.44, 43.79, 230737
01/12/16, 44.60, 44.975, 43.86, 44.34, 192124
01/11/16, 43.18, 44.59, 42.97, 44.39, 218631
01/08/16, 44.34, 44.34, 42.98, 43.06, 247933
01/07/16, 45.03, 45.70, 44.07, 44.19, 230744
01/06/16, 45.37, 45.93, 45.22, 45.73, 262531
01/05/16, 45.84, 46.17, 45.36, 45.73, 145627
01/04/16, 46.15, 46.15, 45.27, 45.90, 264846
12/31/15, 47.08, 47.445, 46.55, 46.57, 139337
12/30/15, 47.45, 47.8075, 47.13, 47.31, 147661
12/29/15, 47.67, 48.04, 47.35, 47.48, 165619
12/28/15, 46.96, 47.60, 46.87, 47.47, 123374
12/24/15, 46.93, 47.34, 46.75, 47.06, 73205
12/23/15, 47.15, 47.35, 46.74, 46.89, 179290
12/22/15, 46.22, 47.1199, 46.11, 46.94, 127846
12/21/15, 45.79, 46.285, 45.51, 46.20, 173934
12/18/15, 45.74, 46.16, 45.12, 45.64, 1179956
12/17/15, 46.30, 46.545, 45.73, 45.97, 312121
12/16/15, 47.76, 48.06, 46.093, 46.33, 388569
12/15/15, 48.45, 48.70, 47.56, 47.60, 272389
12/14/15, 48.16, 48.58, 48.05, 48.14, 150077
12/11/15, 48.86, 48.98, 48.12, 48.20, 188447
12/10/15, 50.60, 51.03, 49.84, 49.88, 112614
12/09/15, 50.87, 51.31, 50.43, 50.65, 133826
12/08/15, 51.60, 51.77, 51.02, 51.09, 100185
12/07/15, 51.83, 52.36, 51.59, 51.85, 98971
12/04/15, 50.98, 52.02, 50.98, 51.98, 96434
12/03/15, 51.61, 51.61, 50.595, 50.91, 137600
12/02/15, 51.99, 52.16, 51.47, 51.56, 134198
12/01/15, 51.84, 52.16, 51.79, 51.95, 98337
11/30/15, 51.50, 51.78, 51.33, 51.75, 162096
11/27/15, 50.95, 51.55, 50.8901, 51.46, 77784
11/25/15, 51.09, 51.10, 50.69, 51.07, 151289
11/24/15, 50.81, 51.44, 50.69, 51.10, 225762
11/23/15, 51.70, 51.70, 51.15, 51.20, 187225
11/20/15, 51.38, 51.68, 51.03, 51.66, 172922
11/19/15, 51.17, 51.52, 50.97, 51.30, 135469
11/18/15, 50.67, 51.17, 50.28, 51.15, 164659
11/17/15, 50.63, 51.16, 50.36, 50.41, 200590
11/16/15, 50.11, 50.73, 49.66, 50.60, 94720
11/13/15, 50.33, 50.74, 49.90, 50.24, 110259
11/12/15, 51.26, 51.59, 50.31, 50.39, 109208
11/11/15, 51.62, 52.01, 51.31, 51.47, 81060
11/10/15, 51.06, 51.61, 51.04, 51.53, 117063
11/09/15, 52.00, 52.15, 51.15, 51.17, 134047
11/06/15, 52.38, 52.816, 51.76, 52.17, 99222
11/05/15, 52.08, 52.41, 51.68, 52.26, 142005
11/04/15, 52.03, 52.41, 51.64, 52.12, 174837
11/03/15, 52.05, 52.35, 51.312, 52.10, 198412
11/02/15, 53.73, 53.73, 51.76, 51.93, 303875
10/30/15, 53.63, 54.18, 53.43, 54.01, 828646
