Date, Open, High, Low, Close, Volume
03/31/16, 1.23, 1.23, 1.21, 1.21, 10000
03/30/16, 1.25, 1.25, 1.25, 1.25, 0
03/29/16, 1.24, 1.25, 1.24, 1.25, 8000
03/28/16, 1.25, 1.25, 1.24, 1.24, 14000
03/25/16, 1.24, 1.24, 1.24, 1.24, 0
03/24/16, 1.24, 1.24, 1.24, 1.24, 6500
03/23/16, 1.26, 1.26, 1.26, 1.26, 0
03/22/16, 1.26, 1.26, 1.26, 1.26, 4000
03/21/16, 1.28, 1.30, 1.28, 1.28, 210000
03/18/16, 1.29, 1.30, 1.23, 1.28, 182000
03/17/16, 1.25, 1.28, 1.25, 1.26, 160000
03/16/16, 1.25, 1.25, 1.24, 1.25, 300000
03/15/16, 1.24, 1.24, 1.24, 1.24, 0
03/14/16, 1.24, 1.24, 1.24, 1.24, 0
03/11/16, 1.24, 1.24, 1.24, 1.24, 5000
03/10/16, 1.24, 1.24, 1.24, 1.24, 10000
03/09/16, 1.24, 1.24, 1.24, 1.24, 0
03/08/16, 1.25, 1.25, 1.24, 1.24, 12000
03/07/16, 1.25, 1.25, 1.25, 1.25, 3000
03/04/16, 1.26, 1.26, 1.25, 1.25, 4000
03/03/16, 1.26, 1.26, 1.26, 1.26, 5000
03/02/16, 1.27, 1.27, 1.25, 1.26, 39000
03/01/16, 1.27, 1.27, 1.26, 1.26, 11300
02/29/16, 1.32, 1.32, 1.28, 1.28, 34600
02/26/16, 1.38, 1.38, 1.30, 1.30, 107400
02/25/16, 1.33, 1.45, 1.33, 1.45, 5600
02/24/16, 1.38, 1.38, 1.33, 1.33, 17000
02/23/16, 1.45, 1.45, 1.45, 1.45, 0
02/22/16, 1.45, 1.45, 1.45, 1.45, 0
02/19/16, 1.45, 1.45, 1.45, 1.45, 10000
02/18/16, 1.44, 1.50, 1.44, 1.45, 3500
02/17/16, 1.46, 1.46, 1.46, 1.46, 0
02/16/16, 1.46, 1.46, 1.46, 1.46, 0
02/15/16, 1.49, 1.49, 1.46, 1.46, 8500
02/12/16, 1.50, 1.50, 1.50, 1.50, 0
02/11/16, 1.50, 1.50, 1.50, 1.50, 0
02/10/16, 1.50, 1.50, 1.50, 1.50, 0
02/05/16, 1.50, 1.50, 1.50, 1.50, 0
02/04/16, 1.50, 1.50, 1.50, 1.50, 0
02/03/16, 1.50, 1.50, 1.50, 1.50, 0
02/02/16, 1.50, 1.50, 1.50, 1.50, 0
01/29/16, 1.50, 1.50, 1.50, 1.50, 6500
01/28/16, 1.50, 1.50, 1.50, 1.50, 0
01/27/16, 1.50, 1.52, 1.50, 1.50, 19900
01/26/16, 1.48, 1.49, 1.45, 1.46, 22400
01/22/16, 1.42, 1.49, 1.42, 1.48, 8800
01/21/16, 1.49, 1.50, 1.41, 1.41, 36300
01/20/16, 1.55, 1.55, 1.49, 1.52, 11800
01/19/16, 1.52, 1.65, 1.48, 1.59, 378200
01/18/16, 1.43, 1.50, 1.42, 1.42, 35000
01/15/16, 1.47, 1.53, 1.46, 1.49, 99800
01/14/16, 1.35, 1.46, 1.35, 1.46, 114800
01/13/16, 1.36, 1.36, 1.36, 1.36, 4000
01/12/16, 1.34, 1.38, 1.34, 1.37, 48000
01/11/16, 1.33, 1.34, 1.33, 1.34, 10000
01/08/16, 1.32, 1.32, 1.32, 1.32, 2000
01/07/16, 1.29, 1.29, 1.29, 1.29, 0
01/06/16, 1.29, 1.29, 1.29, 1.29, 0
01/05/16, 1.28, 1.29, 1.27, 1.29, 11000
01/04/16, 1.24, 1.24, 1.24, 1.24, 500
12/31/15, 1.21, 1.21, 1.21, 1.21, 0
12/30/15, 1.21, 1.21, 1.21, 1.21, 0
12/29/15, 1.21, 1.21, 1.21, 1.21, 0
12/28/15, 1.21, 1.21, 1.21, 1.21, 0
12/23/15, 1.21, 1.21, 1.21, 1.21, 0
12/22/15, 1.22, 1.22, 1.21, 1.21, 6000
