Date, Open, High, Low, Close, Volume
03/31/16, 426.00, 434.20, 425.00, 434.20, 115
03/30/16, 411.10, 426.20, 411.00, 425.70, 1407
03/29/16, 418.00, 418.40, 417.80, 418.30, 48
03/28/16, 435.00, 435.00, 426.20, 426.20, 230
03/23/16, 434.80, 434.80, 434.80, 434.80, 3
03/22/16, 426.30, 426.30, 426.30, 426.30, 62
03/21/16, 435.00, 435.00, 433.00, 435.00, 120
03/18/16, 433.00, 433.00, 433.00, 433.00, 15
03/17/16, 441.10, 441.10, 441.00, 441.00, 40
03/16/16, 460.00, 460.00, 446.00, 450.00, 85
03/15/16, 458.00, 458.00, 455.00, 455.00, 45
03/14/16, 441.30, 449.80, 441.30, 449.80, 45
03/11/16, 458.00, 458.00, 441.00, 441.00, 103
03/10/16, 444.00, 449.80, 444.00, 449.70, 29
03/09/16, 441.00, 441.00, 441.00, 441.00, 40
03/08/16, 456.80, 456.80, 439.00, 439.00, 72
03/04/16, 447.90, 447.90, 447.90, 447.90, 102
03/03/16, 439.20, 439.20, 439.20, 439.20, 72
03/02/16, 422.20, 430.60, 422.20, 430.60, 286
03/01/16, 414.10, 422.20, 414.10, 422.20, 15
02/29/16, 422.20, 422.20, 414.00, 414.00, 55
02/26/16, 414.00, 414.00, 413.10, 414.00, 120
02/25/16, 421.50, 421.50, 421.50, 421.50, 50
02/24/16, 430.00, 430.00, 430.00, 430.00, 100
02/23/16, 430.00, 437.00, 427.00, 437.00, 23
02/22/16, 435.80, 435.80, 435.70, 435.70, 75
02/19/16, 444.50, 444.50, 444.50, 444.50, 160
02/18/16, 454.00, 462.00, 453.40, 453.50, 202
02/17/16, 462.60, 462.60, 462.60, 462.60, 70
02/16/16, 482.50, 482.50, 472.00, 472.00, 107
02/15/16, 481.60, 490.00, 481.60, 481.60, 117
02/12/16, 501.40, 509.70, 491.40, 491.40, 400
02/11/16, 501.00, 501.40, 501.00, 501.40, 104
02/10/16, 491.60, 491.60, 491.60, 491.60, 46
02/09/16, 482.00, 482.00, 482.00, 482.00, 140
02/08/16, 472.60, 472.60, 472.60, 472.60, 31
02/05/16, 463.40, 463.40, 463.40, 463.40, 10
02/04/16, 454.40, 454.40, 454.40, 454.40, 5
02/03/16, 445.50, 445.50, 445.50, 445.50, 60
02/02/16, 430.50, 430.50, 430.50, 430.50, 0
02/01/16, 436.80, 436.80, 436.80, 436.80, 1
01/29/16, 428.25, 428.25, 428.25, 428.25, 50
01/28/16, 421.25, 421.25, 420.00, 420.00, 15
01/27/16, 415.25, 421.25, 415.25, 421.25, 229
01/25/16, 403.00, 413.00, 403.00, 413.00, 88
01/22/16, 402.75, 405.00, 402.75, 405.00, 338
01/21/16, 420.00, 420.00, 407.50, 407.50, 747
01/20/16, 415.75, 415.75, 415.75, 415.75, 257
01/19/16, 424.00, 424.00, 424.00, 424.00, 511
01/18/16, 432.50, 441.00, 432.50, 432.50, 160
01/15/16, 459.00, 459.00, 441.25, 441.25, 91
01/14/16, 434.75, 452.25, 434.75, 450.25, 250
01/13/16, 461.50, 461.50, 443.50, 443.50, 951
01/12/16, 451.25, 469.00, 451.00, 452.50, 494
01/11/16, 456.00, 474.00, 455.75, 460.00, 383
01/08/16, 448.00, 465.25, 447.25, 465.00, 285
01/07/16, 457.00, 469.00, 456.00, 456.25, 759
01/06/16, 465.25, 465.25, 465.25, 465.25, 303
01/05/16, 483.50, 488.00, 474.00, 474.50, 551
01/04/16, 483.50, 503.00, 483.50, 483.50, 489
01/01/16, 493.25, 493.25, 493.25, 493.25, 152
12/31/15, 503.25, 503.25, 503.25, 503.25, 36
12/30/15, 523.75, 523.75, 513.50, 513.50, 6
12/29/15, 523.75, 523.75, 523.75, 523.75, 166
12/28/15, 554.00, 554.00, 534.00, 534.25, 252
12/24/15, 544.00, 544.00, 544.00, 544.00, 50
12/23/15, 579.00, 579.00, 528.00, 555.00, 180
12/22/15, 540.00, 560.00, 540.00, 555.00, 557
12/21/15, 557.00, 557.50, 550.00, 556.00, 1462
12/18/15, 539.75, 539.75, 529.00, 531.00, 795
12/17/15, 520.00, 520.25, 500.00, 515.00, 399
12/16/15, 471.00, 495.50, 471.00, 495.50, 136
12/15/15, 496.00, 496.00, 472.00, 472.00, 374
12/14/15, 520.00, 520.00, 496.75, 496.75, 266
12/11/15, 563.50, 563.50, 522.00, 522.75, 306
12/10/15, 550.00, 550.00, 537.00, 537.00, 127
12/09/15, 575.00, 583.75, 533.50, 558.00, 495
12/08/15, 585.00, 596.00, 545.00, 559.75, 322
12/07/15, 561.00, 590.00, 561.00, 569.75, 317
12/04/15, 585.00, 593.50, 571.00, 585.00, 339
12/03/15, 595.00, 596.25, 566.00, 576.00, 689
12/02/15, 596.25, 596.25, 579.00, 595.00, 1797
12/01/15, 579.00, 579.75, 579.00, 579.75, 355
11/30/15, 552.20, 552.20, 552.20, 552.20, 512
11/27/15, 530.00, 534.60, 530.00, 534.60, 588
11/26/15, 506.90, 509.20, 492.10, 509.20, 547
11/24/15, 445.00, 488.70, 442.30, 485.00, 1340
11/23/15, 488.50, 489.00, 465.50, 465.50, 443
11/20/15, 508.50, 508.50, 483.10, 489.90, 1549
11/19/15, 508.50, 508.50, 491.00, 508.50, 596
11/18/15, 490.00, 490.40, 474.90, 490.40, 688
11/17/15, 467.00, 467.10, 445.00, 467.10, 540
11/16/15, 444.90, 444.90, 406.20, 444.90, 815
11/13/15, 415.00, 428.60, 390.00, 423.80, 1370
11/11/15, 440.00, 440.00, 404.00, 408.20, 268
11/10/15, 425.00, 439.90, 421.30, 421.70, 1184
11/09/15, 450.00, 454.90, 440.60, 443.40, 1039
11/06/15, 482.00, 482.50, 445.00, 463.70, 1827
11/05/15, 459.60, 459.60, 459.00, 459.60, 547
11/04/15, 450.60, 450.60, 450.50, 450.60, 964
11/03/15, 441.80, 441.80, 437.10, 441.80, 1690
11/02/15, 433.20, 433.20, 417.00, 433.20, 1575
10/30/15, 424.80, 424.80, 424.80, 424.80, 140
