Date, Open, High, Low, Close, Volume
03/31/16, 20.20, 20.44, 19.88, 20.30, 202098
03/30/16, 20.84, 20.85, 20.05, 20.23, 223909
03/29/16, 19.56, 20.60, 19.50, 20.38, 319985
03/28/16, 18.89, 19.56, 18.68, 19.51, 423139
03/24/16, 18.01, 19.59, 17.98, 18.81, 1387734
03/23/16, 17.00, 17.15, 16.38, 16.49, 97466
03/22/16, 16.76, 17.24, 16.76, 17.06, 88691
03/21/16, 17.10, 17.20, 16.77, 16.87, 99775
03/18/16, 17.03, 17.29, 16.85, 17.17, 248735
03/17/16, 16.53, 17.01, 16.335, 16.92, 107323
03/16/16, 16.50, 16.93, 16.47, 16.65, 70095
03/15/16, 16.76, 16.81, 16.52, 16.58, 47955
03/14/16, 17.01, 17.22, 16.79, 16.80, 48412
03/11/16, 16.72, 17.19, 16.72, 17.15, 71028
03/10/16, 17.09, 17.25, 16.57, 16.67, 88051
03/09/16, 16.79, 17.18, 16.62, 17.09, 50516
03/08/16, 17.17, 17.36, 16.76, 16.77, 99356
03/07/16, 17.12, 17.33, 17.05, 17.33, 103049
03/04/16, 17.08, 17.28, 16.99, 17.25, 195353
03/03/16, 16.92, 17.12, 16.87, 17.12, 86919
03/02/16, 16.62, 16.92, 16.54, 16.92, 122337
03/01/16, 16.42, 16.95, 16.32, 16.68, 229825
02/29/16, 16.97, 17.05, 16.29, 16.34, 192581
02/26/16, 17.15, 17.15, 16.83, 16.93, 91589
02/25/16, 17.07, 17.12, 16.93, 17.12, 60158
02/24/16, 16.75, 17.10, 16.75, 16.99, 72332
02/23/16, 16.74, 17.32, 16.68, 16.92, 142807
02/22/16, 17.35, 17.45, 16.72, 16.75, 134729
02/19/16, 16.92, 17.39, 16.90, 17.24, 69543
02/18/16, 17.25, 17.40, 16.89, 16.94, 149171
02/17/16, 17.11, 17.32, 17.05, 17.30, 118858
02/16/16, 17.00, 17.33, 16.96, 17.06, 100012
02/12/16, 17.27, 17.44, 16.48, 16.87, 143451
02/11/16, 17.21, 17.42, 17.04, 17.12, 164523
02/10/16, 17.52, 17.72, 17.41, 17.45, 106671
02/09/16, 17.35, 17.57, 17.07, 17.36, 85637
02/08/16, 17.29, 17.69, 17.02, 17.59, 162294
02/05/16, 18.01, 18.03, 17.39, 17.45, 173543
02/04/16, 18.09, 18.25, 17.73, 18.00, 64632
02/03/16, 18.38, 18.38, 17.9503, 18.11, 107985
02/02/16, 18.79, 18.875, 18.02, 18.22, 100084
02/01/16, 18.92, 19.10, 18.61, 19.00, 196301
01/29/16, 19.04, 19.13, 18.52, 19.09, 372918
01/28/16, 19.14, 19.19, 18.78, 19.10, 240975
01/27/16, 18.48, 19.22, 17.63, 19.02, 827492
01/26/16, 17.00, 17.58, 16.585, 17.55, 223669
01/25/16, 17.17, 17.25, 16.69, 16.84, 126646
01/22/16, 17.19, 17.32, 16.83, 17.23, 109468
01/21/16, 17.29, 17.46, 16.81, 17.01, 180574
01/20/16, 16.75, 17.54, 16.75, 17.32, 203283
01/19/16, 17.11, 17.14, 16.69, 17.00, 219242
01/15/16, 16.19, 17.00, 15.6683, 16.93, 294295
01/14/16, 16.59, 16.98, 16.36, 16.67, 234421
01/13/16, 17.20, 17.27, 16.46, 16.54, 160326
01/12/16, 17.42, 17.47, 17.015, 17.17, 140910
01/11/16, 17.45, 17.45, 17.11, 17.32, 133737
01/08/16, 17.74, 17.77, 17.23, 17.31, 354945
01/07/16, 17.38, 17.80, 17.28, 17.61, 159052
01/06/16, 17.44, 17.86, 17.42, 17.68, 155852
01/05/16, 18.12, 18.12, 17.50, 17.57, 119701
01/04/16, 17.97, 18.60, 17.70, 18.03, 182738
12/31/15, 18.90, 19.17, 18.32, 18.36, 278492
12/30/15, 19.21, 19.28, 18.77, 18.89, 109925
12/29/15, 19.13, 19.43, 18.30, 19.20, 228364
12/28/15, 19.43, 19.54, 18.79, 19.01, 78743
12/24/15, 19.37, 19.63, 19.25, 19.55, 93800
12/23/15, 18.91, 19.36, 18.525, 19.24, 116427
12/22/15, 18.99, 18.99, 18.46, 18.85, 78698
12/21/15, 18.75, 19.09, 18.29, 19.04, 114837
12/18/15, 18.53, 18.88, 18.20, 18.67, 690488
12/17/15, 18.99, 19.27, 18.47, 18.62, 112004
12/16/15, 18.88, 19.081, 18.27, 19.04, 122098
12/15/15, 18.69, 19.49, 18.46, 18.69, 84564
12/14/15, 18.92, 19.44, 18.38, 18.56, 130988
12/11/15, 19.16, 19.35, 18.0011, 18.94, 86871
12/10/15, 19.49, 19.9224, 19.20, 19.48, 137453
12/09/15, 19.50, 19.73, 19.19, 19.51, 139986
12/08/15, 19.44, 19.73, 19.244, 19.55, 148719
12/07/15, 19.39, 19.99, 19.39, 19.71, 196359
12/04/15, 18.98, 19.655, 18.82, 19.39, 136156
12/03/15, 19.53, 19.53, 18.86, 18.99, 171505
12/02/15, 19.46, 19.82, 19.13, 19.31, 57694
12/01/15, 19.63, 19.63, 18.67, 19.41, 99808
11/30/15, 19.59, 19.88, 19.507, 19.58, 164213
11/27/15, 19.64, 19.82, 19.61, 19.66, 56589
11/25/15, 19.43, 19.79, 19.43, 19.65, 88074
11/24/15, 19.33, 19.58, 19.13, 19.44, 100139
11/23/15, 19.23, 19.51, 19.20, 19.36, 83338
11/20/15, 19.26, 19.44, 19.19, 19.28, 121398
11/19/15, 19.60, 19.60, 18.96, 19.13, 107384
11/18/15, 19.50, 19.79, 19.265, 19.71, 191218
11/17/15, 18.52, 19.64, 18.34, 19.55, 493566
