Date, Open, High, Low, Close, Volume
03/31/16, 1775, 1775, 1775, 1775, 0
03/30/16, 1950, 1970, 1920, 1970, 2300
03/29/16, 1950, 1950, 1950, 1950, 100
03/28/16, 1660, 1660, 1625, 1625, 32500
03/24/16, 1660, 1660, 1660, 1660, 100
03/23/16, 1650, 1650, 1650, 1650, 0
03/22/16, 1680, 1680, 1680, 1680, 0
03/21/16, 1700, 1720, 1700, 1700, 5800
03/18/16, 1700, 1700, 1700, 1700, 0
03/17/16, 1710, 1710, 1700, 1700, 37300
03/16/16, 1705, 1710, 1705, 1705, 5700
03/15/16, 1700, 1700, 1700, 1700, 9200
03/14/16, 1850, 1850, 1725, 1725, 36500
03/11/16, 1850, 1850, 1850, 1850, 200
03/10/16, 1825, 1895, 1825, 1895, 6000
03/08/16, 1825, 1825, 1825, 1825, 15200
03/07/16, 1855, 1855, 1850, 1850, 2600
03/04/16, 1825, 1825, 1825, 1825, 1200
03/03/16, 1825, 1825, 1825, 1825, 100
03/02/16, 1900, 1900, 1825, 1825, 2100
03/01/16, 1825, 1825, 1825, 1825, 0
02/29/16, 1815, 1815, 1815, 1815, 0
02/26/16, 1725, 1725, 1725, 1725, 0
02/25/16, 1900, 1900, 1900, 1900, 0
02/24/16, 1725, 1725, 1725, 1725, 0
02/23/16, 1815, 1815, 1815, 1815, 0
02/22/16, 1725, 1725, 1725, 1725, 0
02/19/16, 1900, 1900, 1900, 1900, 1000
02/18/16, 1725, 1725, 1725, 1725, 0
02/17/16, 1725, 1725, 1725, 1725, 0
02/16/16, 1725, 1725, 1725, 1725, 0
02/15/16, 1750, 1750, 1750, 1750, 0
02/12/16, 1750, 1750, 1750, 1750, 0
02/11/16, 1750, 1750, 1750, 1750, 0
02/10/16, 1900, 1900, 1900, 1900, 49600
02/09/16, 1900, 1900, 1900, 1900, 400
02/05/16, 1710, 1710, 1710, 1710, 0
02/04/16, 1710, 1710, 1710, 1710, 0
02/03/16, 1800, 1800, 1800, 1800, 0
02/02/16, 1710, 1710, 1710, 1710, 0
02/01/16, 1815, 1900, 1815, 1900, 2000
01/29/16, 1800, 1800, 1800, 1800, 0
01/28/16, 1825, 1825, 1825, 1825, 0
01/27/16, 1800, 1800, 1800, 1800, 0
01/26/16, 1800, 1800, 1800, 1800, 0
01/25/16, 1800, 1800, 1800, 1800, 0
01/22/16, 1800, 1800, 1800, 1800, 0
01/21/16, 2000, 2000, 2000, 2000, 1200
01/20/16, 1855, 1855, 1855, 1855, 0
01/19/16, 1855, 1855, 1855, 1855, 0
01/18/16, 1855, 1855, 1855, 1855, 0
01/15/16, 2020, 2020, 2020, 2020, 0
01/14/16, 2030, 2030, 2030, 2030, 0
01/13/16, 2030, 2030, 2030, 2030, 0
01/12/16, 1950, 1950, 1950, 1950, 0
01/11/16, 2020, 2020, 2020, 2020, 0
01/08/16, 2030, 2030, 2030, 2030, 0
01/07/16, 1900, 1900, 1900, 1900, 0
01/06/16, 2030, 2030, 2030, 2030, 3000
01/05/16, 1900, 1995, 1900, 1995, 1100
01/04/16, 2030, 2030, 2030, 2030, 100
12/30/15, 2000, 2015, 2000, 2015, 1300
12/29/15, 2005, 2005, 2005, 2005, 500
12/28/15, 1850, 1850, 1850, 1850, 0
12/23/15, 1855, 1855, 1855, 1855, 0
12/22/15, 1850, 1850, 1850, 1850, 0
12/21/15, 1850, 1850, 1850, 1850, 0
12/18/15, 1855, 1855, 1855, 1855, 0
12/17/15, 1855, 1855, 1855, 1855, 0
12/16/15, 1855, 1855, 1855, 1855, 0
