Date, Open, High, Low, Close, Volume
03/31/16, 54.95, 55.59, 54.86, 55.23, 26360495
03/30/16, 54.93, 55.64, 54.90, 55.05, 23008260
03/29/16, 53.66, 54.86, 53.45, 54.71, 23924329
03/28/16, 54.21, 54.29, 53.33, 53.54, 17025050
03/24/16, 53.84, 54.33, 53.73, 54.21, 19949972
03/23/16, 54.11, 54.24, 53.74, 53.97, 20129015
03/22/16, 53.61, 54.25, 53.46, 54.07, 23124143
03/21/16, 53.25, 53.9298, 52.93, 53.86, 23925716
03/18/16, 54.92, 54.97, 53.445, 53.49, 67625518
03/17/16, 54.21, 55.00, 54.00, 54.66, 28223947
03/16/16, 53.45, 54.60, 53.40, 54.35, 31691742
03/15/16, 52.75, 53.59, 52.74, 53.59, 21104763
03/14/16, 52.71, 53.59, 52.63, 53.17, 24083616
03/11/16, 53.00, 53.07, 52.38, 53.07, 32275677
03/10/16, 52.93, 52.94, 51.16, 52.05, 38387804
03/09/16, 51.89, 52.85, 51.855, 52.84, 28251588
03/08/16, 50.80, 52.13, 50.595, 51.65, 33835119
03/07/16, 51.56, 51.80, 50.58, 51.03, 38428816
03/04/16, 52.40, 52.45, 51.71, 52.03, 33034150
03/03/16, 52.97, 52.97, 51.78, 52.35, 24427813
03/02/16, 52.41, 52.96, 52.155, 52.95, 29289884
03/01/16, 50.97, 52.59, 50.9199, 52.58, 33024535
02/29/16, 51.35, 51.65, 50.66, 50.88, 31654036
02/26/16, 52.60, 52.68, 51.10, 51.30, 35975925
02/25/16, 51.73, 52.10, 50.61, 52.10, 26939467
02/24/16, 50.69, 51.50, 50.20, 51.36, 33014457
02/23/16, 52.34, 52.37, 50.98, 51.18, 28895274
02/22/16, 52.28, 53.00, 52.28, 52.65, 25008291
02/19/16, 51.97, 52.28, 51.53, 51.82, 33559073
02/18/16, 52.33, 52.95, 52.10, 52.19, 27176035
02/17/16, 51.49, 52.77, 51.45, 52.42, 40788968
02/16/16, 50.90, 51.09, 50.13, 51.09, 37291208
02/12/16, 50.25, 50.68, 49.75, 50.50, 34243324
02/11/16, 48.68, 50.11, 48.51, 49.69, 48878571
02/10/16, 49.89, 50.39, 49.52, 49.71, 38236954
02/09/16, 49.02, 50.24, 48.67, 49.28, 46740474
02/08/16, 49.55, 49.57, 48.19, 49.41, 59290497
02/05/16, 51.94, 52.00, 49.56, 50.16, 62008994
02/04/16, 52.10, 52.81, 51.37, 52.00, 46987123
02/03/16, 53.25, 53.39, 51.26, 52.16, 57559814
02/02/16, 54.17, 54.26, 52.65, 53.00, 56313753
02/01/16, 54.88, 55.09, 54.495, 54.71, 44208542
01/29/16, 54.73, 55.09, 54.00, 55.09, 83611686
01/28/16, 51.86, 52.21, 51.25, 52.055, 62513789
01/27/16, 52.01, 52.20, 51.0201, 51.22, 36775194
01/26/16, 51.79, 52.44, 51.55, 52.17, 28900820
01/25/16, 51.94, 52.65, 51.65, 51.79, 34707717
01/22/16, 51.41, 52.33, 51.26, 52.29, 37555789
01/21/16, 51.00, 51.58, 50.30, 50.48, 40191157
01/20/16, 49.98, 51.38, 49.10, 50.79, 63272993
01/19/16, 51.48, 51.68, 50.06, 50.56, 43564538
01/15/16, 51.31, 51.97, 50.34, 50.99, 71820697
01/14/16, 52.00, 53.4163, 51.57, 53.11, 52381918
01/13/16, 53.80, 54.07, 51.3038, 51.64, 66883571
01/12/16, 52.76, 53.10, 52.06, 52.78, 36095539
01/11/16, 52.51, 52.85, 51.46, 52.30, 36943756
01/08/16, 52.37, 53.28, 52.15, 52.33, 48753969
01/07/16, 52.70, 53.485, 52.07, 52.17, 56564852
01/06/16, 54.32, 54.4001, 53.64, 54.05, 39518863
01/05/16, 54.93, 55.39, 54.54, 55.05, 34079674
01/04/16, 54.32, 54.80, 53.39, 54.80, 53777963
