Date, Open, High, Low, Close, Volume
03/31/16, 990, 1050, 990, 1050, 3100
03/30/16, 1170, 1170, 1170, 1170, 0
03/29/16, 1100, 1100, 1100, 1100, 0
03/28/16, 1170, 1170, 1170, 1170, 0
03/24/16, 1085, 1085, 1085, 1085, 0
03/23/16, 1000, 1000, 1000, 1000, 0
03/22/16, 1085, 1085, 1085, 1085, 200
03/21/16, 1140, 1140, 1140, 1140, 100
03/18/16, 960, 960, 960, 960, 0
03/17/16, 950, 950, 950, 950, 0
03/16/16, 950, 950, 950, 950, 0
03/15/16, 1040, 1040, 1040, 1040, 1000
03/14/16, 1000, 1000, 1000, 1000, 0
03/11/16, 1040, 1040, 1040, 1040, 400
03/10/16, 1135, 1135, 1135, 1135, 532900
03/08/16, 1140, 1140, 1140, 1140, 300
03/07/16, 1135, 1135, 1135, 1135, 100
03/04/16, 1135, 1135, 1135, 1135, 0
03/03/16, 1135, 1135, 1135, 1135, 0
03/02/16, 1135, 1135, 1135, 1135, 0
03/01/16, 1135, 1135, 1135, 1135, 3000
02/29/16, 1135, 1135, 1135, 1135, 0
02/26/16, 1135, 1135, 1135, 1135, 0
02/25/16, 1135, 1135, 1135, 1135, 2700
02/24/16, 1135, 1135, 1135, 1135, 100
02/23/16, 1135, 1135, 1135, 1135, 0
02/22/16, 1135, 1135, 1135, 1135, 7100
02/19/16, 1330, 1330, 1330, 1330, 0
02/18/16, 1140, 1140, 1140, 1140, 100
02/17/16, 1135, 1135, 1135, 1135, 0
02/16/16, 1135, 1135, 1135, 1135, 0
02/15/16, 1135, 1135, 1135, 1135, 600
02/12/16, 1135, 1135, 1135, 1135, 15800
02/11/16, 1135, 1135, 1135, 1135, 0
02/10/16, 1150, 1150, 1145, 1145, 300
02/09/16, 1135, 1135, 1135, 1135, 700
02/05/16, 1135, 1135, 1135, 1135, 900
02/04/16, 1135, 1135, 1135, 1135, 27100
02/03/16, 1150, 1150, 1150, 1150, 0
02/02/16, 1120, 1120, 1120, 1120, 0
02/01/16, 1130, 1130, 1130, 1130, 0
01/29/16, 1200, 1200, 1200, 1200, 0
01/28/16, 1135, 1135, 1135, 1135, 0
01/27/16, 1350, 1350, 1350, 1350, 0
01/26/16, 1200, 1200, 1200, 1200, 0
01/25/16, 1400, 1400, 1400, 1400, 0
01/22/16, 1380, 1380, 1380, 1380, 0
01/21/16, 1390, 1390, 1390, 1390, 0
01/20/16, 1390, 1390, 1390, 1390, 0
01/19/16, 1390, 1390, 1390, 1390, 0
01/18/16, 1400, 1400, 1400, 1400, 0
01/15/16, 1400, 1400, 1400, 1400, 0
01/14/16, 1025, 1025, 1025, 1025, 0
01/13/16, 1380, 1380, 1380, 1380, 0
01/12/16, 1390, 1390, 1390, 1390, 0
