Date, Open, High, Low, Close
03/31/16, 16997.14, 17033.65, 16758.67, 16758.67
03/30/16, 17078.03, 17078.03, 16875.91, 16878.96
03/29/16, 16985.28, 17137.20, 16948.43, 17103.53
03/28/16, 17129.27, 17167.88, 16961.41, 17134.37
03/25/16, 16949.53, 17026.14, 16889.40, 17002.75
03/24/16, 16979.39, 17041.16, 16843.99, 16892.33
03/23/16, 17066.27, 17142.08, 16964.31, 17000.98
03/22/16, 16937.31, 17107.80, 16851.21, 17048.55
03/18/16, 16883.75, 16920.91, 16613.69, 16724.81
03/17/16, 17107.60, 17253.03, 16814.84, 16936.38
03/16/16, 16981.36, 17102.45, 16950.84, 16974.45
03/15/16, 17219.89, 17279.30, 17042.56, 17117.07
03/14/16, 17155.52, 17291.35, 17149.21, 17233.75
03/11/16, 16610.18, 17015.30, 16575.75, 16938.87
03/10/16, 16811.00, 16887.60, 16713.13, 16852.35
03/09/16, 16625.59, 16706.25, 16494.80, 16642.20
03/08/16, 16889.48, 16909.79, 16570.22, 16783.15
03/07/16, 17024.64, 17026.25, 16894.58, 16911.32
03/04/16, 16927.36, 17042.92, 16861.38, 17014.78
03/03/16, 16695.78, 16962.95, 16691.94, 16960.16
03/02/16, 16391.48, 16815.25, 16388.92, 16746.55
03/01/16, 16013.00, 16099.42, 15857.37, 16085.51
02/29/16, 16313.31, 16464.75, 16026.76, 16026.76
02/26/16, 16311.52, 16472.50, 16188.41, 16188.41
02/25/16, 15983.47, 16218.29, 15953.93, 16140.34
02/24/16, 15851.13, 16006.45, 15753.77, 15915.79
02/23/16, 16230.38, 16350.38, 16001.19, 16052.05
02/22/16, 15851.39, 16187.40, 15816.83, 16111.05
02/19/16, 16050.40, 16050.46, 15799.35, 15967.17
02/18/16, 16138.08, 16337.59, 16118.80, 16196.80
02/17/16, 16035.35, 16214.46, 15632.12, 15836.36
02/16/16, 15849.47, 16341.56, 15809.58, 16054.43
02/15/16, 15248.38, 16155.10, 15243.88, 16022.58
02/12/16, 15426.27, 15437.22, 14865.77, 14952.61
02/10/16, 16127.86, 16163.03, 15429.99, 15713.39
02/09/16, 16666.79, 16668.70, 16025.94, 16085.44
02/08/16, 16620.91, 17099.01, 16552.30, 17004.30
02/05/16, 16790.53, 16893.12, 16627.80, 16819.59
02/04/16, 17071.11, 17209.56, 16941.88, 17044.99
02/03/16, 17497.41, 17515.68, 17080.57, 17191.25
02/02/16, 17716.52, 17864.70, 17684.66, 17750.68
02/01/16, 17699.60, 17905.37, 17666.48, 17865.23
01/29/16, 17155.06, 17638.93, 16767.09, 17518.30
01/28/16, 17059.84, 17235.44, 16942.13, 17041.45
01/27/16, 16949.19, 17242.27, 16947.95, 17163.92
01/26/16, 16833.13, 16839.52, 16652.26, 16708.90
01/25/16, 17145.81, 17208.24, 16922.21, 17110.91
01/22/16, 16336.72, 16993.96, 16332.45, 16958.53
01/21/16, 16466.86, 16734.58, 16017.26, 16017.26
01/20/16, 17030.28, 17031.32, 16387.61, 16416.19
01/19/16, 16902.29, 17088.31, 16812.65, 17048.37
01/18/16, 16826.93, 17037.26, 16665.05, 16955.57
01/15/16, 17522.46, 17597.87, 17057.60, 17147.11
01/14/16, 17384.93, 17393.83, 16944.41, 17240.95
01/13/16, 17449.12, 17717.75, 17414.55, 17715.63
01/12/16, 17470.93, 17546.57, 17184.78, 17218.96
01/08/16, 17562.23, 17975.31, 17509.64, 17697.96
01/07/16, 18139.77, 18172.04, 17767.34, 17767.34
01/06/16, 18410.57, 18469.38, 18064.30, 18191.32
01/05/16, 18398.76, 18547.38, 18327.52, 18374.00
01/04/16, 18818.58, 18951.12, 18394.43, 18450.98
12/30/15, 19070.83, 19113.18, 19017.27, 19033.71
