Date, Open, High, Low, Close, Volume
03/31/16, 0.03, 0.03, 0.03, 0.03, 48000
03/30/16, 0.03, 0.03, 0.03, 0.03, 9000
03/29/16, 0.03, 0.03, 0.03, 0.03, 88000
03/28/16, 0.03, 0.03, 0.03, 0.03, 40000
03/24/16, 0.03, 0.03, 0.03, 0.03, 0
03/23/16, 0.03, 0.03, 0.03, 0.03, 0
03/22/16, 0.03, 0.03, 0.03, 0.03, 0
03/21/16, 0.03, 0.03, 0.03, 0.03, 199746
03/18/16, 0.03, 0.03, 0.03, 0.03, 24000
03/17/16, 0.02, 0.02, 0.02, 0.02, 700
03/16/16, 0.02, 0.02, 0.02, 0.02, 0
03/15/16, 0.03, 0.03, 0.03, 0.03, 22000
03/14/16, 0.03, 0.03, 0.03, 0.03, 13000
03/11/16, 0.03, 0.03, 0.03, 0.03, 0
03/10/16, 0.03, 0.03, 0.03, 0.03, 30000
03/09/16, 0.02, 0.02, 0.02, 0.02, 0
03/08/16, 0.03, 0.03, 0.03, 0.03, 50000
03/07/16, 0.03, 0.03, 0.03, 0.03, 27000
03/04/16, 0.03, 0.03, 0.03, 0.03, 93000
03/03/16, 0.03, 0.03, 0.03, 0.03, 36000
03/02/16, 0.03, 0.03, 0.03, 0.03, 20000
03/01/16, 0.03, 0.03, 0.03, 0.03, 0
02/29/16, 0.03, 0.03, 0.03, 0.03, 0
02/26/16, 0.03, 0.03, 0.03, 0.03, 30000
02/25/16, 0.03, 0.03, 0.03, 0.03, 30290
02/24/16, 0.03, 0.03, 0.03, 0.03, 8000
02/23/16, 0.03, 0.03, 0.03, 0.03, 109000
02/22/16, 0.03, 0.03, 0.03, 0.03, 100000
02/19/16, 0.03, 0.03, 0.03, 0.03, 0
02/18/16, 0.03, 0.03, 0.03, 0.03, 597000
02/17/16, 0.03, 0.03, 0.03, 0.03, 410000
02/16/16, 0.03, 0.03, 0.03, 0.03, 0
02/12/16, 0.03, 0.03, 0.03, 0.03, 38000
02/11/16, 0.03, 0.03, 0.03, 0.03, 50000
02/10/16, 0.03, 0.03, 0.03, 0.03, 8000
02/09/16, 0.03, 0.03, 0.03, 0.03, 91000
02/08/16, 0.03, 0.03, 0.03, 0.03, 2000
02/05/16, 0.03, 0.03, 0.03, 0.03, 0
02/04/16, 0.03, 0.03, 0.03, 0.03, 21000
02/03/16, 0.03, 0.03, 0.03, 0.03, 0
02/02/16, 0.03, 0.03, 0.03, 0.03, 58000
02/01/16, 0.03, 0.03, 0.03, 0.03, 0
01/29/16, 0.03, 0.03, 0.03, 0.03, 10000
01/28/16, 0.03, 0.03, 0.03, 0.03, 10000
01/27/16, 0.03, 0.03, 0.03, 0.03, 0
01/26/16, 0.03, 0.03, 0.03, 0.03, 0
01/25/16, 0.03, 0.03, 0.03, 0.03, 3000
01/22/16, 0.03, 0.03, 0.03, 0.03, 0
01/21/16, 0.03, 0.03, 0.03, 0.03, 14035
01/20/16, 0.03, 0.03, 0.03, 0.03, 106000
01/19/16, 0.03, 0.03, 0.03, 0.03, 20000
01/18/16, 0.03, 0.03, 0.03, 0.03, 0
01/15/16, 0.04, 0.04, 0.04, 0.04, 2000
01/14/16, 0.03, 0.03, 0.03, 0.03, 14000
01/13/16, 0.03, 0.03, 0.03, 0.03, 0
01/12/16, 0.03, 0.03, 0.03, 0.03, 5500
01/11/16, 0.04, 0.04, 0.03, 0.04, 77500
01/08/16, 0.04, 0.04, 0.04, 0.04, 0
01/07/16, 0.04, 0.04, 0.04, 0.04, 41000
01/06/16, 0.03, 0.03, 0.03, 0.03, 0
01/05/16, 0.04, 0.04, 0.04, 0.04, 95000
01/04/16, 0.03, 0.03, 0.03, 0.03, 0
12/31/15, 0.03, 0.03, 0.03, 0.03, 0
12/30/15, 0.03, 0.03, 0.03, 0.03, 0
12/29/15, 0.03, 0.03, 0.03, 0.03, 30000
12/24/15, 0.03, 0.03, 0.03, 0.03, 0
12/23/15, 0.03, 0.03, 0.03, 0.03, 0
12/22/15, 0.03, 0.03, 0.03, 0.03, 0
12/21/15, 0.03, 0.04, 0.03, 0.04, 10000
12/18/15, 0.04, 0.04, 0.04, 0.04, 1000
12/17/15, 0.03, 0.03, 0.03, 0.03, 0
12/16/15, 0.03, 0.03, 0.03, 0.03, 0
12/15/15, 0.04, 0.04, 0.04, 0.04, 12000
12/14/15, 0.04, 0.04, 0.04, 0.04, 15000
12/11/15, 0.04, 0.04, 0.04, 0.04, 8000
12/10/15, 0.03, 0.04, 0.03, 0.04, 51200
12/09/15, 0.04, 0.04, 0.04, 0.04, 35658
12/08/15, 0.04, 0.04, 0.04, 0.04, 32000
12/07/15, 0.04, 0.04, 0.04, 0.04, 117300
12/04/15, 0.04, 0.04, 0.04, 0.04, 0
12/03/15, 0.04, 0.04, 0.03, 0.03, 0
12/02/15, 0.03, 0.03, 0.03, 0.03, 0
12/01/15, 0.04, 0.04, 0.04, 0.04, 82000
11/30/15, 0.03, 0.03, 0.03, 0.03, 100000
11/27/15, 0.04, 0.04, 0.03, 0.03, 108500
11/26/15, 0.03, 0.03, 0.03, 0.03, 0
11/25/15, 0.04, 0.04, 0.04, 0.04, 71000
11/24/15, 0.03, 0.03, 0.03, 0.03, 0
11/23/15, 0.04, 0.04, 0.03, 0.03, 315000
11/20/15, 0.03, 0.03, 0.03, 0.03, 0
11/19/15, 0.03, 0.04, 0.03, 0.04, 13000
11/18/15, 0.04, 0.04, 0.03, 0.03, 88000
11/17/15, 0.03, 0.03, 0.03, 0.03, 10000
11/16/15, 0.03, 0.04, 0.03, 0.04, 0
11/13/15, 0.03, 0.03, 0.03, 0.03, 42500
11/12/15, 0.03, 0.03, 0.03, 0.03, 0
11/11/15, 0.03, 0.03, 0.03, 0.03, 2000
11/10/15, 0.03, 0.04, 0.03, 0.04, 14000
11/09/15, 0.03, 0.03, 0.03, 0.03, 0
11/06/15, 0.03, 0.03, 0.03, 0.03, 0
11/05/15, 0.03, 0.03, 0.03, 0.03, 0
11/04/15, 0.03, 0.03, 0.03, 0.03, 500
11/03/15, 0.04, 0.04, 0.04, 0.04, 10000
11/02/15, 0.03, 0.03, 0.03, 0.03, 0
10/30/15, 0.04, 0.04, 0.03, 0.04, 56000
10/29/15, 0.03, 0.03, 0.03, 0.03, 0
10/28/15, 0.04, 0.04, 0.04, 0.04, 8000
10/27/15, 0.03, 0.03, 0.03, 0.03, 0
10/26/15, 0.03, 0.03, 0.03, 0.03, 50000
10/23/15, 0.03, 0.03, 0.03, 0.03, 43000
