Date, Open, High, Low, Close, Volume
03/31/16, 5.50, 5.50, 5.26, 5.26, 4971000
03/30/16, 5.44, 5.59, 5.41, 5.49, 2932600
03/29/16, 5.48, 5.51, 5.41, 5.46, 7465600
03/28/16, 5.52, 5.54, 5.42, 5.47, 1302700
03/23/16, 5.56, 5.60, 5.47, 5.52, 1842200
03/22/16, 5.60, 5.62, 5.50, 5.55, 1467400
03/21/16, 5.69, 5.71, 5.48, 5.58, 3895800
03/18/16, 5.59, 5.71, 5.55, 5.63, 6663500
03/17/16, 5.44, 5.61, 5.44, 5.50, 3831000
03/16/16, 5.58, 5.58, 5.38, 5.42, 8267000
03/15/16, 5.84, 5.93, 5.64, 5.68, 7713000
03/14/16, 5.80, 5.93, 5.80, 5.85, 8299000
03/11/16, 5.75, 5.75, 5.65, 5.70, 3345000
03/10/16, 5.69, 5.84, 5.66, 5.66, 6031500
03/09/16, 5.65, 5.72, 5.53, 5.64, 7001900
03/08/16, 6.00, 6.07, 5.76, 5.85, 9042200
03/07/16, 6.00, 6.09, 5.69, 5.70, 8350400
03/04/16, 6.00, 6.05, 5.68, 5.68, 8206100
03/03/16, 5.85, 5.98, 5.70, 5.75, 7469000
03/02/16, 5.16, 5.70, 5.16, 5.70, 18526100
03/01/16, 5.00, 5.15, 5.00, 5.10, 7900000
02/29/16, 5.10, 5.24, 4.92, 4.99, 9490000
02/26/16, 4.96, 5.10, 4.96, 5.03, 2485000
02/24/16, 4.99, 5.10, 4.89, 4.97, 2573000
02/23/16, 5.08, 5.22, 4.98, 4.98, 6247000
02/22/16, 4.96, 5.11, 4.92, 4.94, 2380000
02/19/16, 5.05, 5.10, 4.88, 4.97, 11329600
02/18/16, 5.22, 5.30, 5.10, 5.15, 10285700
02/17/16, 4.85, 5.20, 4.81, 5.08, 30991000
02/16/16, 4.90, 4.91, 4.66, 4.76, 7938000
02/15/16, 4.43, 4.72, 4.43, 4.66, 10515000
02/12/16, 4.68, 4.68, 4.23, 4.30, 21056000
02/11/16, 4.79, 4.82, 4.62, 4.79, 5650000
02/10/16, 4.89, 4.89, 4.74, 4.80, 3656000
02/09/16, 4.78, 4.97, 4.68, 4.96, 7463800
02/05/16, 5.21, 5.30, 5.00, 5.05, 17489000
02/04/16, 4.82, 5.20, 4.79, 5.09, 23749000
02/03/16, 4.53, 4.79, 4.45, 4.59, 17748000
02/02/16, 4.33, 4.70, 4.20, 4.53, 7320000
02/01/16, 4.30, 4.39, 4.20, 4.33, 9214000
01/29/16, 4.29, 4.39, 4.08, 4.10, 13078000
01/28/16, 3.86, 4.32, 3.86, 4.16, 31553000
01/27/16, 3.51, 3.94, 3.51, 3.94, 20543000
01/26/16, 3.65, 3.68, 3.30, 3.40, 11256000
01/25/16, 3.65, 3.82, 3.60, 3.70, 4309000
01/22/16, 3.57, 3.70, 3.50, 3.55, 6132000
01/21/16, 3.74, 3.77, 3.52, 3.55, 4433000
01/20/16, 4.01, 4.03, 3.69, 3.75, 5248000
01/19/16, 4.00, 4.22, 3.98, 4.00, 6660000
01/18/16, 4.09, 4.09, 3.81, 3.94, 6171000
01/15/16, 4.40, 4.40, 4.15, 4.15, 2297000
01/14/16, 4.41, 4.42, 4.29, 4.33, 2734000
