Date, Open, High, Low, Close, Volume
03/30/16, 15300, 15300, 14910, 15030, 15
03/29/16, 15200, 15200, 15200, 15200, 1
03/28/16, 15100, 15300, 15100, 15200, 6
03/25/16, 15000, 15100, 15000, 15100, 2
03/23/16, 15100, 15100, 15100, 15100, 1
03/22/16, 15000, 15000, 15000, 15000, 1
03/18/16, 15080, 15080, 14900, 14900, 3
03/17/16, 15100, 15100, 15100, 15100, 1
03/16/16, 15160, 15160, 15160, 15160, 5
03/15/16, 15200, 15200, 15200, 15200, 1
03/14/16, 14800, 15100, 14800, 15100, 6
03/09/16, 14560, 14640, 14560, 14640, 27
03/08/16, 14700, 14700, 14330, 14330, 23
03/07/16, 14800, 14800, 14700, 14700, 2
03/04/16, 14590, 14590, 14590, 14590, 0
03/03/16, 14590, 14590, 14590, 14590, 0
03/01/16, 14290, 14290, 14290, 14290, 1
02/29/16, 14300, 14300, 14290, 14290, 100
02/25/16, 14180, 14180, 14180, 14180, 100
02/23/16, 14240, 14240, 14130, 14130, 91
02/19/16, 14200, 14200, 14200, 14200, 1
02/18/16, 14680, 14680, 14200, 14200, 11
02/17/16, 13780, 13780, 13780, 13780, 0
02/16/16, 14070, 14070, 13480, 13480, 203
02/15/16, 13770, 13780, 13770, 13780, 5
02/12/16, 13390, 13990, 13180, 13580, 60
02/10/16, 14250, 14250, 14060, 14060, 13
02/09/16, 14600, 14700, 14130, 14230, 28
02/08/16, 14130, 14800, 14130, 14500, 27
02/05/16, 15000, 15000, 14800, 14800, 3
02/04/16, 15100, 15100, 15000, 15100, 3
02/03/16, 15500, 15500, 15140, 15140, 6
02/02/16, 15500, 15660, 15500, 15660, 19
02/01/16, 15300, 15500, 15160, 15500, 13
01/29/16, 14900, 14950, 14900, 14950, 12
01/27/16, 14800, 15000, 14800, 15000, 9
01/26/16, 14800, 14800, 14700, 14700, 2
01/25/16, 14800, 15000, 14460, 15000, 14
01/22/16, 14200, 14410, 14200, 14410, 11
01/21/16, 14580, 14580, 14500, 14500, 17
01/20/16, 14800, 14800, 14580, 14580, 12
01/18/16, 15200, 15200, 14870, 14880, 17
01/15/16, 15300, 15300, 15250, 15250, 31
01/14/16, 15300, 15300, 15200, 15200, 2
01/13/16, 15300, 15400, 15300, 15400, 2
01/12/16, 15400, 15400, 15050, 15050, 15
01/08/16, 15600, 15620, 15500, 15620, 7
01/07/16, 15800, 15800, 15700, 15700, 2
01/06/16, 16000, 16000, 15900, 15900, 4
01/04/16, 16400, 16400, 16100, 16100, 5
12/30/15, 16200, 16640, 16200, 16620, 62
12/24/15, 16500, 16600, 16500, 16600, 9
12/21/15, 16700, 16700, 16600, 16600, 2
12/18/15, 16800, 16800, 16800, 16800, 1
12/17/15, 16700, 16990, 16700, 16990, 42
12/15/15, 16600, 16600, 16600, 16600, 6
12/14/15, 16500, 16500, 16300, 16350, 5
12/11/15, 16500, 16500, 16500, 16500, 1
12/10/15, 16700, 16700, 16600, 16600, 2
12/09/15, 16800, 16800, 16800, 16800, 1
12/08/15, 17000, 17000, 16900, 16900, 2
12/07/15, 17100, 17120, 17100, 17120, 83
12/04/15, 17200, 17200, 17000, 17000, 3
12/02/15, 17290, 17300, 17290, 17300, 2
12/01/15, 17260, 17280, 17260, 17280, 2
11/27/15, 17200, 17220, 17200, 17220, 34
11/26/15, 17150, 17200, 17140, 17200, 5
11/25/15, 17170, 17170, 17170, 17170, 2
11/24/15, 17100, 17130, 17100, 17130, 2
11/19/15, 17000, 17100, 17000, 17100, 3
11/18/15, 17020, 17050, 17010, 17010, 23
11/17/15, 16850, 16930, 16850, 16930, 3
11/16/15, 16800, 16800, 16800, 16800, 1
11/13/15, 16860, 16860, 16800, 16800, 2
11/12/15, 16860, 16910, 16860, 16910, 100
11/11/15, 16830, 16840, 16830, 16840, 2
11/10/15, 16810, 16810, 16810, 16810, 30
11/09/15, 16800, 16800, 16800, 16800, 1
11/06/15, 16530, 16740, 16530, 16740, 110
11/04/15, 16500, 16600, 16500, 16600, 8
11/02/15, 16300, 16480, 16300, 16480, 28
10/29/15, 16300, 16300, 16300, 16300, 1
10/28/15, 16460, 16460, 16460, 16460, 2
10/27/15, 16460, 16460, 16460, 16460, 1
10/23/15, 16300, 16400, 16300, 16400, 3
10/22/15, 16300, 16300, 16300, 16300, 1
10/21/15, 16090, 16200, 16090, 16200, 4
10/16/15, 15900, 16000, 15900, 16000, 4
10/15/15, 15700, 15830, 15700, 15830, 2
10/14/15, 15900, 15900, 15800, 15800, 4
10/13/15, 15800, 16000, 15800, 16000, 6
10/09/15, 15900, 15900, 15700, 15700, 3
