Date, Open, High, Low, Close, Volume
03/31/16, 0.734, 0.744, 0.72, 0.72, 41960
03/30/16, 0.7119, 0.73, 0.7095, 0.72, 109869
03/29/16, 0.704, 0.7187, 0.70, 0.71, 61411
03/28/16, 0.725, 0.74, 0.70, 0.71, 58597
03/24/16, 0.7275, 0.73, 0.7146, 0.7164, 67631
03/23/16, 0.729, 0.744, 0.722, 0.73, 71002
03/22/16, 0.7756, 0.7756, 0.70, 0.75, 165878
03/21/16, 0.7655, 0.793, 0.7561, 0.77, 152589
03/18/16, 0.7555, 0.7739, 0.745, 0.77, 90082
03/17/16, 0.82, 0.829, 0.7127, 0.7568, 421161
03/16/16, 0.814, 0.8272, 0.7888, 0.8272, 190088
03/15/16, 0.852, 0.86, 0.761, 0.7899, 189016
03/14/16, 0.825, 0.87, 0.825, 0.857, 253849
03/11/16, 0.806, 0.82, 0.7963, 0.7985, 151976
03/10/16, 0.791, 0.8258, 0.7698, 0.785, 98704
03/09/16, 0.70, 0.7816, 0.6982, 0.76, 242039
03/08/16, 0.694, 0.70, 0.68, 0.6844, 118588
03/07/16, 0.69, 0.732, 0.666, 0.679, 166537
03/04/16, 0.609, 0.62, 0.594, 0.6045, 43641
03/03/16, 0.591, 0.615, 0.582, 0.615, 77850
03/02/16, 0.584, 0.59, 0.5802, 0.586, 24675
03/01/16, 0.61, 0.6323, 0.5847, 0.5847, 92169
02/29/16, 0.59, 0.619, 0.5799, 0.61, 55998
02/26/16, 0.608, 0.619, 0.5673, 0.59, 64555
02/25/16, 0.5311, 0.6174, 0.5255, 0.605, 99052
02/24/16, 0.4955, 0.5237, 0.473, 0.5237, 229252
02/23/16, 0.652, 0.659, 0.5232, 0.5249, 335931
02/22/16, 0.626, 0.649, 0.615, 0.645, 119779
02/19/16, 0.591, 0.62, 0.59, 0.62, 419891
02/18/16, 0.5872, 0.596, 0.585, 0.5913, 87245
02/17/16, 0.57, 0.5894, 0.5676, 0.5856, 32960
02/16/16, 0.562, 0.569, 0.56, 0.5663, 38701
02/12/16, 0.565, 0.5762, 0.5458, 0.55, 93707
02/11/16, 0.578, 0.5782, 0.5538, 0.573, 142128
02/10/16, 0.5795, 0.5806, 0.57, 0.58, 32717
02/09/16, 0.583, 0.592, 0.5786, 0.5875, 47782
02/08/16, 0.587, 0.587, 0.533, 0.57, 219579
02/05/16, 0.607, 0.607, 0.582, 0.586, 68758
02/04/16, 0.606, 0.613, 0.5848, 0.595, 114260
02/03/16, 0.5433, 0.627, 0.5363, 0.56, 380723
02/02/16, 0.49, 0.541, 0.4889, 0.53, 258259
02/01/16, 0.462, 0.494, 0.455, 0.494, 142140
01/29/16, 0.4446, 0.45, 0.43, 0.4438, 73220
01/28/16, 0.44, 0.454, 0.4345, 0.44, 80153
01/27/16, 0.439, 0.444, 0.421, 0.4406, 128173
01/26/16, 0.451, 0.455, 0.441, 0.455, 29117
01/25/16, 0.455, 0.4554, 0.436, 0.4532, 106725
01/22/16, 0.4255, 0.4581, 0.4255, 0.44, 118989
01/21/16, 0.42, 0.425, 0.41, 0.419, 156083
01/20/16, 0.42, 0.429, 0.37, 0.4085, 93408
01/19/16, 0.405, 0.4348, 0.405, 0.423, 308474
01/15/16, 0.386, 0.405, 0.378, 0.405, 274265
01/14/16, 0.385, 0.3875, 0.383, 0.3872, 165327
01/13/16, 0.385, 0.3878, 0.381, 0.383, 36500
01/12/16, 0.3841, 0.388, 0.38, 0.3875, 130400
01/11/16, 0.3725, 0.385, 0.37, 0.382, 249175
01/08/16, 0.3665, 0.388, 0.3665, 0.376, 230630
01/07/16, 0.3884, 0.39, 0.3784, 0.385, 106950
01/06/16, 0.389, 0.389, 0.38, 0.3853, 174565
01/05/16, 0.386, 0.392, 0.375, 0.382, 157125
01/04/16, 0.387, 0.395, 0.375, 0.375, 159364
12/31/15, 0.389, 0.41, 0.388, 0.4014, 172401
12/30/15, 0.3905, 0.40, 0.388, 0.3886, 43978
12/29/15, 0.401, 0.403, 0.3896, 0.4025, 102400
12/28/15, 0.42, 0.42, 0.37, 0.40, 94609
12/24/15, 0.3995, 0.4085, 0.394, 0.405, 25515
12/23/15, 0.40, 0.40, 0.3863, 0.392, 73849
12/22/15, 0.40, 0.40, 0.39, 0.40, 36005
12/21/15, 0.4105, 0.4105, 0.3972, 0.40, 60800
12/18/15, 0.41, 0.4109, 0.40, 0.4109, 17551
12/17/15, 0.4221, 0.423, 0.3977, 0.4134, 114070
12/16/15, 0.427, 0.44, 0.41, 0.44, 158750
12/15/15, 0.45, 0.4576, 0.424, 0.4324, 127450
12/14/15, 0.443, 0.443, 0.423, 0.4348, 57377
12/11/15, 0.419, 0.4389, 0.403, 0.42, 129701
12/10/15, 0.419, 0.4427, 0.41, 0.4427, 209145
12/09/15, 0.423, 0.4247, 0.41, 0.41, 27160
12/08/15, 0.4324, 0.44, 0.4288, 0.4381, 21123
12/07/15, 0.4356, 0.4538, 0.4125, 0.4385, 59158
12/04/15, 0.46, 0.46, 0.4375, 0.454, 24300
12/03/15, 0.45, 0.46, 0.45, 0.46, 25928
12/02/15, 0.468, 0.468, 0.45, 0.45, 36004
12/01/15, 0.4631, 0.4631, 0.459, 0.4631, 42558
11/30/15, 0.4643, 0.475, 0.459, 0.4631, 49316
11/27/15, 0.475, 0.48, 0.47, 0.47, 53200
11/25/15, 0.479, 0.4844, 0.461, 0.4844, 104229
11/24/15, 0.474, 0.4808, 0.46, 0.474, 249286
11/23/15, 0.44, 0.44, 0.4168, 0.4168, 32161
11/20/15, 0.4157, 0.4411, 0.4143, 0.429, 44550
11/19/15, 0.4547, 0.4547, 0.408, 0.408, 247608
11/18/15, 0.452, 0.46, 0.4292, 0.4405, 29128
11/17/15, 0.463, 0.475, 0.4485, 0.456, 133628
11/16/15, 0.456, 0.465, 0.4508, 0.4535, 12930
11/13/15, 0.433, 0.47, 0.433, 0.4465, 25650
11/12/15, 0.4447, 0.4447, 0.4326, 0.434, 23792
11/11/15, 0.455, 0.46, 0.439, 0.439, 120197
11/10/15, 0.457, 0.4628, 0.432, 0.4421, 156063
11/09/15, 0.457, 0.4628, 0.4289, 0.4457, 262186
11/06/15, 0.465, 0.4698, 0.44, 0.4551, 95446
11/05/15, 0.499, 0.499, 0.4651, 0.4707, 57640
11/04/15, 0.51, 0.51, 0.4651, 0.4866, 170182
