Date, Open, High, Low, Close, Volume
03/31/16, 173, 173, 173, 173, 6000
03/30/16, 175, 175, 174, 174, 3000
03/29/16, 176, 176, 175, 175, 12000
03/28/16, 178, 178, 176, 176, 20000
03/25/16, 176, 178, 176, 178, 7000
03/24/16, 177, 177, 176, 177, 13000
03/23/16, 179, 179, 176, 178, 15000
03/22/16, 178, 179, 177, 179, 32000
03/18/16, 179, 179, 174, 177, 87000
03/17/16, 182, 183, 181, 181, 26000
03/16/16, 181, 182, 181, 182, 17000
03/15/16, 180, 182, 180, 181, 42000
03/14/16, 179, 182, 178, 181, 67000
03/11/16, 177, 178, 175, 177, 24000
03/10/16, 175, 177, 175, 177, 26000
03/09/16, 173, 175, 172, 175, 17000
03/08/16, 178, 178, 171, 174, 42000
03/07/16, 175, 177, 172, 177, 100000
03/04/16, 171, 174, 171, 174, 58000
03/03/16, 169, 172, 169, 170, 13000
03/02/16, 170, 171, 168, 169, 38000
03/01/16, 167, 168, 165, 167, 61000
02/29/16, 171, 173, 169, 169, 48000
02/26/16, 167, 168, 166, 167, 28000
02/25/16, 166, 167, 162, 167, 58000
02/24/16, 164, 167, 163, 167, 42000
02/23/16, 171, 171, 165, 167, 37000
02/22/16, 168, 171, 168, 168, 27000
02/19/16, 165, 167, 165, 167, 16000
02/18/16, 166, 168, 165, 168, 36000
02/17/16, 165, 168, 161, 162, 72000
02/16/16, 166, 168, 163, 163, 32000
02/15/16, 167, 169, 162, 167, 47000
02/12/16, 163, 163, 159, 159, 74000
02/10/16, 173, 173, 166, 168, 125000
02/09/16, 178, 178, 171, 173, 107000
02/08/16, 181, 187, 178, 185, 252000
02/05/16, 170, 170, 164, 168, 59000
02/04/16, 169, 173, 168, 173, 16000
02/03/16, 173, 174, 170, 174, 40000
02/02/16, 176, 179, 176, 177, 63000
02/01/16, 178, 178, 176, 177, 31000
01/29/16, 175, 175, 170, 173, 39000
01/28/16, 171, 174, 171, 174, 7000
01/27/16, 170, 174, 170, 171, 25000
01/26/16, 169, 169, 165, 168, 43000
01/25/16, 170, 171, 168, 169, 93000
01/22/16, 173, 173, 158, 167, 517000
01/21/16, 175, 175, 170, 170, 41000
01/20/16, 183, 183, 175, 175, 24000
01/19/16, 182, 182, 178, 180, 21000
01/18/16, 178, 183, 177, 180, 40000
01/15/16, 184, 185, 184, 185, 6000
01/14/16, 184, 189, 182, 183, 28000
01/13/16, 183, 190, 183, 187, 86000
01/12/16, 190, 190, 181, 181, 44000
01/08/16, 186, 192, 184, 192, 73000
01/07/16, 188, 188, 187, 187, 18000
01/06/16, 190, 192, 188, 188, 45000
01/05/16, 189, 190, 187, 190, 47000
01/04/16, 190, 193, 187, 188, 25000
12/30/15, 190, 191, 188, 188, 23000
12/29/15, 189, 191, 185, 190, 111000
12/28/15, 183, 187, 183, 187, 39000
12/25/15, 186, 187, 181, 183, 132000
12/24/15, 189, 190, 184, 186, 169000
12/22/15, 189, 190, 188, 189, 33000
12/21/15, 190, 191, 188, 190, 66000
12/18/15, 193, 193, 192, 193, 62000
12/17/15, 195, 195, 193, 194, 40000
12/16/15, 195, 195, 190, 192, 69000
12/15/15, 197, 197, 195, 195, 24000
12/14/15, 194, 197, 193, 196, 35000
12/11/15, 198, 198, 196, 197, 26000
12/10/15, 193, 196, 193, 196, 56000
12/09/15, 198, 198, 195, 197, 100000
12/08/15, 202, 202, 197, 197, 118000
12/07/15, 202, 202, 198, 200, 72000
12/04/15, 197, 199, 197, 199, 72000
12/03/15, 199, 200, 199, 199, 142000
12/02/15, 196, 205, 195, 198, 274000
12/01/15, 194, 196, 194, 196, 39000
11/30/15, 195, 195, 194, 194, 47000
11/27/15, 195, 195, 193, 194, 70000
11/26/15, 194, 194, 193, 194, 61000
11/25/15, 194, 195, 192, 194, 49000
11/24/15, 194, 195, 193, 193, 56000
11/20/15, 194, 194, 193, 193, 23000
11/19/15, 193, 195, 193, 194, 33000
11/18/15, 195, 195, 193, 193, 43000
11/17/15, 195, 197, 194, 195, 55000
11/16/15, 197, 197, 193, 196, 35000
11/13/15, 196, 199, 195, 197, 78000
11/12/15, 195, 200, 195, 198, 289000
11/11/15, 207, 210, 205, 209, 237000
11/10/15, 204, 207, 203, 207, 108000
11/09/15, 205, 210, 203, 206, 151000
11/06/15, 206, 206, 202, 204, 39000
11/05/15, 204, 205, 198, 201, 103000
11/04/15, 203, 210, 201, 203, 303000
11/02/15, 200, 204, 199, 204, 241000
10/30/15, 193, 196, 193, 196, 25000
10/29/15, 192, 193, 190, 193, 46000
10/28/15, 190, 192, 187, 192, 29000
10/27/15, 192, 192, 190, 191, 20000
10/26/15, 195, 195, 192, 192, 47000
10/23/15, 194, 195, 191, 191, 46000
10/22/15, 190, 194, 190, 194, 49000
10/21/15, 189, 190, 188, 189, 22000
10/20/15, 188, 189, 187, 187, 10000
10/19/15, 190, 190, 188, 188, 28000
10/16/15, 189, 195, 188, 189, 62000
10/15/15, 186, 190, 185, 188, 88000
10/14/15, 198, 200, 186, 191, 337000
10/13/15, 189, 199, 186, 198, 177000
10/09/15, 187, 190, 183, 189, 44000
10/08/15, 184, 187, 184, 187, 21000
10/07/15, 184, 185, 183, 184, 5000
10/06/15, 186, 186, 182, 184, 17000
10/05/15, 187, 187, 186, 186, 6000
10/02/15, 182, 183, 181, 182, 67000
10/01/15, 183, 185, 183, 183, 10000
09/30/15, 183, 185, 182, 183, 13000
09/29/15, 183, 184, 183, 183, 24000
09/28/15, 186, 186, 183, 185, 9000
09/25/15, 183, 185, 182, 185, 14000
09/24/15, 188, 188, 185, 185, 11000
09/18/15, 186, 189, 184, 189, 13000
09/17/15, 185, 187, 184, 186, 43000
09/16/15, 189, 189, 186, 187, 7000
09/15/15, 191, 191, 188, 189, 6000
09/14/15, 192, 192, 188, 189, 15000
09/11/15, 190, 191, 189, 191, 17000
09/10/15, 186, 190, 184, 190, 87000
09/09/15, 186, 188, 184, 188, 48000
09/08/15, 184, 184, 182, 183, 18000
09/07/15, 183, 185, 181, 182, 29000
09/04/15, 190, 190, 182, 186, 56000
09/03/15, 189, 191, 189, 189, 31000
09/02/15, 184, 192, 183, 188, 74000
09/01/15, 198, 198, 193, 193, 32000
08/31/15, 198, 199, 193, 199, 85000
08/28/15, 186, 197, 186, 195, 159000
08/27/15, 182, 187, 180, 180, 93000
08/26/15, 172, 180, 172, 180, 103000
08/25/15, 163, 186, 157, 171, 277000
08/24/15, 186, 190, 176, 176, 265000
08/21/15, 200, 201, 193, 195, 171000
08/20/15, 211, 211, 206, 207, 166000
08/19/15, 205, 214, 202, 211, 337000
08/18/15, 205, 207, 204, 204, 111000
08/17/15, 204, 207, 204, 205, 125000
08/14/15, 200, 202, 198, 202, 52000
08/13/15, 198, 202, 198, 201, 100000
08/12/15, 200, 204, 198, 199, 392000
08/11/15, 198, 205, 195, 200, 232000
08/10/15, 200, 202, 198, 199, 69000
08/07/15, 200, 203, 194, 199, 255000
08/06/15, 192, 194, 192, 193, 20000
08/05/15, 191, 192, 190, 192, 24000
08/04/15, 194, 194, 192, 192, 7000
08/03/15, 193, 195, 192, 195, 20000
07/31/15, 193, 193, 191, 193, 16000
07/30/15, 193, 193, 193, 193, 1000
07/29/15, 195, 195, 193, 193, 12000
07/28/15, 192, 194, 190, 193, 21000
07/27/15, 197, 197, 194, 195, 12000
07/24/15, 193, 195, 193, 195, 10000
07/23/15, 191, 193, 191, 193, 19000
07/22/15, 195, 195, 192, 194, 17000
07/21/15, 196, 196, 195, 195, 10000
07/17/15, 195, 196, 194, 196, 15000
07/16/15, 194, 195, 193, 195, 16000
07/15/15, 195, 195, 193, 194, 21000
07/14/15, 195, 195, 194, 195, 15000
07/13/15, 196, 196, 191, 195, 26000
07/10/15, 188, 191, 188, 189, 41000
07/09/15, 192, 192, 179, 189, 150000
07/08/15, 195, 195, 192, 193, 80000
07/07/15, 200, 200, 197, 197, 25000
07/06/15, 198, 199, 196, 196, 23000
07/03/15, 198, 198, 196, 197, 14000
07/02/15, 198, 199, 197, 197, 27000
07/01/15, 195, 198, 195, 198, 15000
06/30/15, 195, 198, 195, 198, 91000
06/29/15, 200, 200, 195, 196, 99000
06/26/15, 202, 202, 200, 201, 24000
06/25/15, 201, 203, 200, 203, 16000
06/24/15, 201, 203, 200, 201, 48000
06/23/15, 200, 202, 199, 202, 47000
06/22/15, 200, 200, 200, 200, 17000
06/19/15, 199, 201, 199, 201, 18000
06/18/15, 199, 200, 199, 199, 19000
06/17/15, 203, 204, 199, 202, 52000
06/16/15, 203, 203, 200, 201, 38000
06/15/15, 203, 204, 201, 203, 37000
06/12/15, 202, 206, 202, 202, 88000
06/11/15, 200, 201, 200, 200, 24000
06/10/15, 199, 201, 197, 199, 88000
06/09/15, 205, 206, 198, 201, 138000
06/08/15, 210, 210, 204, 207, 126000
06/05/15, 201, 209, 201, 207, 290000
06/04/15, 199, 201, 198, 201, 82000
06/03/15, 197, 198, 197, 198, 26000
06/02/15, 199, 199, 197, 198, 44000
06/01/15, 200, 200, 198, 198, 45000
05/29/15, 199, 200, 197, 200, 70000
05/28/15, 200, 200, 197, 197, 53000
05/27/15, 197, 199, 197, 199, 51000
05/26/15, 197, 198, 196, 197, 45000
05/25/15, 196, 198, 195, 198, 33000
05/22/15, 196, 196, 195, 196, 22000
05/21/15, 199, 199, 195, 196, 81000
