Date, Open, High, Low, Close, Volume
03/31/16, 17580, 17610, 17310, 17320, 567597
03/30/16, 17620, 17640, 17430, 17450, 582611
03/29/16, 17530, 17700, 17500, 17660, 868089
03/28/16, 17550, 17610, 17390, 17530, 819585
03/25/16, 17380, 17460, 17320, 17420, 316170
03/24/16, 17380, 17480, 17280, 17330, 409673
03/23/16, 17500, 17580, 17400, 17460, 401096
03/22/16, 17400, 17560, 17280, 17460, 703785
03/18/16, 17330, 17360, 17040, 17150, 586332
03/17/16, 17550, 17690, 17240, 17370, 632982
03/16/16, 17430, 17550, 17390, 17420, 391080
03/15/16, 17690, 17740, 17480, 17550, 424947
03/14/16, 17600, 17750, 17590, 17660, 889405
03/11/16, 17030, 17460, 16990, 17380, 656154
03/10/16, 17240, 17320, 17130, 17290, 342758
03/09/16, 17070, 17150, 16930, 17090, 493849
03/08/16, 17330, 17350, 17000, 17200, 691142
03/07/16, 17480, 17480, 17330, 17360, 417264
03/04/16, 17360, 17490, 17300, 17430, 413495
03/03/16, 17120, 17400, 17120, 17380, 818697
03/02/16, 16960, 17250, 16890, 17160, 1356335
03/01/16, 16440, 16520, 16260, 16490, 352757
02/29/16, 16760, 16890, 16470, 16480, 470419
02/26/16, 16730, 16900, 16600, 16600, 710051
02/25/16, 16370, 16640, 16360, 16580, 477067
02/24/16, 16250, 16410, 16140, 16300, 577963
02/23/16, 16610, 16770, 16400, 16460, 1015959
02/22/16, 16230, 16600, 16210, 16510, 648734
02/19/16, 16410, 16440, 16190, 16390, 677728
02/18/16, 16720, 16760, 16510, 16600, 551658
02/17/16, 16390, 16620, 16020, 16250, 864462
02/16/16, 16260, 16760, 16220, 16460, 911624
02/15/16, 15950, 16570, 15890, 16430, 1317572
02/12/16, 15600, 15680, 15250, 15340, 2133508
02/10/16, 16560, 16580, 15820, 16090, 1691513
02/09/16, 16770, 16810, 16440, 16520, 1163040
02/08/16, 17020, 17530, 16970, 17430, 829168
02/05/16, 17240, 17330, 17050, 17260, 834267
02/04/16, 17470, 17650, 17370, 17480, 715323
02/03/16, 17850, 17910, 17520, 17650, 1104675
02/02/16, 18120, 18320, 18120, 18200, 524535
02/01/16, 18300, 18370, 18150, 18320, 869125
01/29/16, 17530, 18200, 17170, 18020, 1637608
01/28/16, 17490, 17680, 17370, 17490, 504175
01/27/16, 17470, 17690, 17390, 17580, 603091
01/26/16, 17240, 17270, 17070, 17130, 447995
01/25/16, 17600, 17660, 17350, 17540, 1039740
01/22/16, 17030, 17430, 16880, 17400, 986948
01/21/16, 16900, 17170, 16430, 16450, 1495886
01/20/16, 17470, 17470, 16810, 16870, 1398928
01/19/16, 17340, 17530, 17240, 17500, 809454
01/18/16, 17230, 17480, 17090, 17390, 1186794
01/15/16, 17970, 18060, 17500, 17590, 713343
01/14/16, 17670, 17730, 17380, 17700, 1315911
01/13/16, 17910, 18180, 17910, 18180, 460840
01/12/16, 17900, 18020, 17640, 17700, 1257628
01/08/16, 18100, 18450, 18000, 18190, 1294538
01/07/16, 18610, 18650, 18230, 18230, 1654689
01/06/16, 18870, 18950, 18530, 18670, 1399603
01/05/16, 18870, 19030, 18800, 18850, 755490
01/04/16, 19300, 19440, 18860, 18950, 1610477
12/30/15, 19580, 19600, 19510, 19520, 171196
12/29/15, 19350, 19480, 19270, 19470, 260390
12/28/15, 19320, 19420, 19240, 19370, 202537
12/25/15, 19300, 19350, 19200, 19210, 163300
12/24/15, 19570, 19580, 19250, 19270, 292440
12/22/15, 19390, 19420, 19290, 19370, 334004
12/21/15, 19330, 19460, 19110, 19420, 632204
12/18/15, 19810, 20390, 19450, 19500, 1383089
12/17/15, 19900, 19990, 19790, 19840, 578704
12/16/15, 19370, 19530, 19340, 19510, 408807
12/15/15, 19350, 19370, 19030, 19070, 604049
12/14/15, 19240, 19380, 19060, 19360, 1087551
12/11/15, 19520, 19770, 19490, 19690, 329510
12/10/15, 19550, 19610, 19500, 19510, 612091
12/09/15, 19870, 19960, 19730, 19790, 510819
12/08/15, 20210, 20260, 19960, 19990, 215946
12/07/15, 20220, 20300, 20150, 20180, 307459
12/04/15, 20080, 20140, 19930, 20000, 783666
12/03/15, 20370, 20460, 20340, 20430, 364343
12/02/15, 20430, 20480, 20410, 20430, 249947
12/01/15, 20320, 20470, 20290, 20460, 237674
11/30/15, 20350, 20370, 20180, 20230, 230798
11/27/15, 20480, 20490, 20310, 20360, 223283
11/26/15, 20420, 20480, 20410, 20420, 521868
11/25/15, 20340, 20360, 20270, 20330, 346102
11/24/15, 20370, 20440, 20320, 20410, 414859
11/20/15, 20300, 20340, 20200, 20340, 475115
11/19/15, 20360, 20450, 20250, 20340, 764220
11/18/15, 20240, 20330, 20130, 20140, 672644
11/17/15, 20150, 20210, 20110, 20130, 464194
11/16/15, 19720, 19930, 19700, 19850, 360210
11/13/15, 19990, 20090, 19860, 20060, 504540
11/12/15, 20110, 20210, 20080, 20180, 410042
11/11/15, 20090, 20210, 20080, 20180, 536571
11/10/15, 19920, 20170, 19910, 20140, 384794
11/09/15, 19880, 20180, 19880, 20110, 1426183
11/06/15, 19660, 19770, 19640, 19730, 598409
11/05/15, 19490, 19640, 19460, 19580, 481979
11/04/15, 19490, 19620, 19380, 19390, 510328
11/02/15, 19290, 19330, 19100, 19150, 507949
10/30/15, 19380, 19680, 19240, 19550, 918012
10/29/15, 19530, 19550, 19270, 19390, 442203
