Date, Open, High, Low, Close, Volume
03/31/16, 8951.00, 9010.00, 8660.00, 8700.00, 475477
03/30/16, 8963.00, 9080.00, 8905.00, 8950.00, 209004
03/29/16, 9008.00, 9030.00, 8787.00, 8935.00, 269849
03/28/16, 9096.00, 9119.00, 8923.00, 8995.00, 131811
03/25/16, 9045.00, 9076.00, 9001.00, 9046.00, 57492
03/24/16, 9200.00, 9268.00, 8943.00, 9020.00, 297323
03/23/16, 9427.00, 9450.00, 9178.00, 9240.00, 196922
03/22/16, 9385.00, 9455.00, 9320.00, 9440.00, 183055
03/21/16, 9410.00, 9470.00, 9303.00, 9390.00, 234918
03/18/16, 9252.00, 9490.00, 9212.00, 9490.00, 366142
03/17/16, 9150.00, 9248.00, 9113.00, 9243.00, 294714
03/16/16, 9202.00, 9229.00, 9021.00, 9119.00, 249577
03/15/16, 9186.00, 9256.00, 9112.00, 9202.00, 293831
03/14/16, 9226.00, 9262.00, 9114.00, 9150.00, 160747
03/11/16, 9285.00, 9326.00, 9080.00, 9221.00, 248826
03/10/16, 9297.00, 9350.00, 9228.00, 9281.00, 167321
03/09/16, 9379.00, 9412.00, 9277.00, 9300.00, 206262
03/07/16, 9330.00, 9494.00, 9320.00, 9494.00, 217966
03/04/16, 9231.00, 9312.00, 9181.00, 9300.00, 312266
03/03/16, 9080.00, 9248.00, 9075.00, 9190.00, 237028
03/02/16, 9160.00, 9166.00, 9042.00, 9093.00, 115691
03/01/16, 9102.00, 9197.00, 9043.00, 9105.00, 182576
02/29/16, 8929.00, 9170.00, 8860.00, 9142.00, 288073
02/26/16, 8800.00, 9009.00, 8770.00, 8935.00, 276916
02/25/16, 8750.00, 8870.00, 8671.00, 8750.00, 174842
02/24/16, 8690.00, 8780.00, 8625.00, 8750.00, 202066
02/22/16, 8750.00, 8800.00, 8680.00, 8750.00, 89465
02/19/16, 8801.00, 8835.00, 8660.00, 8745.00, 213865
02/18/16, 8650.00, 8888.00, 8644.00, 8880.00, 305310
02/17/16, 8500.00, 8656.00, 8500.00, 8633.00, 236409
02/16/16, 8380.00, 8486.00, 8325.00, 8486.00, 221273
02/15/16, 8465.00, 8509.00, 8280.00, 8345.00, 249334
02/12/16, 8425.00, 8460.00, 8329.00, 8350.00, 164454
02/11/16, 8500.00, 8537.00, 8251.00, 8376.00, 322844
02/10/16, 8615.00, 8683.00, 8510.00, 8510.00, 220355
02/09/16, 8850.00, 8900.00, 8620.00, 8650.00, 232888
02/08/16, 8968.00, 8995.00, 8812.00, 8870.00, 155959
02/05/16, 8944.00, 9079.00, 8913.00, 9005.00, 166548
02/04/16, 8850.00, 9014.00, 8795.00, 8999.00, 276021
02/03/16, 8925.00, 8950.00, 8770.00, 8770.00, 124768
02/02/16, 8702.00, 8924.00, 8647.00, 8924.00, 288525
02/01/16, 8845.00, 8906.00, 8625.00, 8698.00, 200585
01/29/16, 8960.00, 8984.00, 8730.00, 8850.00, 386637
01/28/16, 9015.00, 9047.00, 8863.00, 8970.00, 241141
01/27/16, 8901.00, 9049.00, 8900.00, 8991.00, 189513
01/26/16, 8950.00, 9165.00, 8833.00, 8880.00, 315883
01/25/16, 9139.00, 9139.00, 8980.00, 9050.00, 288149
01/22/16, 9250.00, 9300.00, 8951.00, 9100.00, 513792
01/21/16, 8650.00, 9216.00, 8650.00, 9130.00, 579900
01/20/16, 8475.00, 8709.00, 8325.00, 8649.00, 399239
01/19/16, 8399.00, 8622.00, 8370.00, 8540.00, 364563
01/18/16, 8051.00, 8385.00, 7840.00, 8290.00, 382879
01/15/16, 8470.00, 8473.00, 8040.00, 8050.00, 452033
01/14/16, 8575.00, 8733.00, 8400.00, 8464.00, 305353
01/13/16, 8590.00, 8788.00, 8544.00, 8614.00, 285791
01/12/16, 8550.00, 8718.00, 8500.00, 8553.00, 229716
01/11/16, 8800.00, 8800.00, 8507.00, 8600.00, 351544
01/06/16, 9100.00, 9148.00, 8990.00, 8990.00, 139221
01/05/16, 8942.00, 9120.00, 8891.00, 9085.00, 137855
01/04/16, 9090.00, 9140.00, 8892.00, 8922.00, 117655
12/30/15, 9210.00, 9231.00, 9124.00, 9150.00, 100636
12/29/15, 9055.00, 9199.00, 9051.00, 9189.00, 165960
12/28/15, 9303.00, 9374.00, 9299.00, 9350.00, 132303
12/25/15, 9360.00, 9375.00, 9292.00, 9344.00, 74062
12/24/15, 9415.00, 9450.00, 9235.00, 9344.00, 173300
12/23/15, 9210.00, 9443.00, 9210.00, 9410.00, 207861
12/22/15, 9051.00, 9224.00, 9042.00, 9220.00, 148817
12/21/15, 9249.00, 9345.00, 8980.00, 9048.00, 260833
12/18/15, 9403.00, 9489.00, 9225.00, 9229.00, 289906
12/17/15, 9140.00, 9450.00, 9101.00, 9450.00, 377720
12/16/15, 8999.00, 9175.00, 8963.00, 9108.00, 232048
12/15/15, 8800.00, 9055.00, 8800.00, 8965.00, 286441
12/14/15, 8884.00, 8919.00, 8777.00, 8780.00, 209934
12/11/15, 8935.00, 8980.00, 8843.00, 8900.00, 179232
12/10/15, 8930.00, 9050.00, 8882.00, 8925.00, 204236
12/09/15, 8998.00, 9075.00, 8933.00, 8935.00, 189847
12/08/15, 8918.00, 9019.00, 8811.00, 8970.00, 240337
12/07/15, 8898.00, 8970.00, 8734.00, 8925.00, 252046
12/04/15, 9150.00, 9220.00, 8822.00, 8851.00, 364262
12/03/15, 8937.00, 9175.00, 8903.00, 9113.00, 345356
12/02/15, 9100.00, 9160.00, 8863.00, 8939.00, 315454
12/01/15, 8975.00, 9175.00, 8975.00, 9054.00, 318415
11/30/15, 9231.00, 9337.00, 8920.00, 8920.00, 479024
11/27/15, 9380.00, 9446.00, 9220.00, 9220.00, 244912
11/26/15, 9454.00, 9590.00, 9380.00, 9390.00, 246435
11/25/15, 9360.00, 9459.00, 9352.00, 9427.00, 142363
11/24/15, 9499.00, 9524.00, 9220.00, 9344.00, 358995
11/23/15, 9572.00, 9598.00, 9440.00, 9492.00, 250504
11/20/15, 9703.00, 9745.00, 9568.00, 9650.00, 135060
11/19/15, 9650.00, 9763.00, 9560.00, 9670.00, 314360
11/18/15, 9400.00, 9650.00, 9345.00, 9640.00, 346105
11/17/15, 9359.00, 9485.00, 9335.00, 9364.00, 237973
11/16/15, 9479.00, 9499.00, 9330.00, 9335.00, 215008
11/13/15, 9470.00, 9537.00, 9351.00, 9469.00, 201289
11/12/15, 9375.00, 9477.00, 9340.00, 9475.00, 178182
11/11/15, 9475.00, 9498.00, 9328.00, 9371.00, 143117
11/10/15, 9500.00, 9540.00, 9440.00, 9474.00, 171694
11/09/15, 9550.00, 9593.00, 9400.00, 9499.00, 138208
11/06/15, 9625.00, 9725.00, 9389.00, 9513.00, 271005
11/05/15, 9547.00, 9654.00, 9534.00, 9580.00, 177461
11/03/15, 9589.00, 9740.00, 9540.00, 9546.00, 216300
11/02/15, 9475.00, 9590.00, 9455.00, 9585.00, 89803
10/30/15, 9520.00, 9611.00, 9465.00, 9487.00, 118637
10/29/15, 9680.00, 9680.00, 9502.00, 9503.00, 172612
10/28/15, 9739.00, 9739.00, 9539.00, 9670.00, 237681
10/27/15, 9690.00, 9710.00, 9525.00, 9710.00, 195339
10/26/15, 9730.00, 9779.00, 9571.00, 9700.00, 226019
10/23/15, 9580.00, 9814.00, 9487.00, 9735.00, 320133
10/22/15, 9407.00, 9550.00, 9232.00, 9545.00, 288138
10/21/15, 9690.00, 9690.00, 9312.00, 9390.00, 270598
10/20/15, 9760.00, 9832.00, 9606.00, 9658.00, 202091
10/19/15, 9610.00, 9784.00, 9596.00, 9761.00, 183044
10/16/15, 9817.00, 9887.00, 9591.00, 9601.00, 240822
10/15/15, 9744.00, 9889.00, 9686.00, 9783.00, 248952
10/14/15, 9697.00, 9920.00, 9655.00, 9700.00, 406961
10/13/15, 9601.00, 9715.00, 9503.00, 9715.00, 230631
10/12/15, 9600.00, 9760.00, 9500.00, 9620.00, 364708
10/09/15, 9160.00, 9625.00, 9101.00, 9560.00, 603133
10/08/15, 9225.00, 9226.00, 9025.00, 9149.00, 384739
10/07/15, 9330.00, 9348.00, 9046.00, 9210.00, 551922
10/06/15, 9478.00, 9530.00, 9241.00, 9346.00, 340485
10/05/15, 9525.00, 9603.00, 9390.00, 9450.00, 276512
10/02/15, 9397.00, 9475.00, 9301.00, 9470.00, 162207
10/01/15, 9500.00, 9544.00, 9325.00, 9394.00, 237317
09/30/15, 9393.00, 9500.00, 9300.00, 9500.00, 248002
09/29/15, 9274.00, 9494.00, 9214.00, 9325.00, 246301
09/28/15, 9589.00, 9669.00, 9340.00, 9382.00, 260933
09/25/15, 9720.00, 9815.00, 9515.00, 9565.00, 274145
09/24/15, 9940.00, 9984.00, 9601.00, 9662.00, 545136
09/23/15, 10625.00, 10653.00, 10070.00, 10200.00, 491661
09/22/15, 11100.00, 11121.00, 10614.00, 10693.00, 290896
09/21/15, 11149.00, 11190.00, 11011.00, 11080.00, 124399
09/18/15, 11240.00, 11284.00, 11012.00, 11100.00, 198955
09/17/15, 11119.00, 11212.00, 11041.00, 11206.00, 101362
09/16/15, 11039.00, 11157.00, 11011.00, 11119.00, 168699
09/15/15, 10947.00, 11038.00, 10920.00, 11009.00, 130899
09/14/15, 10840.00, 11035.00, 10840.00, 10924.00, 108177
09/11/15, 10940.00, 11050.00, 10800.00, 10870.00, 190998
09/10/15, 11042.00, 11100.00, 10905.00, 10931.00, 173363
09/09/15, 10800.00, 11205.00, 10784.00, 11099.00, 288091
09/08/15, 10739.00, 10889.00, 10683.00, 10746.00, 179182
09/07/15, 10600.00, 10730.00, 10600.00, 10716.00, 108669
09/04/15, 10566.00, 10670.00, 10472.00, 10570.00, 158831
09/03/15, 10371.00, 10650.00, 10361.00, 10600.00, 210005
09/02/15, 10319.00, 10505.00, 10250.00, 10350.00, 175476
09/01/15, 10548.00, 10550.00, 10252.00, 10329.00, 209669
08/31/15, 10450.00, 10575.00, 10370.00, 10569.00, 161662
08/28/15, 10410.00, 10540.00, 10334.00, 10430.00, 159214
08/27/15, 10310.00, 10476.00, 10300.00, 10371.00, 221430
08/26/15, 10100.00, 10350.00, 10003.00, 10290.00, 199544
08/25/15, 10210.00, 10388.00, 10065.00, 10071.00, 225649
08/24/15, 9910.00, 10249.00, 9860.00, 10215.00, 440007
08/21/15, 9999.00, 10150.00, 9930.00, 10060.00, 306897
08/20/15, 9744.00, 10047.00, 9720.00, 10047.00, 321159
08/19/15, 9849.00, 9860.00, 9683.00, 9725.00, 205965
08/18/15, 10000.00, 10000.00, 9800.00, 9810.00, 210517
08/17/15, 10060.00, 10191.00, 9929.00, 10000.00, 259344
08/14/15, 9871.00, 10114.00, 9841.00, 10061.00, 268481
08/13/15, 9890.00, 9979.00, 9760.00, 9870.00, 230268
08/12/15, 10100.00, 10126.00, 9790.00, 9850.00, 390380
08/11/15, 10199.00, 10450.00, 10140.00, 10166.00, 261083
08/10/15, 10197.00, 10240.00, 10075.00, 10222.00, 163907
08/07/15, 10160.00, 10181.00, 10052.00, 10112.00, 142649
08/06/15, 10100.00, 10249.00, 10050.00, 10125.00, 257521
08/05/15, 9915.00, 10107.00, 9762.00, 10090.00, 292005
08/04/15, 9518.00, 9895.00, 9500.00, 9889.00, 384431
08/03/15, 9417.00, 9592.00, 9407.00, 9514.00, 236751
07/31/15, 9367.00, 9446.00, 9231.00, 9427.00, 230481
07/30/15, 9324.00, 9385.00, 9238.00, 9365.00, 200307
07/29/15, 9290.00, 9375.00, 9250.00, 9359.00, 271246
07/28/15, 9049.00, 9295.00, 9031.00, 9231.00, 305743
07/27/15, 9009.00, 9099.00, 8955.00, 9022.00, 297298
07/24/15, 9100.00, 9163.00, 9021.00, 9025.00, 237591
07/23/15, 9304.00, 9316.00, 9075.00, 9119.00, 233729
07/22/15, 9415.00, 9415.00, 9233.00, 9320.00, 168551
07/21/15, 9360.00, 9465.00, 9360.00, 9428.00, 117927
07/20/15, 9540.00, 9540.00, 9340.00, 9393.00, 148473
07/17/15, 9598.00, 9680.00, 9502.00, 9536.00, 134981
07/16/15, 9510.00, 9600.00, 9488.00, 9600.00, 115116
07/15/15, 9460.00, 9563.00, 9435.00, 9488.00, 159726
07/14/15, 9390.00, 9509.00, 9375.00, 9450.00, 210123
07/13/15, 9135.00, 9392.00, 9117.00, 9366.00, 244149
07/10/15, 9150.00, 9196.00, 9021.00, 9147.00, 151578
07/09/15, 9164.00, 9164.00, 9006.00, 9101.00, 197824
07/08/15, 9300.00, 9310.00, 8977.00, 9100.00, 341656
07/07/15, 9251.00, 9414.00, 9251.00, 9340.00, 229635
07/06/15, 9245.00, 9299.00, 9127.00, 9277.00, 163889
07/03/15, 9270.00, 9314.00, 9260.00, 9263.00, 71100
07/02/15, 9225.00, 9349.00, 9220.00, 9250.00, 179563
07/01/15, 9498.00, 9498.00, 9200.00, 9215.00, 331069
06/30/15, 9573.00, 9580.00, 9368.00, 9500.00, 180425
06/29/15, 9497.00, 9620.00, 9452.00, 9540.00, 81297
06/26/15, 9420.00, 9634.00, 9394.00, 9575.00, 135945
06/25/15, 9442.00, 9495.00, 9358.00, 9400.00, 113282
06/24/15, 9538.00, 9567.00, 9326.00, 9450.00, 204470
06/23/15, 9671.00, 9681.00, 9461.00, 9503.00, 198467
06/22/15, 9673.00, 9750.00, 9623.00, 9670.00, 126734
06/19/15, 9579.00, 9699.00, 9550.00, 9685.00, 125880
06/18/15, 9700.00, 9700.00, 9514.00, 9579.00, 134578
06/17/15, 9705.00, 9750.00, 9613.00, 9680.00, 117303
06/16/15, 9750.00, 9820.00, 9667.00, 9695.00, 112721
06/15/15, 9580.00, 9767.00, 9580.00, 9758.00, 160054
06/11/15, 9590.00, 9704.00, 9550.00, 9655.00, 149045
06/10/15, 9697.00, 9701.00, 9556.00, 9595.00, 155098
06/09/15, 9950.00, 10024.00, 9699.00, 9701.00, 213760
06/08/15, 9999.00, 10098.00, 9930.00, 9954.00, 173376
06/05/15, 9782.00, 9998.00, 9736.00, 9986.00, 324237
06/04/15, 9735.00, 9840.00, 9600.00, 9742.00, 253811
06/03/15, 9650.00, 9787.00, 9580.00, 9704.00, 338782
06/02/15, 9390.00, 9640.00, 9351.00, 9619.00, 259105
06/01/15, 9076.00, 9437.00, 9062.00, 9303.00, 195015
05/29/15, 9409.00, 9575.00, 9005.00, 9005.00, 228910
05/28/15, 9400.00, 9529.00, 9329.00, 9397.00, 139475
05/27/15, 9288.00, 9436.00, 9090.00, 9380.00, 242869
05/26/15, 9515.00, 9646.00, 9250.00, 9250.00, 243382
05/25/15, 9534.00, 9576.00, 9325.00, 9515.00, 114308
05/22/15, 9700.00, 9820.00, 9455.00, 9534.00, 347332
05/21/15, 10190.00, 10270.00, 10106.00, 10210.00, 377967
05/20/15, 10039.00, 10250.00, 9845.00, 10180.00, 221352
05/19/15, 10229.00, 10300.00, 9961.00, 10039.00, 195075
05/18/15, 10301.00, 10340.00, 10141.00, 10248.00, 136781
05/15/15, 10260.00, 10336.00, 10166.00, 10288.00, 154760
