Date, Open, High, Low, Close, Volume
03/31/16, 5.28, 5.40, 5.28, 5.35, 6297
03/30/16, 5.30, 5.30, 5.25, 5.25, 1818
03/29/16, 5.25, 5.25, 5.11, 5.25, 3400
03/28/16, 5.15, 5.15, 5.15, 5.15, 774
03/24/16, 5.20, 5.24, 5.11, 5.11, 1931
03/23/16, 5.05, 5.28, 5.04, 5.28, 2898
03/22/16, 5.35, 5.35, 4.90, 4.90, 5358
03/21/16, 5.36, 5.39, 5.35, 5.39, 1254
03/18/16, 5.45, 5.46, 5.25, 5.37, 3285
03/17/16, 5.50, 5.53, 5.35, 5.46, 2074
03/16/16, 5.15, 5.29, 5.10, 5.29, 1367
03/15/16, 5.46, 5.60, 5.17, 5.30, 6554
03/14/16, 5.83, 5.83, 5.37, 5.50, 6378
03/11/16, 5.75, 5.84, 5.70, 5.75, 1973
03/10/16, 5.80, 5.90, 5.65, 5.89, 4668
03/09/16, 5.85, 5.85, 5.75, 5.79, 1824
03/08/16, 5.95, 6.00, 5.82, 5.82, 11476
03/07/16, 5.85, 6.45, 5.70, 5.94, 25694
03/04/16, 5.24, 5.90, 5.24, 5.73, 15784
03/03/16, 5.23, 5.25, 5.12, 5.12, 3942
03/02/16, 5.23, 5.23, 5.10, 5.10, 367
03/01/16, 5.11, 5.24, 5.03, 5.24, 4348
02/29/16, 5.30, 5.50, 5.15, 5.20, 3445
02/26/16, 5.16, 5.25, 5.03, 5.25, 2711
02/25/16, 5.30, 5.30, 5.20, 5.24, 4208
02/24/16, 5.17, 5.30, 5.15, 5.25, 8088
02/23/16, 5.15, 5.15, 5.10, 5.10, 7299
02/22/16, 4.90, 5.75, 4.79, 5.16, 13697
02/19/16, 4.75, 4.95, 4.75, 4.85, 3797
02/18/16, 4.90, 4.90, 4.70, 4.75, 4225
02/17/16, 4.50, 5.00, 4.43, 4.81, 41508
02/16/16, 4.11, 4.40, 4.11, 4.40, 5515
02/12/16, 4.05, 4.15, 4.05, 4.15, 1379
02/11/16, 4.07, 4.19, 4.00, 4.19, 4724
02/10/16, 4.04, 4.05, 4.04, 4.05, 318
02/09/16, 3.96, 4.00, 3.95, 4.00, 1247
02/08/16, 4.02, 4.04, 3.95, 4.04, 1947
02/05/16, 4.05, 4.06, 3.96, 3.96, 7812
02/04/16, 3.96, 4.05, 3.95, 3.96, 3978
02/03/16, 3.97, 4.04, 3.95, 3.96, 4195
02/02/16, 4.02, 4.05, 3.95, 3.95, 3296
02/01/16, 3.99, 3.99, 3.96, 3.96, 2150
01/29/16, 3.94, 4.04, 3.94, 4.04, 1098
01/28/16, 3.96, 4.04, 3.93, 3.93, 4433
01/27/16, 3.99, 4.04, 3.96, 4.04, 5826
01/26/16, 3.98, 4.00, 3.95, 4.00, 413
01/25/16, 3.97, 3.97, 3.97, 3.97, 281
01/22/16, 3.96, 3.96, 3.96, 3.96, 31
01/21/16, 4.00, 4.00, 3.94, 4.00, 4269
01/20/16, 3.92, 4.01, 3.92, 3.92, 1552
01/19/16, 4.00, 4.00, 3.91, 3.91, 5526
01/18/16, 3.93, 4.00, 3.93, 3.98, 4334
01/15/16, 3.99, 4.00, 3.99, 4.00, 2761
01/14/16, 3.99, 3.99, 3.99, 3.99, 530
01/13/16, 3.99, 4.06, 3.99, 3.99, 6561
01/12/16, 3.94, 4.02, 3.94, 3.99, 1829
01/11/16, 3.97, 4.00, 3.97, 4.00, 1076
01/08/16, 3.99, 4.00, 3.99, 4.00, 1540
01/07/16, 3.97, 4.03, 3.97, 4.03, 3403
01/06/16, 3.99, 4.01, 3.97, 4.01, 1712
01/05/16, 4.00, 4.03, 4.00, 4.00, 2561
01/04/16, 3.97, 4.00, 3.96, 4.00, 8274
12/31/15, 4.00, 4.01, 4.00, 4.00, 1473
12/30/15, 3.97, 4.02, 3.97, 4.02, 3159
12/29/15, 3.97, 4.00, 3.97, 3.97, 4184
12/24/15, 3.98, 4.02, 3.98, 4.00, 7051
12/23/15, 4.00, 4.00, 3.97, 3.97, 1526
12/22/15, 3.99, 4.03, 3.97, 3.97, 10624
12/21/15, 4.02, 4.03, 3.98, 4.03, 3732
12/18/15, 3.97, 4.02, 3.97, 3.97, 3522
12/17/15, 4.00, 4.03, 3.97, 4.00, 5609
12/16/15, 3.99, 4.00, 3.97, 4.00, 3676
12/15/15, 3.99, 4.03, 3.97, 4.03, 3200
12/14/15, 4.02, 4.02, 3.97, 4.00, 5348
12/11/15, 3.97, 4.02, 3.97, 3.97, 2409
12/10/15, 4.03, 4.03, 3.97, 4.00, 881
12/09/15, 3.97, 4.00, 3.97, 3.97, 0
12/08/15, 3.98, 4.02, 3.97, 3.97, 12164
12/07/15, 3.97, 4.03, 3.97, 4.03, 2605
12/04/15, 3.96, 4.03, 3.96, 3.97, 0
12/03/15, 3.98, 4.00, 3.97, 4.00, 0
12/02/15, 3.99, 4.00, 3.98, 3.98, 2501
12/01/15, 4.09, 4.09, 3.99, 3.99, 3899
11/30/15, 4.00, 4.07, 3.99, 3.99, 2690
11/27/15, 4.00, 4.00, 4.00, 4.00, 729
11/26/15, 4.02, 4.10, 4.00, 4.01, 9725
11/25/15, 4.01, 4.02, 4.00, 4.02, 3838
11/24/15, 3.97, 4.10, 3.97, 4.08, 6916
11/23/15, 4.11, 4.11, 3.97, 3.97, 7006
11/20/15, 3.97, 4.12, 3.97, 4.12, 4194
11/19/15, 4.00, 4.05, 3.95, 3.97, 6471
11/18/15, 4.00, 4.10, 4.00, 4.10, 744
11/17/15, 3.99, 4.05, 3.95, 4.05, 4435
11/16/15, 4.04, 4.06, 3.95, 3.95, 0
11/13/15, 4.30, 4.30, 3.99, 4.00, 3264
11/12/15, 4.00, 4.00, 3.95, 4.00, 2592
11/11/15, 3.95, 4.10, 3.95, 4.00, 991
11/10/15, 3.90, 4.10, 3.90, 4.03, 1330
11/09/15, 3.90, 4.00, 3.86, 4.00, 6792
11/06/15, 4.00, 4.00, 3.85, 4.00, 8511
11/05/15, 3.90, 4.10, 3.90, 4.00, 3418
11/04/15, 4.00, 4.00, 3.90, 3.90, 3629
11/03/15, 3.95, 4.10, 3.95, 4.00, 5280
11/02/15, 3.99, 3.99, 3.85, 3.85, 2415
10/30/15, 3.90, 4.00, 3.88, 3.91, 5144
10/29/15, 3.90, 3.90, 3.90, 3.90, 444
10/28/15, 4.03, 4.05, 3.90, 3.90, 3888
10/27/15, 3.95, 4.09, 3.95, 4.09, 7326
10/26/15, 4.00, 4.00, 3.96, 3.96, 1030
10/23/15, 4.09, 4.09, 3.96, 4.00, 2619
10/22/15, 4.10, 4.11, 3.96, 3.96, 1552
10/21/15, 4.25, 4.25, 4.08, 4.10, 0
10/20/15, 4.13, 4.23, 4.13, 4.23, 2202
10/19/15, 4.15, 4.19, 4.15, 4.19, 962
10/16/15, 4.16, 4.16, 4.15, 4.15, 590
10/15/15, 4.19, 4.20, 4.19, 4.19, 667
10/14/15, 4.11, 4.11, 4.10, 4.10, 1532
10/13/15, 4.21, 4.21, 4.05, 4.15, 5054
10/09/15, 4.09, 4.20, 4.09, 4.20, 9807
10/08/15, 4.05, 4.20, 4.01, 4.01, 3107
10/07/15, 4.05, 4.24, 4.03, 4.03, 4066
10/06/15, 4.14, 4.15, 4.03, 4.04, 4279
10/05/15, 4.20, 4.25, 4.12, 4.24, 5736
10/02/15, 4.20, 4.28, 4.15, 4.16, 5565
10/01/15, 4.35, 4.60, 4.15, 4.19, 4905
09/30/15, 4.29, 4.46, 4.25, 4.40, 6577
09/29/15, 4.40, 4.45, 4.20, 4.20, 7476
09/28/15, 4.80, 4.80, 4.38, 4.43, 1681
09/25/15, 4.60, 4.68, 4.38, 4.68, 8121
09/24/15, 4.55, 4.55, 4.40, 4.50, 4363
09/23/15, 4.37, 4.62, 4.37, 4.45, 16277
09/22/15, 4.45, 4.47, 4.35, 4.35, 13495
09/21/15, 4.56, 4.56, 4.40, 4.52, 2051
09/18/15, 4.70, 4.70, 4.61, 4.63, 6114
09/17/15, 4.85, 4.85, 4.70, 4.70, 1053
09/16/15, 5.15, 5.20, 4.80, 4.80, 2074
09/15/15, 5.10, 5.20, 4.95, 5.14, 3076
09/14/15, 5.11, 5.11, 4.95, 4.95, 1077
09/11/15, 4.94, 5.15, 4.94, 5.10, 4935
09/10/15, 4.80, 4.90, 4.80, 4.90, 3962
09/09/15, 4.65, 4.75, 4.58, 4.75, 5817
09/08/15, 4.47, 4.70, 4.47, 4.65, 7044
09/04/15, 4.35, 4.51, 4.35, 4.50, 2655
09/03/15, 4.80, 4.80, 4.40, 4.57, 14129
09/02/15, 4.94, 4.94, 4.67, 4.67, 2666
09/01/15, 4.85, 4.85, 4.66, 4.75, 4854
08/31/15, 4.70, 5.06, 4.60, 5.06, 6810
08/28/15, 4.61, 5.05, 4.40, 4.85, 16849
08/27/15, 4.65, 4.80, 4.40, 4.63, 5852
08/26/15, 4.90, 4.95, 4.66, 4.75, 16847
08/25/15, 4.89, 5.00, 4.86, 4.90, 919
08/24/15, 5.19, 5.35, 4.80, 5.00, 11519
08/21/15, 5.19, 5.35, 5.10, 5.35, 6964
08/20/15, 5.60, 5.60, 5.10, 5.20, 14336
08/19/15, 5.71, 5.75, 5.40, 5.54, 5904
08/18/15, 5.99, 5.99, 5.11, 5.55, 16618
08/17/15, 6.10, 6.40, 5.95, 6.00, 16509
08/14/15, 6.13, 6.35, 5.75, 6.05, 49884
08/13/15, 5.58, 6.84, 5.58, 5.90, 78959
08/12/15, 3.99, 5.72, 3.99, 5.57, 65180
08/11/15, 5.05, 5.05, 3.87, 3.99, 80950
08/10/15, 6.00, 6.00, 4.75, 4.85, 79713
08/07/15, 0.02, 0.02, 0.02, 0.02, 3367228
08/06/15, 0.02, 0.02, 0.02, 0.02, 2088010
08/05/15, 0.02, 0.03, 0.02, 0.02, 1950821
08/04/15, 0.02, 0.03, 0.02, 0.02, 2026251
07/31/15, 0.02, 0.02, 0.02, 0.02, 1318206
07/30/15, 0.03, 0.03, 0.02, 0.02, 5674020
07/29/15, 0.03, 0.03, 0.02, 0.02, 4470920
07/28/15, 0.03, 0.03, 0.03, 0.03, 106910
07/27/15, 0.03, 0.03, 0.03, 0.03, 349825
07/24/15, 0.03, 0.03, 0.03, 0.03, 726108
07/23/15, 0.03, 0.04, 0.03, 0.03, 298996
07/22/15, 0.04, 0.04, 0.03, 0.03, 478903
07/21/15, 0.03, 0.04, 0.03, 0.04, 439800
07/20/15, 0.04, 0.04, 0.03, 0.04, 585700
07/17/15, 0.04, 0.04, 0.04, 0.04, 1402815
07/16/15, 0.04, 0.04, 0.04, 0.04, 3656075
07/15/15, 0.04, 0.04, 0.04, 0.04, 112474
07/14/15, 0.04, 0.04, 0.04, 0.04, 170504
07/13/15, 0.04, 0.05, 0.04, 0.04, 730500
07/10/15, 0.04, 0.04, 0.04, 0.04, 320860
07/09/15, 0.04, 0.04, 0.04, 0.04, 1148283
07/08/15, 0.04, 0.05, 0.04, 0.04, 274150
07/07/15, 0.05, 0.05, 0.04, 0.04, 335729
07/06/15, 0.05, 0.05, 0.04, 0.05, 615500
07/03/15, 0.05, 0.05, 0.04, 0.05, 1335960
07/02/15, 0.04, 0.04, 0.04, 0.04, 519754
06/30/15, 0.05, 0.05, 0.04, 0.04, 988800
06/29/15, 0.04, 0.05, 0.04, 0.05, 58500
06/26/15, 0.04, 0.05, 0.04, 0.04, 211420
06/25/15, 0.05, 0.05, 0.04, 0.05, 90910
06/24/15, 0.05, 0.05, 0.04, 0.04, 137199
06/23/15, 0.04, 0.05, 0.04, 0.05, 144700
06/22/15, 0.05, 0.05, 0.04, 0.04, 418618
06/19/15, 0.05, 0.05, 0.04, 0.04, 585865
06/18/15, 0.05, 0.05, 0.05, 0.05, 37279
06/17/15, 0.05, 0.05, 0.05, 0.05, 615282
06/16/15, 0.05, 0.05, 0.04, 0.04, 600534
06/15/15, 0.05, 0.05, 0.05, 0.05, 125520
06/12/15, 0.05, 0.05, 0.05, 0.05, 83350
06/11/15, 0.05, 0.05, 0.05, 0.05, 1471938
06/10/15, 0.05, 0.05, 0.05, 0.05, 370602
06/09/15, 0.05, 0.06, 0.05, 0.05, 220700
06/08/15, 0.05, 0.05, 0.05, 0.05, 214500
06/05/15, 0.05, 0.05, 0.05, 0.05, 538125
06/04/15, 0.05, 0.06, 0.05, 0.05, 289371
06/03/15, 0.05, 0.05, 0.05, 0.05, 152085
06/02/15, 0.05, 0.05, 0.05, 0.05, 50702
06/01/15, 0.05, 0.05, 0.05, 0.05, 248965
05/29/15, 0.05, 0.05, 0.05, 0.05, 219888
05/28/15, 0.06, 0.06, 0.05, 0.05, 696319
05/27/15, 0.06, 0.06, 0.05, 0.05, 205035
05/26/15, 0.05, 0.06, 0.05, 0.06, 221800
05/25/15, 0.05, 0.06, 0.05, 0.05, 155681
05/22/15, 0.06, 0.06, 0.05, 0.06, 1131059
05/21/15, 0.06, 0.06, 0.05, 0.05, 882150
05/20/15, 0.06, 0.06, 0.05, 0.05, 444866
05/19/15, 0.06, 0.06, 0.06, 0.06, 987074
05/15/15, 0.06, 0.06, 0.06, 0.06, 847098
05/14/15, 0.06, 0.06, 0.05, 0.06, 1391905
05/13/15, 0.07, 0.07, 0.06, 0.06, 174200
05/12/15, 0.07, 0.07, 0.07, 0.07, 760165
05/11/15, 0.08, 0.08, 0.07, 0.07, 799776
05/08/15, 0.07, 0.07, 0.07, 0.07, 184819
05/07/15, 0.08, 0.08, 0.07, 0.07, 213532
05/06/15, 0.07, 0.08, 0.07, 0.08, 955126
05/05/15, 0.07, 0.08, 0.07, 0.08, 759751
05/04/15, 0.07, 0.07, 0.07, 0.07, 313569
05/01/15, 0.07, 0.07, 0.06, 0.07, 848677
04/30/15, 0.08, 0.08, 0.07, 0.07, 146880
04/29/15, 0.08, 0.08, 0.07, 0.07, 827103
04/28/15, 0.07, 0.08, 0.07, 0.07, 847697
04/27/15, 0.08, 0.08, 0.07, 0.08, 1517034
04/24/15, 0.07, 0.08, 0.07, 0.08, 861584
04/23/15, 0.07, 0.07, 0.07, 0.07, 851950
04/22/15, 0.07, 0.07, 0.06, 0.07, 1943315
04/21/15, 0.06, 0.08, 0.05, 0.07, 4446425
04/20/15, 0.06, 0.06, 0.05, 0.06, 3809526
04/17/15, 0.07, 0.07, 0.06, 0.06, 7174069
04/16/15, 0.12, 0.13, 0.07, 0.07, 18431903
04/15/15, 0.17, 0.17, 0.12, 0.13, 13742501
04/14/15, 0.26, 0.26, 0.25, 0.26, 253296
04/13/15, 0.26, 0.27, 0.25, 0.26, 122600
04/10/15, 0.27, 0.27, 0.26, 0.27, 323548
04/09/15, 0.26, 0.27, 0.26, 0.26, 253230
04/08/15, 0.27, 0.27, 0.26, 0.27, 87537
04/07/15, 0.28, 0.28, 0.27, 0.27, 110108
04/06/15, 0.27, 0.28, 0.25, 0.28, 372700
04/02/15, 0.28, 0.28, 0.26, 0.26, 87801
04/01/15, 0.27, 0.28, 0.27, 0.28, 231308
03/31/15, 0.26, 0.27, 0.24, 0.27, 325692
03/30/15, 0.28, 0.28, 0.25, 0.26, 1098562
03/27/15, 0.28, 0.30, 0.28, 0.28, 383666
03/26/15, 0.29, 0.31, 0.29, 0.30, 452291
03/25/15, 0.28, 0.30, 0.28, 0.28, 210124
03/24/15, 0.28, 0.29, 0.28, 0.29, 126387
